Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A methodology for eliciting expert knowledge in virtual engineering environments,J. Ritchie; J. Simmons; R. Dewar; I. Carpenter,"Dept. of Mech. & Chem. Eng., Heriot-Watt Univ., Edinburgh, UK; NA; NA; NA",PICMET '99: Portland International Conference on Management of Engineering and Technology. Proceedings Vol-1: Book of Summaries (IEEE Cat. No.99CH36310),6-Aug-02,1999,1,,202 vol.1,,"Summary form only given. This research was initiated and applied in an area of engineering where tacit knowledge predominates; that of manual assembly planning. In this domain the evaluation and formalization of tacit knowledge is very difficult. Assembly planning is generally undertaken by planning 'experts' who produce plans after studying design data in whatever form. Research at Heriot-Watt University has shown that immersive virtual reality (VR) offers significant potential for the interactive planning of mechanical assemblies. Using this system for gathering assembly intent, a knowledge elicitation methodology was developed in which expert assembly planners' activities were logged while building a virtual assembly. This involved four main stages in its application: definition of the salient component attributes (repertory grid analysis); evaluation of attributes for given components (manual evaluation); recording expert assembly usage data (nonintrusive VR data logging); and generating rules relating the components to specific assembly methods (induction). This paper demonstrates how this novel nonintrusive knowledge acquisition methodology can be applied using immersive virtual environments; implying that, as globalizes technology becomes available, this may be a route to the formalization of company know-how.",,1-890843-02-4,10.1109/PICMET.1999.808115,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808115,,Knowledge engineering;Virtual reality;Assembly systems;Knowledge based systems;Design engineering;Chemical engineering;Informatics;Expert systems;Heart;Buildings,knowledge acquisition;assembly planning;virtual reality;interactive systems,expert knowledge elicitation;virtual engineering environments;knowledge based systems;manual assembly planning;Heriot-Watt University;immersive virtual reality;interactive planning;mechanical assemblies;virtual assembly;repertory grid analysis;manual evaluation;nonintrusive VR data logging;nonintrusive knowledge acquisition methodology,,,,,,6-Aug-02,,,IEEE,IEEE Conferences
A Haptic Interface with Motor/Brake System for Colonoscopy Simulation,E. Samur; L. Flaction; U. Spaelter; H. Bleuler; D. Hellier; S. Ourselin,"Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; BioMedIA Lab, CSIRO E-Health Research Centre, Brisbane, Australia, david.hellier@csiro.au; BioMedIA Lab, CSIRO E-Health Research Centre, Brisbane, Australia",2008 Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems,31-Mar-08,2008,,,477,478,"Training for colonoscopy, which is the examination and treatment of the colon, is often performed on real patients once the physician has passed the novice level. This increases the risk of colon injury to the patient and lengthens the procedure time. Since a decade ago, there has been research on virtual reality surgery simulators with haptic feedback. The main goal is to provide an alternative to traditional training methods on animals, cadavers or real patients. Haptic feedback is a key feature for every surgery simulator for the training of hand-eye coordination. In this paper, a compact and portable haptic interface is presented for the colonoscopy. The haptic interface provides position data acquisition and force feedback in linear and rotational directions with combined electrical motors and passive brakes to cover a large range of forces. The motorized drives are used for active force feedback and friction compensation and the brakes are used for high force rendering without slipping. This novel design allows decoupled motion in both directions.",2324-7355,978-1-4244-2005-6,10.1109/HAPTICS.2008.4479998,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4479998,B.0 [Hardware]: General¿Surgery Simulators;I.6.3 [Computing Methodologies]: Simulation and Modeling¿Applications,Haptic interfaces;Colonoscopy;Force feedback;Colon;Surgery;Medical treatment;Injuries;Virtual reality;Animals;Cadaver,DC motors;digital simulation;force feedback;haptic interfaces;patient treatment;virtual reality,haptic interface;colonoscopy simulation;colon treatment;brake system;electrical motor system;virtual reality surgery simulator;haptic force feedback;data acquisition;friction compensation;force rendering;hand-eye coordination training,,11,2,9,,31-Mar-08,,,IEEE,IEEE Conferences
The impact of motion in virtual environments on memorization performance,P. Häfner; C. Vinke; V. Häfner; J. Ovtcharova; W. Schotte,"Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; High Performance Computing Center Stuttgart, University of Stuttgart, Nobelstr. 19, 70569, Germany",2013 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications (CIVEMSA),3-Oct-13,2013,,,104,109,"Virtual environments are more and more used for educational and training purposes. In order to design virtual environments for these applications in particular, it is very important to get a deep understanding of the relevant design features supporting the user's process of learning and comprehension. Relevance and implementation of these features as well as the benefits of virtual learning environments over traditional educational approaches in general are rarely explored. Focusing on modes of interaction in this work, we examined the effect of different motion types on the knowledge acquisition of users in various virtual environments. For our study we chose a simple memorization task as approximation of low cognitive knowledge acquirement. We hypothesized motion types and immersion levels influence memorization performance in virtual environments. The memorization task was conducted in two virtual environments with different levels of immersion: A high-immersive Cave Automatic Virtual Environment (CAVE) and a low-immersive desktop virtual environment. Two motion types in virtual environments were explored: Physical and virtual walking. In the CAVE physical walking was implemented by using motion capturing and virtual walking was realized using a joystick-like input device. The results indicate neither motion types nor immersion levels in virtual environments affect memorization performance significantly.",2377-9322,978-1-4673-4703-7,10.1109/CIVEMSA.2013.6617404,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6617404,cognition;human computer interaction;learning;memory;motion;virtual environment;virtual reality,Virtual environments;Navigation;Legged locomotion;Tutorials;Stereo vision;Educational institutions,computer aided instruction;human computer interaction;human factors;interactive devices;virtual reality,training;education;CAVE physical walking;virtual walking;low-immersive desktop virtual environment;high-immersive CAVE automatic virtual environment;hypothesized motion types;cognitive knowledge acquirement;user knowledge acquisition;virtual learning environments;user process;virtual environment design;training purposes;memorization performance,,4,,12,,3-Oct-13,,,IEEE,IEEE Conferences
Remote machinery maintenance system with the use of virtual reality,M. Bellamine; N. Abe; K. Tanaka; H. Taki,"Fac. of Comput. Sci. & Eng., Kyushu Inst. of Technol., Fukuoka, Japan; Fac. of Comput. Sci. & Eng., Kyushu Inst. of Technol., Fukuoka, Japan; Fac. of Comput. Sci. & Eng., Kyushu Inst. of Technol., Fukuoka, Japan; NA",Proceedings. First International Symposium on 3D Data Processing Visualization and Transmission,7-Nov-02,2002,,,38,43,"The use of robots for fault diagnosis and maintenance operations is being more widely used. Robot control is generally done by teleoperation, which still has many weak points. To solve these problems, we use virtual reality techniques. We conceive a system for collecting vibration data using remote robot control by a virtual designed model. With our model we can manipulate both the machine to be checked, and the robot. In our 3D model the data collection points are very well known. This will assure precision in data collection. Our system assure good remote maintenance and fault diagnosis not only in dangerous places, but also in ordinary cases.",,0-7695-1521-4,10.1109/TDPVT.2002.1024036,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1024036,,Machinery;Virtual reality;Fault diagnosis;Robot sensing systems;Robot control;Inspection;Orbital robotics;Acoustic noise;Force measurement;Data visualization,telerobotics;maintenance engineering;virtual reality;engineering graphics;data acquisition;vibration measurement;sensors;manipulators,remote machinery maintenance system;virtual reality;fault diagnosis;teleoperation;vibration data collection;3D model;data collection,,10,,4,,7-Nov-02,,,IEEE,IEEE Conferences
Design and development of wetland evaluation system based on remote sensing and 3D visualization,Jing Lingling; Zhu Lin; Gong Huili; Pan Yun; Du Lufei,"College of Resource Environment and Tourism, Capital Normal University, Beijing, China; College of Resource Environment and Tourism, Capital Normal University, Beijing, China; College of Resource Environment and Tourism, Capital Normal University, Beijing, China; Information Acquisition and Application Key, Laboratory of Education Ministry, Capital Normal University, Beijing, China; Information Acquisition and Application Key, Laboratory of Education Ministry, Capital Normal University, Beijing, China",2010 International Conference on Computer Application and System Modeling (ICCASM 2010),4-Nov-10,2010,2,,V2-170,V2-173,"To meet the demands of the regional wetland evaluation, a wetland evaluation system (WES) was developed, which integrated digital image processing, economic value evaluation model of wetland functions and 3D visualization. This paper chose CASM ImageInfo as one part of WES for processing the multiple source images. Based on the wetland database management system, a graphical modeling tool was developed which supplied many wetland value calculation functions in form of a flowchart and made wetland evaluation process semi-automatic. Besides, Jx-4 (a digital photogrammetric system) was chosen as the data preparation module in the WES. Based on the DEM data derived from Jx-4. 3D visualization of regional wetlands was realized by the VR (Virtual Reality) technology. The VR technology was integrated to simulate the circumstance of the wetland and the wetland dynamic processes under different hydrologic conditions in 3D space. This system was an effective and fully digital processing platform for the researchers to evaluate regional wetland services and to obtain the general circumstance and the change of the wetland. This system provided advanced scientific management and effective decision-making information for wetland resources.",2161-9077,978-1-4244-7237-6,10.1109/ICCASM.2010.5618994,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5618994,remote sensing technology;evaluation model of wetland services;GIS;3D visualization;framework of WES,Visualization,data visualisation;database management systems;geophysical image processing;hydrological techniques;remote sensing;virtual reality,wetland evaluation system;remote sensing;3D visualization;digital image processing;economic value evaluation model;wetland function;CASM imagelnfo;multiple source image;database management system;graphical modeling tool;wetland value calculation function;DEM data;virtual reality;wetland dynamic process;hydrologic condition;3D space;scientific management;decision making information;wetland resource,,3,,6,,4-Nov-10,,,IEEE,IEEE Conferences
Time-Variant Visual Attention in 360-Degree Video Playback,H. Huang; J. Chen; H. Xue; Y. Huang; T. Zhao,"College of Physics and Information Engineering, Fuzhou University, Fuzhou, China; College of Physics and Information Engineering, Fuzhou University, Fuzhou, China; College of Physics and Information Engineering, Fuzhou University, Fuzhou, China; College of Physics and Information Engineering, Fuzhou University, Fuzhou, China; College of Physics and Information Engineering, Fuzhou University, Fuzhou, China","2018 IEEE International Symposium on Haptic, Audio and Visual Environments and Games (HAVE)",29-Nov-18,2018,,,1,5,"The user visual attention has been playing an imperative role in visual Quality of Experience (QoE) modeling. In recent years, researchers have developed numerous visual attention models for images and videos. However, existing studies on visual attention generally perform on spatial domain (i.e. pictures) without consideration on time-variant user attention. Besides, the user attention on immersive video playback has not been well investigated in Virtual Reality (VR) environment. In this paper, we design subjective experiments to acquire the user attention during 360-degree video playback, in order to characterize the visual attention changes on time axis. We compare and model the temporal attentions in two scenarios: 360-degree video and conventional 2D video display. It is observed in video display, the user attention needs a short period (~ 30 seconds) to concentrate to a relatively stable level. Within this period, the user attention to 360-degree video is significantly lower than that to traditional 2D videos, which shows that the users are relatively difficult to adapt to VR display. Therefore, short videos less than 30 seconds, especially short 360-degree videos, are not preferable in subjective video quality assessment, although they have been tested in some scenarios. We hope this conclusion would conduce to QoE modeling during video display of VR environment.",,978-1-5386-5838-3,10.1109/HAVE.2018.8547419,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8547419,Virtual Reality (VR);360-degree video;visual attention;Quality of Experience (QoE);visual quality,Visualization;Two dimensional displays;Quality of experience;Resists;Solid modeling;Video recording;Quality assessment,data visualisation;quality of experience;video cameras;video signal processing;video streaming;virtual reality,time-variant visual attention;360-degree video playback;user visual attention;time-variant user attention;immersive video playback;visual attention changes;temporal attentions;video display;short videos;subjective video quality assessment;visual quality;visual attention models;quality of experience modeling;VR environment;QoE modeling;virtual reality environment,,1,,17,,29-Nov-18,,,IEEE,IEEE Conferences
Virtual reality for post-stroke shoulder-arm motor rehabilitation: Training system & assessment method,Shih-Ching Yeh; Si-Huei Lee; Jia-Chi Wang; Shuya Chen; Yu-Tsung Chen; Yi-Yung Yang; Huang-Ren Chen; Yen-Po Hung,"Department of Computer Science and Information Engineering National Central University, China; Taipei Veterans General Hospital, Taiwan; Taipei Veterans General Hospital, Taiwan; Department of Physical Therapy, China Medical University, China; Department of Computer Science and Information Engineering National Central University, China; Taipei Veterans General Hospital, Taiwan; Department of Computer Science and Information Engineering National Central University, China; Department of Computer Science and Information Engineering National Central University, China","2012 IEEE 14th International Conference on e-Health Networking, Applications and Services (Healthcom)",13-Dec-12,2012,,,190,195,"Stroke is one of the major diseases around the world. The brain injury caused by stroke will derive sustaining neurological disorder of different forms, which in turn will lead to all kinds of limb and body exercise hindrance and will cause significant challenge to the life of the patient, that is, the quality of life of the patient is going to be strictly affected. Along with the development and popularity of technology, scholars in the medical care and rehabilitation fields are trying to integrate all kinds of new technologies to perform the development of new rehabilitation training system. This research aims at rehabilitation items of upper limbs, which include the reciprocating stretching of upper limb, reaching of the upper arm, bi-lateral coordination and balance of the body. In association with interactive technology, game technology, sensor technology and stereo image technology, virtual reality physical-based training task is developed, and initial pilot test is done on patient with stroke, meanwhile, multi-dimensional experimental results are acquired, which include clinical test assessment, task performance, historical data of exercise track and psychological emotional data. The research objectives are to verify the functionality of the system, to verify the effectiveness of the system on rehabilitation, to develop new assessment method and to investigate topics related to human machine interaction. The experimental results have verified the functionality of this rehabilitation training task in all aspects. Through the exercise analysis of the historical data of exercise track and the statistical analysis of task performance of the past therapy sessions, this system can acquire successfully reliable and valuable information to be used for future verification of medical therapeutic effectiveness and the development of new type of clinical assessment method. In the mean time, according to the measured psychological emotional data as perceived subjectively, this system indeed can urge the patient to engage continuously rehabilitation therapeutic session that is based on this training system and enjoy it, besides, the authors are very confident on the possibly generated rehabilitation effect of these two training tasks.",,978-1-4577-2040-6,10.1109/HealthCom.2012.6379398,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6379398,,Training;Games;Virtual reality;Psychology;Solid modeling;Extremities;Medical treatment,computer games;diseases;medical disorders;medical image processing;patient rehabilitation;stereo image processing;virtual reality,post-stroke shoulder-arm motor rehabilitation;brain injury;neurological disorder;quality of life;medical care;rehabilitation training system;interactive technology;game technology;sensor technology;stereo image technology;virtual reality physical-based training task;human machine interaction;clinical assessment method,,2,,14,,13-Dec-12,,,IEEE,IEEE Conferences
Training Simulations for Crime Risk Assessment,M. Kavakli,"Leader, Interactive Systems and Virtual Reality Research Group, Department of Computing, Macquarie University, Sydney, Australia, NSW 2109. phone: 61 2 9850 9572; fax: 61 2 9850 9551; e-mail: manolya@ics.mq.edu.au",2006 7th International Conference on Information Technology Based Higher Education and Training,2-Apr-07,2006,,,203,210,"The purpose of this paper is to review training simulations for crime risk assessment and to discuss the system architecture of a training simulation (RiskMan). Computer aided training systems offer a flexible and cost-effective method for learning new skills. The satisfactory management of risk situations involves risk identification, the development of risk handling strategies and plans and the conduct and monitoring of those plans. Recognising the importance of tacit knowledge, scenario-based training has gained importance in recent years. For example, USA General Accounting Office (GAO) released a report on Homeland security titled Risk Management approach can guide preparedness efforts. This report provides a list of risk assessment measurements for contingency plan development and a matrix for risk-based scenario development. In this paper, integrating traditional scenario-based training with desktop VR systems using game engineering, we investigate how a virtual reality training system, which draws on research in the areas of computer games, knowledge acquisition, agent technology and natural language processing, can provide a safe learning experience to assist acquisition of the necessary tacit knowledge. The aim of RiskMan is to train police officers to handle high-risk situations. RiskMan is an ARC Discovery project carried out by the Department of Computing in Macquarie University. RiskMan has been developed using a very-high level scripting language of a game engine, Unreal Tournament 2004. It is composed of modules such as a Scenario-based Expert System, a Narrative Engine, a Game Engine, and a CAD package. RiskMan uses socket connections to feed information between the Narrative Engine and Sim Master to Unreal Tournament Game Engine (UT2004)",,1-4244-0405-3,10.1109/ITHET.2006.339765,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4141628,Games;Training;Simulation;Risk Analysis,Risk management;Management training;Engines;Computational modeling;Virtual reality;Computerized monitoring;Terrorism;Knowledge engineering;Systems engineering and theory;Knowledge acquisition,computer based training;computer games;expert systems;knowledge acquisition;natural language processing;police;risk analysis;software agents;virtual reality,training simulation;crime risk assessment;RiskMan;computer aided training system;skills learning;risk identification;risk handling;scenario-based training;contingency plan development;game engineering;virtual reality training system;computer games;knowledge acquisition;agent technology;natural language processing;police officer training;scenario-based expert system;narrative engine;risk analysis,,4,,30,,2-Apr-07,,,IEEE,IEEE Conferences
Integration between virtual-reality and video-based systems to deliver cognitive tele-rehabilitation; three case studies,S. Harel; R. Kizony; H. Kfir; Y. Feldman; M. Shani,"Gertner Institute for Epidemiology and Health Policy Research,Tel Hashomer,Israel; Sheba Medical Center,Center of Advanced Technologies in Rehabilitation,Israel; Sheba Medical Center,Telerehabilitation,Tel Hashomer,Israel; Gertner Institute for Epidemiology and Health Policy Research,Tel Hashomer,Israel; Gertner Institute for Epidemiology and Health Policy Research,Tel Hashomer,Israel",2019 International Conference on Virtual Rehabilitation (ICVR),13-Feb-20,2019,,,1,2,"The purpose of this paper is to describe implementation of VR-based and video-based cognitive telerehabilitation, as a part of a large clinical telerehabilitation service. Three clients in the chronic phase after an Acquired Brain Injury received cognitive tele-rehabilitation with a 3D sensor-based platform (VR-based system) and a video-based system. The therapy was provided on-line, once or twice a week. Each client set at least two functional goals using the Canadian Occupational Performance Measure. Improvement of at least one goal was seen in all clients. It seems that the use of the VR-based system together with the video-based system is feasible and may enhance adherence to treatment and generalization to daily activities.",2331-9569,978-1-7281-1285-5,10.1109/ICVR46560.2019.8994638,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8994638,cognitive strategies;telerehabilitation;metacognitive;acquired brain injury,,brain;cognition;injuries;medical computing;neurophysiology;patient rehabilitation;patient treatment;telemedicine;virtual reality,Canadian Occupational Performance Measure;VR-based cognitive telerehabilitation;video-based cognitive telerehabilitation;video-based system;VR-based system;3D sensor-based platform;acquired brain injury;clinical telerehabilitation service;virtual-reality,,,,7,,13-Feb-20,,,IEEE,IEEE Conferences
Development of a haptic bilateral interface for arm self-rehabilitation,C. Morito; T. Shimono; N. Motoi; Y. Fujimoto; T. Tsuji; Y. Hasegawa; K. Abe; Y. Sakurai; S. Ishii,"Department of Electrical and Computer Engineering, Yokohama National University, 79-5 Tokiwadai, Hodogaya, 240-8501, JAPAN; Department of Electrical and Computer Engineering, Yokohama National University, 79-5 Tokiwadai, Hodogaya, 240-8501, JAPAN; Department of Electrical and Computer Engineering, Yokohama National University, 79-5 Tokiwadai, Hodogaya, 240-8501, JAPAN; Department of Electrical and Computer Engineering, Yokohama National University, 79-5 Tokiwadai, Hodogaya, 240-8501, JAPAN; Graduate School of Science and Engineering, Saitama University, 255 Shimo-ohkubo, Sakura, 338-8520, JAPAN; Rehabilitation Unit, Ushioda General Hospital, 1-6-20 Yakou, Tsurumi, Yokohama, 230-0001, JAPAN; Rehabilitation Unit, Ushioda General Hospital, 1-6-20 Yakou, Tsurumi, Yokohama, 230-0001, JAPAN; Faculty of Health and Social Work, Kanagawa University of Human Services, 1-10-1 Heisei, Yokosuka, 238-0013, JAPAN; Faculty of Health and Social Work, Kanagawa University of Human Services, 1-10-1 Heisei, Yokosuka, 238-0013, JAPAN",2013 IEEE/ASME International Conference on Advanced Intelligent Mechatronics,22-Aug-13,2013,,,804,809,"This paper presents a newly-developed haptic interface for arm self-rehabilitation based on bilateral control. The purpose of this research is the improvement of the physical function of patients' arm with hemiplegia. In order to acquire enough motion range for the rehabilitation, the X-Y tables with two degrees-of-freedom are utilized as the haptic system. The developed interface realizes the rehabilitation environment on the basis of the integration of the bilateral control system for haptic transmission between arms and the virtual reality for visual guidance. This integration can provide the self-rehabilitation suitable for the patients with hemiplegia. In this paper, the results of bilateral control in the presented haptic system and the results of basic evaluation for the physicality of the human arm in the reaching task are presented. From these experimental results, the utility of the developed interface is verified.",2159-6255,978-1-4673-5320-5,10.1109/AIM.2013.6584192,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6584192,,Force;Haptic interfaces;Virtual reality;Trajectory;Acceleration;Visualization,haptic interfaces;motion control;patient rehabilitation;virtual reality,haptic bilateral interface development;arm self rehabilitation;patient arm physical function;hemiplegia;degree of freedom;haptic system;bilateral control system integration;haptic transmission;virtual reality;visual guidance,,13,,14,,22-Aug-13,,,IEEE,IEEE Conferences
