Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An innovative ADHD assessment system using virtual reality,S. Yeh; C. Tsai; Y. Fan; P. Liu; A. Rizzo,"Department of Computer Science & Information Engineering, National Central University, Taiwan; Department of Psychiatry, Neurological Institute, Veterans General Hospital, Taiwan; Department of Computer Science & Information Engineering, National Central University, Taiwan; Department of Computer Science & Information Engineering, National Central University, Taiwan; Institute for Creative Technologies, University of Southern California, USA",2012 IEEE-EMBS Conference on Biomedical Engineering and Sciences,15-Apr-13,2012,,,78,83,"Attention Deficit Hyperactivity Disorder (ADHD) has a prevalence of about 5% and may cause inferiority complex, personality disorders, interpersonal impediment, and even anti-social behaviors in affected children if not treated early. In the past, the diagnosis of ADHD patients mainly depended on paper tests or behavior scales. However, such tests are usually time-consuming and their application suffers from constraints of external conditions in terms of test content and test type. Through the application of VR technology including head mounted display(HMD), game technology and sensors, this study develops and constructs an interactive panoramic virtual classroom scenario in which a blackboard embedded with listening test, CPT test, executive test, and visual memory test specially designed for attention and executive functions is incorporated; moreover, this study also develops a new assessment & diagnosis system based on children's performance, behavior & reaction in the above-mentioned four tests through an enormous and systematic design of a battery of visual & auditory distractions of different intensity levels, durations, and sequence. The system developed in this study is used to carry out a pilot trial on healthy volunteers and its functionalities are confirmed by the test results.",,978-1-4673-1666-8,10.1109/IECBES.2012.6498026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6498026,ADHD;virtual reality;executive function;memory,,computer aided instruction;handicapped aids;helmet mounted displays;medical computing;medical disorders;virtual reality,innovative ADHD assessment system;virtual reality;attention deficit hyperactivity disorder;inferiority complex;personality disorder;interpersonal impediment;antisocial behavior;VR technology;head mounted display;HMD;game technology;sensor;interactive panoramic virtual classroom;listening test;CPT test;executive test;visual memory test;diagnosis system;children performance;visual distraction;auditory distraction;intensity level,,8,,10,,15-Apr-13,,,IEEE,IEEE Conferences
Spatial Memory Rehabilitation in Virtual Reality – Extending findings from Epilepsy Patients to the General Population,S. Maidenbaum; A. Patel; E. Stein; J. Jacobs,"Columbia University,Biomedical Engineering,NY,USA; Columbia University,Biomedical Engineering,NY,USA; Columbia University,Biomedical Engineering,NY,USA; Columbia University,Biomedical Engineering,NY,USA",2019 International Conference on Virtual Rehabilitation (ICVR),13-Feb-20,2019,,,1,7,"Spatial memory is a critical function. Without it, we cannot understand our environment, situate ourselves within it, or remember where items are located. Most research on the neural basis of spatial memory is conducted either with invasive brain recordings from animals or with non-invasive imaging in humans. An emerging way to link these areas is by studying rare invasive recordings from the human brain, which can be obtained from epilepsy patients who have electrodes surgically implanted for seizure mapping. In recent years this invasive method has expanded our understanding of how the human brain represents space and has also suggested methods for modulating and potentially rehabilitating memory. However, it is unclear whether these results from epilepsy patients generalize to the non-epileptic population, and from testing in hospital rooms to more immersive and comfortable setups. Here, groups of epilepsy patients (n=69) and healthy participants (n=17) performed the same virtual spatial memory task, enabling us to compare their spatial memory performance. Moreover, we compared spatial memory performance between a standard computer screen versus a head-mounted display. We found that the spatial memory performance of epilepsy patients performing our task in a hospital was similar to that of matched healthy participants performing the task in the lab. Furthermore, actual spatial memory performance was similar on the group level irrespective of the interface used, despite the fact that subjects reported higher immersion with the head mounted display. By showing consistent spatial memory performance with a single paradigm across epilepsy patients and healthy participants, as well as with the use of different display modalities, our results provide a baseline for evaluating findings regarding the neural basis of spatial memory and neuromodulation for rehabilitation. More broadly, these results demonstrate that findings from neurosurgical patients are comparable to the wider population.",2331-9569,978-1-7281-1285-5,10.1109/ICVR46560.2019.8994573,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8994573,Spatial memory;Memory Rehabilitation;Epilepsy;Virtual Reality;Immersive,Task analysis;Epilepsy;Sociology;Statistics;Electrodes;Hospitals;Standards,brain;electroencephalography;medical disorders;medical signal processing;neurophysiology;virtual reality,human brain;epilepsy patients;modulating memory;virtual spatial memory task;actual spatial memory performance;spatial memory performance;spatial memory rehabilitation;invasive brain recordings;noninvasive imaging,,,,43,,13-Feb-20,,,IEEE,IEEE Conferences
An innovative virtual reality system for mild cognitive impairment: Diagnosis and evaluation,S. Yeh; Y. Chen; C. Tsai; A. Rizzo,"Computer Science and Information Engineering Dept., National Central University, Taiwan; Computer Science and Information Engineering Dept., National Central University, Taiwan; Taipei Veterans General Hospital, Taiwan; Institute for Creative Technologies, University of Southern California, USA",2012 IEEE-EMBS Conference on Biomedical Engineering and Sciences,15-Apr-13,2012,,,23,27,"In advanced countries throughout the world, the population of Alzheimer's Disease(AD) patients has been gradually increasing with the aging of the society. As a result, it has become an important research topic how to diagnose AD early and give necessary treatment and training to AD patients, especially those with mild cognitive impairment(MCI), whose executive functions such as response inhibition, cognitive flexibility, attention switching and planning may display evident disorder and impairment. Unlike traditional paper tests and subjective assessments by the patient's relatives, this study adopts virtual reality(VR) technology to develop a novel diagnosis & assessment system, which uses head mounted display(HMD), game technology and sensors to generate an interactive and panoramic scenario-a virtual convenience store-for assessment of executive functions and memory. A variety of tasks of multi-layered difficulty-level hierarchy, such as memorizing a shopping list, looking for certain goods, and checking out, has been designed for customized and adaptive assessment, training, and treatment of MD. In the meantime, the study also records test-takers' performance data (including path and central-vision movement) in the process of all tasks for the development of a novel diagnosis & assessment method. Moreover, test-takers' technology acceptance is measured for assessing the elderly's subjective perception of new technology and discussing the topic of human-machine interaction. In the study, tests on 2 healthy adults have been completed, the system's functionality has been preliminarily verified, and test-takers' subjective perception of the system has been investigated.",,978-1-4673-1666-8,10.1109/IECBES.2012.6498023,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6498023,virtual realit;mild cognitive impairment;Alzheimer's Disease;executive function,,computer games;diseases;helmet mounted displays;patient diagnosis;patient treatment;sensors;virtual reality,innovative virtual reality system;mild cognitive impairment;Alzheimer disease patient;AD diagnosis;AD patient treatment;AD patient training;MCI;response inhibition;cognitive flexibility;attention switching;planning;VR;head mounted display;HMD;game technology;sensors;virtual convenience store;multilayered difficulty-level hierarchy;test-taker performance data;path movement;central-vision movement;test-taker technology acceptance;elderly subjective perception;human-machine interaction;system functionality;test-taker subjective perception,,7,,7,,15-Apr-13,,,IEEE,IEEE Conferences
Genesys: A Virtual Reality scene builder,J. D. O. De Leon; R. P. Tavas; R. A. Aranzanso; R. O. Atienza,"Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines; Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines; Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines; Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines",2016 IEEE Region 10 Conference (TENCON),9-Feb-17,2016,,,3708,3711,"Virtual Reality (VR) is a computer technology which simulates real world environments and a user's interactions within it. Current trends in VR, however, are focused on the gaming industry with limited work on VR creation tools. Thus, we propose a VR application that allows users to create 3-dimensional scenes in virtual reality named Genesys. Scenes created are viewed with the use of VR head mounted displays which provide the user with a more immersive work environment compared to traditional 2D monitors. Interactions within this workspace are done through motion controllers that allow users to manipulate with objects and spawn more from an online repository. Scenes created can be shared to the Genesys community of artists, creators and users through an online website. This feature widens the project's applications in education, business, and entertainment as a world builder and presentation tool. To measure the effectiveness of the application, a scene composition test was conducted at the end of the experiment. The results showed that Genesys is generally easy to use for people with limited experience in VR. However, improvements can still be made on the object manipulation controls such as rotation and scaling.",2159-3450,978-1-5090-2597-8,10.1109/TENCON.2016.7848751,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7848751,,Virtual reality;Games;Three-dimensional displays;Engines;Industries;Google;Software,helmet mounted displays;human computer interaction;user interfaces;virtual reality,Genesys;virtual reality scene builder;computer technology;VR creation tools;user interactions;gaming industry;three-dimensional scenes;VR head mounted displays;immersive work environment;motion controllers;online Web site;scene composition test;object manipulation controls,,1,,17,,9-Feb-17,,,IEEE,IEEE Conferences
Continuous automatic calibration for optical see-through displays,K. R. Moser; Y. Itoh; J. E. Swan,Mississippi State University; Technical University of Munich; Mississippi State University,2015 IEEE Virtual Reality (VR),27-Aug-15,2015,,,241,242,"The current advent of consumer level optical see-through (OST) head-mounted displays (HMD's) has greatly broadened the accessibility of Augmented Reality (AR) to not only researchers but also the general public as well. This increased user base heightens the need for robust automatic calibration mechanisms suited for nontechnical users. We are developing a fully automated calibration system for two stereo OST HMD's, a consumer level and prototype model, based on the recently introduced interaction free display calibration (INDICA) method. Our current efforts are also focused on the development of an evaluation process to assess the performance of the system during use by non-expert subjects.",2375-5334,978-1-4799-1727-3,10.1109/VR.2015.7223385,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223385,Calibration;OST HMD;Augmented Reality,Calibration;Cameras;Hardware;Augmented reality;Robustness;Prototypes;Head,augmented reality;helmet mounted displays,continuous automatic calibration system;consumer level optical see-through head-mounted displays;augmented reality;robust automatic calibration mechanisms;interaction free display calibration method;INDICA method,,1,,6,,27-Aug-15,,,IEEE,IEEE Conferences
Evaluating Multiple Levels of an Interaction Fidelity Continuum on Performance and Learning in Near-Field Training Simulations,A. Bhargava; J. W. Bertrand; A. K. Gramopadhye; K. C. Madathil; S. V. Babu,Clemson University; Clemson University; Clemson University; Clemson University; Clemson University,IEEE Transactions on Visualization and Computer Graphics,13-Mar-18,2018,24,4,1418,1427,"With costs of head-mounted displays (HMDs) and tracking technology decreasing rapidly, various virtual reality applications are being widely adopted for education and training. Hardware advancements have enabled replication of real-world interactions in virtual environments to a large extent, paving the way for commercial grade applications that provide a safe and risk-free training environment at a fraction of the cost. But this also mandates the need to develop more intrinsic interaction techniques and to empirically evaluate them in a more comprehensive manner. Although there exists a body of previous research that examines the benefits of selected levels of interaction fidelity on performance, few studies have investigated the constituent components of fidelity in a Interaction Fidelity Continuum (IFC) with several system instances and their respective effects on performance and learning in the context of a real-world skills training application. Our work describes a large between-subjects investigation conducted over several years that utilizes bimanual interaction metaphors at six discrete levels of interaction fidelity to teach basic precision metrology concepts in a near-field spatial interaction task in VR. A combined analysis performed on the data compares and contrasts the six different conditions and their overall effects on performance and learning outcomes, eliciting patterns in the results between the discrete application points on the IFC. With respect to some performance variables, results indicate that simpler restrictive interaction metaphors and highest fidelity metaphors perform better than medium fidelity interaction metaphors. In light of these results, a set of general guidelines are created for developers of spatial interaction metaphors in immersive virtual environments for precise fine-motor skills training simulations.",1941-0506,,10.1109/TVCG.2018.2794639,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8260967,Bimanual Interaction;Interaction Fidelity;Empirical Evaluation;Educational Virtual Reality,Training;Aerospace electronics;Solid modeling;Metrology;Mice;Virtual environments,computer based training;helmet mounted displays;virtual reality,Interaction Fidelity Continuum;near-field training simulations;virtual reality applications;education;real-world interactions;safe risk-free training environment;intrinsic interaction techniques;near-field spatial interaction task;learning outcomes;discrete application points;performance variables;medium fidelity interaction metaphors;spatial interaction metaphors;immersive virtual environments;fine-motor skills training simulations;bimanual interaction metaphors;restrictive interaction metaphors;head-mounted displays;tracking technology,Adolescent;Adult;Cognition;Female;High Fidelity Simulation Training;Humans;Male;Surveys and Questionnaires;Task Performance and Analysis;User-Computer Interface;Virtual Reality;Young Adult,1,,33,Traditional,17-Jan-18,,,IEEE,IEEE Journals
A novel menu interaction method using head-mounted display for smartphone-based virtual reality,C. Sheng; L. Jiang; B. Tang; X. Tang,"College of Electronic Science and Engineering, NUDT, Changsha 410073, China; College of Electronic Science and Engineering, NUDT, Changsha 410073, China; College of Electronic Science and Engineering, NUDT, Changsha 410073, China; College of Electronic Science and Engineering, NUDT, Changsha 410073, China",2017 Progress In Electromagnetics Research Symposium - Spring (PIERS),18-Jan-18,2017,,,2384,2388,"The menu interaction design method for smartphone-based VR is currently one of the most popular research domains. The existing menu interaction method can be generally divided into two categories: the interaction devices based method and ray selection based method. However, both of them have some inevitable defects, which lead to bad user experience. In this paper, a novel interaction method is proposed, combining the advantages of the ray selection technology and HMD technology. And a smartphone-based VR application demonstration named “Target Arena” is developed. In addition, the user experience is evaluated by conducting a survey on several aspects of the demonstration system such as portability, controllability, comfort degree, and overall user experience. Experimental results show that the menu interaction method proposed in the paper performs better than other existing methods.",,978-1-5090-6269-0,10.1109/PIERS.2017.8262151,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8262151,,Resists;Games;Virtual environments;Head;Smart phones;Electromagnetics;Springs,helmet mounted displays;interactive devices;smart phones;user interfaces;virtual reality,head-mounted display;smartphone-based virtual reality;menu interaction design method;existing menu interaction method;interaction devices;ray selection based method;ray selection technology;smartphone-based VR application demonstration,,,,4,,18-Jan-18,,,IEEE,IEEE Conferences
Brain Activity in Virtual Reality: Assessing Signal Quality of High-Resolution EEG While Using Head-Mounted Displays,S. Hertweck; D. Weber; H. Alwanni; F. Unruh; M. Fischbach; M. E. Latoschik; T. Ball,"Translational Neurotechnology Lab, University Medical Center Freiburg; Translational Neurotechnology Lab, University Medical Center Freiburg; Translational Neurotechnology Lab, University Medical Center Freiburg; Human-Computer Interaction Lab, University of Wuerzburg; Human-Computer Interaction Lab, University of Wuerzburg; Human-Computer Interaction Lab, University of Wuerzburg; Translational Neurotechnology Lab, University Medical Center Freiburg",2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),15-Aug-19,2019,,,970,971,"Biometric measures such as the electroencephalogram (EEG) promise to become viable alternatives to subjective questionnaire ratings for the evaluation of psychophysical effects associated with Virtual Reality (VR) systems, as they provide objective and continuous measurements without breaking the exposure. The extent to which the EEG signal can be disturbed by the presence of VR systems, however, has been barely investigated. This study outlines how to evaluate the compatibility of a given EEG-VR setup on the example of two commercial head-mounted displays (HMDs), the Oculus Rift and the HTC Vive Pro. We use a novel experimental protocol to compare the spectral composition between conditions with and without an HMD present during an eyes-open vs. eyes-closed task. We found general artifacts at the line hum of 50 Hz, and additional HMD refresh rate artifacts (90 Hz) for the Oculus rift exclusively. Frequency components typically most interesting to non-invasive EEG research and applications , however, remained largely unaffected. We observed similar topographies of visually-induced modulation of alpha band power for both HMD conditions in all subjects. Hence, the study introduces a necessary validation test for HMDs in combination with EEG and further promotes EEG as a potential biometric measurement method for psychophysical effects in VR systems.",2642-5254,978-1-7281-1377-7,10.1109/VR.2019.8798369,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8798369,,Electroencephalography;Frequency measurement;Resists;Electrodes;Virtual reality;Task analysis;Physiology,electroencephalography;helmet mounted displays;medical signal processing;neurophysiology;virtual reality,signal quality;addHMD refresh rate artifacts;biometric measurement method;EEG-VR setup;head-mounted displays;HTC Vive Pro;Oculus Rift;EEG signal;Virtual Reality systems;electroencephalogram;high-resolution EEG;brain activity;spectral composition;frequency 50.0 Hz;frequency 90.0 Hz,,1,,9,,15-Aug-19,,,IEEE,IEEE Conferences
BlenderVR: Open-source framework for interactive and immersive VR,B. F. G. Katz; D. Q. Felinto; D. Touraine; D. Poirier-Quinot; P. Bourdot,"LIMSI-CNRS, Campus Universitaire d'Orsay, Orsay, France; LIMSI-CNRS, Campus Universitaire d'Orsay, Orsay, France; LIMSI-CNRS, Campus Universitaire d'Orsay, Orsay, France; LIMSI-CNRS, Campus Universitaire d'Orsay, Orsay, France; LIMSI-CNRS, Campus Universitaire d'Orsay, Orsay, France",2015 IEEE Virtual Reality (VR),27-Aug-15,2015,,,203,204,"BlenderVR is an open-source project framework for interactive and immersive applications based on an extension of the Blender Game Engine to Virtual Reality applications. BlenderVR is a generalization of the BlenderCAVE project, accounting for alternate platforms (e.g., HMD, video-walls). The goal is to provide a flexible and easy to use framework for the creation of VR applications for various platforms, making use of the existing power of the BGE's graphics rendering and physics engine. Compatible with 3 major Operating Systems, BlenderVR has been developed by VR researchers with support from the Blender Community. BlenderVR currently handles multi-screen/multi-user tracked stereoscopic rendering through efficient low-level master/slave synchronization process with multimodal interactions via OSC and VRPN protocols.",2375-5334,978-1-4799-1727-3,10.1109/VR.2015.7223366,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223366,"H.5.1 [Multimedia Information Systems]: Artificial, augmented, and virtual realities;I.3.2 [Graphics Systems]: Distributed/network graphics",Rendering (computer graphics);Synchronization;Virtual reality;Engines;Games;Navigation,protocols;public domain software;rendering (computer graphics);synchronisation;virtual reality,BlenderVR;virtual reality;open-source framework;interactive application;immersive application;Blender game engine;graphics rendering;physics engine;synchronization process;OSC protocol;VRPN protocol,,5,,8,,27-Aug-15,,,IEEE,IEEE Conferences
Estimating the motion-to-photon latency in head mounted displays,J. Zhao; R. S. Allison; M. Vinnikov; S. Jennings,"Department of Electrical Engineering and Computer Science, York University, Canada; Department of Electrical Engineering and Computer Science, York University, Canada; Flight Research Laboratory, National Research Council, Canada; Flight Research Laboratory, National Research Council, Canada",2017 IEEE Virtual Reality (VR),6-Apr-17,2017,,,313,314,"We present a method for estimating the Motion-to-Photon (End-to-End) latency of head mounted displays (HMDs). The specific HMD evaluated in our study was the Oculus Rift DK2, but the procedure is general. We mounted the HMD on a pendulum to introduce damped sinusoidal motion to the HMD during the pendulum swing. The latency was estimated by calculating the phase shift between the captured signals of the physical motion of the HMD and a motion-dependent gradient stimulus rendered on the display. We used the proposed method to estimate both rotational and translational Motion-to-Photon latencies of the Oculus Rift DK2.",2375-5334,978-1-5090-6647-6,10.1109/VR.2017.7892302,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892302,Motion-to-Photon Latency;End-to-End Latency;Head-Mounted Displays,Resists;Potentiometers;Photodiodes;Virtual reality;Cameras;Estimation;Frequency-domain analysis,helmet mounted displays;human computer interaction;virtual reality,head mounted displays;HMD;Oculus Rift DK2;pendulum;damped sinusoidal motion;phase shift;motion-dependent gradient stimulus;translational motion-to-photon latencies;rotational motion-to-photon latencies;virtual reality,,18,,6,,6-Apr-17,,,IEEE,IEEE Conferences
