"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating simulator-based training of skill-based control behavior using multimodal operator models","D. M. Pool; G. A. Harder; H. J. Damveld; M. M. van Paassen; M. Mulder","Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","4 Dec 2014","2014","","","3132","3137","This paper describes a novel method for analyzing the training effectiveness for skill-based manual control tasks based on multimodal human operator models. For skill-based tracking tasks, it is known that the adopted human operator dynamics can be modeled accurately with multimodal human operator models. In this paper, estimated human operator model parameters are used to explicitly quantify the changes that occur in the operator's use of visual and motion feedback during skill-acquisition and transfer. A quasi-transfer-of-training experiment is described, in which inexperienced participants were trained to perform an aircraft pitch attitude tracking task, either in a fixed-base or in moving-base simulator environment. After the training phase, the participants were transferred to the other simulator setting, to reveal possible transfer effects. Preliminary results from one participant in each experiment group indicate that the fitted models are successful in revealing the changes that occur in the multimodal manual control characteristics of the participants, and show that convergence to a final skill-based control strategy requires significant training. Furthermore, the presented results suggest that there might be limited direct transfer from training in a fixed-base environment to a moving-base environment.","1062-922X","978-1-4799-3840-7","10.1109/SMC.2014.6974409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974409","","Training;Visualization;Tracking;Dynamics;Human factors;Delays;Atmospheric measurements","aerospace computing;aircraft control;attitude control;computer based training;control engineering computing;digital simulation","simulator-based training;skill-based manual control behavior;multimodal human operator models;skill-based tracking tasks;human operator dynamics;visual feedback;motion feedback;skill-acquisition;quasitransfer-of-training experiment;aircraft pitch attitude tracking task;fixed-base simulator environment;moving-base simulator environment","","2","","13","","4 Dec 2014","","","IEEE","IEEE Conferences"
"A new two-dimensional squint mode SAR processor","G. Franceschetti; R. Lanari; E. S. Marzouk","IRECE-CNR Via Diocleziano, 328-80124 Napoli,Italy; IRECE-CNR Via Diocleziano, 328-80124 Napoli,Italy; Dipartimento di Ingegneria Elettronica, Universita di Napoli Via Claudio, 21-80125 Napoli, Italy","IEEE Transactions on Aerospace and Electronic Systems","6 Aug 2002","1996","32","2","854","863","This paper extends the processing capability of the wide angle synthetic aperture radar (WASAR) algorithm (1992) to synthetic aperture radar (SAR) data acquired with the radar beam directed with an offset angle (squint angle) from the zero Doppler direction. The key point of this work is the analytical evaluation of the system transfer function for the squinted geometry via the stationary phase method. The range dependence of this new transfer function is compensated in two steps: a phase multiplication and a modified version of the basic fractional Fourier transform (FT). The performance of the extended algorithm is demonstrated by experiments with real and simulated data.","1557-9603","","10.1109/7.489529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=489529","","Synthetic aperture radar;Transfer functions;Signal processing;Frequency domain analysis;Filters;Chirp;Fourier transforms;Radar antennas;Data processing;Doppler radar","compensation;digital simulation;Doppler radar;fast Fourier transforms;frequency-domain analysis;radar imaging;radar signal processing;radar theory;synthetic aperture radar;transfer functions","simulated data;performance;extended algorithm;fractional Fourier transform;modified version;phase multiplication;transfer function;range dependence;stationary phase method;system transfer function;analytical evaluation;zero Doppler direction;offset angle;radar beam;z-chirp transform;synthetic aperture radar;WASAR;wide angle synthetic aperture radar;processing capability;two-dimensional squint mode SAR processor","","25","","27","","6 Aug 2002","","","IEEE","IEEE Journals"
"Construction of a Web-based virtual classroom and its effective analysis","Qingtang Liu; Chengling Zhao; Zongkai Yang","Central China Normal Univ., Wuhan, China; Central China Normal Univ., Wuhan, China; NA","33rd Annual Frontiers in Education, 2003. FIE 2003.","19 Feb 2004","2003","2","","F3F","F37 Vol.2","In classroom, information between teachers and students includes course content and learning scene. Course content is mainly information, and learning scene is assisted information that can effectively prompt learners exchanging idea and acquiring knowledge. A based-Web virtual classroom should have the same features. Because of the limitation of bandwidth and QoS of network, it is very difficult to transfer teaching and learning information by video in Internet. The paper probes into a strategy of developing virtual classroom by the streaming media technologies. By contrast with two kinds of information, the Web-based virtual classroom we built includes two parts: real time teaching environment (RTTE) and collaborating learning environment (CLE). RTTE transports course content and feedback information into teachers or students. This paper firstly discusses the strategies of creating a virtual classroom for the remote learners. Secondly, it designs the architecture of a virtual classroom.","0190-5848","0-7803-7961-6","10.1109/FIE.2003.1264745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264745","","Education;Streaming media;Broadcasting;Layout;Sampling methods;Courseware;Collaboration;Buildings;Network servers;Web server","Internet;teaching;computer aided instruction;distance learning;real-time systems;interactive video;virtual reality;educational courses","Web-based virtual classroom;course content;learning scene;teaching;Internet;QoS;real-time teaching environment;collaborating learning environment;quality of service;interactive learning","","1","","2","","19 Feb 2004","","","IEEE","IEEE Conferences"
"Animations of Medical Training Scenarios in Immersive Virtual Environments","I. V. Alexandrova; M. Rall; M. Breidt; U. Kloos; G. Tullius; H. H. Bulthoff; B. J. Mohler","Max Planck Inst. for Biol. Cybern., Tubingen, Germany; Med. Sch., Center for Patient Safety & Simulation, Univ. of Tubingen, Tubingen, Germany; Max Planck Inst. for Biol. Cybern., Tubingen, Germany; Reutlingen Univ., Germany; Reutlingen Univ., Germany; Max Planck Inst. for Biol. Cybern., Tubingen, Germany; Max Planck Inst. for Biol. Cybern., Tubingen, Germany","2011 Workshop on Digital Media and Digital Content Management","21 Jul 2011","2011","","","9","12","Medical training centers often provide various simulations for students and professionals. Their goal is not only to make trainees practice specific scenarios but also to help them effectively transfer the acquired skills to the real world. Having in mind that virtual environments have already been acknowledged for their potential to improve the medical training process, we propose an approach for rapid generation of animated medical scenarios, which can be used as an additional training tool that fits into the time frame of a semester training program.","","978-1-4577-0271-6","10.1109/DMDCM.2011.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959667","medical simulation;virtual humans;motion capture","Training;Animation;Solid modeling;Cameras;Medical services;Synchronization;Pipelines","computer animation;computer based training;medical administrative data processing;virtual reality","medical training scenario;immersive virtual environments;animated medical scenarios;semester training program","","3","","8","","21 Jul 2011","","","IEEE","IEEE Conferences"
"Using of social networks in educational process","N. Kalinenko; V. Krasnopolsky; V. Kukharenko; A. Serebryakov","Volodymyr Dahl East Ukrainian National University, Molodizhnyi kvartal, 20-a, Luhansk, 91034, Ukraine; Volodymyr Dahl East Ukrainian National University, Molodizhnyi kvartal, 20-a, Luhansk, 91034, Ukraine; National Technical University “Kharkiv Polytechnic Institute”, 21, Frunze Street, 61002, Ukraine; Volodymyr Dahl East Ukrainian National University, Molodizhnyi kvartal, 20-a, Luhansk, 91034, Ukraine","2013 IEEE 7th International Conference on Intelligent Data Acquisition and Advanced Computing Systems (IDAACS)","14 Nov 2013","2013","02","","781","784","The learning process can now be described as targeted joint activities of the teacher and students in the educational environment. Education - a purposeful process of bilateral activities of the teacher and the student in the transfer and assimilation of knowledge. Development of Personal Learning Environment in virtual reality plays the key role.","","978-1-4799-1429-6","10.1109/IDAACS.2013.6663031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6663031","personal environment;virtual reality;mind mapping;social networks;web services;online learning;information technologies;educational environment","Social network services;Training;Materials;Educational institutions;Communities;Internet","computer aided instruction;social networking (online);virtual reality","social networks;educational process;learning process;educational environment;bilateral activity process;virtual reality;personal learning environment development","","1","","4","","14 Nov 2013","","","IEEE","IEEE Conferences"
"The simulation of MRT transfer system based on bus holding strategies with platform constraints","S. Lo; W. Chang; P. Kuo; C. Kuo","Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C.; Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C.; Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C.; Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C.","2009 IEEE International Conference on Systems, Man and Cybernetics","4 Dec 2009","2009","","","131","136","This research aims at the bus holding strategies for the simulation of mass rapid transit (MRT) transferring system in a terminal station with platform constraints for bus in the metropolitan area. We developed and evaluated the transfer system through computer simulation models for MRT with bus system that the goals of bus holding strategies in the model were: reduce bus waiting time, reduce passengers waiting time for the bus, and reduce passengers traveling time. In order to enhance the performance of the MRT-Bus transfer system, we develop several bus holding strategies scenarios that use different traveling time functions of buses at different time intervals, such as rush hours and off-peak hours, with bus platform capacity constraints in the transfer models to construct proposed transfer models in the MRT transfer system. Real-time traffic information acquired by the intelligent transportation systems (ITS) through global positioning system (GPS) provided input data for the simulation models. Performance index function were derived and served as performance measure to compare different bus holding strategies.","1062-922X","978-1-4244-2793-2","10.1109/ICSMC.2009.5346562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5346562","transfer system;bus holding strategies;simulation;intelligent transportation systems","Vehicles;Intelligent transportation systems;Urban areas;Real time systems;Global Positioning System;Delay;Strategic planning;Cybernetics;USA Councils;Conference management","automated highways;digital simulation;Global Positioning System;rapid transit systems;road traffic;road vehicles;traffic information systems","MRT bus transfer system;computer simulation;bus holding strategy;platform constraint;mass rapid transit;metropolitan area;bus waiting time reduction;passengers waiting time reduction;passengers traveling time reduction;real-time traffic information;intelligent transportation system;global positioning system;GPS","","2","","16","","4 Dec 2009","","","IEEE","IEEE Conferences"
"The effects of presentation method and simulation fidelity on psychomotor education in a bimanual metrology training simulation","J. Bertrand; A. Bhargava; K. C. Madathil; A. Gramopadhye; S. V. Babu","Clemson University, USA; Clemson University, USA; Clemson University, USA; Clemson University, USA; Clemson University, USA","2017 IEEE Symposium on 3D User Interfaces (3DUI)","6 Apr 2017","2017","","","59","68","In this study, we empirically evaluated the effects of presentation method and simulation fidelity on task performance and psychomotor skills acquisition in an immersive bimanual simulation towards precision metrology education. In a 2 × 2 experiment design, we investigated a large-screen immersive display (LSID) with a head-mounted display (HMD), and the presence versus absence of gravity. Advantages of the HMD include interacting with the simulation in a more natural manner as compared to using a large-screen immersive display due to the similarities between the interactions afforded in the virtual compared to the real-world task. Suspending the laws of physics may have an effect on usability and in turn could affect learning outcomes. Our dependent variables consisted of a pre and post cognition questionnaire, quantitative performance measures, perceived workload and system usefulness, and a psychomotor assessment to measure to what extent transfer of learning took place from the virtual to the real world. Results indicate that the HMD condition was preferable to the immersive display in several metrics while the no-gravity condition resulted in users adopting strategies that were not advantageous for task performance.","","978-1-5090-6716-9","10.1109/3DUI.2017.7893318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7893318","H.5.1 [Information Interfaces and Presentation]: Multimedia Information Systems—Artificial, augmented, and virtual realities","Solid modeling;Training;Aerospace electronics;Resists;Metrology;Visualization;Gravity","computer based training;digital simulation;helmet mounted displays;measurement;virtual reality","presentation method;simulation fidelity;psychomotor education;bimanual metrology training simulation;psychomotor skill acquisition;immersive bimanual simulation;precision metrology education;large-screen immersive display;LSID;head-mounted display;HMD;no-gravity condition","","3","","36","","6 Apr 2017","","","IEEE","IEEE Conferences"
"A New Design of Texture Haptic Display System","X. Chen; A. Song; J. Li","Department of Instrument Science and Technology, Southeast University, Nanjing, Jiangsu Province, China, cx0000@etang.com; Department of Instrument Science and Technology, Southeast University, Nanjing, Jiangsu Province, China, a.g.song@seu.edu.cn; Department of Instrument Science and Technology, Southeast University, Nanjing, Jiangsu Province, China, ljq@seu.edu.cn","2006 IEEE International Conference on Information Acquisition","12 Feb 2007","2006","","","1122","1126","In this paper, it is proposed that a new design of texture haptic display system consisting of a rotating cylinder that evokes a virtual touch sensation of texture surfaces contacted to the user's finger. Small holes, which simulate different surface texture with different rotating speed, are drilled on the cylinder made of aluminum alloy. The user places his or her finger on a small window and moves back and forth while feeling slip. By applying various rotating speed, various friction distributions can be generated on the skin, which are transferred to the fingertip as to generate surface roughness sensation in the subject's nerve system. Through doing some experiments, every user's feeling is got together under different circumstances, and then the principle of the device and some simple experimental results are reported.","","1-4244-0528-9","10.1109/ICIA.2006.305901","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4097834","virtual reality;haptic interface;tactile feeling display;tactile texture","Haptic interfaces;Surface texture;Engine cylinders;Fingers;Skin;Virtual reality;Computer displays;Rough surfaces;Surface roughness;Aluminum alloys","computer displays;friction;haptic interfaces;surface roughness;tactile sensors;virtual reality","texture haptic display system;rotating cylinder;virtual touch sensation;surface texture;rotating speed;aluminum alloy;friction distributions;fingertip;surface roughness sensation","","","","10","","12 Feb 2007","","","IEEE","IEEE Conferences"
"Radiance coming from shaded areas in urban scene","C. Miesch; X. Briottet","ONERA-CERT, Toulouse, France; NA","IEEE/ISPRS Joint Workshop on Remote Sensing and Data Fusion over Urban Areas (Cat. No.01EX482)","6 Aug 2002","2001","","","207","211","This paper is devoted to the analysis of the signal that is measured by optical remote sensors when they acquired data over a shaded part of an urban scene. For such a target, the signal is much lower than for others, as there is no direct downward irradiance. In this work, a simple urban scene is considered that introduces a shaded area. The signal observed by a high spatial resolution satellite sensor over a normal panchromatic band (500-700 nm) is computed thanks to an adapted radiative transfer code (AMARTIS) able to deal with ground topography and heterogeneity. The signal is analyzed and it appears that environmental effects play a significant role. Moreover, because of the scattering effects happening for shorter wavelengths, it is also shown that a widening of the band against 440 nm improves by about 10% the difference of signal coming from two different ground types (for whose the difference of reflectance is constant and equal to 0.1). This demonstrates that widening may be beneficial to observations in shadow because of scattering effects mainly. A more realistic scene is also considered, each part of which is associated with realistic spectral behavior. This latter simulation simply shows the importance of the thematic in the choice of the band, as it is determinant to the relevancy or the widening.","","0-7803-7059-7","10.1109/DFUA.2001.985881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=985881","","Layout;Mie scattering;Optical scattering;Atmospheric modeling;Signal analysis;Remote sensing;Spatial resolution;Urban areas;Instruments;Atmospheric waves","radiative transfer;remote sensing;spectral analysis","radiance;shaded areas;urban scene;panchromatic band;adapted radiative transfer code;AMARTIS;ground topography;heterogeneity;environmental effects;ground types;scattering effects;spectral behavior","","1","","4","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Effect of Navigation Aids and Landmarks on Acquisition of Spatial Knowledge in Virtual Environments","Z. Wuheng; X. Baihua; Y. He; F. Zhilin","Psychol. Dept., Zhejiang Univ., Hangzhou, China; Psychol. Dept., Zhejiang Univ., Hangzhou, China; NA; NA","2009 First International Workshop on Database Technology and Applications","18 Aug 2009","2009","","","30","32","The effect of navigation aids and landmarks on spatial learning was investigated when participants repeatedly navigated four complex three-dimensional virtual mazes. The study was divided into two main phases: learning and a test of learning transfer. The learning phase consisted of participants directly navigating in one of the four virtual mazes with or without navigation aids and landmarks. Learning transfer was examined by testing navigation tasks in the environment without the use of the navigation aids. Findings show that the combined impact of both navigation aids and landmarks on spatial knowledge acquisition in navigation tasks.","2167-194X","978-0-7695-3604-0","10.1109/DBTA.2009.152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5207823","Spatial knowledge;virtual mazes;navigation","Navigation;Virtual environment;Psychology;Testing;Knowledge acquisition;Educational institutions;Graphical user interfaces;Spatial databases;Helium;Buildings","navigation;transportation;virtual reality","navigation aids effect;spatial knowledge acquisition;virtual environment;3D virtual mazes","","1","","13","","18 Aug 2009","","","IEEE","IEEE Conferences"
