"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Dual injection short time parametric PET image","K. Kim; Q. Li","Massachusetts General Hospital and Harvard Medical School,Center for Advanced Medical Computing and Analysis (CAMCA),Boston,MA,USA,02114; Massachusetts General Hospital and Harvard Medical School,Center for Advanced Medical Computing and Analysis (CAMCA),Boston,MA,USA,02114","2019 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC)","9 Apr 2020","2019","","","1","3","Parametric positron emission tomography (PET) imaging can provide more quantitative information compared to the standard uptake value (SUV). To acquire the parametric image, a long dynamic scan over 80 mins are necessary, however, some patients with severe diseases cannot stay in a scanner such a long time or can produce bad motion artifacts during the dynamic scan. To address this issue, we propose a novel parametric PET reconstruction method using a dual injection strategy. The dual injection strategy is that the first injection of half dose at the beginning and the second injection of half dose at the middle of scan are administered, which can preserve total amount of dose. A scan is conducted after 60 mins from the first injection with a duration of total 20 mins as usually done in PET scan protocol. To estimate the parametric image, we firstly split the first and last time activity curves (TACs), and then a parametric image is estimated using partial dynamic data based on the simplified reference tissue model (SRTM). To split the TACs, a linear fitting method is used by assuming that there is no temporal metabolite changes and TAC with 20 min in the steady-state is linear. For the accurate estimation of parametric image, a penalized direct reconstruction method is proposed in which a penalty is imposed in parametric images. In brain phantom simulation, we demonstrated that the proposed method can estimate the parametric image only using 20 min acquisition.","2577-0829","978-1-7281-4164-0","10.1109/NSS/MIC42101.2019.9060064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060064","","Kinetic theory;Estimation;Image reconstruction;Positron emission tomography;Steady-state;Dynamics","brain;diseases;image reconstruction;medical image processing;phantoms;positron emission tomography","linear fitting method;simplified reference tissue model;dual injection short time parametric PET image;PET scan protocol;dual injection strategy;parametric PET reconstruction method;parametric positron emission tomography imaging;time 80.0 min;time 60.0 min;time 20.0 min","","","","7","","9 Apr 2020","","","IEEE","IEEE Conferences"
"Global, voxel, and cluster tests, by theory and permutation, for a difference between two groups of structural MR images of the brain","E. T. Bullmore; J. Suckling; S. Overmeyer; S. Rabe-Hesketh; E. Taylor; M. J. Brammer","Dept. of Biostat. & Comput., King's Coll., London, UK; NA; NA; NA; NA; NA","IEEE Transactions on Medical Imaging","6 Aug 2002","1999","18","1","32","42","The authors describe almost entirely automated procedures for estimation of global, voxel, and cluster-level statistics to test the null hypothesis of zero neuroanatomical difference between two groups of structural magnetic resonance imaging (MRI) data. Theoretical distributions under the null hypothesis are available for (1) global tissue class volumes; (2) standardized linear model [analysis of variance (ANOVA and ANCOVA)] coefficients estimated at each voxel; and (3) an area of spatially connected clusters generated by applying an arbitrary threshold to a two-dimensional (2-D) map of normal statistics at voxel level. The authors describe novel methods for economically ascertaining probability distributions under the null hypothesis, with fewer assumptions, by permutation of the observed data. Nominal Type I error control by permutation testing is generally excellent; whereas theoretical distributions may be over conservative. Permutation has the additional advantage that it can be used to test any statistic of interest, such as the sum of suprathreshold voxel statistics in a cluster (or cluster mass), regardless of its theoretical tractability under the null hypothesis. These issues are illustrated by application to MRI data acquired from 18 adolescents with hyperkinetic disorder and 16 control subjects matched for age and gender.","1558-254X","","10.1109/42.750253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=750253","","Statistical analysis;Statistical distributions;Magnetic resonance imaging;Volume measurement;Psychiatry;Automatic testing;Analysis of variance;Probability distribution;Hospitals;Two dimensional displays","brain;biomedical MRI;medical image processing;statistical analysis;probability","cluster tests;global tests;voxel tests;structural MR images;brain images;observed data permutation;spatially connected clusters;normal statistics map;adolescents;hyperkinetic disorder;MRI;null hypothesis;error control;medical diagnostic imaging;magnetic resonance imaging","Algorithms;Artificial Intelligence;Computer Simulation;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Models, Biological;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Subtraction Technique","746","","31","","6 Aug 2002","","","IEEE","IEEE Journals"
"Hybrid Imaging System for Simultaneous Spiral MR and X-ray (MRX) Scans","L. Gjesteby; Y. Xi; M. K. Kalra; Q. Yang; G. Wang","Department of Biomedical Engineering, Biomedical Imaging Center, Rensselaer Polytechnic Institute, Troy, NY, USA; Department of Biomedical Engineering, Biomedical Imaging Center, Rensselaer Polytechnic Institute, Troy, NY, USA; Department of Imaging, Massachusetts General Hospital, Boston, MA, USA; Department of Biomedical Engineering, Biomedical Imaging Center, Rensselaer Polytechnic Institute, Troy, NY, USA; Department of Biomedical Engineering, Biomedical Imaging Center, Rensselaer Polytechnic Institute, Troy, NY, USA","IEEE Access","7 Mar 2017","2017","5","","1050","1061","The needs and the feasibility of simultaneous computed tomography (CT) and magnetic resonance imaging (MRI) were recently reported. In this paper, a spiral magnetic resonance X-ray CT (MRX) imaging system is proposed for head and extremities imaging, which serves as a simple, cost-effective solution on the path to a full-scale CT-MRI fusion. While MRI and X-ray radiography were integrated before, we propose novel designs to acquire simultaneous CT and MR views for synchronized radiographic imaging or joint tomographic reconstruction. Our preliminary permanent magnet configurations achieve a magnetic field strength between 0.1 and 0.2 T while keeping weight low enough for portability. We have also shown that a field strength up to 0.35 T is achievable with permanent magnets that maintain a compact profile, though increased weight would hinder ease of transportation. Simulation results of a joint tomographic reconstruction scheme show the advantage of simultaneously acquired images. The proposed MRX system performs double helical scans in CT and MRI mechanisms, and has multiple niche applications, such as medical imaging on disaster sites, in battle fields, and for under-developed regions.","2169-3536","","10.1109/ACCESS.2016.2637660","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7779075","X-ray radiography;CT;MRI;spiral scanning;joint image reconstruction","Magnetic resonance imaging;Computed tomography;Magnetic fields;X-ray imaging;Superconducting magnets;Permanent magnets","biomedical MRI;computerised tomography;diagnostic radiography;image fusion;image reconstruction;medical image processing;synchronisation","hybrid imaging system;simultaneous spiral MRI scans;X-ray scans;simultaneous computed tomography;magnetic resonance imaging;spiral magnetic resonance X-ray CT imaging system;head imaging;extremities imaging;full-scale CT-MRI fusion;X-ray radiography;synchronized radiographic imaging;joint tomographic reconstruction;preliminary permanent magnet configurations;magnetic field strength;portability;compact profile;double helical scans;multiple niche applications;magnetic flux density 0.1 T to 0.35 T","","9","","33","","9 Dec 2016","","","IEEE","IEEE Journals"
"Text Document Preprocessing and Dimension Reduction Techniques for Text Document Clustering","A. I. Kadhim; Y. Cheah; N. H. Ahamed","Sch. of Comput. Sci., Univ. Sains Malaysia, Minden, Malaysia; Sch. of Comput. Sci., Univ. Sains Malaysia, Minden, Malaysia; Sch. of Comput. Sci., Univ. Sains Malaysia, Minden, Malaysia","2014 4th International Conference on Artificial Intelligence with Applications in Engineering and Technology","10 Dec 2015","2014","","","69","73","Text mining defines generally the process of extracting interesting features (non-trivial) and knowledge from unstructured text documents. Text mining is an interdisciplinary field which depends on information retrieval, data mining, machine learning, parameter statistics and computational linguistics. Standard text mining and retrieval information techniques of text document usually rely on similar categories. An alternative method of retrieving information is clustering documents to preprocess text. The preprocessing steps have a huge effect on the success to extract knowledge. This study implements TF-IDF and singular value decomposition (SVD) dimensionality reduction techniques. The proposed system presents an effective preprocessing and dimensionality reduction techniques which help the document clustering by using k-means algorithm. Finally, the experimental results show that the proposed method enhances the performance of English text document clustering. Simulation results on BBC news and BBC sport datasets show the superiority of the proposed algorithm.","","978-1-4799-7910-3","10.1109/ICAIET.2014.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351815","Text mining; retrieval information; clustering; singular value decomposition; dimension reduction; clustering; k-means","Clustering algorithms;Text mining;Algorithm design and analysis;Data models;Singular value decomposition;Indexing","data mining;data reduction;information retrieval;knowledge acquisition;learning (artificial intelligence);natural language processing;pattern clustering;singular value decomposition;text analysis","text document preprocessing;dimension reduction techniques;text mining;feature extraction process;unstructured text document knowledge extraction;information retrieval;data mining;machine learning;parameter statistics;computational linguistics;information retrieval techniques;TF-IDF;singular value decomposition dimensionality reduction techniques;SVD dimensionality reduction techniques;k-means algorithm;English text document clustering;BBC sport datasets;BBC news datasets","","13","","8","","10 Dec 2015","","","IEEE","IEEE Conferences"
"A Case Study of an Academic Achievement-oriented Student in Game-based Learning","M. S. Y. Jong; F. Lee; J. H. M. Lee; J. Shang","Centre for the Advancement of Inf. Technol. in Educ., Chinese Univ. of Hong Kong, Shatin, China; Centre for the Advancement of Inf. Technol. in Educ., Chinese Univ. of Hong Kong, Shatin, China; Centre for the Advancement of Inf. Technol. in Educ., Chinese Univ. of Hong Kong, Shatin, China; Grad. Sch. of Educ., Peking Univ., Beijing, China","2011 IEEE 11th International Conference on Advanced Learning Technologies","18 Aug 2011","2011","","","7","11","VISOLE (Virtual Interactive Student-Oriented Learning Environment) is a teacher-facilitated constructivist pedagogical approach to empower game-based learning. In combination with scaffolding, situated cognition, reflection, and debriefing, VISOLE aims at providing students with opportunities to acquire subject specific knowledge in a multi-disciplinary fashion and sharpen their higher-order thinking skills for problem solving. Farmtasia is the first online game designed to facilitate the VISOLE approach. We conducted a qualitative case study, in the setting of formal curricular teaching in a secondary school, to look into the course of students' learning in VISOLE. This paper discusses a part of the entire study, focusing on delineating an impeding phenomenon, arbitrary gaming, which emerged in an academic achievement-oriented student's learning process. The findings provided insights into the issue of implementing VISOLE and game-based learning in general in school education.","2161-377X","978-1-61284-209-7","10.1109/ICALT.2011.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5992272","game-based learning;educational games;virtual learning environments;constructivist learning","Games;Educational institutions;Blogs;Geography;Reflection;Agriculture","computer aided instruction;computer games;educational courses;educational institutions;further education;problem solving;teaching;virtual reality","academic achievement-oriented student;game based learning;VISOLE;virtual interactive student-oriented learning environment;constructivist pedagogical approach;subject specific knowledge;multidisciplinary fashion;higher-order thinking skills;problem solving;online game;formal curricular teaching;secondary school;educational course;arbitrary gaming;school education","","1","","24","","18 Aug 2011","","","IEEE","IEEE Conferences"
"Robust Reconstruction of Fluorescence Molecular Tomography Based on Sparsity Adaptive Correntropy Matching Pursuit Method for Stem Cell Distribution","S. Zhang; X. Ma; Y. Wang; M. Wu; H. Meng; W. Chai; X. Wang; S. Wei; J. Tian","Institute of Biomedical Engineering, School of Control Science and Engineering, Shandong University, Jinan, China; CAS Key Laboratory of Molecular Imaging, Institute of Automation, Beijing, China; Chinese PLA General Hospital, Medical College of PLA, Beijing, China; School of Life Science, Ludong University, Yantai, China; CAS Key Laboratory of Molecular Imaging, Institute of Automation, Beijing, China; Chinese PLA General Hospital, Medical College of PLA, Beijing, China; School of Life Science, Ludong University, Yantai, China; Institute of Biomedical Engineering, School of Control Science and Engineering, Shandong University, Jinan, China; CAS Key Laboratory of Molecular Imaging, Institute of Automation, Beijing, China","IEEE Transactions on Medical Imaging","30 Sep 2018","2018","37","10","2176","2184","Fluorescence molecular tomography (FMT), as a promising imaging modality in preclinical research, can obtain the three-dimensional (3-D) position information of the stem cell in mice. However, because of the ill-posed nature and sensitivity to noise of the inverse problem, it is a challenge to develop a robust reconstruction method, which can accurately locate the stem cells and define the distribution. In this paper, we proposed a sparsity adaptive correntropy matching pursuit (SACMP) method. SACMP method is independent on the noise distribution of measurements and it assigns small weights on severely corrupted entries of data and large weights on clean ones adaptively. These properties make it more suitable for in vivo experiment. To analyze the performance in terms of robustness and practicability of SACMP, we conducted numerical simulation and in vivo mice experiments. The results demonstrated that the SACMP method obtained the highest robustness and accuracy in locating stem cells and depicting stem cell distribution compared with stagewise orthogonal matching pursuit and sparsity adaptive subspace pursuit reconstruction methods. To the best of our knowledge, this is the first study that acquired such accurate and robust FMT distribution reconstruction for stem cell tracking in mice brain. This promotes the application of FMT in locating stem cell and distribution reconstruction in practical mice brain injury models.","1558-254X","","10.1109/TMI.2018.2825102","National Key Research Program of China; National Natural Science Foundation of China; Chinese Academy of Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8334303","Fluorescence molecular tomography;inverse problem;sparsity adaptive correntropy matching pursuit;robust reconstruction","Image reconstruction;Stem cells;Fluorescence;Robustness;Matching pursuit algorithms;Mice;Inverse problems","biomedical optical imaging;brain;cellular biophysics;compressed sensing;fluorescence;image reconstruction;medical image processing;optical tomography","fluorescence molecular tomography;sparsity adaptive correntropy matching pursuit method;robust reconstruction method;SACMP method;noise distribution;stagewise orthogonal matching pursuit;subspace pursuit reconstruction methods;stem cell tracking;imaging modality;in vivo mice experiments;stem cell distribution;FMT distribution reconstruction;3D position information;brain injury model","Algorithms;Animals;Brain;Cell Tracking;Entropy;Female;Imaging, Three-Dimensional;Mice;Mice, Nude;Optical Imaging;Stem Cell Transplantation;Stem Cells;Tomography","4","","39","","9 Apr 2018","","","IEEE","IEEE Journals"
"Ultrasound Standard Plane Detection Using a Composite Neural Network Framework","H. Chen; L. Wu; Q. Dou; J. Qin; S. Li; J. Cheng; D. Ni; P. Heng","Department of Computer Science and Engineering, Chinese University of Hong Kong, Hong Kong; School of Biomedical Engineering, Shenzhen University, Shenzhen, China; Department of Computer Science and Engineering, Chinese University of Hong Kong, Hong Kong; School of Nursing, Hong Kong Polytechnic University, Hong Kong; Department of Ultrasound, Affiliated Shenzhen Maternal and Child Healthcare Hospital, Nanfang Medical University, Shenzhen, China; School of Biomedical Engineering, Shenzhen University, Shenzhen, China; School of Biomedical Engineering, Shenzhen University, Shenzhen, China; Department of Computer Science and Engineering, Chinese University of Hong Kong, Hong Kong","IEEE Transactions on Cybernetics","20 May 2017","2017","47","6","1576","1586","Ultrasound (US) imaging is a widely used screening tool for obstetric examination and diagnosis. Accurate acquisition of fetal standard planes with key anatomical structures is very crucial for substantial biometric measurement and diagnosis. However, the standard plane acquisition is a labor-intensive task and requires operator equipped with a thorough knowledge of fetal anatomy. Therefore, automatic approaches are highly demanded in clinical practice to alleviate the workload and boost the examination efficiency. The automatic detection of standard planes from US videos remains a challenging problem due to the high intraclass and low interclass variations of standard planes, and the relatively low image quality. Unlike previous studies which were specifically designed for individual anatomical standard planes, respectively, we present a general framework for the automatic identification of different standard planes from US videos. Distinct from conventional way that devises hand-crafted visual features for detection, our framework explores in- and between-plane feature learning with a novel composite framework of the convolutional and recurrent neural networks. To further address the issue of limited training data, a multitask learning framework is implemented to exploit common knowledge across detection tasks of distinctive standard planes for the augmentation of feature learning. Extensive experiments have been conducted on hundreds of US fetus videos to corroborate the better efficacy of the proposed framework on the difficult standard plane detection problem.","2168-2275","","10.1109/TCYB.2017.2685080","National Basic Research Program of China, 973 Program; National Natural Science Foundation of China; Research Grants Council of Hong Kong Special Administrative Region; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890445","Convolutional neural network (CNN);deep learning;knowledge transfer;recurrent neural network (RNN);standard plane;ultrasound (US)","Standards;Fetus;Videos;Feature extraction;Biomedical imaging;Training data;Machine learning","biomedical ultrasonics;convolution;learning (artificial intelligence);medical image processing;obstetrics;recurrent neural nets;ultrasonic imaging;video signal processing","ultrasound standard plane detection;composite neural network framework;ultrasound imaging;obstetric examination;fetal standard plane acquisition;substantial biometric measurement;fetal anatomy;in-plane feature learning;between-plane feature learning;convolutional neural networks;recurrent neural networks;multitask learning framework;US fetus videos","Algorithms;Female;Fetus;Humans;Image Processing, Computer-Assisted;Neural Networks (Computer);Pregnancy;Ultrasonography, Prenatal;Video Recording","42","2","63","","30 Mar 2017","","","IEEE","IEEE Journals"
"Genus zero surface conformal mapping and its application to brain surface mapping","Xianfeng Gu; Yalin Wang; T. F. Chan; P. M. Thompson; Shing-Tung Yau","Dept. of Comput. & Inf. Sci. & Eng., Univ. of Florida, FL, USA; NA; NA; NA; NA","IEEE Transactions on Medical Imaging","2 Aug 2004","2004","23","8","949","958","We developed a general method for global conformal parameterizations based on the structure of the cohomology group of holomorphic one-forms for surfaces with or without boundaries (Gu and Yau, 2002), (Gu and Yau, 2003). For genus zero surfaces, our algorithm can find a unique mapping between any two genus zero manifolds by minimizing the harmonic energy of the map. In this paper, we apply the algorithm to the cortical surface matching problem. We use a mesh structure to represent the brain surface. Further constraints are added to ensure that the conformal map is unique. Empirical tests on magnetic resonance imaging (MRI) data show that the mappings preserve angular relationships, are stable in MRIs acquired at different times, and are robust to differences in data triangulation, and resolution. Compared with other brain surface conformal mapping algorithms, our algorithm is more stable and has good extensibility.","1558-254X","","10.1109/TMI.2004.831226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1318721","","Conformal mapping;Brain;Contracts;Magnetic resonance imaging;Mathematics;Cerebral cortex;Biomedical imaging;Testing;Robustness;Image resolution","brain;biomedical MRI;conformal mapping;medical image processing;image resolution","genus zero surface conformal mapping;brain surface mapping;global conformal parameterizations;cohomology group;holomorphic one-forms;harmonic energy minimization;cortical surface matching;mesh structure;brain surface representation;data triangulation;resolution","Algorithms;Brain;Brain;Brain Mapping;Computer Simulation;Humans;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Magnetic Resonance Imaging;Numerical Analysis, Computer-Assisted;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted;Subtraction Technique","320","","32","","2 Aug 2004","","","IEEE","IEEE Journals"
"Magnetic levitation hardware-in-the-loop and MATLAB-based experiments for reinforcement of neural network control concepts","P. S. Shiakolas; S. R. Van Schenck; D. Piyabongkarn; I. Frangeskou","Mech. & Aerosp. Eng. Dept., Univ. of Texas, Arlington, TX, USA; Mech. & Aerosp. Eng. Dept., Univ. of Texas, Arlington, TX, USA; Mech. & Aerosp. Eng. Dept., Univ. of Texas, Arlington, TX, USA; Mech. & Aerosp. Eng. Dept., Univ. of Texas, Arlington, TX, USA","IEEE Transactions on Education","19 Feb 2004","2004","47","1","33","41","This paper discusses the use of a real-time digital control environment with a hardware-in-the-loop (HIL) magnetic levitation (Maglev) device for modeling and controls education, with emphasis on neural network (NN) feedforward control. Many educational advantages are realized for the students if a single environment is used for simulation, hardware implementation, and verification as compared with multienvironment settings. This real-time environment requires two personal computers (host and target) employed to control an HIL system. It requires software tools by MathWorks, Inc., a C++ compiler, an off-the-shelf data acquisition card, and the HIL (a nonlinear, open-loop, unstable, and time-varying, custom-built Maglev device) to be controlled. This environment provides for experimentation, such as data collection for system identification using NNs and their implementation as static nonlinear feedforward controllers. In addition, this environment was used to implement and demonstrate NNs with real-time dynamic weight tuning and controller performance comparison under various inputs or changes in the HIL device dynamics, as shown in the presented examples. The educational features of this environment were verified in a classroom setting in a graduate-level NN class. The presented environment is applicable to senior or graduate level (introductory intelligent and digital control) or a general introductory course on NNs with applications.","1557-9638","","10.1109/TE.2003.817616","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1266748","","Magnetic levitation;Control engineering education;Digital control;Feedforward neural networks;Neurocontrollers;Intelligent control;Nonlinear systems;Software tools;Courseware","magnetic levitation;digital simulation;control engineering education;control engineering computing;digital control;feedforward neural nets;neurocontrollers;intelligent control;further education;nonlinear control systems;software tools;courseware","magnetic levitation hardware-in-the-loop;MATLAB-based experiments;neural network control concepts;feedforward control;control education;real-time digital control environment;hardware implementation;hardware verification;software tools;C++ compiler;off-the-shelf data acquisition card;data collection;system identification;static nonlinear feedforward controllers;real-time dynamic weight tuning;controller performance comparison;graduate-level class;intelligent control","","35","","26","","19 Feb 2004","","","IEEE","IEEE Journals"
"A learning and dynamic pattern generating architecture for skilful robotic baseball batting system","Xin-Zhi Zheng; W. Inamura; K. Shibata; K. Ito","Interdisciplinary Graduate Sch. of Sci. & Eng., Tokyo Inst. of Technol., Japan; NA; NA; NA","Proceedings 2000 ICRA. Millennium Conference. IEEE International Conference on Robotics and Automation. Symposia Proceedings (Cat. No.00CH37065)","6 Aug 2002","2000","4","","3227","3232 vol.4","A learning and dynamic pattern generating system for acquiring the skills in dynamic manipulation of objects using robotic manipulators is to be established, where the desired space trajectories for the manipulators are not specified explicitly. Robotic batting is taken as a task example. The problem is approached so as to result in an iterative learning of the joint driving torque patterns of the manipulator that are considered as the task skills and learned against several typically given desired ball velocities. A multi-layered artificial neural network is used to learn and generalize the joint driving torque against various desired ball velocities, and an iterative optimal control algorithm is adopted to generate the supervisory joint driving torque signals for the neural network. Computer simulation examples of a three-degree-of-freedom manipulator are outlined, the results are depicted to explain the idea and verify the proposed approach, and the robustness issues are discussed qualitatively.","1050-4729","0-7803-5886-4","10.1109/ROBOT.2000.845160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=845160","","Manipulator dynamics;Orbital robotics;Artificial neural networks;Iterative methods;Torque;Optimal control;Iterative algorithms;Signal generators;Neural networks;Multi-layer neural network","optimal control;learning systems;multilayer perceptrons;digital simulation;manipulator dynamics;neurocontrollers;robust control","dynamic pattern generating architecture;skilful robotic baseball batting system;dynamic manipulation;robotic manipulators;joint driving torque patterns;multi-layered artificial neural network;iterative optimal control algorithm;supervisory joint driving torque signals;three-degree-of-freedom manipulator;robustness issues","","1","","11","","6 Aug 2002","","","IEEE","IEEE Conferences"
