"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Data Acquisition for Real-Time Decision-Making under Freshness Constraints","S. Hu; S. Yao; H. Jin; Y. Zhao; Y. Hu; X. Liu; N. Naghibolhosseini; S. Li; A. Kapoor; W. Dron; L. Su; A. Bar-Noy; P. Szekely; R. Govindan; R. Hobbs; T. F. Abdelzaher",NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"2015 IEEE Real-Time Systems Symposium","18 Jan 2016","2015","","","185","194","The paper describes a novel algorithm for timely sensor data retrieval in resource-poor environments under freshness constraints. Consider a civil unrest, national security, or disaster management scenario, where a dynamic situation evolves and a decision-maker must decide on a course of action in view of latest data. Since the situation changes, so is the best course of action. The scenario offers two interesting constraints. First, one should be able to successfully compute the course of action within some appropriate time window, which we call the decision deadline. Second, at the time the course of action is computed, the data it is based on must be fresh (i.e., within some corresponding validity interval). We call it the freshness constraint. These constraints create an interesting novel problem of timely data retrieval. We address this problem in resource-scarce environments, where network resource limitations require that data objects (e.g., pictures and other sensor measurements pertinent to the decision) generally remain at the sources. Hence, one must decide on (i) which objects to retrieve and (ii) in what order, such that the cost of deciding on a valid course of action is minimized while meeting data freshness and decision deadline constraints. Such an algorithm is reported in this paper. The algorithm is shown in simulation to reduce the cost of data retrieval compared to a host of baselines that consider time or resource constraints. It is applied in the context of minimizing cost of finding unobstructed routes between specified locations in a disaster zone by retrieving data on the health of individual route segments.","1052-8725","978-1-4673-9507-6","10.1109/RTSS.2015.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7383576","","Roads;Decision making;Sensors;Bandwidth;Earthquakes;Real-time systems;Heuristic algorithms","data acquisition;decision making;information retrieval;minimisation;resource allocation;sensor fusion","data acquisition;decision making;data freshness constraint;decision deadline constraint;sensor data retrieval;resource-scarce environment;cost minimization","","14","","39","","18 Jan 2016","","","IEEE","IEEE Conferences"
"Computing C-space entropy for view planning based on beam sensor model","P. Wang; K. Gupta","Sch. of Eng. Sci., Simon Fraser Univ., Burnaby, BC, Canada; Sch. of Eng. Sci., Simon Fraser Univ., Burnaby, BC, Canada","IEEE/RSJ International Conference on Intelligent Robots and Systems","10 Dec 2002","2002","3","","2389","2394 vol.3","The concept of C-space entropy was recently introduced by the authors (2000, 2001), as a measure of knowledge of C-space for sensor-based path planning and exploration for general robot-sensor systems. The robot plans the next sensing action to maximally reduce the expected C-space entropy, also called the maximal expected entropy reduction, or MER criterion. The expected C-space entropy computation, however, made two idealized assumptions. The first was that the sensor field of view (FOV) is a point; and the second was that no visibility (or occlusion) constraints are taken into account, i.e., as if the obstacles are transparent. We extend the expected C-space entropy formulation where the sensor FOV is a beam and furthermore, it is subject to visibility constraints, as is the case with real range sensors. Planar simulations show that this new formulation results in more efficient exploration.","","0-7803-7398-7","10.1109/IRDS.2002.1041625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041625","","Entropy;Robot sensing systems;Mobile robots;Orbital robotics;Humanoid robots;Sensor systems;Path planning;Manipulators;Zinc compounds;Computational geometry","robots;path planning;entropy","C-space entropy;view planning;beam sensor model;sensor-based path planning;sensor-based exploration;expected C-space entropy reduction;maximal expected entropy reduction;MER criterion;expected C-space entropy computation;visibility constraints;occlusions;planar simulations;path planning","","8","","12","","10 Dec 2002","","","IEEE","IEEE Conferences"
"3D Shape Understanding for the Visually Impaired by using Virtual Haptic Senses based on Fuzzy Logic","H. Tatsumi; Y. Murai; M. Kobayashi; I. Sekita; M. Miyakawa","Tsukuba University of Technology,Dept. of Computer Science,Tsukuba, Ibaraki,Japan; Nihon Pharmaceutical University,Dept. of Pharmaceutical Medical Business Sciences,Bunkyo-ku, Tokyo,Japan; Tsukuba University of Technology,Dept. of Computer Science,Tsukuba, Ibaraki,Japan; Tsukuba University of Technology,Dept. of Computer Science,Tsukuba, Ibaraki,Japan; Tsukuba University of Technology,Dept. of Computer Science,Tsukuba, Ibaraki,Japan","2020 IEEE 50th International Symposium on Multiple-Valued Logic (ISMVL)","7 Jan 2021","2020","","","94","99","This research aims to provide information accessibility support for visually impaired individuals perform actions and behaviors that recognize objects by themselves or reflect their understanding of the situation in the environment. For that reason, we will develop an object recognition method to them that improves the shape understanding of target object to be recognized by touching virtual haptic senses created from the pseudo object in a computer that mimics an object in the environment. In general, the shape information of objects is difficult to verbalize. Even if its information is transformed to spoken words, it is hard to understand the shape of an object with a one-dimensional transmission through hearing. Therefore, it is necessary to expand context awareness into two- or three-dimensions while collaborating with visually impaired individuals who rely on haptic sensation. In this report, for pseudo objects created by combining 2D and 3D basic shapes in a computer, we consider the process of shape understanding and object recognition under visual impairment based on virtual haptic senses. Presentation of these pseudo objects to visually impaired individuals is provided so that they can understand by touching a two-dimensional figure with a tactile display and by feeling a three-dimensional shape with a force feedback device.","2378-2226","978-1-7281-5406-0","10.1109/ISMVL49045.2020.00-23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9308552","visual impairment;virtual haptic sense;3D shape understanding;object recognition support;pseudo object","Shape;Haptic interfaces;Three-dimensional displays;Two dimensional displays;Thumb;Object oriented modeling;Force","force feedback;handicapped aids;haptic interfaces;object recognition;virtual reality","shape understanding;virtual haptic senses;information accessibility support;visually impaired individuals;object recognition method;target object;pseudoobject;shape information;haptic sensation;3D basic shapes;visual impairment;three-dimensional shape","","","","8","","7 Jan 2021","","","IEEE","IEEE Conferences"
"Robust Information Fusion on Social Networks","T. Chuang; K. Chen","Grad. Inst. of Commun. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Grad. Inst. of Commun. Eng., Nat. Taiwan Univ., Taipei, Taiwan","2011 IEEE Global Telecommunications Conference - GLOBECOM 2011","19 Jan 2012","2011","","","1","6","This paper introduces the general framework of statistical information fusion on social network, which plays an important role on understanding the human interaction and cooperation in the society. On many existing information platforms on the social network, people's relationship affects their decision on both static and dynamic way. We consider the scenario that agents refer others decisions which are made earlier as an information for taking any action. Thus how agents on the information platform connect to each other has great impact on the information fusion. With the help of percolation theory, we provide a minimax robust decision scheme for information fusion due to often the lack of complete information of social network structure. The simulations demonstrate that our proposed information fusion rule retains fine performance compared with classical one on different network structures, and thus great potential for social network applications.","1930-529X","978-1-4244-9268-8","10.1109/GLOCOM.2011.6134403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6134403","","Social network services;Robustness;Probability;Correlation;Network topology;IEEE Communications Society;Extraterrestrial phenomena","decision making;percolation;sensor fusion;social networking (online)","robust information fusion;social network;statistical information fusion;human interaction;society cooperation;percolation theory;minimax robust decision scheme;network structure","","","","20","","19 Jan 2012","","","IEEE","IEEE Conferences"
"A Hybrid CNN-LSTM Architecture for Path Planning of Mobile Robots in Unknow Environments","Y. Lu; W. Wang; L. Xue","Beihang University,School of Automation Science and Electrical Engineering,Beijing,China,100191; Beihang University,School of Automation Science and Electrical Engineering,Beijing,China,100191; Beijing Institute of Control Engineering,Beijing,China,100094","2020 Chinese Control And Decision Conference (CCDC)","11 Aug 2020","2020","","","4775","4779","Path planning algorithms generally require several steps including mapping, localization, sensor data processing, etc. Deep learning-based approach has been proposed to achieve end-to-end path planning, alleviating human design tasks and saving the cost of building maps. In this paper, a CNN-LSTM model which combines convolutional neural network (CNN) with Long Short-Term Memory (LSTM) is constructed to accomplish the path planning task of mobile robots. The CNN structure extracts environment features from the sensor data and calculates the proper command velocity while the LSTM module aims to learn the relationship between continuous actions and smooth the velocity of the robot. The input data of the model is acquired by a lidar, which abstracts the environment information and increases the generalization capability of different environments. In the Robot Operating System (ROS)-based simulator, the proposed model is tested in both the training map and a more complex new map. It performs well in the path planning task even in the untrained map. Compared to CNN model, the CNN-LSTM model has a great advantage in continuous planning and velocity smoothing. Furthermore, both the linear and angular velocity calculated by this model is within limited range and real time performance of this algorithm is satisfactory.","1948-9447","978-1-7281-5855-6","10.1109/CCDC49329.2020.9164775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9164775","Path Planning;End-to-end;CNN-LSTM;Smooth Velocity","Robot sensing systems;Path planning;Training;Data models;Computational modeling;Mobile robots","control engineering computing;convolutional neural nets;learning (artificial intelligence);mobile robots;operating systems (computers);path planning;recurrent neural nets;robot programming","unknow environments;deep learning;end-to-end path planning;convolutional neural network;long short-term memory;mobile robots;environment information;generalization capability;continuous planning;velocity smoothing;hybrid CNN-LSTM architecture;robot operating system","","","","12","","11 Aug 2020","","","IEEE","IEEE Conferences"
"Combined Mining: Discovering Informative Knowledge in Complex Data","L. Cao; H. Zhang; Y. Zhao; D. Luo; C. Zhang","University of Technology, Sydney (UTS), Sydney, Australia; Centrelink, Canberra, Australia; Centrelink, Canberra, Australia; University of Technology, Sydney (UTS), Sydney, Australia; University of Technology, Sydney (UTS), Sydney, Australia","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","16 May 2011","2011","41","3","699","712","Enterprise data mining applications often involve complex data such as multiple large heterogeneous data sources, user preferences, and business impact. In such situations, a single method or one-step mining is often limited in discovering informative knowledge. It would also be very time and space consuming, if not impossible, to join relevant large data sources for mining patterns consisting of multiple aspects of information. It is crucial to develop effective approaches for mining patterns combining necessary information from multiple relevant business lines, catering for real business settings and decision-making actions rather than just providing a single line of patterns. The recent years have seen increasing efforts on mining more informative patterns, e.g., integrating frequent pattern mining with classifications to generate frequent pattern-based classifiers. Rather than presenting a specific algorithm, this paper builds on our existing works and proposes combined mining as a general approach to mining for informative patterns combining components from either multiple data sets or multiple features or by multiple methods on demand. We summarize general frameworks, paradigms, and basic processes for multifeature combined mining, multisource combined mining, and multimethod combined mining. Novel types of combined patterns, such as incremental cluster patterns, can result from such frameworks, which cannot be directly produced by the existing methods. A set of real-world case studies has been conducted to test the frameworks, with some of them briefed in this paper. They identify combined patterns for informing government debt prevention and improving government service objectives, which show the flexibility and instantiation capability of combined mining in discovering informative knowledge in complex data.","1941-0492","","10.1109/TSMCB.2010.2086060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5621927","Actionable knowledge discovery;combined mining;complex data;data mining;multiple source data mining;public service data mining","Association rules;Government;Itemsets;Measurement;Distributed databases","business data processing;data mining;decision making","informative knowledge discovery;enterprise data mining;data source;decision making;pattern based classifier;multifeature combined mining;multisource combined mining;multimethod combined mining","Algorithms;Artificial Intelligence;Computer Simulation;Data Mining;Decision Support Techniques;Models, Theoretical;Pattern Recognition, Automated","24","","31","","9 Nov 2010","","","IEEE","IEEE Journals"
"Configuration space based efficient view planning and exploration with occupancy grids","L. Torabi; M. Kazemi; K. Gupta","Robotic Algorithms &Motion Planning (RAMP) Lab, School of Engineering Science, Simon Fraser University, Burnaby, BC V5A 1S6, Canada; Robotic Algorithms &Motion Planning (RAMP) Lab, School of Engineering Science, Simon Fraser University, Burnaby, BC V5A 1S6, Canada; Robotic Algorithms &Motion Planning (RAMP) Lab, School of Engineering Science, Simon Fraser University, Burnaby, BC V5A 1S6, Canada","2007 IEEE/RSJ International Conference on Intelligent Robots and Systems","10 Dec 2007","2007","","","2827","2832","The concept of C-space entropy for sensor-based exploration and view planning for general robot-sensor systems has been introduced in [?], [?], [?], [?]. The robot plans the next sensing action (also called the next best view) to maximize the expected C-space entropy reduction, (known as Maximal expected Entropy Reduction, or MER). It gives priority to those areas that increase the maneuverable space around the robot, taking into account its physical size and shape, thereby facilitating reachability for further views. However, previous work had assumed a Poisson point process model for obstacle distribution in the physical space, a simplifying assumption. In this paper we derive an expression for MER criterion assuming an occupancy grid map, a commonly used representation for workspace representation in much of the mobile robot community. This model is easily obtained from typical range sensors such as laser range finders, stereo vision, etc., and furthermore, we can incorporate occlusion constraints and their effect in the MER formulation, making it more realistic. Simulations show that even for holonomic mobile robots with relatively simple geometric shapes (such as a rectangle), the MER criterion yields improvement in exploration efficiency (number of views needed to explore the C-space) over physical space based criteria.","2153-0866","978-1-4244-0911-2","10.1109/IROS.2007.4399451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4399451","sensor-based path planning;occupancy grid model;C-space entropy;view planning","Robot sensing systems;Orbital robotics;Entropy;Mobile robots;Shape;Path planning;Motion planning;Intelligent robots;Laser modes;Laser theory","entropy;mobile robots;path planning;reachability analysis;sensors;stochastic processes","configuration space entropy;view planning;occupancy grids;sensor-based exploration;robot-sensor systems;maximal expected entropy reduction;reachability;Poisson point process;mobile robot","","10","","25","","10 Dec 2007","","","IEEE","IEEE Conferences"
"Reinforcement Learning-based Hierarchical Control for Path Following of a Salamander-like Robot","X. Zhang; X. Guo; Y. Fang; W. Zhu","Nankai University,College of Artificial Intelligence,Institute of Robotics and Automatic Information System,China; Nankai University,College of Artificial Intelligence,Institute of Robotics and Automatic Information System,China; Nankai University,College of Artificial Intelligence,Institute of Robotics and Automatic Information System,China; Nankai University,College of Artificial Intelligence,Institute of Robotics and Automatic Information System,China","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","10 Feb 2021","2020","","","6077","6083","Path following is a challenging task for legged robots. In this paper, we present a hierarchical control architecture for path following of a quadruped salamander-like robot, in which, the tracking problem is decomposed into two sub-tasks: high-level policy learning based on the framework of reinforcement learning (RL) and low-level traditional controller design. More specifically, the high-level policy is learned in a physics simulator with a low-level controller designed in advance. To improve the tracking accuracy and to eliminate static errors, a soft Actor-Critic algorithm with state integral compensation is proposed. Additionally, to enhance the generalization and transferability, a compact state representation, which only contains the information of the target path and the abstract action similar to front-back and left-right, is proposed. The proposed algorithm is trained offline in the simulation environment and tested on the self-developed real quadruped salamander-like robot for different path following tasks. Simulation and experiments results validate the satisfactory performance of the proposed method.","2153-0866","978-1-7281-6212-6","10.1109/IROS45743.2020.9341656","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341656","","Training;Target tracking;Neural networks;Reinforcement learning;Robot sensing systems;Task analysis;Robots","control engineering computing;control system synthesis;hierarchical systems;learning (artificial intelligence);legged locomotion;path planning;tracking","reinforcement learning;legged robots;hierarchical control architecture;high-level policy learning;low-level traditional controller design;physics simulator;soft actor-critic algorithm;state integral compensation;compact state representation;quadruped salamander-like robot;path following task","","","","19","","10 Feb 2021","","","IEEE","IEEE Conferences"
"Efficient touch based localization through submodularity","S. Javdani; M. Klingensmith; J. A. Bagnell; N. S. Pollard; S. S. Srinivasa","The Robotics Institute, Carnegie Mellon University, USA; The Robotics Institute, Carnegie Mellon University, USA; The Robotics Institute, Carnegie Mellon University, USA; The Robotics Institute, Carnegie Mellon University, USA; The Robotics Institute, Carnegie Mellon University, USA","2013 IEEE International Conference on Robotics and Automation","17 Oct 2013","2013","","","1828","1835","Many robotic systems deal with uncertainty by performing a sequence of information gathering actions. In this work, we focus on the problem of efficiently constructing such a sequence by drawing an explicit connection to submodularity. Ideally, we would like a method that finds the optimal sequence, taking the minimum amount of time while providing sufficient information. Finding this sequence, however, is generally intractable. As a result, many well-established methods select actions greedily. Surprisingly, this often performs well. Our work first explains this high performance - we note a commonly used metric, reduction of Shannon entropy, is submodular under certain assumptions, rendering the greedy solution comparable to the optimal plan in the offline setting. However, reacting online to observations can increase performance. Recently developed notions of adaptive submodularity provide guarantees for a greedy algorithm in this online setting. In this work, we develop new methods based on adaptive submodularity for selecting a sequence of information gathering actions online. In addition to providing guarantees, we can capitalize on submodularity to attain additional computational speedups. We demonstrate the effectiveness of these methods in simulation and on a robot.","1050-4729","978-1-4673-5643-5","10.1109/ICRA.2013.6630818","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6630818","","Uncertainty;Noise measurement;Trajectory;Robots;Entropy;Noise","entropy;greedy algorithms;mobile robots;path planning;tactile sensors","online information gathering action sequence;greedy algorithm;adaptive submodularity;offline setting;greedy solution;Shannon entropy reduction;optimal sequence;robotic systems;touch based localization","","23","","36","","17 Oct 2013","","","IEEE","IEEE Conferences"
"Robot plans execution for information gathering tasks with resources constraints","M. Wang; R. Dearden; N. Hawes","School of Computer Science, University of Birmingham, UK; Schlumberger Gould Research Center, Cambridge, UK; School of Computer Science, University of Birmingham, UK","2015 European Conference on Mobile Robots (ECMR)","12 Nov 2015","2015","","","1","6","Partially observable Markov decision processes (POMDPs) have been widely used to model real world problems because of their abilities to capture uncertainty in states, actions and observations. In robotics, there are also constraints imposed on the problems, such as time constraints or resources constraints for executing actions. In this work, we seek to address the problems of planning in the presence of both uncertainty and constraints. Constrained POMDPs extend the general POMDPs by explicitly representing constraints in the goal conditions. The method we take in this paper is to use a translation-based approach to generate an MDP policy off-line, and apply value of information calculation on-line to stochastically select the observation action by taking into account of information they gain and their resource usage. This on-line selection scheme was evaluated in a number of scenarios and simulations, and the preliminary results show that our approach can achieve better performance compared to deterministic schemes.","","978-1-4673-9163-4","10.1109/ECMR.2015.7324216","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7324216","","Robots;Rocks;Uncertainty;Stochastic processes;Planning;Search problems;Time factors","decision theory;Markov processes;mobile robots;path planning","resources constraints;partially observable Markov decision processes;robot planning;translation-based approach;on-line selection scheme;deterministic schemes;constrained POMDPs;mobile robot","","","","18","","12 Nov 2015","","","IEEE","IEEE Conferences"
