"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On the Design of Yaw Rate Control via Variable Front-to-Total Anti-Roll Moment Distribution","M. Ricco; M. Zanchetta; G. C. Rizzo; D. Tavernini; A. Sorniotti; C. Chatzikomis; M. Velardocchia; M. Geraerts; M. Dhaens","University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; Politecnico di Torino, Turin, Italy; Tenneco Automotive Europe BVBA, Sint-Truiden, Belgium; Tenneco Automotive Europe BVBA, Sint-Truiden, Belgium","IEEE Transactions on Vehicular Technology","12 Feb 2020","2020","69","2","1388","1403","In vehicle dynamics, yaw rate control is used to improve the cornering response in steady-state and transient conditions. This can be achieved through an appropriate anti-roll moment distribution between the front and rear axles of a vehicle with controllable suspension actuators. Such control action alters the load transfer distribution, which in turn provokes a lateral tire force variation. With respect to the extensive set of papers from the literature discussing yaw rate tracking through active suspension control, this study presents: i) A detailed analysis of the effect of the load transfer on the lateral axle force and cornering stiffness; ii) A novel linearized single-track vehicle model formulation for control system design, based on the results in i); and iii) An optimization-based routine for the design of the non-linear feedforward contribution of the control action. The resulting feedforward-feedback controller is assessed through: a) Simulations with an experimentally validated model of a vehicle with active anti-roll bars (case study 1); and b) Experimental tests on a vehicle prototype with an active suspension system (case study 2).","1939-9359","","10.1109/TVT.2019.2955902","European Union through the Horizon 2020 Programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915752","Anti-roll moment distribution control;load transfer;linearized model;quasi-static model;yaw rate control;feedforward;feedback","Axles;Force;Tires;Load modeling;Suspensions;Control systems;Feedforward systems","actuators;axles;control system synthesis;feedback;feedforward;road vehicles;steering systems;suspensions (mechanical components);tyres;vehicle dynamics","yaw rate control;vehicle dynamics;cornering response;transient conditions;rear axles;controllable suspension actuators;control action;load transfer distribution;lateral tire force variation;yaw rate tracking;active suspension control;lateral axle force;stiffness;single-track vehicle model formulation;control system design;feedforward-feedback controller;vehicle prototype;active suspension system;active antiroll bars;antiroll moment distribution;variable front-to-total antiroll moment distribution","","","","54","CCBY","27 Nov 2019","","","IEEE","IEEE Journals"
"Static Security Analysis Applies in the Network of SINOPEC Tianjin","Z. Xue-song; L. Xin; M. You-jie; G. Hai-qing; Z. Xuan-zheng; Z. Yi-ran","Tianjin Key Lab. for Control Theor. & Applic. in Complicated Syst., Tianjin Univ. of Technol., Tianjin, China; Tianjin Key Lab. for Control Theor. & Applic. in Complicated Syst., Tianjin Univ. of Technol., Tianjin, China; Tianjin Key Lab. for Control Theor. & Applic. in Complicated Syst., Tianjin Univ. of Technol., Tianjin, China; Tianjin Key Lab. for Control Theor. & Applic. in Complicated Syst., Tianjin Univ. of Technol., Tianjin, China; Tianjin Key Lab. for Control Theor. & Applic. in Complicated Syst., Tianjin Univ. of Technol., Tianjin, China; Tianjin Key Lab. for Control Theor. & Applic. in Complicated Syst., Tianjin Univ. of Technol., Tianjin, China","2010 WASE International Conference on Information Engineering","16 Sep 2010","2010","2","","318","321","It is of great significance for us to research security problems in the power system. After choosing static security, related theories and methods to be main research object, we calculate power flow and use transferring load as safety countermeasures for power restoration at the same time. Here, we select the Newton method. Then, making the static analysis module of PSASP as the electric power system simulation software to apply in analyzing power flow and N-1 open circuit, which is under the biggest operation in petrochemical system. At last, we get related overload information in order to inspect whether the operation method and the connection mode of SINOPEC network is safe, and facilitate the ability of risking given accident, and take corrective actions at last.","","978-1-4244-7507-0","10.1109/ICIE.2010.171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5571419","N-1;PSASP software;Static security analysis;load transmission","Security;Safety;Load flow;Mathematical model;Petrochemicals;Generators","load flow;Newton method;petrochemicals;power system protection;power system security;power system simulation","static security analysis;SINOPEC;power system security;load transferring;safety countermeasures;power restoration;Newton method;static analysis;power flow analysis;open circuit;petrochemical system;overload information","","","","3","","16 Sep 2010","","","IEEE","IEEE Conferences"
"Effects of time varying currents and magnetic fields in the frequency range of 1 kHz to 1 MHz to the human body - a simulation study","J. Bohnert; O. Dössel","Institute of Biomedical Engineering, Karlsruhe Institute of Technology, 76128, Germany; Institute of Biomedical Engineering, Karlsruhe Institute of Technology, 76128, Germany","2010 Annual International Conference of the IEEE Engineering in Medicine and Biology","11 Nov 2010","2010","","","6805","6808","Exposure to time-varying magnetic fields evokes two effects in biological tissue: Firstly, an electric field is induced that generates eddy currents in conductive tissues, and, secondly, power deposit might increase local temperatures. Field effects of frequencies up to 1 kHz and above 1 MHz are well known. The intermediate frequency range lacks intensive research. Only little attention has been paid so far. Yet due to recent innovations in medical diagnostics and therapies like Magnetic Particle Imaging or RF-Hyperthermia, the need arises to investigate the frequency range from 1kHz to 1 MHz. This work presents results of numerical field calculations of a human body model placed within simple coil configurations. Induced current densities, generated by alternating coil currents, are simulated. The effect of current densities are demonstrated and evaluated on schematic cell models of excitable tissue. In order to generate an action potential at the cell membrane, a difference in electric potential from intra- to extracellular space must be present. It can be shown that in case of sufficient field strength, stimulation of nerves and muscles is possible up to a frequency of 100 kHz. The aim of this paper is to transfer simulation results from the macroscopic model to the microscopic model in order to estimate field effects of big field generating coils.","1558-4615","978-1-4244-4123-5","10.1109/IEMBS.2010.5625970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5625970","","Current density;Numerical models;Muscles;Computational modeling;Magnetic tunneling;Biomembranes;Coils","bioelectric potentials;biological effects of fields;biomagnetism;biomembrane transport;cellular biophysics;coils;current density;neurophysiology;physiological models","time-varying magnetic fields;numerical field calculations;human body model;alternating coil currents;current densities;schematic cell models;cell membrane;extracellular space;electric potential;intracellular space;eddy currents;conductive tissues;nerves;muscles;biological tissue;frequency 1 kHz to 1 MHz","Electromagnetic Fields;Human Body;Humans;Whole Body Imaging","2","","7","","11 Nov 2010","","","IEEE","IEEE Conferences"
"Temperature Distribution and Discharge Modeling of a Semiconductor Bridge","M. Liu; X. Zhang","Nanjing University of Science & Technology, Nanjing, China; Ballistic Research Laboratory of China, Jiangsu, China","IEEE Transactions on Plasma Science","5 Jan 2012","2012","40","1","16","21","A Semiconductor Bridge (SCB) explosive initiator has many advantages such as shorter action time, better ignition consistency and higher reliability. The development of a SCB has traditionally been guided by an experimental approach. Experiments conducted worldwide show that the melting and vaporization of a SCB when heated by an electrical current is a very complex physical process. In this process, the bridge goes through multi-phase changes, i.e., in order solid, liquid, gaseous and plasma-state. This paper discusses the numerical simulation of the SCB working process when driven with a short low-energy pulse. In an effort to elucidate the behaviors of the SCB working process, the temperature distribution before the SCB melting and SCB discharge are presented. The basic semiconductor equations and heat transfer equation are described to evaluate the temperature distribution in the SCB. The results are obtained from finite-difference implementations. The edge gasification effect of SCB is proved by the curve of temperature distribution, and the double temperature characteristic of SCB is shown. Finally, a SCB discharge model is established. The result shows that the bigger the external voltage, the longer is the discharge time.","1939-9375","","10.1109/TPS.2011.2173504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6094225","Arc discharge;mechanism of function;semiconductor bridge (SCB);temperature distribution","Mathematical model;Discharges;Equations;Temperature distribution;Charge carrier processes;Plasma temperature","heat transfer;heat treatment;melting;modelling;numerical analysis;reliability;semiconductor devices;temperature distribution;vaporisation","semiconductor bridge;discharge modeling;explosive initiator;ignition consistency;reliability;melting;vaporization;electrical current;multiphase change;numerical simulation;low-energy pulse;heat transfer equation;semiconductor equation;edge gasification effect;temperature distribution","","4","","17","","2 Dec 2011","","","IEEE","IEEE Journals"
"Kinect based interactive music application for disabled children","Y. Kadakal; H. Kivrak; H. Kose","Bilgisayar Mühendisliği Bölümü, İstanbul Teknik Üniversitesi, İstanbul, TÜRKİYE; Bilgisayar Mühendisliği Bölümü, İstanbul Teknik Üniversitesi, İstanbul, TÜRKİYE; Bilgisayar Mühendisliği Bölümü, İstanbul Teknik Üniversitesi, İstanbul, TÜRKİYE","2014 22nd Signal Processing and Communications Applications Conference (SIU)","12 Jun 2014","2014","","","453","456","This work is part of a project for imitation based turn-taking and interaction games for children with communication impairments. The paper focuses on a music based interaction game mainly for children with autism. Autism Spectrum Disorder (ASD) involves communication impairments, limited social interaction, and limited imagination. Music can facilitate social interaction between the child and teacher/parent. In this work, the child is expected to imitate the predefined drumming actions in order, and a Kinect camera based system is used to recognize the signs and convert the actions to drum beats. The system simulates an e-drum which maps 6 different arm actions to different drum beats. A visual interface uses the input from the Kinect based system and gives visual and audio feedback to the participants based on the performance. In the pilot studies with adult participants, positive feedback about the system interface is taken, as well as the high success rate in the recognition of the actions and transferring these actions to music by the Kinect based system.","2165-0608","978-1-4799-4874-1","10.1109/SIU.2014.6830263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6830263","Human-robot interaction;autism;imitation games;sign language;Kinect;gesture recognition","Autism;Signal processing;Conferences;Games;Variable speed drives;Visualization;Gesture recognition","audio-visual systems;cameras;computer games;handicapped aids;human computer interaction;image motion analysis;interactive systems;medical disorders;music;sign language recognition","action recognition;audio feedback;visual feedback;visual interface;arm actions;e-drum;drum beats;sign recognition;Kinect camera based system;drumming action;child-parent social interaction;child-teacher social interaction;limited imagination;limited social interaction;ASD;autism spectrum disorder;music based interaction game;communication impairment;imitation based turn-taking game;disabled children;Kinect based interactive music application","","1","","10","","12 Jun 2014","","","IEEE","IEEE Conferences"
"Design of iterative learning control schemes for systems with zero Markov parameters","W. Paszke; E. Rogers; K. Gałkowski","Institute of Control and Computation Engineering, University of Zielona Góra, ul. Szafrana 2, 65-246, Poland; Department of Electronics and Computer Science, University of Southampton, SO17 1BJ, UK; Institute of Control and Computation Engineering, University of Zielona Góra, ul. Szafrana 2, 65-246, Poland","2015 54th IEEE Conference on Decision and Control (CDC)","11 Feb 2016","2015","","","6083","6088","This paper gives new results on the design of iterative learning control laws in the repetitive process setting for error convergence and regulation of the transient dynamics. Such control laws are applied to systems that repeat the same operation, known as trials, over a finite duration. The underlying approach is to specify a reference trajectory and using the recorded data from the previous trials to update the control input signal such that the sequence of trial outputs converge to this specified trajectory. For linear time-invariant dynamics, successful design requires that the first Markov parameter is non-zero, i.e., the system transfer-function is proper. The new design in this paper allows direct treatment of strictly proper dynamics by use of anticipative action based on previous trial data and the resulting design computations are linear matrix inequality based. A simulation case study based on robotic manipulator dynamics, whose model was developed from experimentally measured data, is used to demonstrate the feasibility and effectiveness of the new design procedure.","","978-1-4799-7886-1","10.1109/CDC.2015.7403176","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7403176","","Process control;Convergence;Symmetric matrices;Markov processes;Linear matrix inequalities;Service robots","control system synthesis;convergence;iterative learning control;linear matrix inequalities;linear systems;manipulator dynamics;Markov processes;transfer functions","iterative learning control design;zero Markov parameter system;repetitive process setting;error convergence;transient dynamics regulation;reference trajectory;control input signal;linear time-invariant dynamics;system transfer-function;anticipative action;linear matrix inequality;robotic manipulator dynamics","","1","","16","","11 Feb 2016","","","IEEE","IEEE Conferences"
"Interleaved Switch Harvesting on Inductor: Non-linear extraction, action and reaction","F. Häggström; J. Gustafsson; J. Delsing","SKF University Technology Centre, Division of EISLAB, Luleå University of Technology, 971 87 Luleå, Sweden; Division of EISLAB, Luleå University of Technology, 971 87 Luleå, Sweden; Division of EISLAB, Luleå University of Technology, 971 87 Luleå, Sweden","2016 IEEE International Instrumentation and Measurement Technology Conference Proceedings","25 Jul 2016","2016","","","1","6","The circuit presented in this paper provides increased transfer efficiency for the electric charge generated by a piezoelectric element to the storage device, it also enables a simplified active control circuitry required for switched harvesting solutions as the control transistors are referenced to ground. This is achieved by inverting the voltage potential across the piezoelectric element and thereby maintaining a higher voltage while extracting energy. The increased potential allows vibration harvesters to operate over a broader frequency range. For weakly coupled piezoelectric harvesters, the increased potential allows the electrical power output to be increased. In this paper, the circuit is simulated in SPICE using existing models of discrete components in conjunction with a model of a piezoelectric vibration harvester. The power output and mechanical behavior of the harvester using the presented circuit are compared to two existing technologies: Synchronous Switch Harvesting on Inductor (SSHI) and a full-wave rectifying bridge. The comparison demonstrates that the novel Interleaved Switch Harvesting on Inductor (ISHI) circuit outperforms state-of-the-art active harvesting solutions, e.g., SSHI, as a result of the decreased energy losses from diodes. In addition, the ISHI circuit requires fewer components than does the SSHI circuit and solves the floating transistor source issue that arises in SSHI implementations. To achieve the maximum power conversion efficiency, impedance matching is required, which can be achieved by controlling the voltage of the storage device.","","978-1-4673-9220-4","10.1109/I2MTC.2016.7520439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7520439","","Transistors;Piezoelectric materials;Vibrations;Damping;Strain;Capacitance;Switching circuits","diodes;energy harvesting;impedance matching;inductors;piezoelectric transducers;rectifying circuits;switches;transistors","ISHI circuit;floating transistor source;maximum power conversion efficiency;impedance matching;full-wave rectifying bridge;SSHI circuit;synchronous switch harvesting on inductor circuit;discrete component model;SPICE simulation;weakly coupled piezoelectric vibration harvester;energy extraction;voltage potential inversion;simplified active control circuitry;storage device;piezoelectric element;electric charge;nonlinear extraction;interleaved switch harvesting on inductor circuit","","","","18","","25 Jul 2016","","","IEEE","IEEE Conferences"
"The architecture design of the multirobot team formation","Wang Xing-ce; Gu Guo-chang; Zhang Ru-bo; Song Mei-ping","College of Computer Science and Technology Harbin Engineering University Harbin China wangxingce@sohu.com; Coll. of Comput. Sci. & Technol., Harbin Eng. Univ.; Coll. of Comput. Sci. & Technol., Harbin Eng. Univ.; Coll. of Comput. Sci. & Technol., Harbin Eng. Univ.","2004 IEEE International Conference on Robotics and Biomimetics","24 Oct 2005","2004","","","649","653","The layered control architecture is designed for the need of the multirobot intelligent team formation. There are three levels: the cooperation task level, the coordination behavior level and the action planning level. The cooperation task level is using the potential grid method, which improves the safety of the path and reduces the calculation complexity. The coordination behavior level is using the reinforcement learning which strengthen the robots' intelligence. The action planning level is using the fuzzy planning methods to realize the action matching. The communication model transfer the message in different level. This architecture shows not only the independence and the intelligence of the single robot but also the cooperation and the coordination among the robots. In each level, the task is distributed reasonably and clearly. At last the feasibility of the architecture is verified further in the simulation of the experiment. The expansibility of the architecture is good and the architecture can be used in the similar system","","0-7803-8614-8","10.1109/ROBIO.2004.1521857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521857","multirobot;multiagent system;architecture;plan","Robot kinematics;Intelligent robots;Educational institutions;Computer science;Design engineering;Computer architecture;Robotics and automation;Multirobot systems;Laboratories;Design automation","fuzzy systems;intelligent robots;learning (artificial intelligence);multi-robot systems;planning (artificial intelligence)","multiagent system;control architecture design;multirobot intelligent team formation;cooperation task level;coordination behavior level;action planning level;potential grid method;reinforcement learning;fuzzy planning;action matching;intelligent robot","","","","8","","24 Oct 2005","","","IEEE","IEEE Conferences"
"Model based PI like control scheme in a reset configuration for stable single loop systems","A. R. Pathiran; J. Prakash","School of Electronics Engineering, VIT University, Vellore, India; Dept. of Instrumentation Engineering, MIT Campus, Anna University, Chennai, India","2013 International Conference on Emerging Trends in Communication, Control, Signal Processing and Computing Applications (C2SPCA)","27 Feb 2014","2013","","","1","6","This paper discusses a model based PI like control scheme based on direct synthesis of controller design and conventional PI/PID controller design. The proposed control scheme does not require process model inversion and it explicitly uses the dynamic part of process model in a reset configuration realization. Further, the proposed control scheme has a single tuning parameter and control action resembles to that of PI controller. Simulation studies assert that the proposed control scheme provides improved servo and regulatory performances compared with PI control scheme.","","978-1-4799-1085-4","10.1109/C2SPCA.2013.6749446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6749446","Model Based Controller;PI controller;Direct Synthesis","Process control;Mathematical model;Transfer functions;Tuning;Load modeling;Equations;TV","control system synthesis;PI control;stability;three-term control","model based PI like control scheme;stable single loop systems;direct controller design synthesis;PI-PID controller design;reset configuration realization;tuning parameter;control action;improved servo performances;regulatory performances","","","","14","","27 Feb 2014","","","IEEE","IEEE Conferences"
"Determining coil distance of cross-segmented IPT system for constant output voltage","M. Yang; Y. Li; R. Mai; Z. He; B. Wang","School of Electrical Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China; School of Electrical Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China; School of Electrical Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China; School of Electrical Engineering, Southwest Jiaotong University, Chengdu, Sichuan Province, China; China Railway Construction Heavy Industry Co. Ltd, Changsha, Hunan Province, China","2017 IEEE Applied Power Electronics Conference and Exposition (APEC)","18 May 2017","2017","","","1401","1406","Inductive Power Transfer has long been considered as an advanced traction power supply technology for Electric Rail Transits. Primary coils are often segmented to reduce resistive power loss. When switching between segments, the secondary pick-up voltage may be vulnerable to large fluctuations because of mutual inductance variation and poor timing of switching actions. In this paper, a method for designing proper distance between adjacent primary coils is introduced for steadier pick-up voltage. A switching scheme and its timing for the LCL circuits is also introduced for stable segment transitioning. FEA simulation and an experimental setup were established. Both simulation and experimental results show that the output voltage remains almost unchanging with the introduced method and validate its feasibility.","2470-6647","978-1-5090-5366-7","10.1109/APEC.2017.7930880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930880","inductive power transfer;segmentation;LCL circuits;output voltage stabilization","Inductance;Switches;Capacitors;Switching circuits;Inductors;Rails;Fluctuations","coils;finite element analysis;inductive power transmission;LC circuits;power inductors;railway electrification;traction","FEA simulation;finite element analysis;LCL circuits;switching scheme;mutual inductance variation;secondary pick-up voltage;resistive power loss;primary coils;electric rail transits;advanced traction power supply technology;cross-segmented IPT system;inductive power transfer;coil distance","","3","","14","","18 May 2017","","","IEEE","IEEE Conferences"
