"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cooperative Adaptive Cruise Control for String Stable Mixed Traffic: Benchmark and Human-Centered Design","F. Li; Y. Wang","Department of Mechanical Engineering, Clemson University, Clemson, SC, USA; Department of Mechanical Engineering, Clemson University, Clemson, SC, USA","IEEE Transactions on Intelligent Transportation Systems","7 Dec 2017","2017","18","12","3473","3485","With the emergence of vehicle-to-vehicle communication technology, cooperative adaptive cruise control (CACC) cars can be expected in the near future. In this paper, novel criteria for string stability are proposed for mixed traffic platoons that consist of both automated and manual driving cars. A mixed traffic string stability definition is proposed to guarantee the boundedness of the motion states fluctuation upstream as well as the safety of the entire platoon. With proper arrangements of the platoon sequence as well as mild restrictions on the leading car's velocity overshoot, the proposed mixed traffic string stability can be realized via some suitable controller design for the automated cars. The benchmark controller with feedback and feedforward path is first used to verify the above results with rigorous proof. Furthermore, a human-centered CACC system is designed to improve both physical and psychological comfort of a driver under the guarantee of mixed traffic string stability. The action-point car-following model is adapted to quantify the driver's psychological comfort in combination with the quantification of physical comfort based on jerk. A model predictive control-like blending ratio controller is developed to obtain the optimal time headway in the feedback controller for tradeoffs among driver comfort, fuel efficiency, and traffic throughput under string stability constraints. Finally, a seven-car CACC mixed traffic platoon scenario is simulated. Compared with the benchmark CACC controller design, the human-centered CACC design is shown to largely improve the driving comfort.","1558-0016","","10.1109/TITS.2017.2760805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094925","Cooperative adaptive cruise control (CACC);mixed traffic;string stability;human-centered controller","Stability criteria;Transfer functions;Psychology;Cruise control;Human factors;Vehicular ad hoc networks","adaptive control;automobiles;control system synthesis;cooperative systems;feedback;feedforward;predictive control;road traffic control;road vehicles;stability;velocity control","mixed traffic string stability definition;platoon sequence;automated cars;benchmark controller;human-centered CACC system;action-point car-following model;feedback controller;string stability constraints;human-centered CACC design;string stable mixed traffic;human-centered design;vehicle-to-vehicle communication technology;adaptive cruise control cars;mixed traffic platoons;automated driving cars;controller design;model predictive control;blending ratio controller;cooperative adaptive cruise control","","8","","36","","3 Nov 2017","","","IEEE","IEEE Journals"
"On the Design of Yaw Rate Control via Variable Front-to-Total Anti-Roll Moment Distribution","M. Ricco; M. Zanchetta; G. C. Rizzo; D. Tavernini; A. Sorniotti; C. Chatzikomis; M. Velardocchia; M. Geraerts; M. Dhaens","University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; University of Surrey, Guildford, U.K.; Politecnico di Torino, Turin, Italy; Tenneco Automotive Europe BVBA, Sint-Truiden, Belgium; Tenneco Automotive Europe BVBA, Sint-Truiden, Belgium","IEEE Transactions on Vehicular Technology","12 Feb 2020","2020","69","2","1388","1403","In vehicle dynamics, yaw rate control is used to improve the cornering response in steady-state and transient conditions. This can be achieved through an appropriate anti-roll moment distribution between the front and rear axles of a vehicle with controllable suspension actuators. Such control action alters the load transfer distribution, which in turn provokes a lateral tire force variation. With respect to the extensive set of papers from the literature discussing yaw rate tracking through active suspension control, this study presents: i) A detailed analysis of the effect of the load transfer on the lateral axle force and cornering stiffness; ii) A novel linearized single-track vehicle model formulation for control system design, based on the results in i); and iii) An optimization-based routine for the design of the non-linear feedforward contribution of the control action. The resulting feedforward-feedback controller is assessed through: a) Simulations with an experimentally validated model of a vehicle with active anti-roll bars (case study 1); and b) Experimental tests on a vehicle prototype with an active suspension system (case study 2).","1939-9359","","10.1109/TVT.2019.2955902","European Union through the Horizon 2020 Programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915752","Anti-roll moment distribution control;load transfer;linearized model;quasi-static model;yaw rate control;feedforward;feedback","Axles;Force;Tires;Load modeling;Suspensions;Control systems;Feedforward systems","actuators;axles;control system synthesis;feedback;feedforward;road vehicles;steering systems;suspensions (mechanical components);tyres;vehicle dynamics","yaw rate control;vehicle dynamics;cornering response;transient conditions;rear axles;controllable suspension actuators;control action;load transfer distribution;lateral tire force variation;yaw rate tracking;active suspension control;lateral axle force;stiffness;single-track vehicle model formulation;control system design;feedforward-feedback controller;vehicle prototype;active suspension system;active antiroll bars;antiroll moment distribution;variable front-to-total antiroll moment distribution","","","","54","CCBY","27 Nov 2019","","","IEEE","IEEE Journals"
"On-line simultaneous learning and recognition of everyday activities from virtual reality performances","T. Bates; K. Ramirez-Amaro; T. Inamura; G. Cheng","Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333 Munich Germany; Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333 Munich Germany; National Institute of Informatics, 2 Chome-2-1-2 Hitotsubashi, Chiyodaku, Tokyo 100-0003, Japan; Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333 Munich Germany","2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","14 Dec 2017","2017","","","3510","3515","Capturing realistic human behaviors is essential to learn human models that can later be transferred to robots. Recent improvements in virtual reality (VR) head-mounted displays provide a viable way to collect natural examples of human behavior without the difficulties often associated with capturing performances in a physical environment. We present a realistic, cluttered, VR environment for experimentation with household tasks paired with a semantic extraction and reasoning system able to utilize data collected in real-time and apply ontology-based reasoning to learn and classify activities performed in VR. The system performs continuous segmentation of the motions of users' hands and simultaneously classifies known actions while learning new ones on demand. The system then constructs a graph of all related activities in the environment through its observations, extracting the task space utilized by observed users during their performance. The action recognition and learning system was able to maintain a high degree of accuracy of around 92% while dealing with a more complex and realistic environment compared to earlier work in both physical and virtual spaces.","2153-0866","978-1-5386-2682-5","10.1109/IROS.2017.8206193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206193","","Motion segmentation;Training;Cognition;Avatars;Semantics","helmet mounted displays;image recognition;learning (artificial intelligence);ontologies (artificial intelligence);virtual reality","virtual reality performances;realistic human behaviors;human models;robots;virtual reality head;human behavior;physical environment;VR environment;household tasks;semantic extraction;reasoning;continuous segmentation;task space;observed users;action recognition;learning system;complex environment;realistic environment;physical spaces;virtual spaces;on-line simultaneous learning","","10","","14","","14 Dec 2017","","","IEEE","IEEE Conferences"
"A Model for Sensorimotor Affordances in Virtual Reality Environments","U. Meyer; S. Draheim; K. von Luck","CSTI, Hamburg University of Applied Sciences, Hamburg, Germany; CSTI, Hamburg University of Applied Sciences, Hamburg, Germany; CSTI, Hamburg University of Applied Sciences, Hamburg, Germany","2019 11th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games)","14 Oct 2019","2019","","","1","4","Study results on virtual reality (VR) environment properties and their impact on presence have been contradictory. And due to the media specificity of VR, which includes place illusion, rules for environment design cannot directly be transferred from 3D computer games or stereoscopic film to VR. This study develops a model for VR environments based on Mel Slater's observation that place illusion in VR is caused by the use of sensorimotor contingencies (SMC). It defines properties of the environment which provide action possibilities for SMC as sensorimotor affordances (SMA). SMC and SMA form a bidirectional feedback loop of perception. This model helps to clarify former contradictory study results on VR environments, and also provides the basis for a framework of preceptual design rules for VR environments.","2474-0489","978-1-7281-4540-2","10.1109/VS-Games.2019.8864514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8864514","Virtual reality;virtual environment;illusion;sensorimotor contingencies;affordances;perceptual design","Robot sensing systems;Optical sensors;Optical feedback;Real-time systems;Media;Rendering (computer graphics);Optical imaging","social aspects of automation;virtual reality","sensorimotor affordances;virtual reality environments;place illusion;sensorimotor contingencies;VR media specificity;sensory distortion","","","","20","","14 Oct 2019","","","IEEE","IEEE Conferences"
"Effects of time varying currents and magnetic fields in the frequency range of 1 kHz to 1 MHz to the human body - a simulation study","J. Bohnert; O. Dössel","Institute of Biomedical Engineering, Karlsruhe Institute of Technology, 76128, Germany; Institute of Biomedical Engineering, Karlsruhe Institute of Technology, 76128, Germany","2010 Annual International Conference of the IEEE Engineering in Medicine and Biology","11 Nov 2010","2010","","","6805","6808","Exposure to time-varying magnetic fields evokes two effects in biological tissue: Firstly, an electric field is induced that generates eddy currents in conductive tissues, and, secondly, power deposit might increase local temperatures. Field effects of frequencies up to 1 kHz and above 1 MHz are well known. The intermediate frequency range lacks intensive research. Only little attention has been paid so far. Yet due to recent innovations in medical diagnostics and therapies like Magnetic Particle Imaging or RF-Hyperthermia, the need arises to investigate the frequency range from 1kHz to 1 MHz. This work presents results of numerical field calculations of a human body model placed within simple coil configurations. Induced current densities, generated by alternating coil currents, are simulated. The effect of current densities are demonstrated and evaluated on schematic cell models of excitable tissue. In order to generate an action potential at the cell membrane, a difference in electric potential from intra- to extracellular space must be present. It can be shown that in case of sufficient field strength, stimulation of nerves and muscles is possible up to a frequency of 100 kHz. The aim of this paper is to transfer simulation results from the macroscopic model to the microscopic model in order to estimate field effects of big field generating coils.","1558-4615","978-1-4244-4123-5","10.1109/IEMBS.2010.5625970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5625970","","Current density;Numerical models;Muscles;Computational modeling;Magnetic tunneling;Biomembranes;Coils","bioelectric potentials;biological effects of fields;biomagnetism;biomembrane transport;cellular biophysics;coils;current density;neurophysiology;physiological models","time-varying magnetic fields;numerical field calculations;human body model;alternating coil currents;current densities;schematic cell models;cell membrane;extracellular space;electric potential;intracellular space;eddy currents;conductive tissues;nerves;muscles;biological tissue;frequency 1 kHz to 1 MHz","Electromagnetic Fields;Human Body;Humans;Whole Body Imaging","2","","7","","11 Nov 2010","","","IEEE","IEEE Conferences"
"Energy-optimal electrical excitation of nerve fibers","S. Jezernik; M. Morari","Autom. Control Lab., Swiss Fed. Inst. of Technol., Zurich, Switzerland; Autom. Control Lab., Swiss Fed. Inst. of Technol., Zurich, Switzerland","IEEE Transactions on Biomedical Engineering","21 Mar 2005","2005","52","4","740","743","We derive, based on an analytical nerve membrane model and optimal control theory of dynamical systems, an energy-optimal stimulation current waveform for electrical excitation of nerve fibers. Optimal stimulation waveforms for nonleaky and leaky membranes are calculated. The case with a leaky membrane is a realistic case. Finally, we compare the waveforms and energies necessary for excitation of a leaky membrane in the case where the stimulation waveform is a square-wave current pulse, and in the case of energy-optimal stimulation. The optimal stimulation waveform is an exponentially rising waveform and necessitates considerably less energy to excite the nerve than a square-wave pulse (especially true for larger pulse durations). The described theoretical results can lead to drastically increased battery lifetime and/or decreased energy transmission requirements for implanted biomedical systems.","1558-2531","","10.1109/TBME.2005.844050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1408131","","Nerve fibers;Biomembranes;Extracellular;Optimal control;Prosthetics;Electrical stimulation;Conductivity;Automatic control;Biomedical electrodes;Analytical models","neurophysiology;bioelectric potentials;biomembranes;waveform analysis;prosthetics;physiological models","energy-optimal electrical excitation;nerve fibers;analytical nerve membrane model;optimal control theory;leaky membrane;nonleaky membrane;square-wave current pulse;increased battery lifetime;decreased energy transmission requirements;implanted biomedical systems","Action Potentials;Cell Membrane;Computer Simulation;Dose-Response Relationship, Radiation;Electric Stimulation;Electromagnetic Fields;Energy Transfer;Membrane Potentials;Models, Neurological;Nerve Fibers;Radiation Dosage;Synaptic Transmission","37","3","7","","21 Mar 2005","","","IEEE","IEEE Journals"
"Sim2Real Viewpoint Invariant Visual Servoing by Recurrent Control","F. Sadeghi; A. Toshev; E. Jang; S. Levine",NA; NA; NA; NA,"2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition","16 Dec 2018","2018","","","4691","4699","Humans are remarkably proficient at controlling their limbs and tools from a wide range of viewpoints. In robotics, this ability is referred to as visual servoing: moving a tool or end-point to a desired location using primarily visual feedback. In this paper, we propose learning viewpoint invariant visual servoing skills in a robot manipulation task. We train a deep recurrent controller that can automatically determine which actions move the end-effector of a robotic arm to a desired object. This problem is fundamentally ambiguous: under severe variation in viewpoint, it may be impossible to determine the actions in a single feedforward operation. Instead, our visual servoing approach uses its memory of past movements to understand how the actions affect the robot motion from the current viewpoint, correcting mistakes and gradually moving closer to the target. This ability is in stark contrast to previous visual servoing methods, which assume known dynamics or require a calibration phase. We learn our recurrent controller using simulated data, synthetic demonstrations and reinforcement learning. We then describe how the resulting model can be transferred to a real-world robot by disentangling perception from control and only adapting the visual layers. The adapted model can servo to previously unseen objects from novel viewpoints on a real-world Kuka IIWA robotic arm. For supplementary videos, see: https://www.youtube.com/watch?v=oLgM2Bnb7fo.","2575-7075","978-1-5386-6420-9","10.1109/CVPR.2018.00493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578591","","Visualization;Visual servoing;Robot kinematics;Cameras;Manipulators","calibration;end effectors;feedback;feedforward;image motion analysis;learning (artificial intelligence);mobile robots;robot vision;visual servoing","recurrent control;limbs;primarily visual feedback;viewpoint invariant visual servoing skills;robot manipulation task;deep recurrent controller;end-effector;single feedforward operation;visual servoing approach;robot motion;reinforcement learning;real-world robot;visual layers;real-world Kuka IIWA robotic arm","","24","","38","","16 Dec 2018","","","IEEE","IEEE Conferences"
"Adaptive Feedforward Control of Linear Systems to Satisfy Integral Constraints Imposed on Transients","B. Salih; T. Das","University of Central Florida, Orlando, FL, 32816, USA; University of Central Florida, Orlando, FL, 32816, USA","2019 American Control Conference (ACC)","29 Aug 2019","2019","","","5792","5797","The concept of Area-Matching Transients (AMT) is applicable to energy management in power systems that combine multiple power sources or a primary power source with an energy storage unit. The concept was investigated in our prior study, where emphasis was placed on second-order linear systems. This paper continues the earlier work by proposing methods for achieving AMT under plant uncertainties. Starting with the simplest case of a second order system with an additional zero, the analysis is generalized to address higher order uncertain systems. A structured adaptive estimation strategy is proposed to deal with uncertainty. A method employing combined feedback and forward actions is proposed to incorporate AMT characteristic in a given plant transfer function. Simulations are provided to validate the results developed in this work. Further investigation is currently ongoing to address AMT in nonlinear systems.","2378-5861","978-1-5386-7926-5","10.23919/ACC.2019.8814816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814816","","","adaptive control;adaptive estimation;control system synthesis;feedback;feedforward;linear systems;nonlinear control systems;power system control;power system management;transfer functions;uncertain systems","adaptive feedforward control;integral constraints;plant transfer function;AMT characteristic;area-matching transients;nonlinear systems;structured adaptive estimation strategy;higher order uncertain systems;plant uncertainties;second-order linear systems;energy storage unit;power systems;energy management","","","","16","","29 Aug 2019","","","IEEE","IEEE Conferences"
"Towards Evaluating the Effects of Stereoscopic Viewing and Haptic Interaction on Perception-Action Coordination","D. Brickler; S. V. Babu; J. Bertrand; A. Bhargava",Clemson University; Clemson University; Clemson University; Clemson University,"2018 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)","30 Aug 2018","2018","","","1","516","This paper details the results of an initial empirical evaluation conducted to examine how stereoscopic viewing and haptic feedback affects fine motor actions in a pick-and-place task, similar to the peg transfer task in an FLS training curriculum for laproscopic sugical training. In a between subjects experiment, we examined the effect of stereoscopic viewing and simulated tactile feedback during the fine motor actions of a participants' actions in the near field on the number of collisions and time to complete the task. We found that stereo and haptic feedback contributed to the effectiveness of task performance in different ways. Specifically, we found that the mean time to complete the trials was significantly higher in the abcense of tactile feedback as compared to when it was present, and the mean number of collisions was significantly higher in the presence of stereo as compared to when it was absent.","","978-1-5386-3365-6","10.1109/VR.2018.8446227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8446227","3D Interaction [Haptics]: Human-Computer Interaction-Perception-Action Coordination","Haptic interfaces;Task analysis;Stereo image processing;Three-dimensional displays;Solid modeling;Electronic mail;Performance evaluation","computer based training;feedback;haptic interfaces;medical image processing;stereo image processing;surgery","stereoscopic viewing;haptic feedback;fine motor actions;peg transfer task;FLS training curriculum;laproscopic sugical training;tactile feedback;stereo feedback;task performance;haptic interaction;perception-action coordination;empirical evaluation;pick-and-place task","","1","","3","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Design of a dynamic positioning system for a moored floating platform using QFT robust control","R. Muñoz-Mansilla; J. Aranda; J. M. Díaz; D. Chaos; A. J. Reinoso","Department of Computer Science and Automatic Control, National Distance Education University (UNED), Madrid, Spain; Department of Computer Science and Automatic Control, National Distance Education University (UNED), Madrid, Spain; Department of Computer Science and Automatic Control, National Distance Education University (UNED), Madrid, Spain; Department of Computer Science and Automatic Control, National Distance Education University (UNED), Madrid, Spain; Department of Telematic Systems and Computing, URJC, Madrid, Spain","2012 7th IEEE Conference on Industrial Electronics and Applications (ICIEA)","24 Nov 2012","2012","","","763","768","This paper describes the design of a dynamic positioning system for a moored floating platform by using robust control techniques, particularly Quantitative Feedback Theory (QFT). The goal is to minimize the drift resulting from the wave action by appropriate thrusters control. The model of the platform is a SIMO (single-input multiple-output) system, therefore an interesting question is that the plant has less degree of freedom for actuation and is difficult to control. The control problem of the underactuated system is solved by an iterative multi-stage sequential procedure. Simulation results are presented to demonstrate that the control achieves efficiently the dynamic positioning system. Therefore robust techniques based on QFT methodology constitute attractive alternatives in the application of positioning control of an underactuated marine system.","2158-2297","978-1-4577-2119-9","10.1109/ICIEA.2012.6360827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6360827","dynamic positioning system;underactuated system;robust control;multivariable control;floating platform","Transfer functions;Stability analysis;Control systems;Force;Robust control;Aerodynamics;Equations","feedback;iterative methods;marine control;position control;robust control;vehicle dynamics","dynamic positioning system;moored floating platform;QFT robust control techniques;quantitative feedback theory;drift minimization;thrusters control;SIMO system;single-input multiple-output system;underactuated marine system;iterative multistage sequential procedure;marine control problem","","","","29","","24 Nov 2012","","","IEEE","IEEE Conferences"
