"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Robotics and virtual reality: the development of a life-sized 3-D system for the rehabilitation of motor function","J. L. Patton; G. Dawe; C. Scharver; F. A. Mussa-Ivaldi; R. Kenyon","Rehabilitation Inst. of Chicago, IL, USA; NA; NA; NA; NA","The 26th Annual International Conference of the IEEE Engineering in Medicine and Biology Society","14 Mar 2005","2004","2","","4840","4843","We have been developing and combining state-of-art devices that allow humans to visualize and feel synthetic objects superimposed on the real world. This effort stems from the need of platform for extending experiments on motor control and learning to realistic human motor tasks and environments, not currently represented in the practice of research. This paper's goal is to outline our motivations, progress, and objectives. Because the system is a general tool, we also hope to motivate researchers in related fields to join in. The platform under development, an augmented reality system combined with a haptic-interface robot, will be a new tool for contributing to the scientific knowledge base in the area of human movement control and rehabilitation robotics. Because this is a prototype, the system will also guide new methods by probing the levels of quality necessary for future design cycles and related technology. Inevitably, it should also lead the way to commercialization of such systems.","","0-7803-8439-3","10.1109/IEMBS.2004.1404339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1404339","Human;Motor learning;Adaptation;Human-machine interface;Teaching;Neurorehabilitation","Rehabilitation robotics;Virtual reality;Humans;Visualization;Motor drives;Augmented reality;Robot control;Control systems;Prototypes;Commercialization","medical robotics;virtual reality;patient rehabilitation;haptic interfaces;biocontrol;biomechanics","rehabilitation robotics;virtual reality;life-sized 3-D system;motor control;motor learning;realistic human motor tasks;haptic-interface robot;human movement control","","13","","12","","14 Mar 2005","","","IEEE","IEEE Conferences"
"An intestinal surgery simulator: real-time collision processing and visualization","L. Raghupathi; L. Grisoni; F. Faure; D. Marchal; M. -. Cani; C. Chaillou","GRAVIR/IMAG Lab., Montbonnet, France; NA; NA; NA; NA; NA","IEEE Transactions on Visualization and Computer Graphics","13 Sep 2004","2004","10","6","708","718","This research work is aimed toward the development of a VR-based trainer for colon cancer removal. It enables the surgeons to interactively view and manipulate the concerned virtual organs as during a real surgery. First, we present a method for animating the small intestine and the mesentery (the tissue that connects it to the main vessels) in real-time, thus enabling user interaction through virtual surgical tools during the simulation. We present a stochastic approach for fast collision detection in highly deformable, self-colliding objects. A simple and efficient response to collisions is also introduced in order to reduce the overall animation complexity. Second, we describe a new method based on generalized cylinders for fast rendering of the intestine. An efficient curvature detection method, along with an adaptive sampling algorithm, is presented. This approach, while providing improved tessellation without the classical self-intersection problem, also allows for high-performance rendering thanks to the new 3D skinning feature available in recent GPUs. The rendering algorithm is also designed to ensure a guaranteed frame rate. Finally, we present the quantitative results of the simulations and describe the qualitative feedback obtained from the surgeons.","1941-0506","","10.1109/TVCG.2004.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333668","Index Terms- Virtual reality;physically-based modeling;animation;curve and surface representation.","Intestines;Visualization;Oncological surgery;Animation;Colon;Cancer;Stochastic processes;Object detection;Sampling methods;Algorithm design and analysis","data visualisation;virtual reality;cancer;surgery;computer animation;rendering (computer graphics);medical image processing;user interfaces;simulation;computational geometry;sampling methods","intestinal surgery simulator;real-time collision processing;real-time visualization;VR-based trainer;colon cancer removal;virtual organ;user interaction;virtual surgical tool;stochastic approach;self-colliding object;animation complexity;self-intersection problem;3D skinning feature;virtual reality;physically-based model","Algorithms;Biomedical Engineering;Colonic Neoplasms;Computer Graphics;Computer Simulation;Computer Systems;Computer-Assisted Instruction;Digestive System Surgical Procedures;Digestive System Surgical Procedures;Humans;Intestine, Small;Intestine, Small;Models, Anatomic;User-Computer Interface","34","3","41","","13 Sep 2004","","","IEEE","IEEE Journals"
"QoE-Driven Resource Allocation Optimized for Delay-Sensitive VR Video Uploading over Cellular Network","J. Yang; J. Luo; D. Meng; J. -N. Hwang","Chongqing University of Posts & Telecom, Chongqing,School of Communication and Information Engineering,China; Electronic Information and Networking Research Institute, Chongqing University of Posts & Telecom,Chongqing,China; University of Washington,Electrical Engineering Department,Seattle,USA; University of Washington,Electrical Engineering Department,Seattle,USA","2019 IEEE Symposium on Computers and Communications (ISCC)","27 Jan 2020","2019","","","1","6","Uploading Virtual Reality (VR) video over cellular networks is expected to boom in near future, as general consumers could generate high-quality VR videos with portable 360-degree cameras and are willing to share with others. Con-sequently, concerns of uplink bandwidth and delay arose for current popular technology of tile-based VR video streaming, which requires high quality video to transcode into multiple representations for further adaptive streaming. Motivated by this, we proposed a novel scheme for uplink delivery of tile-based VR video over cellular network, in which encoding bit rate of each tile is determined by uplink resource allocation (RA), and quality of content (QoC) contribution of each tile and channel quality of user equipments (UEs) are jointly considered during RA. Moreover, the RA problem is formulated as a frequency and time dependent non-deterministic polynomial(NP)-hard problem, which can be effectively solved by our proposed approximate convex algorithm. Simulation results show that the proposed algorithm can achieve higher utility, that is higher total quality of experience (QoE) for viewers.","2642-7389","978-1-7281-2999-0","10.1109/ISCC47284.2019.8969778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8969778","VR video;quality of experience (QoE);resource allocation;SC-FDMA;saliency;utility optimization","Streaming media;Uplink;Bit rate;Encoding;Quality of experience;Downlink;Resource management","cellular radio;computational complexity;convex programming;delays;quality of experience;resource allocation;transcoding;video coding;video streaming;virtual reality","QoE-driven resource allocation;delay-sensitive VR video uploading;cellular network;high-quality VR videos;uplink bandwidth;tile-based VR video streaming;high quality video;adaptive streaming;uplink delivery;uplink resource allocation;channel quality;RA problem;quality of experience;portable 360-degree cameras;virtual reality video;transcoding;quality of content;user equipments;frequency-and-time dependent nondeterministic polynomial-hard problem;NP-hard problem;approximate convex algorithm","","1","","16","","27 Jan 2020","","","IEEE","IEEE Conferences"
"An Adaptive Sequential Learning Algorithm for Robust Estimation using the Fair Penalty Function","G. Deng","Department of Electronic Engineering, La Trobe University, Bundoora, Victoria 3086, Australia. d.deng@latrobe.edu.au","2007 IEEE International Conference on Acoustics, Speech and Signal Processing - ICASSP '07","4 Jun 2007","2007","3","","III-737","III-740","In this paper we propose an alternative way to developing a robust and adaptive sequential algorithm for estimating the unknown impulse response of a linear system. Our approach is based on formulating the problem as a maximum penalized likelihood (MPL) problem. We use the Fair penalty function as the generalized log-likelihood and a quadratic function to play a regularization role. The MPL formulation also leads naturally to adaptive schemes for learning the regularization and scale parameters. The robustness of the proposed algorithm to impulsive noise is demonstrated through mathematical analysis and numerical simulations.","2379-190X","1-4244-0727-3","10.1109/ICASSP.2007.366785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4217815","robust sequential learning;maximum penalized likelihood","Noise robustness;Signal processing algorithms;Least squares approximation;Linear systems;Adaptive filters;Iterative algorithms;Mathematical analysis;Numerical simulation;Supervised learning;Adaptive signal processing","computer science education;electrical engineering education;impulse noise;maximum likelihood estimation;numerical analysis;signal processing;transient response","adaptive sequential learning algorithm;robust estimation;fair penalty function;impulse response;maximum penalized likelihood;generalized log-likelihood;quadratic function;adaptive schemes;impulsive noise;mathematical analysis;numerical simulations","","","","8","","4 Jun 2007","","","IEEE","IEEE Conferences"
"Full-duplex multichannel communication: real-time implementations in a general framework","W. Herbordt; H. Buchner; W. Kellermann; R. Rabenstein; S. Spors; H. Teutsch","Telecommun. Lab., Erlangen-Nurnberg Univ., Erlangen, Germany; Telecommun. Lab., Erlangen-Nurnberg Univ., Erlangen, Germany; Telecommun. Lab., Erlangen-Nurnberg Univ., Erlangen, Germany; Telecommun. Lab., Erlangen-Nurnberg Univ., Erlangen, Germany; Telecommun. Lab., Erlangen-Nurnberg Univ., Erlangen, Germany; Telecommun. Lab., Erlangen-Nurnberg Univ., Erlangen, Germany","2003 International Conference on Multimedia and Expo. ICME '03. Proceedings (Cat. No.03TH8698)","18 Aug 2003","2003","3","","III","49","In this combustion, we embed full-duplex multichannel communication interfaces for tele-presence systems into a general framework. On the reproduction side, we consider a wide range of multichannel acoustic rendering techniques including traditional stereophony, '5.1' systems, and wave field synthesis using loud speaker arrays for sound immersion. On the recording side, microphone arrays are discussed for capturing clean desired signals with spatial information. Based on this general framework, real-time implementations of such full-duplex multichannel communication systems are then described. We combine wave field synthesis with multichannel acoustic echo cancellation and adaptive beamforming and discuss a real-time implementation on standard desktop and laptop PCs.","","0-7803-7965-9","10.1109/ICME.2003.1221245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1221245","","Acoustic waves;Signal synthesis;Microphone arrays;Combustion;Rendering (computer graphics);Loudspeakers;Acoustic arrays;Disk recording;Real time systems;Echo cancellers","telecommunication channels;computer interfaces;loudspeakers;microphones;echo suppression;array signal processing;laptop computers;virtual reality;acoustic signal processing","full-duplex multichannel communication system;communication interfaces;telepresence systems;multichannel acoustic rendering techniques;traditional stereophony;wave field synthesis;loud speaker arrays;sound immersion;microphone arrays;multichannel acoustic echo cancellation;adaptive beamforming;standard desktop;laptop PC","","1","","15","","18 Aug 2003","","","IEEE","IEEE Conferences"
"A hybrid-based 3D streaming framework for mobile devices over IoT environments","M. A. Ja'afreh; M. Aloqaily; I. A. Ridhawi; N. Mostafa","School of Electrical Engineering and Computer Science (EECS), University of Ottawa, Ottawa, Canada; College of Engineering and Technology, American University of the Middle East (AUM), Egaila, Kuwait; College of Engineering and Technology, American University of the Middle East (AUM), Egaila, Kuwait; College of Engineering and Technology, American University of the Middle East (AUM), Egaila, Kuwait","2018 Third International Conference on Fog and Mobile Edge Computing (FMEC)","31 May 2018","2018","","","211","216","Today, we are witnessing the evolution of the Internet of Things (IoT), where trillions of objects are interconnected and starting to re-define the design of the Internet and its services. In fact, IoT plays a prominent role in the realization of the smart city paradigm. One of the highly demanded services in a smart city infrastructure is to enable Networked Virtual Environment (NVE) class of applications, like collaborative Augmented Reality (AR), virtual walkthroughs, and Massively Multiplayer Online games (MMOGs), on mobile things. Perversely, pre-downloading and rendering a complex 3D graphics is very computationally intensive and neither commensurate with the current mobiles hardware specifications and their dynamic mobility natures nor with the available wireless bandwidth. In addition, most IoT environments are generally deployed via a service-centric architecture which obviously suffers from a single point of failure, service latency, and scalability issues between IoT gateways and mobile devices. In order to address these problems, a framework that combines the pros of both central and distributed based schemes has been proposed. The proposed hybrid framework, referred to as STREAMIT, facilitates the 3D texture streaming over thin devices to cope with the mobile hardware resources and alleviate the challenges of client-server and ad-hoc 3D streaming. In addition, STREAMIT implements adaptive strategies to select, prioritize, and convey 3D texture graphical objects that only contribute to the user's visible scene. STREAMIT has been evaluated using NS3 discrete network simulator where extensive experiments have confirmed big achievements in terms of resource utilization, latency, throughput, and overhead.","","978-1-5386-5896-3","10.1109/FMEC.2018.8364067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8364067","Internet of things;Networked Virtual Environment;3D streaming;Smart city;Mobile devices","Three-dimensional displays;Mobile handsets;Streaming media;Smart cities;Rendering (computer graphics);Real-time systems;Multimedia communication","augmented reality;client-server systems;computer games;Internet of Things;internetworking;mobile computing;smart cities;virtualisation","dynamic mobility natures;Internet of Things;Networked Virtual Environment;Massively Multiplayer Online games;STREAMIT hybrid framework;3D texture streaming;ad-hoc 3D streaming;NS3 discrete network simulator;current mobiles hardware specifications;complex 3D graphics;Multiplayer Online games;virtual walkthroughs;collaborative Augmented Reality;smart city infrastructure;smart city paradigm;hybrid-based 3D streaming framework;NS3 discrete network;3D texture graphical objects;client-server;mobile hardware resources;STREAMIT;central distributed based schemes;mobile devices;IoT gateways;service latency;service-centric architecture;IoT environments;available wireless bandwidth","","1","","15","","31 May 2018","","","IEEE","IEEE Conferences"
"A new approach to quantify elbow position sense using an exoskeleton and a virtual reality display","A. Deblock-Bellamy; C. S. Batcho; C. Mercier; A. K. Blanchette","CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada","2017 International Conference on Virtual Rehabilitation (ICVR)","14 Aug 2017","2017","","","1","2","Most of the proprioception assessments commonly used are not adapted for individuals who present multiple impairments after a stroke. Indeed, these assessments require certain motor or cognitive functions that are generally affected after a stroke. We have therefore developed a protocol, combining a robotic device and a virtual reality display, that enables the assessment of position sense without requiring active movement in the evaluated arm, involving the opposite arm or relying on working memory. As a preliminary step of validation, elbow joint position sense of healthy young adults was quantified and test-retest reliability was studied. Results show that this protocol can quantify elbow position sense of healthy young adults (mean detection threshold: around 7 degrees), with a fair to good test-retest reliability.","2331-9569","978-1-5090-3053-8","10.1109/ICVR.2017.8007518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8007518","Proprioception;assessment;reliability;robotics;virtual reality;upper limb","Reliability;Elbow;Exoskeletons;Protocols;Robot sensing systems;Virtual reality","medical robotics;patient rehabilitation;virtual reality","elbow position;exoskeleton;virtual reality display;proprioception assessments;cognitive functions;robotic device;working memory","","","","8","","14 Aug 2017","","","IEEE","IEEE Conferences"
"Fractional Horsepower Dynamometer - A General Purpose Hardware-In-The-Loop Real-Time Simulation Platform for Nonlinear Control Research and Education","Y. Tarte; Y. Chen; W. Ren; K. Moore","Student Member, IEEE, Center for Self-Organizing and Intelligent Systems (CSOIS), Dept. of Electrical and Computer Engineering, 4160 Old Main Hill, Utah State University, Logan, UT 84322-4160, USA; Senior Member, IEEE, Center for Self-Organizing and Intelligent Systems (CSOIS), Dept. of Electrical and Computer Engineering, 4160 Old Main Hill, Utah State University, Logan, UT 84322-4160, USA; Member, IEEE, Center for Self-Organizing and Intelligent Systems (CSOIS), Dept. of Electrical and Computer Engineering, 4160 Old Main Hill, Utah State University, Logan, UT 84322-4160, USA; Senior Member, IEEE, Division of Engineering, Colorado School of Mines, Golden, Colorado 80401-1887, USA. E-mail: yqchen@ece.usu.edu; Tel. (435)797-0148; Fax: (435)797-3054.","Proceedings of the 45th IEEE Conference on Decision and Control","7 May 2007","2006","","","3912","3917","A fractional horsepower dynamometer was developed as a general purpose hardware-in-the-loop real-time simulation platform to emulate mechanical nonlinearities such as frictions, state-dependent disturbances, etc. This lab system can be used as a research platform to test various nonlinear control schemes. This platform can also be used as a laboratory experiment for ECE5320 ""Mechatronics"" and ECE7330 ""Nonlinear and Adaptive Control"" courses at Utah State University. The novelty of this platform lies in its ability to generate an arbitrary external torque load disturbance, using a controllable hysteresis brake, to a DC motor plant. Therefore, many nonlinear systems and controls can be emulated physically. In this paper, we include some sample experimental results to show the versatility of the dynamometer in emulating nonlinearities and the effectiveness in real-time testing of advanced nonlinear control schemes","0191-2216","1-4244-0171-2","10.1109/CDC.2006.377021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4177998","Nonlinear control;adaptive control;hardware-in-the-loop real-time simulation;real-time control systems rapid prototyping","Nonlinear control systems;Control systems;Friction;System testing;Laboratories;Mechatronics;Adaptive control;DC generators;Torque control;Hysteresis","control engineering education;control nonlinearities;dynamometers;fractional-horsepower motors;nonlinear control systems","fractional horsepower dynamometer;hardware-in-the-loop real-time simulation;nonlinear control research;nonlinear control education;mechanical nonlinearities;torque load disturbance;controllable hysteresis brake;DC motor plant;nonlinear system;adaptive control","","23","","13","","7 May 2007","","","IEEE","IEEE Conferences"
"Transparent tactile feeling device for touch-screen interface","F. Arai; N. Iwata; T. Fukuda","Dept. of Micro-Nano Syst. Eng., Nagoya Univ., Japan; Dept. of Micro-Nano Syst. Eng., Nagoya Univ., Japan; Dept. of Micro-Nano Syst. Eng., Nagoya Univ., Japan","RO-MAN 2004. 13th IEEE International Workshop on Robot and Human Interactive Communication (IEEE Catalog No.04TH8759)","10 Jan 2005","2004","","","527","532","We propose a transparent tactile feeling input device on the touch-screen interface, which provides actual keystroke and tactile key feeling without preventing the function of the touch-screen interface. Without using mechatronics elements such as force sensor or actuators, the device can adapt to the touch-screen interface used in general. In order to realize tactile feeling of clicking, we referred to a specific shape of the conventional switch in design process, and formed structure of the input device with the transparent silicone elastomer. Consequently, the experiment shows transparent haptic device realized click feeling on the touch-screen display.","","0-7803-8570-5","10.1109/ROMAN.2004.1374816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1374816","","Switches;Haptic interfaces;Force sensors;Computer displays;Feedback;Mechatronics;Actuators;Computer interfaces;Home computing;Personal digital assistants","touch sensitive screens;haptic interfaces;elastomers;touch (physiological)","transparent tactile feeling device;touch screen interface;mechatronics elements;transparent silicone elastomer;transparent haptic device;click feeling;touch screen display","","1","4","13","","10 Jan 2005","","","IEEE","IEEE Conferences"
"Dynamic Pose Tracking Performance Evaluation of HTC Vive Virtual Reality System","M. S. Ikbal; V. Ramadoss; M. Zoppi","Department of Mechanical, Energy, Management, and Transportation Engineering, PMAR Robotics Group, University of Genoa, Genoa, (GE), Italy; Department of Mechanical, Energy, Management, and Transportation Engineering, PMAR Robotics Group, University of Genoa, Genoa, (GE), Italy; Department of Mechanical, Energy, Management, and Transportation Engineering, PMAR Robotics Group, University of Genoa, Genoa, (GE), Italy","IEEE Access","6 Jan 2021","2021","9","","3798","3815","Virtual reality tracking devices are rapidly becoming the go-to system for cost-effective motion tracking solutions across different communities such as robotics, biomechanics, sports, rehabilitation, motion simulators, etc. This article focuses on the spatial tracking performance of HTC Vive's lighthouse tracking system (VLTS) devices (tracker, controller, and head mount display). A comprehensive literature survey on the performance analysis of VLTS on the various aspects is presented along with its shortcomings in terms of spatial tracking evaluation. The two key limitations have been identified: in static cases, there is a lack of standard procedures and criteria, and in dynamic cases, the entire study of spatial tracking. We address the first by assessing VLTS using the optical tracking system standard specified by ASTM International, and the latter by revising the standards to determine the upper-velocity limit for reliable tracking. The findings are substantiated with the trajectories of human wrist motion. Each evaluation's results are systematically analyzed with statistical hypothesis tests and criteria fulfillment. Comau NS16, an industrial serial robot, was used as the ground truth motion generator due to its repeatability and 6 degrees of workspace freedom. One of the major reasons for not having more generalized spatial tracking studies is that the tracking performance heavily depends on the configurations of the setup, work volume, environment, etc. Thus, the guidelines for configuring VLTS and the approach adapted from ASTM standards for evaluating VLTS for custom applications using our reported findings for both static and dynamic cases are included in the appendix.","2169-3536","","10.1109/ACCESS.2020.3047698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9309218","Lighthouse tracking;motion tracking;performance evaluation and bench-marking;virtual reality and interfaces","Tracking;Standards;Performance evaluation;Dynamics;Service robots;Base stations;Virtual reality","biomechanics;CAD;collision avoidance;helmet mounted displays;industrial manipulators;manipulator kinematics;medical robotics;mobile robots;motion control;motion estimation;object tracking;optical tracking;patient rehabilitation;pose estimation;small-to-medium enterprises;target tracking;tracking;virtual reality","dynamic pose tracking performance evaluation;HTC Vive virtual reality system;virtual reality tracking devices;cost-effective motion;motion simulators;spatial tracking performance;HTC Vive's lighthouse tracking system;head mount display;comprehensive literature survey;performance analysis;VLTS;spatial tracking evaluation;static cases;standard procedures;dynamic cases;optical tracking system standard;upper-velocity limit;reliable tracking;human wrist motion;statistical hypothesis tests;criteria fulfillment;industrial serial robot;ground truth motion generator;generalized spatial tracking studies;ASTM standards","","","","35","CCBY","28 Dec 2020","","","IEEE","IEEE Journals"
