"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A case study in local area migration to ATM","V. J. Friesen; J. W. Wong","Dept. of Comput. Sci., Waterloo Univ., Ont., Canada; NA","Proceedings of Fourth International Conference on Computer Communications and Networks - IC3N'95","6 Aug 2002","1995","","","442","450","Technology for local ATM is currently being offered in a number of devices, such as routers, switches, and switching hubs. These devices provide the capability for an ATM switched internetwork. In general, a switched internetwork consists of an ATM backbone and a number of hubs. The hubs, by providing ATM adaptation functionality, serve as access points to the ATM backbone for servers and clients. The objective of our study is to evaluate alternative strategies for migrating towards an ATM switched internetwork. Our investigation is based on a local area network providing interconnection for a group of clients and servers in a campus environment. A number of different configurations may, at various stages of migration, comprise the interconnection media for this local area network. The network components that are considered in this migration process are Ethernets, both shared and dedicated, multiplexers, hubs, ATM switches, and ATM-equipped end devices. A simulation model is developed to study the performance of the different configurations. Simulation results for end-to-end delay and loss are presented for each alternative configuration.","","0-8186-7180-7","10.1109/ICCCN.1995.540157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=540157","","Asynchronous transfer mode;Internet;Switches;Spine;Network servers;Web server;Local area networks;LAN interconnection;File servers;Ethernet networks","asynchronous transfer mode;switching networks;LAN interconnection;multiplexing equipment;telecommunication network routing;digital simulation;simulation;performance evaluation;delays","local area migration;routers;local ATM;ATM switched internetwork;switching hubs;ATM-equipped end devices;ATM backbone;ATM adaptation;servers;clients;local area network;campus environment;network configurations;network components;Ethernets;multiplexers;ATM switches;simulation model;network performance;simulation results;end-to-end delay;end-to-end loss","","","","21","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Operational assistance for straight-line operation of rough terrain crane","M. Yoneda; F. Arai; T. Fukuda; K. Miyata; T. Naito","Dept. Micro Syst. Eng., Nagoya Univ., Japan; NA; NA; NA; NA","IEEE SMC'99 Conference Proceedings. 1999 IEEE International Conference on Systems, Man, and Cybernetics (Cat. No.99CH37028)","6 Aug 2002","1999","4","","27","32 vol.4","The straight-line transfer of a payload is a difficult operation with a rough terrain crane, because the operation needs a high-level operational technique with multiple levers. Thus we propose a control rule to assist the straight-line operation. We propose an operational assistance method with force display based on this rule. The system can adapt the strength of assistance to the operator's state using recursive fuzzy inference. Some experiments on a crane simulator are performed and show the effectiveness of the proposed system.","1062-922X","0-7803-5731-0","10.1109/ICSMC.1999.812371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=812371","","Cranes;Automatic control;Payloads;Displays;Control systems;Virtual reality;Proposals;Control system synthesis;Fuzzy systems;Safety","cranes;materials handling;inference mechanisms;fuzzy control;digital simulation","operational assistance;straight-line payload transfer;rough terrain crane;multiple levers;control rule;force display;recursive fuzzy inference;crane simulator","","12","","6","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Simulation and analysis of an ATM video-on-demand network using available bit rate service","E. L. Taylor; S. F. Midkiff","Alcatel Network Syst., Raleigh, NC, USA; NA","Proceedings 7th International Conference on Computer Communications and Networks (Cat. No.98EX226)","6 Aug 2002","1998","","","462","469","This paper examines the use of the available bit rate (ABR) service in asynchronous transfer mode (ATM) networks for video traffic. The ABR service can utilize network capacity more efficiently than constant bit rate (CBR) or variable bit rate (VBR) services, but it makes no guarantees concerning cell delay or cell delay variation. Unlike the unspecified bit rate (UBR) service, the ABR service does provide congestion feedback. The effects of three specific MPEG-1 video source adaptation schemes, arbitrary loss or no control method, selective discard of MPEG B pictures, and selective discard of MPEG B and P pictures, on network performance are compared. Performance is evaluated based on end-to-end (ETE) delay, queue occupancy, link utilization, jitter, and distribution of delay.","1095-2055","0-8186-9014-3","10.1109/ICCCN.1998.739950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=739950","","Analytical models;Bit rate;Asynchronous transfer mode;Delay;Videoconference;Traffic control;Feedback;Communication system traffic control;Telecommunication traffic;Circuits","asynchronous transfer mode;video on demand;telecommunication services;digital simulation;visual communication;telecommunication traffic;delays;telecommunication congestion control;feedback;video coding;queueing theory;jitter;data compression;adaptive signal processing","ATM video-on-demand network;available bit rate service;ABR service;asynchronous transfer mode;video traffic;network capacity;constant bit rate;CBR;variable bit rate;VBR services;cell delay;cell delay variation;unspecified bit rate;UBR service;congestion feedback;MPEG-1 video source adaptation;selective discard;B pictures;P pictures;network performance;end-to-end delay;queue occupancy;link utilization;jitter;delay distribution;adaptive video compression","","","","11","","6 Aug 2002","","","IEEE","IEEE Conferences"
"A novel transient simulation for 3D multilevel interconnections on complex topography","Hsin-Ming Hou; Chin-Shown Sheen; Ching-Yuan Wu","Inst. of Electron., Nat. Chiao Tung Univ., Hsinchu, Taiwan; NA; NA","IEEE Transactions on Electron Devices","6 Aug 2002","1999","46","4","690","695","An efficient method is presented to model the transient characteristics of distributed resistor-capacitor of ULSI multilevel interconnections on complex topography, in which the reformulation of the boundary-element method (BEM) and the Pade-via-Lanczos (PVL) algorithm associated with multilayer Green's function can avoid the redundant works on both volume mesh and transient analysis associated with the finite-difference method. An adaptive multilayer Green's function is adopted to investigate several cases that have revealed interesting physical mechanisms in charge transfer between conductors on multilayer topography. To improve the timing analysis efficiency of the finite-difference method, the dominant poles are obtained by introducing the PVL algorithm for model-order reduction. Hence, it is easy to calculate the transient characteristics of both parallel conductors and complicated configurations such as crossing lines, corners, contacts, multilayers, and their combinations.","1557-9646","","10.1109/16.753702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=753702","","Nonhomogeneous media;Transient analysis;Surfaces;Green's function methods;Finite difference methods;Conductors;Ultra large scale integration;Charge transfer;Timing;Algorithm design and analysis","transient analysis;digital simulation;circuit simulation;integrated circuit interconnections;ULSI;boundary-elements methods;Green's function methods;timing;integrated circuit layout;circuit layout CAD","transient simulation;3D multilevel interconnections;complex topography;distributed resistor-capacitor;ULSI;boundary-element method;Pade-via-Lanczos algorithm;adaptive multilayer Green's function;charge transfer;timing analysis efficiency;model-order reduction;parallel conductors;crossing lines;corners;contacts;multilayers","","","1","8","","6 Aug 2002","","","IEEE","IEEE Journals"
"TCP performance over end-to-end rate control and stochastic available capacity","S. Shakkottai; A. Kumar; A. Karnik; A. Anvekar","Dept. of Electr. Commun. Eng., Indian Inst. of Sci., Bangalore, India; NA; NA; NA","IEEE/ACM Transactions on Networking","7 Aug 2002","2001","9","4","377","391","Motivated by TCP over end-to-end ABR, we study the performance of adaptive window congestion control, when it operates over an explicit feedback rate-control mechanism, in a situation in which the bandwidth available to the elastic traffic is stochastically time varying. It is assumed that the sender and receiver of the adaptive window protocol are colocated with the rate-control endpoints. The objective of the study is to understand if the interaction of the rate-control loop and the window-control loop is beneficial for end-to-end throughput, and how the parameters of the problem (propagation delay, bottleneck buffers, and rate of variation of the available bottleneck bandwidth) affect the performance. The available bottleneck bandwidth is modeled as a two-state Markov chain. We develop an analysis that explicitly models the bottleneck buffers, the delayed explicit rate feedback, and TCP's adaptive window mechanism. The analysis, however, applies only when the variations in the available bandwidth occur over periods larger than the round-trip delay. For fast variations of the bottleneck bandwidth, we provide results from a simulation on a TCP testbed that uses Linux TCP code, and a simulation/emulation of the network model inside the Linux kernel. We find that, over end-to-end ABR, the performance of TCP improves significantly if the network bottleneck bandwidth variations are slow as compared to the round-trip propagation delay. Further, we find that TCP over ABR is relatively insensitive to bottleneck buffer size. These results are for a short-term average link capacity feedback at the ABR level (INSTCAP). We use the testbed to study EFFCAP feedback, which is motivated by the notion of the effective capacity of the bottleneck link. We find that EFFCAP feedback is adaptive to the rate of bandwidth variations at the bottleneck link, and thus yields good performance (as compared to INSTCAP) over a wide range of the rate of bottleneck bandwidth variation. Finally, we study if TCP over ABR, with EFFCAP feedback, provides throughput fairness even if the connections have different round-trip propagation delays.","1558-2566","","10.1109/90.944337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=944337","","Stochastic processes;Bandwidth;Feedback;Propagation delay;Throughput;Testing;Linux;Programmable control;Adaptive control;Protocols","transport protocols;delays;telecommunication congestion control;buffer storage;channel capacity;feedback;digital simulation;operating systems (computers);telecommunication traffic;Markov processes;adaptive systems;asynchronous transfer mode;packet switching;performance evaluation;wide area networks;local area networks","TCP performance;end-to-end rate control;stochastic available capacity;end-to-end ABR;performance;adaptive window congestion control;elastic traffic;stochastically time varying bandwidth;adaptive window protocol;rate-control endpoints;rate-control loop;window-control loop;end-to-end throughput;bottleneck buffer size;bottleneck buffers;available bottleneck bandwidth variation;available bottleneck bandwidth;two-state Markov chain;delayed explicit rate feedback;short-term average link capacity feedback;simulation results;TCP testbed;Linux TCP code;network model simulation/emulation;Linux kernel;round-trip propagation delay;EFFCAP feedback;INSTCAP;throughput fairness;explicit feedback rate-control mechanism;ATM network;ATM LAN;ATM WAN","","20","","21","","7 Aug 2002","","","IEEE","IEEE Journals"
"Novel adaptive linearization scheme for multicarrier power amplifier using samples of multiple channels (SMC)","Yan Wah Michael Chia; Yu Zou; Chi Chung Ko","Dept. of Electr. Eng., Nat. Univ. of Singapore, Singapore; NA; NA","1999 IEEE 49th Vehicular Technology Conference (Cat. No.99CH36363)","6 Aug 2002","1999","2","","1084","1088 vol.2","This paper presents a new adaptive method to increase the linearity and efficiency of multicarrier power amplifiers (MCPA). The proposed scheme is based on an analog predistorter whose transfer characteristic is represented by an odd-order complex polynomial. The coefficients of predistorter are obtained by canceling the third and fifth order intermodulation distortion (IMD) products of samples of multiple channels (SMC). Computer model and simulation results show that improvements in IMD reduction largely depend on number of sample channels and peak power level.","1090-3038","0-7803-5565-2","10.1109/VETEC.1999.780515","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780515","","Power amplifiers;Sliding mode control;Polynomials;Computer simulation;Nonlinear filters;Power system modeling;Wireless communication;Power engineering and energy;Linearity;Intermodulation distortion","power amplifiers;radiofrequency amplifiers;adaptive signal processing;linearisation techniques;telecommunication channels;signal sampling;intermodulation distortion;digital simulation;cellular radio;satellite communication;transponders","multicarrier power amplifier;adaptive linearization;samples of multiple channels;amplifier efficiency;amplifier linearity;analog predistorter;transfer characteristic;odd-order complex polynomial;predistorter coefficients;fifth order intermodulation distortion product;third order intermodulation distortion product;computer model;computer simulation results;IMD reduction;peak power level;cellular base-stations;satellite transponder","","","2","9","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Adaptive routing for packet-oriented intersatellite link networks: performance in various traffic scenarios","M. Mohorcic; M. Werner; A. Svigelj; G. Kandus","Dept. of Digital Commun. & Networks, Inst. Jozef Stefan, Ljubljana, Slovenia; NA; NA; NA","IEEE Transactions on Wireless Communications","10 Dec 2002","2002","1","4","808","818","Regular mesh topologies typical for satellite communication networks comprised of intersatellite links provide high network flexibility and reliability, but due to dynamic changing of traffic load and interorbit link distance variation, adaptive routing is an absolute requirement for optimizing the network utilization. In this article, we address adaptive routing in the intersatellite link (ISL) segment of nongeostationary packet-switched satellite communication systems, focusing on the relative impacts of traffic load and propagation delay on the link cost. We consider four reference traffic flow scenarios with different levels of traffic concentration. he network performance is evaluated in terms of routing performance measures important from both the end user and the network operator perspectives. Using an ISL network simulator, we reveal some intrinsic effects of the selected constellation and effects introduced with different assumptions regarding the traffic model.","1558-2248","","10.1109/TWC.2002.804176","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1045311","","Routing;Intelligent networks;Telecommunication traffic;Traffic control;Aerodynamics;Low earth orbit satellites;Optical fiber networks;Network topology;Satellite communication;Asynchronous transfer mode","adaptive systems;telecommunication traffic;telecommunication network routing;satellite links;telecommunication network reliability;packet radio networks;packet switching;delays;digital simulation","adaptive routing;packet-oriented intersatellite link networks;mesh topology;satellite communication networks;network flexibility;network reliability;traffic load;interorbit link distance variation;network utilization optimization;nongeostationary packet-switched satellite communication;propagation delay;link cost;reference traffic flow scenarios;traffic concentration;network performance;routing performance measures;network operator;ISL network simulator;satellite constellation;traffic model","","36","","13","","10 Dec 2002","","","IEEE","IEEE Journals"
"An adaptive MAC protocol for satellite ATM","Kuo-Hao Li; Chienhua Chen","Dept. CSE, Tatung Univ., Taiwan; NA","Proceedings 15th International Conference on Information Networking","7 Aug 2002","2001","","","119","126","We analyze the medium access control (MAC) protocols for satellite ATM, which use an adaptive random-reservation scheme to request the transmission slots and transfer different classes of data by taking the advantage of on-board radio resource management to provide the qualities of service. In addition, our MAC protocol design is based on multiple-frequency time division multiple access (MF-TDMA), which can save the uplink transmission power and occupy almost full time slot to achieve the high throughput. In this paper, OPNET Modeler/Radio is used to simulate the specific contention and reservation algorithm of MAC protocols.","","0-7695-0951-7","10.1109/ICOIN.2001.905342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=905342","","Media Access Protocol;Satellite ground stations;Asynchronous transfer mode;Satellite broadcasting;Transponders;Access protocols;Bandwidth;Artificial satellites;Satellite communication;Frequency","access protocols;adaptive systems;satellite communication;packet radio networks;asynchronous transfer mode;radio spectrum management;time division multiple access;quality of service;digital simulation","adaptive MAC protocol;satellite ATM;medium access control;adaptive random-reservation;transmission slots request;on-board radio resource management;quality of service;MAC protocol design;multiple-frequency time division multiple access;MF-TDMA;uplink transmission power;high throughput;OPNET Modeler/Radio;contention algorithm simulation;reservation algorithm simulation;asynchronous transfer mode","","1","","8","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Parametric identification on bond graph models","M. Delgado; J. Garcia","Dept. de Procesos y Sistemas, Univ. Simon Bolivar, Caracas, Venezuela; Dept. de Procesos y Sistemas, Univ. Simon Bolivar, Caracas, Venezuela","Proceedings of IEEE Systems Man and Cybernetics Conference - SMC","6 Aug 2002","1993","1","","583","588 vol.1","The objective of this work is the implementation of a parameter identification option in the package DESIS. DESIS is a computational tool which allows the modeling and simulation of any non-linear system using the bond graph methodology. The paper includes the presentation of the new module implemented and the modification of existing ones to adapt them to the problem solution. The parametric identification module implemented is for linear and SISO systems.<>","","0-7803-0911-1","10.1109/ICSMC.1993.384807","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=384807","","Bonding;Mathematical model;Packaging;Equations;Power system modeling;Transfer functions;Parameter estimation;Microcomputers;Computational modeling;Least squares methods","parameter estimation;digital simulation;bond graphs;modelling;software packages","parametric identification;bond graph models;DESIS;computational tool;nonlinear system;SISO systems;linear systems","","4","","18","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Adaptive ATM network model for the evaluation of network performance","P. L. Panteli; I. Balaskas; T. G. Clarkson","Centre for Telecommun. Res., King's Coll., London, UK; NA; NA","ICC '98. 1998 IEEE International Conference on Communications. Conference Record. Affiliated with SUPERCOMM'98 (Cat. No.98CH36220)","6 Aug 2002","1998","1","","238","242 vol.1","Future high speed networks are expected to be deployed using ATM (asynchronous transfer mode) as the core network technology. ATM networks are intended to support a diverse variety of network services and applications. The ability of a network to effectively control the traffic flowing through it is fundamentally related to its ability to provide appropriately differentiated network performance levels for the various network applications. This paper describes our initial work on an ATM network model which can be used as the basis for the simulation and evaluation of various traffic management techniques and ATM network performance studies.","","0-7803-4788-9","10.1109/ICC.1998.682673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=682673","","Adaptive systems;Asynchronous transfer mode;Quality of service;Telecommunication traffic;Delay;Educational institutions;Communication system traffic control;Traffic control;Switches;High-speed networks","asynchronous transfer mode;adaptive systems;telecommunication traffic;telecommunication congestion control;telecommunication network management;digital simulation","adaptive ATM network model;performance evaluation;high speed networks;asynchronous transfer mode;network technology;network services;network applications;traffic control;simulation;traffic management","","","","4","","6 Aug 2002","","","IEEE","IEEE Conferences"
