"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"VIVR: Presence of Immersive Interaction for Visual Impairment Virtual Reality","J. Kim","Division of Computer Engineering, Hansung University, Seoul, South Korea","IEEE Access","6 Nov 2020","2020","8","","196151","196159","The immersive virtual reality (VR) to provide a realistic walking experience for the visually impaired is proposed in this study. To achieve this, a novel immersive interaction using a walking aid, i.e., a white cane, is designed. The key structure of the proposed interaction consists of a walking process that enables users with visual impairments to process the ground recognition and inference processes realistically by connecting the white cane to the VR controller. Additionally, a decision-making model using deep learning is proposed to design interactions that can be applied to real-life situations instead of being limited to virtual environment experiences. A learning model is designed that can accurately and efficiently process sensing of braille block, which is an important process in the walking of visually impaired people using a white cane assistance tool. The goal is to implement a white cane walking system that can be used in the real world in addition to a virtual environment. Finally, a survey is conducted to confirm that the proposed immersive interaction provides a walking experience with high presence in virtual reality when compared with the real-world experience. The applicability of the proposed deep-learning-based decision-making model in the real world is verified by its high accuracy in recognition of braille block.","2169-3536","","10.1109/ACCESS.2020.3034363","Hansung University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9241733","Immersive virtual reality;presence;immersive interaction;visual impairment;deep learning","Legged locomotion;Visualization;Haptic interfaces;Solid modeling;Virtual environments;Deep learning","decision making;gait analysis;handicapped aids;learning (artificial intelligence);neural nets;virtual reality","realistic walking experience;immersive interaction;walking aid;walking process;ground recognition;inference processes;VR controller;decision-making;deep learning;virtual environment experiences;braille block;visually impaired people;white cane assistance tool;white cane walking system;real-world experience;visual impairment virtual reality;immersive virtual reality;VIVR","","","","34","CCBY","28 Oct 2020","","","IEEE","IEEE Journals"
"Polyvalent display framework to control virtual navigations by 6DOF tracking","P. Bourdot; D. Touraine","Lab. d'Informatique pour la Mecanique et les Sci. de l'Ingenieur, CNRS, Orsay, France; NA","Proceedings IEEE Virtual Reality 2002","7 Aug 2002","2002","","","277","278","Many applications using Virtual Reality (VR) require free hand navigation control. This forbids the use of devices such as Joystick, 3D mouse, ... That is generally because hand-based gesture interaction must be dedicated to specific tasks: sculpting or grasping the objects, which compose a virtual scene. With this aim, we present a polyvalent display approach, which allows the system to determine the desired focus and the moving intention of the user for virtual navigations. After we point out the limits of the classical solutions used to control virtual navigations, we describe the conceptual and mathematical implementation of our approach. Some of our considerations depend on physiological and ergonomic constraints. We conclude on the first applications of our fully head tracking navigation controller.","1087-8270","0-7695-1492-8","10.1109/VR.2002.996537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=996537","","Displays;Virtual reality;Layout;Aircraft navigation;Mice;Equations;Grasping;Taxonomy;Virtual environment;Keyboards","virtual reality;navigation;tracking","Virtual Reality;free hand navigation control;gesture interaction;polyvalent display;virtual scene;head tracking;virtual environments","","8","","8","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Development of Eye-Gaze Interface System and Its Application to Virtual Reality Controller","H. F. Putra; K. Ogata","Graduate School of Science and Technology (GSST), Kumamoto University, Kumamoto, Japan; Graduate School of Science and Technology (GSST), Kumamoto University, Kumamoto, Japan","2018 International Conference on Computer Engineering, Network and Intelligent Multimedia (CENIM)","13 May 2019","2018","","","208","213","Eye-gaze tracking systems are a type of human-machine interface application. These systems have been widely applied in many fields, such as medical, interface systems, and studies on human behavior. In this study, an eye-gaze tracking system is designed to control the view of a virtual reality application. As is generally known, gyroscopes and game controllers are popular devices to control the view of virtual reality applications. To control the view of a virtual reality application, we measure the vertical and horizontal movements of the eye-gaze. Using ring-shaped pattern matching, we find the position of the iris and estimate the direction of the eye-gaze. The vertical and horizontal movement of the eye-gaze are transformed into the rotation of virtual reality camera view in the x and y axes, respectively. The ease of use of the system was evaluated in terms of the distance traveled by the user and the time taken to complete the task.","","978-1-5386-7509-0","10.1109/CENIM.2018.8710926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710926","eye-gaze;tracking;interface;virtual reality","Virtual reality;Cameras;Iris;Image color analysis;Games;Pattern matching;Lenses","cameras;computer vision;eye;gaze tracking;human computer interaction;user interfaces;virtual reality","horizontal movement;vertical movement;virtual reality camera view;eye-gaze interface system;virtual reality controller;eye-gaze tracking system;human-machine interface application;interface systems;virtual reality application;game controllers","","1","","10","","13 May 2019","","","IEEE","IEEE Conferences"
"Genesys: A Virtual Reality scene builder","J. D. O. De Leon; R. P. Tavas; R. A. Aranzanso; R. O. Atienza","Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines; Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines; Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines; Ubiquitous Computing Laboratory, Electrical and Electronics Engineering Institute, University of the Philippines Diliman, Quezon City, Philippines","2016 IEEE Region 10 Conference (TENCON)","9 Feb 2017","2016","","","3708","3711","Virtual Reality (VR) is a computer technology which simulates real world environments and a user's interactions within it. Current trends in VR, however, are focused on the gaming industry with limited work on VR creation tools. Thus, we propose a VR application that allows users to create 3-dimensional scenes in virtual reality named Genesys. Scenes created are viewed with the use of VR head mounted displays which provide the user with a more immersive work environment compared to traditional 2D monitors. Interactions within this workspace are done through motion controllers that allow users to manipulate with objects and spawn more from an online repository. Scenes created can be shared to the Genesys community of artists, creators and users through an online website. This feature widens the project's applications in education, business, and entertainment as a world builder and presentation tool. To measure the effectiveness of the application, a scene composition test was conducted at the end of the experiment. The results showed that Genesys is generally easy to use for people with limited experience in VR. However, improvements can still be made on the object manipulation controls such as rotation and scaling.","2159-3450","978-1-5090-2597-8","10.1109/TENCON.2016.7848751","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7848751","","Virtual reality;Games;Three-dimensional displays;Engines;Industries;Google;Software","helmet mounted displays;human computer interaction;user interfaces;virtual reality","Genesys;virtual reality scene builder;computer technology;VR creation tools;user interactions;gaming industry;three-dimensional scenes;VR head mounted displays;immersive work environment;motion controllers;online Web site;scene composition test;object manipulation controls","","1","","17","","9 Feb 2017","","","IEEE","IEEE Conferences"
"Continuous automatic calibration for optical see-through displays","K. R. Moser; Y. Itoh; J. E. Swan",Mississippi State University; Technical University of Munich; Mississippi State University,"2015 IEEE Virtual Reality (VR)","27 Aug 2015","2015","","","241","242","The current advent of consumer level optical see-through (OST) head-mounted displays (HMD's) has greatly broadened the accessibility of Augmented Reality (AR) to not only researchers but also the general public as well. This increased user base heightens the need for robust automatic calibration mechanisms suited for nontechnical users. We are developing a fully automated calibration system for two stereo OST HMD's, a consumer level and prototype model, based on the recently introduced interaction free display calibration (INDICA) method. Our current efforts are also focused on the development of an evaluation process to assess the performance of the system during use by non-expert subjects.","2375-5334","978-1-4799-1727-3","10.1109/VR.2015.7223385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223385","Calibration;OST HMD;Augmented Reality","Calibration;Cameras;Hardware;Augmented reality;Robustness;Prototypes;Head","augmented reality;helmet mounted displays","continuous automatic calibration system;consumer level optical see-through head-mounted displays;augmented reality;robust automatic calibration mechanisms;interaction free display calibration method;INDICA method","","1","","6","","27 Aug 2015","","","IEEE","IEEE Conferences"
"Evaluating Multiple Levels of an Interaction Fidelity Continuum on Performance and Learning in Near-Field Training Simulations","A. Bhargava; J. W. Bertrand; A. K. Gramopadhye; K. C. Madathil; S. V. Babu",Clemson University; Clemson University; Clemson University; Clemson University; Clemson University,"IEEE Transactions on Visualization and Computer Graphics","13 Mar 2018","2018","24","4","1418","1427","With costs of head-mounted displays (HMDs) and tracking technology decreasing rapidly, various virtual reality applications are being widely adopted for education and training. Hardware advancements have enabled replication of real-world interactions in virtual environments to a large extent, paving the way for commercial grade applications that provide a safe and risk-free training environment at a fraction of the cost. But this also mandates the need to develop more intrinsic interaction techniques and to empirically evaluate them in a more comprehensive manner. Although there exists a body of previous research that examines the benefits of selected levels of interaction fidelity on performance, few studies have investigated the constituent components of fidelity in a Interaction Fidelity Continuum (IFC) with several system instances and their respective effects on performance and learning in the context of a real-world skills training application. Our work describes a large between-subjects investigation conducted over several years that utilizes bimanual interaction metaphors at six discrete levels of interaction fidelity to teach basic precision metrology concepts in a near-field spatial interaction task in VR. A combined analysis performed on the data compares and contrasts the six different conditions and their overall effects on performance and learning outcomes, eliciting patterns in the results between the discrete application points on the IFC. With respect to some performance variables, results indicate that simpler restrictive interaction metaphors and highest fidelity metaphors perform better than medium fidelity interaction metaphors. In light of these results, a set of general guidelines are created for developers of spatial interaction metaphors in immersive virtual environments for precise fine-motor skills training simulations.","1941-0506","","10.1109/TVCG.2018.2794639","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8260967","Bimanual Interaction;Interaction Fidelity;Empirical Evaluation;Educational Virtual Reality","Training;Aerospace electronics;Solid modeling;Metrology;Mice;Virtual environments","computer based training;helmet mounted displays;virtual reality","Interaction Fidelity Continuum;near-field training simulations;virtual reality applications;education;real-world interactions;safe risk-free training environment;intrinsic interaction techniques;near-field spatial interaction task;learning outcomes;discrete application points;performance variables;medium fidelity interaction metaphors;spatial interaction metaphors;immersive virtual environments;fine-motor skills training simulations;bimanual interaction metaphors;restrictive interaction metaphors;head-mounted displays;tracking technology","Adolescent;Adult;Cognition;Female;High Fidelity Simulation Training;Humans;Male;Surveys and Questionnaires;Task Performance and Analysis;User-Computer Interface;Virtual Reality;Young Adult","1","","33","Traditional","17 Jan 2018","","","IEEE","IEEE Journals"
"A Physiology-Based QoE Comparison of Interactive Augmented Reality, Virtual Reality and Tablet-Based Applications","C. Keighrey; R. Flynn; S. Murray; N. Murray","Athlone Institute of Technology, Athlone, Ireland; Athlone Institute of Technology, Athlone, Ireland; Health Service Executive, Primary Care Centre, Longford, Ireland; Athlone Institute of Technology, Athlone, Ireland","IEEE Transactions on Multimedia","17 Dec 2020","2021","23","","333","341","The availability of affordable head-mounted display technology has facilitated new, potentially more immersive, interactive multimedia experiences. These technologies were traditionally focused on entertainment; however, academia and industry are now exploring applications in other domains such as health, learning and training. Key to the success of these new multimedia experiences is the understanding of a user's perceived quality of experience (QoE). Subjective user ratings have been the primary mechanism to capture insights into a user's experience. Such ratings have generally been captured post experience and reflected using a mean opinion score (MOS). However, user perception is multifactorial and subjective ratings alone do not express the true measure of an experience. As a result, recent efforts to capture QoE have included exploring the use of implicit metrics (e.g., physiological measures). This article presents the results of an experimental QoE evaluation and comparison of immersive applications delivered across three multimedia platforms. The platforms compared were augmented reality, tablet and virtual reality. The QoE methodology employed considered explicit (post-test questionnaire) and implicit (heart rate and electrodermal activity) assessment methods. The results indicate comparatively higher levels of QoE for users of the augmented reality and tablet platforms.","1941-0077","","10.1109/TMM.2020.2982046","Irish Research Council - Government of Ireland Postgraduate Scholarship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9042281","Quality of experience;augmented reality;virtual reality;physiological;speech language pathology;aphasia","Quality of experience;Semantics;Multimedia systems;Augmented reality;Biomedical monitoring","augmented reality;helmet mounted displays;human computer interaction;mobile computing;multimedia systems;quality of experience;user interfaces","user experience;perceived quality of experience;tablet based applications;physiology based QoE comparison;physiological measures;mean opinion score;interactive multimedia experiences;immersive multimedia experiences;head mounted display;virtual reality;interactive augmented reality","","7","","35","IEEE","19 Mar 2020","","","IEEE","IEEE Journals"
"A novel menu interaction method using head-mounted display for smartphone-based virtual reality","C. Sheng; L. Jiang; B. Tang; X. Tang","College of Electronic Science and Engineering, NUDT, Changsha 410073, China; College of Electronic Science and Engineering, NUDT, Changsha 410073, China; College of Electronic Science and Engineering, NUDT, Changsha 410073, China; College of Electronic Science and Engineering, NUDT, Changsha 410073, China","2017 Progress In Electromagnetics Research Symposium - Spring (PIERS)","18 Jan 2018","2017","","","2384","2388","The menu interaction design method for smartphone-based VR is currently one of the most popular research domains. The existing menu interaction method can be generally divided into two categories: the interaction devices based method and ray selection based method. However, both of them have some inevitable defects, which lead to bad user experience. In this paper, a novel interaction method is proposed, combining the advantages of the ray selection technology and HMD technology. And a smartphone-based VR application demonstration named “Target Arena” is developed. In addition, the user experience is evaluated by conducting a survey on several aspects of the demonstration system such as portability, controllability, comfort degree, and overall user experience. Experimental results show that the menu interaction method proposed in the paper performs better than other existing methods.","","978-1-5090-6269-0","10.1109/PIERS.2017.8262151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8262151","","Resists;Games;Virtual environments;Head;Smart phones;Electromagnetics;Springs","helmet mounted displays;interactive devices;smart phones;user interfaces;virtual reality","head-mounted display;smartphone-based virtual reality;menu interaction design method;existing menu interaction method;interaction devices;ray selection based method;ray selection technology;smartphone-based VR application demonstration","","","","4","","18 Jan 2018","","","IEEE","IEEE Conferences"
"Towards a linguistically motivated model for selection in virtual reality","T. Pfeiffer","A.I. Group, Faculty of Technology, Bielefeld University","2012 IEEE Virtual Reality Workshops (VRW)","12 Apr 2012","2012","","","89","90","Swiftness and robustness of natural communication is tied to the redundancy and complementarity found in our multimodal communication. Swiftness and robustness of human-computer interaction (HCI) is also a key to the success of a virtual reality (VR) environment. The interpretation of multimodal interaction signals has therefore been considered a high goal in VR research, e.g. following the visions of Bolt's put-that-there in 1980 [1]. It is our impression that research on user interfaces for VR systems has been focused primarily on finding and evaluating technical solutions and thus followed a technology-oriented approach to HCI. In this article, we argue to complement this by a human-oriented approach based on the observation of human-human interaction. The aim is to find models of human-human interaction that can be used to create user interfaces that feel natural. As the field of Linguistics is dedicated to the observation and modeling of human-human communication, it could be worthwhile to approach natural user interfaces from a linguistic perspective. We expect at least two benefits from following this approach. First, the human-oriented approach substantiates our understanding of natural human interactions. Second, it brings about a new perspective by taking the interaction capabilities of a human addressee into account, which are not often explicitly considered or compared with that of the system. As a consequence of following both approaches to create user interfaces, we expect more general models of human interaction to emerge.","2375-5334","978-1-4673-1246-2","10.1109/VR.2012.6180896","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6180896","H.5.2 [Information Interfaces and Presentation]: User Interfaces — Natural Language;I.3.6 [Computer Graphics]: Methodology and Techniques — Interaction Techniques;H.5.1 [Information Interfaces and Presentation]: Multimedia Information Systems — Artificial;Augmented and Virtual Realities","Pragmatics;Humans;Virtual reality;Human computer interaction;Solid modeling;Context","human computer interaction;user interfaces;virtual reality","linguistically motivated model;virtual reality environment;natural communication;multimodal communication;human-computer interaction;HCI;multimodal interaction signals;VR research;Bolt put-that-there;technology-oriented approach;human-oriented approach;human-human interaction;human-human communication;natural user interfaces;human addressee","","1","","13","","12 Apr 2012","","","IEEE","IEEE Conferences"
"Research and Application of Access Control Technique in 3D Virtual Reality System OpenSim","Y. Wei; Y. Lu; X. Hu; B. Sun","Coll. of Inf. Sci. & Technol., Beijing Normal Univ., Beijing, China; Coll. of Inf. Sci. & Technol., Beijing Normal Univ., Beijing, China; Coll. of Inf. Sci. & Technol., Beijing Normal Univ., Beijing, China; Coll. of Inf. Sci. & Technol., Beijing Normal Univ., Beijing, China","2013 Sixth International Symposium on Computational Intelligence and Design","24 Apr 2014","2013","2","","65","68","Access control in 3-D virtual reality systems is a wide and still growing topic. A good access control model is a premise for data security, and makes the whole system play its functions reliably. We compare access control techniques in 3D system OpenSim with that of other virtual reality systems. By using a general extended scheme, we analyze the model and the rule of access control in OpenSim. In this scheme, we provide a method of expanding network services for special proposes. Meanwhile, it verifies the feasibility of developing OpenSim's services on the basis of data security.","","978-0-7695-5079-4","10.1109/ISCID.2013.130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6804829","Access Control;Capability;Virtual Reality;OpenSim","Access control;Servers;Virtual reality;Three-dimensional displays;Animation;Solid modeling","authorisation;human computer interaction;public domain software;virtual reality","access control technique;3D virtual reality system;OpenSim;data security;system functions;general extended scheme;network service expansion","","","","13","","24 Apr 2014","","","IEEE","IEEE Conferences"
