"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Perceptual interactions in thermo-tactile displays","A. Singhal; L. A. Jones","Department of Mechanical Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA; Department of Mechanical Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA","2017 IEEE World Haptics Conference (WHC)","27 Jul 2017","2017","","","90","95","Thermo-tactile displays have been developed to enhance the degree of realism in virtual environments and assist in the identification of virtual objects. It is unknown whether the simultaneous presentation of thermal and tactile cues enhances user performance and if the two types of sensory signals can be processed independently or interact. The present experiment measured thermal pattern identification in the presence of concurrent vibrotactile feedback on the thenar eminence on the hand. The thermal patterns varied with respect to the direction, rate, and duration of the change in skin temperature and for the vibration inputs the number of pulses was varied. The results indicated that with concurrent tactile stimulation warm stimuli (89%) were easier to identify than cool stimuli (76%) and that the number of pulses in the vibration signal affected thermal identification. The mean Information Transfer (IT) associated with these thermo-tactile patterns was 1.94 bits. These thermal-tactile interactions indicate that in multi-sensory displays the ability to perceive independent channels of communication can be influenced by the concurrent presentation of other sensory cues.","","978-1-5090-1425-5","10.1109/WHC.2017.7989882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7989882","","Skin;Temperature measurement;Temperature sensors;Thumb;Thermistors;Vibrations","force feedback;haptic interfaces;screens (display);vibrations","perceptual interactions;thermo-tactile displays;virtual environments;virtual object identification;thermal cues;tactile cues;sensory signals;thermal pattern identification;concurrent vibrotactile feedback;thenar eminence;skin temperature;concurrent tactile stimulation;warm stimuli;cool stimuli;vibration signal;information transfer;thermo-tactile patterns;thermal-tactile interactions;multisensory displays;sensory cues","","6","","34","","27 Jul 2017","","","IEEE","IEEE Conferences"
"Simulator-Based Team Training to Share Resources in a Matrix Structure Organization","L. Davidovitch; A. Parush; A. Shtub","Industrial Engineering and Management Faculty , Technion Israel Institute of Technology, Haifa, Israel; Department of Psychology, Carleton University, Ottawa, Canada; Industrial Engineering and Management Faculty , Technion Israel Institute of Technology, Haifa, Israel","IEEE Transactions on Engineering Management","19 Apr 2010","2010","57","2","288","300","Project management in a matrix organization is complex because project managers share the organization resources (budget and human), and cooperation between managers is critical for effective resource sharing. Therefore, training project managers in the matrix structure to work as a team is required. A simulator-based method to train managers to work as a team is presented. A project team builder (PTB) simulating a dynamic, stochastic multiproject environment was designed and implemented in a project management course for graduate students in systems engineering. Recording the learning history and having a debriefing mechanism were implemented as mechanisms to facilitate team learning. A total of 132 participants composed of graduate students, representing experienced managers, and undergraduate students as inexperienced managers, assigned into teams of three participants each, used the simulator in a multiuser multi-project mode. The findings indicate that for the initial learning phase and transfer to a different scenario, the three factors, history, debriefing, and experience, affected the performances. Furthermore, the interactions between the debriefing and history factors, between the experience and debriefing factors, and between the history and experience factors were all significant. Based on these findings, a new paradigm for a simulation-based team learning is presented.","1558-0040","","10.1109/TEM.2009.2023142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5433056","Collective learning;experience;experiential team learning;feedback;history recording;matrix structure organization;project management;simulator-based team learning;team debriefing","History;Organizations;Project management;Training;Book reviews;Resource management;Modeling","continuing education;engineering education;industrial training;management education;management training;project management;team working","simulator-based team training;matrix structure organization;project management;organization resources sharing;project team builder;graduate students;systems engineering;team learning;undergraduate students;teamwork","","10","","61","","18 Mar 2010","","","IEEE","IEEE Journals"
"A constraint-based technique for haptic volume exploration","M. Ikits; J. D. Brederson; C. D. Hansen; C. R. Johnson","Sci. Comput. & Imaging Inst., Utah Univ., USA; Sci. Comput. & Imaging Inst., Utah Univ., USA; Sci. Comput. & Imaging Inst., Utah Univ., USA; Sci. Comput. & Imaging Inst., Utah Univ., USA","IEEE Visualization, 2003. VIS 2003.","8 Dec 2003","2003","","","263","269","We present a haptic rendering technique that uses directional constraints to facilitate enhanced exploration modes for volumetric datasets. The algorithm restricts user motion in certain directions by incrementally moving a proxy point along the axes of a local reference frame. Reaction forces are generated by a spring coupler between the proxy and the data probe, which can be tuned to the capabilities of the haptic interface. Secondary haptic effects including field forces, friction, and texture can be easily incorporated to convey information about additional characteristics of the data. We illustrate the technique with two examples: displaying fiber orientation in heart muscle layers and exploring diffusion tensor fiber tracts in brain white matter tissue. Initial evaluation of the approach indicates that haptic constraints provide an intuitive means or displaying directional information in volume data.","","0-7803-8120-3","10.1109/VISUAL.2003.1250381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1250381","","Haptic interfaces;Probes;Rendering (computer graphics);Data visualization;Feedback;Friction;Computer graphics;Scientific computing;Springs;Optical fiber couplers","haptic interfaces;data visualisation;virtual reality;medical computing;transfer functions","constraint-based technique;haptic volume exploration;haptic rendering;directional constraints;exploration modes;volumetric datasets;reaction forces;spring coupler;data probe;haptic effects;field forces;fiber orientation;heart muscle layers;diffusion tensor fiber tracts;brain white matter tissue;directional information;immersive visualization;human-computer interaction","","28","","43","","8 Dec 2003","","","IEEE","IEEE Conferences"
"Effect of security education using KIPS and gamification theory at KOSEN","K. Yonemura; R. Komura; J. Sato; T. Hoga; Y. Takeichi; E. Chida; M. Matsuoka","Dept. of Information and Computer Engineering, National Institute of Technology, Kisarazu College, Kisarazu-City, Chiba, Japan; Dept. of Electronics and Information Engineering, National Institute of Technology, Ishikawa College, Tsubata-City, Ishikawa, Japan; Dept. of Electrical and Electronic Engineering, National Institute of Technology, Tsuruoka College, Tsuruoka-City, Yamagata, Japan; Dept. of Electrical and Electronic Engineering, National Institute of Technology, Tsuruoka College, Tsuruoka-City, Yamagata, Japan; Dept. of Electrical and Electronic Engineering, National Institute of Technology, Tsuruoka College, Tsuruoka-City, Yamagata, Japan; Dept. of Electrical and Computer Engineering, National Institute of Technology, Ichinoseki College, Ichinoseki-City, Iwate, Japan; Kaspersky Labs Japan, Chiyoda-Ku, Tokyo, Japan","2018 IEEE Symposium on Computer Applications & Industrial Electronics (ISCAIE)","9 Jul 2018","2018","","","255","258","To produce human resources who are good at OT security is important task for KOSEN which is closely cooperation with the industry on which faces increasing cyber-attacks. We examined the educational effect and issues on multiple practicing of KIPS (Kaspersky Industrial Protection Simulation) which is based on gamification. Practicing experimental results showed that multiple playing simple contribute to the positive educational effect and we find the possibility of positive skill transfer, however we obtained a great future work which we need the educational contents that can fill the gap of multiple practicing effectively. KOSEN has the big mission that updates the practice-based curriculum constantly.","","978-1-5386-3527-8","10.1109/ISCAIE.2018.8405480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405480","security education;gamifcationy;operational technology;ICT;KOSEN","Computer security;Education;Industries;Correlation;Games;Problem-solving","computer aided instruction;computer games;computer science education;educational courses;human computer interaction;security of data","security education;KIPS;gamification theory;KOSEN;human resources;OT security;cyber-attacks;Kaspersky Industrial Protection Simulation;educational contents;practice-based curriculum","","","","7","","9 Jul 2018","","","IEEE","IEEE Conferences"
"A network-adaptive compensation technique for tele-haptics using position prediction algorithm","T. H. Tee; K. S. Eu; K. M. Yap; A. Marshall; T. Lee","Faculty of Science and Technology, Sunway University, Bandar Sunway, Malaysia; Faculty of Science and Technology, Sunway University, Bandar Sunway, Malaysia; Faculty of Science and Technology, Sunway University, Bandar Sunway, Malaysia; School of Electronics, Electrical Engineering and Computer Science, Queens University Belfast, Northern Ireland, UK; Department of Computer and Information Science, National Taichung University, Taiwan","2013 IEEE International Symposium on Haptic Audio Visual Environments and Games (HAVE)","12 Dec 2013","2013","","","39","44","Haptic interfaces have been applied as controllers in many areas especially tele-operation and distributed virtual environments. They are used to manipulate objects in both physical and virtual environments. Haptics enhance force interactions and provides a better immersive user experience. Moreover haptic devices inherently function in close proximity to humans. In the case of network-based haptic control, the network criteria for stability in haptic interactions are much more sophisticated than that for tethered devices and the kinematic and force data are required to be transferred over communication link within a stringent time. Otherwise, users may feel unexpected vibration or abrupt force even when the device is in free motion. This is mainly due to position de-synchronization between local and remote environments. This paper addresses position synchronization which is the essential problem to lose stability of haptic experience under the influence of network and system impairments. A novel encoder referencing position synchronization algorithm is proposed in order to compensate the network latency and packet loss over network. This has been successfully tested under influence of the network impairment and low transmission rates.","","978-1-4799-0849-3","10.1109/HAVE.2013.6679608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6679608","haptic traffic;tele-haptic;position prediction;network impairment;network-adaptive compensation","Haptic interfaces;Packet loss;Delays;Jitter;Prediction algorithms;Equations","compensation;haptic interfaces;virtual reality","network-adaptive compensation technique;tele-haptics;position prediction algorithm;haptic interfaces;tele-operation;distributed virtual environments;object manipulation;physical environment;force interactions;immersive user experience;network-based haptic control;network criteria;stability;haptic interactions;communication link;position de-synchronization;haptic experience;encoder referencing position synchronization algorithm;network impairment","","3","","15","","12 Dec 2013","","","IEEE","IEEE Conferences"
"Efficient reinforcement learning for robots using informative simulated priors","M. Cutler; J. P. How","Laboratory of Information and Decision Systems, Massachusetts Institute of Technology, 77 Massachusetts Ave., Cambridge, USA; Laboratory of Information and Decision Systems, Massachusetts Institute of Technology, 77 Massachusetts Ave., Cambridge, USA","2015 IEEE International Conference on Robotics and Automation (ICRA)","2 Jul 2015","2015","","","2605","2612","Autonomous learning through interaction with the physical world is a promising approach to designing controllers and decision-making policies for robots. Unfortunately, learning on robots is often difficult due to the large number of samples needed for many learning algorithms. Simulators are one way to decrease the samples needed from the robot by incorporating prior knowledge of the dynamics into the learning algorithm. In this paper we present a novel method for transferring data from a simulator to a robot, using simulated data as a prior for real-world learning. A Bayesian nonparametric prior is learned from a potentially black-box simulator. The mean of this function is used as a prior for the Probabilistic Inference for Learning Control (PILCO) algorithm. The simulated prior improves the convergence rate and performance of PILCO by directing the policy search in areas of the state-space that have not yet been observed by the robot. Simulated and hardware results show the benefits of using the prior knowledge in the learning framework.","1050-4729","978-1-4799-6923-4","10.1109/ICRA.2015.7139550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7139550","","Heuristic algorithms;Robots;Data models;Gaussian processes;Hardware;Prediction algorithms;Mathematical model","Bayes methods;learning (artificial intelligence);learning systems;nonparametric statistics;robots","reinforcement learning algorithm;informative simulated priors;autonomous learning;decision-making policy;controller design;Bayesian nonparametric prior;black-box simulator;probabilistic inference for learning control algorithm;PILCO algorithm;convergence rate","","27","","24","","2 Jul 2015","","","IEEE","IEEE Conferences"
"Video game experience and basic robotic skills","A. Tanaka; R. Smith; C. Hughes","The Nicholson Center, Florida Hospital, Celebration, US; The Nicholson Center, Florida Hospital, Celebration, US; Department of Computer Science, The University of Central Florida, Orlando, US","2016 IEEE International Conference on Serious Games and Applications for Health (SeGAH)","10 Oct 2016","2016","","","1","6","Virtual reality simulators have emerged as valuable tools for standardized and objective robotic surgery skill training and assessments. In recent years the idea of using video game technology in surgical education for laparoscopy has also been explored, however few have attempted to make a connection between video game experience and robotic surgical skills. Thus, the current study aims to examine the performance of video gamers in a virtual reality robotic surgery simulator. Furthermore, the video gamers' performance was compared to that of medical students, expert robotic surgeons, and “laypeople.” The purpose of this study is to demonstrate that video gamers acquire perceptual and psychomotor skills through video game play, similar to those used by robotic surgeons. Subjects completed a demographic questionnaire and performed three computer-based perceptual tests: a Flanker compatibility task, a subsidizing task, and a Multiple Object Tracking test. Participants then performed two warm-up exercises and eight trials of two core exercises on a robotic surgery simulator. After completing all trials, participants completed a post-questionnaire regarding their experience with the system. Expert video gamers (n=40), medical students (n=24), laypeople (n=42) and expert robotic surgeons (n=16) were recruited. Medical students and gamers were significantly faster than experts in the Flanker Task. The experts were significantly slower than the all other groups in the subsidizing task. Experts scored significantly higher, were significantly more efficient, and were significantly faster than laypeople, medical students, and gamers in the first trial of Ring & Rail 1 and Suture Sponge. In trial eight of the simulation exercises, the experts performed significantly better than most groups in all of the metrics. Contrary to prior literature in laparoscopy, this study was unable to validate enhanced abilities of video gamers in a robotic surgery simulator. This study does further demonstrate that the transfer of skills developed through video game play is relevant to the surgical technique. This may be due to the differences of the systems and how the users interact within them. In a society where video games have become an integral past time, it is important to determine the role that video games play in the perceptual and psychomotor development of users. These findings can be generalized to domains outside of medicine that utilize robotic and computer-controlled systems, speaking to the scope of the gamers' abilities and pointing to the capacity within these systems.","","978-1-5090-2210-6","10.1109/SeGAH.2016.7586262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586262","","Surgery;Robots;Measurement;Games;Training;Rails;Cameras","biomedical education;computer aided instruction;computer games;educational robots;human-robot interaction;medical computing;medical robotics;surgery;virtual reality","video game experience;basic robotic skills;virtual reality robotic surgery simulator;standardized robotic surgery skill training;objective robotic surgery skill training;standardized robotic surgery skill assessment;objective robotic surgery skill assessment;surgical education;laparoscopy;video game technology;perceptual skill acquisition;psychomotor skill acquisition;computer-based perceptual tests;flanker compatibility task;subsidizing task;multiple object tracking test;computer-controlled systems","","1","","17","","10 Oct 2016","","","IEEE","IEEE Conferences"
"Cross-reality Services for 3D Virtual Environments","K. P. C. Madhavan; J. Upham; B. Sterrett; J. Fisher; S. Goasguen","Member, Clemson University, Clemson, SC 29634. phone: 864-656-5874; fax: 864-656-0145; e-mail: cm@clemson.edu; Clemson Univ., Clemson, SC, USA; Clemson Univ., Clemson, SC, USA; Clemson Univ., Clemson, SC, USA; Senior Member, IEEE, Clemson University, Clemson, SC 29634. phone: 864-656-6753; fax: 864-656-0145; e-mail: sebgoa@clemson.edu","2008 Grid Computing Environments Workshop","6 Jan 2009","2008","","","1","7","In this paper we present results on the design and testing of new middleware services for cross-reality data/insight transfer between the real-world and 3D virtual environments. We highlight the architecture that is used along with the implementation of a cyberinfrastructure toolbox containing a set of tools in a virtual environment. The toolbox itself uses a service-oriented architecture to implement a variety of services - such as Location Service, Social Tagging Service, Interaction with real-world compute resources, and real-time cross-reality sensor data transfer. The driving concept behind the middleware implementation is the use of proxy services with straightforward REST interfaces. This paper expands on prior work and shows progress towards the integration of education and research in a common environment.","2152-1093","978-1-4244-2860-1","10.1109/GCE.2008.4738440","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4738440","Learning systems;cyber-enabled education;future virtual environments;virtual worlds;informal science education;beyond web 2.0;design;experimentation;theory","Virtual environment;Middleware;Tagging;Computer architecture;Instruments;Second Life;Feedback;Social network services;Prototypes;Educational technology","middleware;software architecture;virtual reality;Web services","cross-reality services;3D virtual environments;middleware services;cyberinfrastructure toolbox;service-oriented architecture;location service;social tagging service;real-time cross-reality sensor data transfer;proxy services;REST interfaces","","","","11","","6 Jan 2009","","","IEEE","IEEE Conferences"
"Transparency and stability analysis of a surgical teleoperator system","H. Flemmer; J. Wikander","Mechatronics Lab/Machine Design, R. Inst. of Technol., Stockholm, Sweden; Mechatronics Lab/Machine Design, R. Inst. of Technol., Stockholm, Sweden","11th Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems, 2003. HAPTICS 2003. Proceedings.","2 Apr 2003","2003","","","382","389","This paper discusses transparency and stability issues for a three channel teleoperator system to be used in sensitive skullbase operations. Based on a design model of the combined master human system with parameter uncertainties and teleoperator optimal transparency conditions, the interaction (communication) channel controllers are derived. One of the interaction channel controllers is then altered to make the teleoperator closed loop meet requirements imposed by the robustness property passivity. Transparency of the teleoperator system is analysed by analysing the gain plots of all the four transfer functions in the H-matrix. The three channel teleoperator is found to have a bandwidth of around 90 rad/sec in the force reflection channel, a small influence on the reflected force from the master velocity for low frequencies, a bandwidth of 150 rad/sec in the forward channel and a slave which is relatively unaffected by external forces. The theoretical results from the stability analysis are verified by experimental results.","","0-7695-1890-7","10.1109/HAPTIC.2003.1191319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1191319","","Stability analysis;Surgery;Teleoperators;Communication system control;Bandwidth;Humans;Uncertain systems;Optimal control;Robust control;Transfer functions","telerobotics;surgery;haptic interfaces;matrix algebra;stability;medical robotics;telemedicine;force feedback","stability analysis;surgical teleoperator system;transparency;three channel teleoperator system;sensitive skullbase operations;parameter uncertainties;optimal transparency conditions;interaction channel controllers;robustness;passivity;transfer functions;telerobotic system;H-matrix;bandwidth;force reflection channel;experimental results","","4","","22","","2 Apr 2003","","","IEEE","IEEE Conferences"
"A Simple and Real-Time Parallel Compression of Time Series Scientific Simulation Data for Interactive and Cooperative Supercomputing","W. Liu; X. Hei; S. Fukuma; S. Mori","Comput. Sci. & Eng., Xi'an Univ. of Technol., Xi'an, China; Comput. Sci. & Eng., Xi'an Univ. of Technol., Xi'an, China; Grad. Sch. of Eng., Univ. of Fukui, Fukui, Japan; Grad. Sch. of Eng., Univ. of Fukui, Fukui, Japan","2014 Tenth International Conference on Computational Intelligence and Security","22 Jan 2015","2014","","","578","582","In order to realize a cooperative supercomputing environment, Large-scale scientific simulation data should be exchanged among supercomputers over the Internet. To maintain the interactivity of the time-series simulation in such an environment, real-time data compression is required. Given the accuracy requirements of scientific simulation, we only focus on lossless data compression. In this paper, we propose Think Mantissa as Integer method to decrease the entropy of scientific datasets, achieving a good compression ratio and speeds. We evaluate this scheme in two experiments and compare it with the existing compression strategies (gzip, bzip2). Our approach gets about a 30% improvement in the compression ratio and hundreds of times speed acceleration. We also computed the total time of the data transfer using this method under some specific bandwidth cases, and nearly all of them have gotten a good acceleration.","","978-1-4799-7434-4","10.1109/CIS.2014.107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7016962","Lossless compression;Parallel Processing;Real-time Interaction;Supercomputing","Data models;Computational modeling;Data compression;Time series analysis;Parallel processing;Computational efficiency;Fluids","data compression;interactive systems;parallel processing;real-time systems;scientific information systems;time series","parallel compression;time series scientific simulation data;interactive cooperative supercomputing;cooperative supercomputing environment;large-scale scientific simulation data;supercomputers;time-series simulation interactivity;real-time data compression;scientific simulation;lossless data compression;Think Mantissa;integer method;scientific dataset entropy;gzip compression strategies;bzip2 compression strategies;compression ratio improvement;speed acceleration;data transfer","","1","","9","","22 Jan 2015","","","IEEE","IEEE Conferences"
