"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Neural autopilot predictive controller for nonholonomic wheeled mobile robot based on a pre-assigned posture identifier in the presence of disturbances","A. S. Al-Araji; M. F. Abbod; H. S. Al-Raweshidy","Engineering and Design, Brunel University, London - UK; Engineering and Design, Brunel University, London - UK; Engineering and Design, Brunel University, London - UK","The 2nd International Conference on Control, Instrumentation and Automation","24 Nov 2012","2011","","","326","331","This paper proposes an adaptive neural predictive controller to guide a nonholonomic wheeled mobile robot during continuous and non-continuous gradients trajectory tracking. The structure of the controller consists of two models that describe the kinematics and dynamics of the mobile robot system and a feedforward neural controller. The models are modified Elman neural network and feedforward multi-layer perceptron respectively. The trained Elman neural model acts as the position and orientation identifier. The feedforward neural controller is trained off-line and adaptive weights are adapted on-line to find the reference torques, which controls the steady-state outputs of the mobile robot system. The feedback neural controller is based on the posture neural identifier and quadratic performance index optimisation algorithm to find the optimal torque action in the transient state for N-step-ahead prediction. General back propagation algorithm is used to learn the feedforward neural controller and the posture neural identifier. Simulation results show the effectiveness of the proposed adaptive neural predictive control algorithm; this is demonstrated by the minimised tracking error and the smoothness of the torque control signal obtained with bounded external disturbances.","","978-1-4673-1690-3","10.1109/ICCIAutom.2011.6356678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6356678","","Instruments;Automation","adaptive control;backpropagation;mobile robots;multilayer perceptrons;neurocontrollers;predictive control;robot dynamics;robot kinematics;torque control","neural autopilot predictive controller;nonholonomic wheeled mobile robot;pre-assigned posture identifier;adaptive neural predictive controller;continuous gradients trajectory tracking;noncontinuous gradients trajectory tracking;feedforward neural controller;modified Elman neural network;feedforward multilayer perceptron;reference torques;steady-state outputs;posture neural identifier;quadratic performance index optimisation algorithm;optimal torque action;N-step-ahead prediction;general back propagation algorithm;torque control signal;bounded external disturbances","","1","","14","","24 Nov 2012","","","IEEE","IEEE Conferences"
"Deep CM-CNN for Spectrum Sensing in Cognitive Radio","C. Liu; J. Wang; X. Liu; Y. -C. Liang","National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; Center for Intelligent Networking and Communications (CINC), University of Electronic Science and Technology of China (UESTC), Chengdu, China","IEEE Journal on Selected Areas in Communications","16 Sep 2019","2019","37","10","2306","2321","One of the key problems in spectrum sensing is to design the test statistic. Existing methods generally exploit the model-based features as the test statistic, such as energies and eigenvalues. However, these features could not accurately characterize the real environment. Motivated by this, in this paper, we use a deep neural network (DNN) to intelligently explore the data-driven test statistic. Firstly, we introduce a DNN-based detection framework, where a DNN-based likelihood ratio test (DNN-LRT) is derived to guarantee the optimality of the designed test statistic. As a realization of the developed DNN-based framework, we use the sample covariance matrix as the input of a convolutional neural network (CNN), and propose a covariance matrix-aware CNN (CM-CNN)-based spectrum sensing algorithm, which further improves the performance. In addition, we also provide the theoretical analysis of the proposed method. To the best of our knowledge, it's the first time to analyze the theoretical performance of CNN-based methods. Finally, simulation results demonstrate that the performance of the proposed method is close to that of the optimal detector. Particularly, the proposed method could achieve a detection probability of 96.7% with a false alarm probability of 1.9% at SNR = -18dB, which significantly outperforms the conventional methods.","1558-0008","","10.1109/JSAC.2019.2933892","National Natural Science Foundation of China; Liaoning Revitalization Talents Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8792213","Cognitive radio;spectrum sensing;deep learning;convolutional neural network","Sensors;Covariance matrices;Feature extraction;Uncertainty;Eigenvalues and eigenfunctions;Analytical models;Cognitive radio","cognitive radio;convolutional neural nets;covariance matrices;eigenvalues and eigenfunctions;radio spectrum management;signal detection;statistical testing;telecommunication computing","deep CM-CNN;cognitive radio;model-based features;eigenvalues;deep neural network;data-driven test statistic;DNN-based detection framework;DNN-based likelihood ratio test;DNN-LRT;designed test statistic;developed DNN-based framework;sample covariance matrix;convolutional neural network;covariance matrix-aware CNN-based spectrum sensing algorithm;CNN-based methods;noise figure 18.0 dB","","22","","42","","8 Aug 2019","","","IEEE","IEEE Journals"
"Experiential Systems Engineering Education Concept Using Stratospheric Balloon Missions","A. Golkar","Skolkovo Institute of Science and Technology, Moscow, Russia","IEEE Systems Journal","3 Jun 2020","2020","14","2","1558","1567","This paper proposes the concept of experiential systems engineering (ESE) as a hands-on education approach for teaching systems engineering (SE) tools and methods in postgraduate university courses, following the conceive, design, implement, and operate (CDIO) approach to modern engineering education. It describes ESE as implemented by the author and his research team in the Space Systems Engineering courses at Skoltech over the course of Fall 2014-Spring 2017. It describes the experience of student cohorts in applying SE to stratospheric balloon missions for education purposes, simulating real-life project experience including customer interface management, and operating projects designing and implementing an SE management plan. It describes the proposed approach and provides lessons learnt to generalize ESE to any specific engineering discipline of interest. A mapping between the learning objectives of ESE and the CDIO education framework is proposed. It extends the concept of hands-on SE education. It will be useful to educators interested in novel approaches to SE education and to experiment new ways to deliver a subject that is traditionally believed difficult to teach in university.","1937-9234","","10.1109/JSYST.2019.2917823","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8753679","Engineering design thinking;systems engineering education;systems thinking","Engineering education;Payloads;Tools;Systems thinking;Proposals","computer aided instruction;educational courses;educational institutions;engineering education;systems engineering;teaching","operating projects;SE management plan;ESE;CDIO education framework;SE education;experiential Systems Engineering education concept;stratospheric balloon missions;postgraduate university courses;modern engineering education;Space Systems Engineering courses;education purposes;real-life project experience;customer interface management","","1","","29","","2 Jul 2019","","","IEEE","IEEE Journals"
"Adaptive fuzzy neural modeling and control scheme for mean arterial pressure regulation","Yang Gao; Meng Joo Er","Nanyang Technol. Univ., Singapore; Nanyang Technol. Univ., Singapore","Proceedings 2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2003) (Cat. No.03CH37453)","3 Dec 2003","2003","2","","1198","1203 vol.2","This paper presents an adaptive modeling and control scheme for blood pressure regulation based on a generalized fuzzy neural network (G-FNN). The proposed G-FNN is a novel intelligent modeling tool, which can model the unknown nonlinearities of complex drug delivery systems and adapt to changes and uncertainties in these systems online. It offers salient features, such as dynamic fuzzy neural topology, fast online learning ability and adaptability, etc. System approximation formulated by the G-FNN is thus employed in the adaptive control of drug infusion for blood pressure regulation. In particular, this paper investigates automated regulation of mean arterial pressure (MAP) through the intravenous infusion of sodium nitroprusside (SNP), which is one of the most attractive applications in automation of drug delivery. Simulation study demonstrates superior performance of the proposed approach for estimating the drug's effect and regulating blood pressure at a prescribed level.","","0-7803-7860-1","10.1109/IROS.2003.1248808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1248808","","Programmable control;Adaptive control;Fuzzy control;Pressure control;Blood pressure;Drug delivery;Fuzzy neural networks;Uncertainty;Nonlinear dynamical systems;Network topology","drug delivery systems;fuzzy control;multilayer perceptrons;feedforward neural nets;neurocontrollers;adaptive control;blood pressure measurement;nonlinear control systems","adaptive fuzzy neural modeling;control scheme;mean arterial pressure regulation;blood pressure regulation;intelligent modeling tool;complex drug delivery systems;dynamic fuzzy neural topology;fast online learning ability;adaptive control;drug infusion;sodium nitroprusside","","","","8","","3 Dec 2003","","","IEEE","IEEE Conferences"
"Implementation of an artificial-neural-network-based real-time adaptive controller for an interior permanent-magnet motor drive","Yang Yi; D. M. Vilathgamuwa; M. A. Rahman",NA; NA; NA,"IEEE Transactions on Industry Applications","22 Jan 2003","2003","39","1","96","104","This paper presents the implementation of an artificial-neural-network (ANN)-based real-time adaptive controller for accurate speed control of an interior permanent-magnet synchronous motor (IPMSM) under system uncertainties. A field-oriented IPMSM model is used to decouple the flux and torque components of the motor dynamics. The initial estimation of coefficients of the proposed ANN speed controller is obtained by offline training method. Online training has been carried out to update the ANN under continuous mode of operation. Dynamic backpropagation with the Levenburg-Marquardt algorithm is utilized for online training purposes. The controller is implemented in real time using a digital-signal-processor-based hardware environment to prove the feasibility of the proposed method. The simulation and experimental results reveal that the control architecture adapts and generalizes its learning to a wide range of operating conditions and provides promising results under parameter variations and load changes.","1939-9367","","10.1109/TIA.2002.807233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167314","","Artificial neural networks;Programmable control;Adaptive control;Permanent magnet motors;Synchronous motors;Real time systems;Control systems;Velocity control;Uncertainty;Torque","permanent magnet motors;synchronous motor drives;adaptive control;machine control;neurocontrollers","artificial-neural-network-based real-time adaptive controller;interior PMSM drive;interior permanent-magnet motor drive;speed control;permanent-magnet synchronous motor;system uncertainties;torque components;motor dynamics;flux components;offline training method;online training;Levenburg-Marquardt algorithm;digital-signal-processor-based hardware environment","","60","1","25","","22 Jan 2003","","","IEEE","IEEE Journals"
"Reconfigurable IBM PC Compatible SoC for Computer Architecture Education and Research","E. Ogawa; Y. Matsuda; T. Misono; R. Kobayashi; K. Kise","Dept. of Comput. Sci., Tokyo Inst. of Technol., Tokyo, Japan; Dept. of Comput. Sci., Tokyo Inst. of Technol., Tokyo, Japan; Dept. of Comput. Sci., Tokyo Inst. of Technol., Tokyo, Japan; Dept. of Comput. Sci., Tokyo Inst. of Technol., Tokyo, Japan; Dept. of Comput. Sci., Tokyo Inst. of Technol., Tokyo, Japan","2015 IEEE 9th International Symposium on Embedded Multicore/Many-core Systems-on-Chip","12 Nov 2015","2015","","","65","72","In order to develop high performance computer systems efficiently, environments to evaluate architectural ideas are required. Software environments such as simulators are very flexible, and thus often used. On the other hand, if the target hardware is complex and large, it is very hard to finish the simulation in practical time because of software's slow simulation speed. Thus, we develop a hardware environment for efficient evaluation of computer systems. We propose and develop an IBM PC Compatible SoC on an FPGA where hardware developers can evaluate their custom architectures. The SoC has an x86 soft core processor which can run general purpose operating systems. By making the proposed system run on FPGAs of two major vendors, i.e. Xilinx and Altera, we believe that it can be widely adopted. Besides, the SoC can be used for learning computer systems, because of its open-source policy. In this paper, we detail the design and implementation of the proposed SoC, and verify that it accurately runs some applications. As a case study to demonstrate usability of the SoC for computer research, we implement two types of L2 caches in Verilog HDL and evaluate their performance by running the SPEC CPU2000 INT benchmark suite. Additionally, we discuss how the SoC can be used for computer education.","","978-1-4799-8670-5","10.1109/MCSoC.2015.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328188","SoC;FPGA;x86;Education;Reconfigurable-System","Hardware design languages;Field programmable gate arrays;Computers;Process control;Hardware;Random access memory;IP networks","computer aided instruction;computer architecture;computer science education;field programmable gate arrays;hardware description languages;system-on-chip","reconfigurable IBM PC compatible SoC;system-on-chip;computer architecture education;computer architecture research;high performance computer systems;field programmable gate array;Xilinx FPGA;Altera FPGA;L2 cache;Verilog HDL;hardware description language;SPEC CPU2000 INT benchmark suite","","","","12","","12 Nov 2015","","","IEEE","IEEE Conferences"
"A neural approach to adaptive behavior and multi-sensor action selection in a mobile device","J. L. Krichmar; J. A. Snook","Neurosciences Inst., San Diego, CA, USA; Neurosciences Inst., San Diego, CA, USA","Proceedings 2002 IEEE International Conference on Robotics and Automation (Cat. No.02CH37292)","7 Aug 2002","2002","4","","3864","3869 vol.4","Sampling multisensory information and taking the appropriate motor action is critical for a biological organism's survival, but a difficult task for robots. We present a Neurally Organized Mobile Adaptive Device (NOMAD), whose behavior is controlled by a simulated nervous system based on the anatomy and physiology of the vertebrate brain, that is capable of action selection in a real world environment. NOMAD's nervous system consists of an auditory system, a visual system, a taste system, sets of motor neurons capable of triggering behavior, a tracking system driven by visual stimuli, and a value system. The device itself, which moves autonomously, has a CCD camera for vision, microphones for hearing, and a gripper manipulator to pick up and taste objects by measuring the object's conductivity. Similar to a biological organism, NOMAD learns to categorize sensory information from its environment with no prior instruction, associate positive and negative value with this sensory information, and then learn to select the appropriate motor actions. We suggest that this neurobiological approach to action selection may be generalized to other robot systems.","","0-7803-7272-7","10.1109/ROBOT.2002.1014323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1014323","","Biological systems;Nervous system;Auditory system;Sampling methods;Robots;Programmable control;Adaptive control;Biological system modeling;Brain modeling;Anatomy","mobile robots;neurocontrollers;adaptive control;sensor fusion;optical tracking;robot vision;acoustic signal processing;electrical conductivity;electric variables measurement","adaptive behavior;multisensor action selection;mobile device;multisensory information sampling;Neurally Organized Mobile Adaptive Device;NOMAD;simulated nervous system;vertebrate brain anatomy;vertebrate brain physiology;auditory system;visual system;taste system;motor neurons;tracking system;visual stimuli;value system;CCD camera;microphones;gripper manipulator;conductivity measurement","","1","9","12","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Trusted Autonomous Vehicles: an Interactive Exhibit","H. L. S. Araujo; C. D. N. Damasceno; R. Dimitrova; G. Kefalidou; M. Mehtarizadeh; M. R. Mousavi; J. Onime; J. O. Ringert; J. M. Rojas; N. X. Verdezoto; S. Wali",University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester; University of Leicester,"2019 IEEE International Conferences on Ubiquitous Computing & Communications (IUCC) and Data Science and Computational Intelligence (DSCI) and Smart Computing, Networking and Services (SmartCNS)","6 Feb 2020","2019","","","386","393","Recent surveys about autonomous vehicles show that the public is concerned about the safety consequences of system or equipment failures and the vehicles' reactions to unexpected situations. We believe that informing about the technology and quality, e.g., safety and reliability, of autonomous vehicles is paramount to improving public expectations, perception and acceptance. In this paper, we report on the design of an interactive exhibit to illustrate (1) basic technologies employed in autonomous vehicles, i.e., sensors and object classification; and (2) basic principles for ensuring their quality, i.e., employing software testing and simulations. We subsequently report on a public engagement event involving this exhibit at the Royal Society Summer Science Exhibition 2019 in the exhibit titled ""Trusted Autonomous Vehicles"". We describe the process of designing and developing the artefacts used in our exhibit, the theoretical background associated to them, the design of our stand, and the lessons learned. The activities and findings of this study can be used by other educators and researchers interested in promoting trust in autonomous vehicles among the general public.","","978-1-7281-5209-7","10.1109/IUCC/DSCI/SmartCNS.2019.00091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8982631","Autonomous vehicles;Science fair;Software quality;Science communication;trust","","control engineering computing;human computer interaction;interactive systems;mobile robots;program testing;remotely operated vehicles;sensors","Royal Society Summer Science Exhibition 2019;trusted autonomous vehicles;interactive exhibit;safety consequences;equipment failures;object classification;software testing;software simulations;public engagement event","","1","","47","","6 Feb 2020","","","IEEE","IEEE Conferences"
"The planner ensemble: Motion planning by executing diverse algorithms","S. Choudhury; S. Arora; S. Scherer","The Robotics Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA; The Robotics Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA; The Robotics Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA","2015 IEEE International Conference on Robotics and Automation (ICRA)","2 Jul 2015","2015","","","2389","2395","Autonomous systems that navigate in unknown environments encounter a variety of planning problems. The success of any one particular planning strategy depends on the validity of assumptions it leverages about the structure of the problem, e.g., Is the cost map locally convex? Does the feasible state space have good connectivity? We address the problem of determining suitable motion planning strategies that can work on a diverse set of applications. We have developed a planning system that does this by running competing planners in parallel. In this paper, we present an approach that constructs a planner ensemble - a set of complementary planners that lever-age a diverse set of assumptions. Our approach optimizes the submodular selection criteria with a greedy approach and lazy evaluation. We seed our selection with learnt priors on planner performance, thus allowing us to solve new applications without evaluating every planner on that application. We present results in simulation where the selected ensemble outperforms the best single planner and does almost as well as an off-line planner. We also present results from an autonomous helicopter that has flown missions several kilometers long at speeds of up to 56m/s which involved avoiding unmapped mountains, no-fly zones and landing in cluttered areas with trees and buildings. This work opens the door on the more general problem of adaptive motion planning.","1050-4729","978-1-4799-6923-4","10.1109/ICRA.2015.7139517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7139517","","Planning;Trajectory;Optimization;Cities and towns;Helicopters;Robots;Lattices","adaptive control;aircraft control;autonomous aerial vehicles;helicopters;mobile robots;path planning","planner ensemble;autonomous helicopter;adaptive motion planning","","4","","24","","2 Jul 2015","","","IEEE","IEEE Conferences"
"An Incremental BP Neural Network Based Spurious Message Filter for VANET","J. Zhang; L. Huang; H. Xu; M. Xiao; W. Guo","Univ. of Sci. & Technol. of China, Hefei, China; Suzhou Inst., Univ. of Sci. & Technol. of China, Suzhou, China; Suzhou Inst., Univ. of Sci. & Technol. of China, Suzhou, China; Suzhou Inst., Univ. of Sci. & Technol. of China, Suzhou, China; Suzhou Inst., Univ. of Sci. & Technol. of China, Suzhou, China","2012 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery","20 Dec 2012","2012","","","360","367","In order to protect legitimate vehicles from cheating by spurious alert messages, we propose a general filter model for Vehicular Ad-hoc Network (VANET) to distinguish spurious messages from valid ones. It is a two-layer filter, the coarse filter is responsible for rapid filtration and the fine filter is for accurate filtration. The data flow should pass through them to get the classification results. The coarse filter makes a judgment by combining several sources of information such as timeliness of the report and correlation of the accident location while the fine filter is based on Back Propagation Neural Network (BPNN) which includes an incremental learning part. The BPNN module refers to vehicles' reputations and behaviors in response to an event, and the support from neighbors will also be a great help. In this paper, we compare the filtering effect of incremental BPNN with several commonly used decision logics including majority voting, weighted voting and Bayesian method. The simulation results show that our scheme performs better both in filtering reliability and stability.","","978-1-4673-2624-7","10.1109/CyberC.2012.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6384994","VANET;message filtering;misbehavior detecting;BP neural network","Distributed computing","backpropagation;Bayes methods;neural nets;pattern classification;telecommunication computing;telecommunication security;vehicular ad hoc networks","incremental BP neural network;spurious message filter;VANET;legitimate vehicles;spurious alert messages;vehicular ad-hoc network;data flow;classification results;back propagation neural network;BPNN;incremental learning;majority voting;weighted voting;Bayesian method","","5","","17","","20 Dec 2012","","","IEEE","IEEE Conferences"
