"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Gesture Controlled Virtual Reality Based Conferencing","K. Deherkar; G. Martin; N. George; V. Maurya","Computer Engineering Department, Don Bosco Institute of Technology, Mumbai, India; Computer Engineering Department, Don Bosco Institute of Technology, Mumbai, India; Computer Engineering Department, Don Bosco Institute of Technology, Mumbai, India; Computer Engineering Department, Don Bosco Institute of Technology, Mumbai, India","2018 International Conference on Smart City and Emerging Technology (ICSCET)","18 Nov 2018","2018","","","1","4","The technology available today for interacting with a virtual environment involves wired or wireless hand controls with limited buttons or a large setup involving a camera and/or a sensor to capture movements. The cost of such a setup is such that it makes it inaccessible to most. The project aims at providing a cost effective VR solution which can produce the same effect with precision and flexibility, which is accessible to all. The proposed idea is to provide a hardware device that provides the user with an immersive VR experience and uses hand gestures captured via a camera placed on the device to control and interact with the VR environment. As an application of the project, an interactive workspace environment would be simulated, using a single hardware component that provides the user the viewing interface as well as can be controlled by simple hand gestures eliminating the need for additional hand-held devices controls. The project will also delve into the field of supervised learning to make possible the implementation of gesture recognition.","","978-1-5386-1185-2","10.1109/ICSCET.2018.8537334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8537334","Virtual Reality;VR;Gesture Recognition;Sensor;Hand Gesture Controls;VOIP;File transfer;Supervised learning","Tracking;Virtual environments;Cameras;Servers;Gesture recognition;Python","gesture recognition;human computer interaction;learning (artificial intelligence);virtual reality","virtual reality;virtual environment;wireless hand controls;cost effective VR solution;hardware device;immersive VR experience;VR environment;interactive workspace environment;single hardware component;gesture recognition;hand gestures;hand-held devices controls;gesture controlled virtual reality based conferencing;supervised learning","","","","20","","18 Nov 2018","","","IEEE","IEEE Conferences"
"Non-minimum phase inverse filter methods for immersive audio rendering","A. Mouchtaris; P. Reveliotis; C. Kyriakakis","Integrated Media Syst. Center, Univ. of Southern California, Los Angeles, CA, USA; NA; NA","1999 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings. ICASSP99 (Cat. No.99CH36258)","6 Aug 2002","1999","6","","3077","3080 vol.6","Immersive audio systems are being envisioned for applications that include teleconferencing and telepresence; augmented and virtual reality for manufacturing and entertainment; air traffic control, pilot warning, and guidance systems; displays for the visually-impaired; distance learning; and professional sound and picture editing for television and film. The principal function of such systems is to synthesize, manipulate and render sound fields in real time. In this paper we examine several signal processing considerations in spatial sound rendering over loudspeakers. We propose two methods that can be used to implement the necessary filters for generating virtual sound sources based on synthetic head-related transfer functions with the same spectral characteristics as those of the real source.","1520-6149","0-7803-5041-3","10.1109/ICASSP.1999.757491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=757491","","Filters;Audio systems;Teleconferencing;Virtual reality;Manufacturing;Air traffic control;Auditory displays;Computer aided instruction;TV;Control system synthesis","filtering theory;inverse problems;audio signal processing;transfer functions;teleconferencing;audio systems;virtual reality;air traffic control;entertainment;distance learning;handicapped aids;loudspeakers;crosstalk;adaptive signal processing;adaptive filters;least mean squares methods","nonminimum phase inverse filter methods;immersive audio rendering;immersive audio systems;teleconferencing;telepresence;augmented reality;virtual reality;manufacturing;entertainment;air traffic control;pilot warning;guidance systems;displays;visually-impaired;distance learning;professional sound editing;professional picture editing;television;film;sound fields;signal processing;spatial sound rendering;loudspeakers;virtual sound sources;synthetic head-related transfer functions;spectral characteristics;real source;crosstalk cancellation;adaptive algorithm;LMS method","","5","","11","","6 Aug 2002","","","IEEE","IEEE Conferences"
"The effects of olfaction on training transfer for an assembly task","A. G. Moore; N. S. Herrera; T. C. Hurst; R. P. McMahan; S. Poeschl",The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; Ilmenau University of Technology,"2015 IEEE Virtual Reality (VR)","27 Aug 2015","2015","","","237","238","Context-dependent memory studies have indicated that olfaction, the sense of smell, has a special odor memory that can significantly improve recall in some cases. Virtual reality (VR), which has been investigated as a training tool, could feasibly benefit from odor memory by incorporating olfactory stimuli. There have been a few studies on this concept for semantic learning, but not for procedural training. To address this gap in knowledge, we investigated the effects of olfaction on the transfer of knowledge from training to next-day execution for building a complex LEGO jet-plane model. Our results indicate that the pleasantness of an odor significantly affects training transfer more than whether the encoding and recall contexts match.","2375-5334","978-1-4799-1727-3","10.1109/VR.2015.7223383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223383","Olfactory fidelity;training transfer","Training;Olfactory;Encoding;Virtual environments;Semantics;Testing","chemioception;computer based training;virtual reality","assembly task;context-dependent memory;smell-sense;odor memory;recall improvement;virtual reality;VR;training tool;olfactory stimuli;semantic learning;knowledge transfer;complex LEGO jet-plane model;odor pleasantness;training transfer","","2","","13","","27 Aug 2015","","","IEEE","IEEE Conferences"
"On-line simultaneous learning and recognition of everyday activities from virtual reality performances","T. Bates; K. Ramirez-Amaro; T. Inamura; G. Cheng","Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333 Munich Germany; Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333 Munich Germany; National Institute of Informatics, 2 Chome-2-1-2 Hitotsubashi, Chiyodaku, Tokyo 100-0003, Japan; Institute for Cognitive Systems, Technical University of Munich, Arcisstraße 21, 80333 Munich Germany","2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","14 Dec 2017","2017","","","3510","3515","Capturing realistic human behaviors is essential to learn human models that can later be transferred to robots. Recent improvements in virtual reality (VR) head-mounted displays provide a viable way to collect natural examples of human behavior without the difficulties often associated with capturing performances in a physical environment. We present a realistic, cluttered, VR environment for experimentation with household tasks paired with a semantic extraction and reasoning system able to utilize data collected in real-time and apply ontology-based reasoning to learn and classify activities performed in VR. The system performs continuous segmentation of the motions of users' hands and simultaneously classifies known actions while learning new ones on demand. The system then constructs a graph of all related activities in the environment through its observations, extracting the task space utilized by observed users during their performance. The action recognition and learning system was able to maintain a high degree of accuracy of around 92% while dealing with a more complex and realistic environment compared to earlier work in both physical and virtual spaces.","2153-0866","978-1-5386-2682-5","10.1109/IROS.2017.8206193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206193","","Motion segmentation;Training;Cognition;Avatars;Semantics","helmet mounted displays;image recognition;learning (artificial intelligence);ontologies (artificial intelligence);virtual reality","virtual reality performances;realistic human behaviors;human models;robots;virtual reality head;human behavior;physical environment;VR environment;household tasks;semantic extraction;reasoning;continuous segmentation;task space;observed users;action recognition;learning system;complex environment;realistic environment;physical spaces;virtual spaces;on-line simultaneous learning","","10","","14","","14 Dec 2017","","","IEEE","IEEE Conferences"
"Investigating the effect of immersive virtual reality and planning on the outcomes of simulation-based learning: A media and method experiment","J. Nie; B. Wu","East China Normal University,Department of Educational Informational Technology,Shanghai,China; East China Normal University,Department of Educational Informational Technology,Shanghai,China","2020 IEEE 20th International Conference on Advanced Learning Technologies (ICALT)","4 Aug 2020","2020","","","329","332","The application of the immersive virtual reality (VR) has injected new vitality into educational innovation, but there are also some voices of doubt on its practical learning effects. Considering two aspects of media and instructional methods, the study investigated the effect of immersive virtual reality and planning strategy on simulation-based learning by a 2 × 2 experimental cross - panel design. The results showed that both of them had a significant main effect, indicating that the immersive VR and planning led to better behavioral transfer performance and immersive VR increased sense of presence and self-efficacy as well. No interaction effect between media and method was found.","2161-377X","978-1-7281-6090-0","10.1109/ICALT49669.2020.00106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155971","immersive virtual reality;planning strategy;virtual simulation;simulation-based learning","Xenon","computer aided instruction;virtual reality","immersive VR;interaction effect;immersive virtual reality;simulation-based learning;practical learning effects;2 × 2 experimental cross-panel design;educational innovation;planning strategy","","","","18","","4 Aug 2020","","","IEEE","IEEE Conferences"
"Work in Progress - Graphical Tools for Self-Evaluation in E-Learning","R. Foroughi","Computer Supported Learning, Graphical interactive Systems, Department of Computer Science, Technical University of Darmstadt, Fraunhoferstr. 5, 64283 Darmstadt, Germany, roya.foroughi@gris.informatik.tu-darmstadt.de","Proceedings Frontiers in Education 35th Annual Conference","3 Apr 2006","2005","","","F3G","F3G","Teaching and learning in virtual learning environments (VLEs) are relatively new phenomena and therefore pedagogies for these purposes are still in the early development and experimental stages and are either non-existent or have not reached maturity as yet. In traditional classroom settings, the teacher not only presents the new knowledge to the students, he or she chooses strategies to effectively transfer this knowledge, provides a time schedule, the necessary tests for assessment and continuous evaluation and to some extent the motivation necessary to complete the course. In VLEs and especially in the context of life long learning these support elements are often missing and learners are required to deal with these issues by themselves. We propose interactive graphical tools that help the learners gain metacognitive awareness and facilitate goal setting, time management, planning, self motivation, self assessment and progress tracking. In order to allow interoperability between platforms, current standards in the field have been accounted for","2377-634X","0-7803-9077-6","10.1109/FIE.2005.1612108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1612108","Self Evaluation;Virtual Learning Environments;Metacognition;Standards;Graphical Interactive Tools","Electronic learning;Automatic testing;Education;Continuing professional development;Feedback;Environmental management;Interactive systems;Computer science;Humans;Information processing","computer aided instruction;continuing professional development;educational administrative data processing;educational aids;educational courses;knowledge management;teaching;virtual reality","self-evaluation graphical tools;e-learning;virtual learning environments;teaching;knowledge transfer;life long learning;metacognitive awareness;interoperability","","","","6","","3 Apr 2006","","","IEEE","IEEE Conferences"
"The effects of presentation method and simulation fidelity on psychomotor education in a bimanual metrology training simulation","J. Bertrand; A. Bhargava; K. C. Madathil; A. Gramopadhye; S. V. Babu","Clemson University, USA; Clemson University, USA; Clemson University, USA; Clemson University, USA; Clemson University, USA","2017 IEEE Symposium on 3D User Interfaces (3DUI)","6 Apr 2017","2017","","","59","68","In this study, we empirically evaluated the effects of presentation method and simulation fidelity on task performance and psychomotor skills acquisition in an immersive bimanual simulation towards precision metrology education. In a 2 × 2 experiment design, we investigated a large-screen immersive display (LSID) with a head-mounted display (HMD), and the presence versus absence of gravity. Advantages of the HMD include interacting with the simulation in a more natural manner as compared to using a large-screen immersive display due to the similarities between the interactions afforded in the virtual compared to the real-world task. Suspending the laws of physics may have an effect on usability and in turn could affect learning outcomes. Our dependent variables consisted of a pre and post cognition questionnaire, quantitative performance measures, perceived workload and system usefulness, and a psychomotor assessment to measure to what extent transfer of learning took place from the virtual to the real world. Results indicate that the HMD condition was preferable to the immersive display in several metrics while the no-gravity condition resulted in users adopting strategies that were not advantageous for task performance.","","978-1-5090-6716-9","10.1109/3DUI.2017.7893318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7893318","H.5.1 [Information Interfaces and Presentation]: Multimedia Information Systems—Artificial, augmented, and virtual realities","Solid modeling;Training;Aerospace electronics;Resists;Metrology;Visualization;Gravity","computer based training;digital simulation;helmet mounted displays;measurement;virtual reality","presentation method;simulation fidelity;psychomotor education;bimanual metrology training simulation;psychomotor skill acquisition;immersive bimanual simulation;precision metrology education;large-screen immersive display;LSID;head-mounted display;HMD;no-gravity condition","","3","","36","","6 Apr 2017","","","IEEE","IEEE Conferences"
"Iterative learning control of electro-hydraulic position servo system","Y. Wang; W. Xu; L. Chen; Y. Duan","Military Simulation Technology Research Institute, Aviation University of Air Force, Changchun, China; Military Simulation Technology Research Institute, Aviation University of Air Force, Changchun, China; Military Simulation Technology Research Institute, Aviation University of Air Force, Changchun, China; Military Simulation Technology Research Institute, Aviation University of Air Force, Changchun, China","2012 International Conference on Systems and Informatics (ICSAI2012)","25 Jun 2012","2012","","","536","539","This paper designed a feedback-feedforward iterative learning controller aim at the model of flight simulator six degrees of freedom motion platform, the controller combined iterative learning control arithmetic with traditional PID control arithmetic, the feedforward part of which was used to improve control precision and the feedback part was used to improve the robustness of the system. And then it proved the constringency condition and used Simulink to simulate. Simulation analysis and practice application show that the position control system of hydraulic motion platform based on iterative learning control arithmetic had the character of higher precision, better stability and stronger robustness, which realized the precision position control of hydraulic motion platform.","","978-1-4673-0199-2","10.1109/ICSAI.2012.6223053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6223053","electro-hydraulic position servo system;iterative learning control;controller;simulink simulation","Servomotors;Mathematical model;Convergence;Transfer functions;Feedforward neural networks;Valves","aerospace control;aerospace simulation;arithmetic;electrohydraulic control equipment;feedback;feedforward;iterative methods;learning systems;motion control;position control;robust control;servomechanisms;three-term control","electro-hydraulic position servo system;feedback-feedforward iterative learning controller;flight simulator;six degrees of freedom motion platform;iterative learning control arithmetic;PID control arithmetic;control precision;robustness;constringency condition;Simulink;hydraulic motion platform;stability;precision position control","","2","","6","","25 Jun 2012","","","IEEE","IEEE Conferences"
"Creating tangible cultural learning opportunities for indigenous dance with motion detecting technologies","M. Khan; P. de Byl","School of Communication, Northwestern University in Qatar; Multimedia and Games, School of Communication & Media, Bond University, Australia","2012 IEEE International Games Innovation Conference","15 Oct 2012","2012","","","1","3","Witnessing and imitating a dance instructor facilitates improved learning opportunities compared with textual, auditory or video reproductions. Learning a complex dance from a verbal description is difficult, as spoken words are slow and cannot encapsulate all the details of a precise maneuver. Unfortunately, in a museum environment, visitors are not afforded the opportunity to become fully immersed in ancient and endangered forms of dance with a live instructor because having instructions inside the museum is not logistically feasible. Instead prerecorded video or paper-based images and notes are presented for perusal. This neither assists in the communication of the importance of this type of cultural heritage nor preserves the performances by passing on skills to future generations. The lack of knowledge transfer in this domain means each year many indigenous dances and their particular movements are lost in time as they become irrelevant and no longer practiced. This is a disgrace as cultural dance represents an expression, social interaction and sometime spiritual representation of a feeling or even an historical narrative in some cultures. It is an important part in understanding a culture, as much as the tangible that remains so highly soughtout by archeologists, yet dance, like other Intangible Cultural Heritage (ICH), without human practice, cannot be preserved in the same manner. To address this issue, we propose herein a system using motion-sensing and gaming technology that can assist in the preservation and knowledge transfer of indigenous dances. GLIDE is an application based on motion detecting technology that targets children in a heritage-related environment in order to create awareness about indigenous dance movements. It will offer kinesthetic clarity and playfulness in a domain very much dominated by flat, non-interactive video content.","2166-675X","978-1-4673-1358-2","10.1109/IGIC.2012.6329834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6329834","Heritage;Serious Gaming;Museum Technologie;Augmented Reality;Motion detecting Technologies","Cultural differences;Games;Prototypes;Educational institutions;Knowledge transfer;Humans;Motion segmentation","augmented reality;computer aided instruction;computer games;humanities","tangible cultural learning;indigenous dance;motion detecting technology;museum environment;cultural heritage;knowledge transfer;cultural dance;social interaction;intangible cultural heritage;ICH;motion-sensing technology;gaming technology;GLIDE;heritage-related environment","","3","","15","","15 Oct 2012","","","IEEE","IEEE Conferences"
"“Woodlands” - a Virtual Reality Serious Game Supporting Learning of Practical Road Safety Skills","K. Szczurowski; M. Smith","Department of Informatics, Institute of Technology Blanchardstown, Dublin, Ireland; Department of Informatics, Institute of Technology Blanchardstown, Dublin, Ireland","2018 IEEE Games, Entertainment, Media Conference (GEM)","1 Nov 2018","2018","","","1","9","In developed societies road safety skills are taught early and often practiced under the supervision of a parent, providing children with a combination of theoretical and practical knowledge. At some point children will attempt to cross a road unsupervised, at that point in time their safety depends on the effectiveness of their road safety education. To date, various attempts to supplement road safety education with technology were made. Most common approach focus on addressing declarative knowledge, by delivering road safety theory in an engaging fashion. Apart from expanding on text based resources to include instructional videos and animations, some stakeholders (e.g.: Irish Road Safety Authority) attempt to take advantage of game-based learning [1]. However, despite the high capacity for interaction being common in Virtual Environments, available game-based solutions to road safety education are currently limited to delivering and assessing declarative knowledge. With recent advancements in the field of Virtual Reality (VR) Head Mounted Displays, procedural knowledge might also be addressed in Virtual Environments. This paper describes the design and development process of a computer-supported learning system that attempts to address psycho-motor skills involved in crossing a road safely, changing learners' attitude towards road safety best practices, and enabling independent practice of transferable skills. By implementing game-based learning principles and following best practice for serious game design (such as making educational components essential to successful game-play, or instructional scaffolding) we hope to make it not only more effective, but also engaging, allowing us to rely on learners' intrinsic motivation [2], to increase their independent practice time and provide them with feedback that will help to condition safe behaviour and increase retention. Presence in Virtual Reality might evoke responses to Virtual Environment as if it was real (RAIR) [3] and enable learners to truly experience learning scenarios. In consequence leading to formation of autobiographical memories constructed from multisensory input, which should result in an increased knowledge retention and transfer [4].","","978-1-5386-6304-2","10.1109/GEM.2018.8516493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516493","Virtual Reality;VR;Road Safety;Serious Game;Experiential Learning;Game-Based Learning;Virtual Environment","Games;Road safety;Virtual environments;Training","computer aided instruction;helmet mounted displays;road safety;serious games (computing);virtual reality","road safety education;declarative knowledge;road safety theory;road safety best practices;serious game design;virtual reality serious game;virtual environment;virtual reality head mounted displays;Woodlands;game-based learning","","4","","34","","1 Nov 2018","","","IEEE","IEEE Conferences"
