"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Padé-based-Repetitive Learning Current-Control for Voltage Source Inverters","V. Salis; A. Costabeber; T. Francesco; P. Zanchetta; S. Cox; S. Bifaretti; C. M. Verrelli","Power Electronics, Machines and Control Group, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; Power Electronics, Machines and Control Group, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; Power Electronics, Machines and Control Group, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; Power Electronics, Machines and Control Group, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; School of Mathematical Sciences, University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom; Dept. of Industrial Engineering, University of Rome Tor Vergata, Via del Politecnico 1, Rome, 00133, Italy; Dept. of Electronic Engineering, University of Rome Tor Vergata, Via del Politecnico 1, Rome, 00133, Italy","2018 IEEE Energy Conversion Congress and Exposition (ECCE)","6 Dec 2018","2018","","","1473","1477","The paper poses the basis for the application of the Padé-based-repetitive learning control to power converters, in all the scenarios where a periodic reference signal is to be tracked. Compared to standard repetitive schemes, the new relevant feature of the proposed control is that the learning scheme is reduced to a simple intrinsically stable transfer function, whose poles lie on the left-hand-side of the complex plane. Hence, storing a considerable amount of samples is no longer required, while resetting procedures are no longer involved. The Padé-based-repetitive control has a simple structure, while being able to automatically compensate for any periodic disturbance signals coming from external generators and dead-time. A stability analysis is reported, providing a useful guidance to tune the control parameters. Simulation results are presented to illustrate the effectiveness of the proposed algorithm.","2329-3748","978-1-4799-7312-5","10.1109/ECCE.2018.8557452","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8557452","Repetitive Control;Padé Function;Voltage Source Inverter;Current Control","","adaptive control;approximation theory;closed loop systems;compensation;electric current control;invertors;learning systems;stability;tracking;transfer functions;voltage control","Padé-based-repetitive learning current-control;voltage source inverters;power converters;periodic reference signal;periodic disturbance signals;control parameters;intrinsically stable transfer function;complex plane;stability analysis","","","","22","","6 Dec 2018","","","IEEE","IEEE Conferences"
"Classroom multiplayer presential games","M. Nussbaum; H. Susaeta; F. Jimenez; I. Gajardo; J. J. Andreu; M. Villalta; J. Nordlinger","Departamento Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento Ciencia de la Computación, Escuela de Ingeniería, Pontificia Universidad Católica de Chile, Santiago, Chile; Microsoft Research, Redmond, USA","2009 International Workshop on Technology for Education","6 Nov 2009","2009","","","32","35","Given the promising results of massively multiplayer online games (MMOGs) for educational purposes, this paper maps the essential concepts behind MMOGs, into the classroom context. Since the number of students in this context is not massive and play takes place within a single room rather than on the Internet, we have changed the terms ldquomassivelyrdquo and ldquoonlinerdquo to ldquoclassroomrdquo and ldquopresentialrdquo respectively, thus giving us the new designation ldquoclassroom multiplayer presential gamerdquo (CMPG). We present the development of a CMPG for teaching concepts of ecology as laid down in the teaching objectives defined for a 6th grade course by the Chilean school authorities.","","978-1-4244-5506-5","10.1109/T4E.2009.5314109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5314109","learning;classroom;multiplayer game;MMOG;virtual worlds","Education;Collaboration;Games;Books;Internet;Environmental factors;Educational institutions;Communications technology;Educational robots;Technology transfer","augmented reality;biology computing;computer aided instruction;computer games;ecology;educational courses;groupware;Internet;teaching","CMPG;classroom multiplayer presential game;MMOG;massive multiplayer online game;Internet;ecology teaching;6th grade course;Chilean school authority;collaborative game technology;augmented reality","","2","","49","","6 Nov 2009","","","IEEE","IEEE Conferences"
"Learning control for redundant manipulators","A. De Luca; F. Mataloni","Dipartimento di Inf. e Sistemistica, Roma Univ., Italy; Dipartimento di Inf. e Sistemistica, Roma Univ., Italy","Proceedings. 1991 IEEE International Conference on Robotics and Automation","6 Aug 2002","1991","","","1442","1450 vol.2","An iterative scheme is proposed for learning the input torques that produce a specified repetitive end-effector trajectory for a redundant manipulator, without explicit knowledge of the robot dynamic model. The approach does not rely on a specific inverse kinematic solution. In the learning problem, the number of driving error signals (in the task space) is strictly less than the number of inputs to be determined (in the joint space). During the iterative process, control effort is transferred from a linear feedback law designed for the end-effector error to the learned feedforward term. Joint velocity damping stabilizes the closed loop system. The basic learning algorithm is designed in the frequency domain, while a digital implementation of the necessary signal filtering improves the speed and uniformity of convergence of the learning performance. Simulations are reported for a three-link planar manipulator. The inclusion of a kinematic singularity avoidance scheme is also illustrated.<>","","0-8186-2163-X","10.1109/ROBOT.1991.131818","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=131818","","Manipulator dynamics;Kinematics;Orbital robotics;Linear feedback control systems;Process control;Error correction;Damping;Closed loop systems;Iterative algorithms;Filtering algorithms","closed loop systems;frequency-domain analysis;iterative methods;learning systems;position control;robots","joint velocity damping;learning systems;redundant manipulators;robot dynamic model;driving error signals;iterative process;linear feedback;closed loop system;frequency domain;signal filtering;kinematic singularity avoidance","","10","","15","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Construction of a Web-based virtual classroom and its effective analysis","Qingtang Liu; Chengling Zhao; Zongkai Yang","Central China Normal Univ., Wuhan, China; Central China Normal Univ., Wuhan, China; NA","33rd Annual Frontiers in Education, 2003. FIE 2003.","19 Feb 2004","2003","2","","F3F","F37 Vol.2","In classroom, information between teachers and students includes course content and learning scene. Course content is mainly information, and learning scene is assisted information that can effectively prompt learners exchanging idea and acquiring knowledge. A based-Web virtual classroom should have the same features. Because of the limitation of bandwidth and QoS of network, it is very difficult to transfer teaching and learning information by video in Internet. The paper probes into a strategy of developing virtual classroom by the streaming media technologies. By contrast with two kinds of information, the Web-based virtual classroom we built includes two parts: real time teaching environment (RTTE) and collaborating learning environment (CLE). RTTE transports course content and feedback information into teachers or students. This paper firstly discusses the strategies of creating a virtual classroom for the remote learners. Secondly, it designs the architecture of a virtual classroom.","0190-5848","0-7803-7961-6","10.1109/FIE.2003.1264745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264745","","Education;Streaming media;Broadcasting;Layout;Sampling methods;Courseware;Collaboration;Buildings;Network servers;Web server","Internet;teaching;computer aided instruction;distance learning;real-time systems;interactive video;virtual reality;educational courses","Web-based virtual classroom;course content;learning scene;teaching;Internet;QoS;real-time teaching environment;collaborating learning environment;quality of service;interactive learning","","1","","2","","19 Feb 2004","","","IEEE","IEEE Conferences"
"Google Docs and Skype for a Low bandwidth virtual classroom for developing countries","H. Thinyane; T. K. Mufeti; A. Terzoli; M. Wright","Computer Science Dept, Rhodes University, Grahamstown, 6140, South Africa; Computer Science Dept, University of Namibia, Windhoek, Namibia; Computer Science Dept, Rhodes University, Grahamstown, 6140, South Africa; Computer Science Dept, Rhodes University, Grahamstown, 6140, South Africa","2010 IST-Africa","21 Apr 2011","2010","","","1","7","There has been much attention recently on the use of virtual classrooms to support distance learning. However, the required real-time and high-rate transfers for multimedia contents such as video and audio that comprise most off-the-shelf virtual classrooms make them infeasible for developing countries where bandwidth is typically more restricted. This paper describes the findings of an ongoing investigation to develop a low bandwidth virtual classroom that can provide the necessary functionality to deliver courses to distant students. By combining Google Docs and Skype, we realised a low bandwidth virtual classroom alternative that could provide adequate functionality within our teaching context.","","978-1-905824-19-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753003","live virtual classroom;distance learning;capacity building","Streaming media;Bandwidth;Computer science;Education;Servers;Google;Africa","computer aided instruction;distance learning;Internet;virtual reality","Google Docs;Google Skype;low bandwidth virtual classroom;country development;distance learning support;multimedia contents","","","","16","","21 Apr 2011","","","IEEE","IEEE Conferences"
"Learning expert systems for robot fine motion control","S. Lee; M. H. Kim","Dept. of Electr. Eng. Syst., Univ. of Southern California, Los Angeles, CA, USA; Dept. of Electr. Eng. Syst., Univ. of Southern California, Los Angeles, CA, USA","Proceedings IEEE International Symposium on Intelligent Control 1988","6 Aug 2002","1988","","","534","544","The authors present a learning expert system which enables a robot to acquire fine motion skills automatically. The system follows the paradigm of Expert Assisted Robot Skill Acquisition (EARSA) proposed by the authors (1987). EARSA is mainly concerned with the self-discovery of skills by a robot in conjunction with the transfer of human skills to a robot and emphasizes the distinctive difference in perceptual and physical capabilities between a human and a robot. The authors review the theory and mechanism of EARSA, describe the robot fine motion skill learning algorithm formulated on the basis of EARSA, and present the details of simulation on the robot learning of two-dimensional peg-hole insertion skills. The results of simulation indicate the dramatic improvement of performance as a result of skill learning.<>","2158-9860","0-8186-2012-9","10.1109/ISIC.1988.65488","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=65488","","Expert systems;Motion control;Robotics and automation;Robot sensing systems;Intelligent robots;Cognitive robotics;Motion planning;Robotic assembly;Automatic control;Humans","artificial intelligence;expert systems;industrial robots;learning systems","industrial robots;artificial intelligence;fine motion control;learning expert system;Expert Assisted Robot Skill Acquisition;EARSA;skill learning;peg-hole insertion","","9","","22","","6 Aug 2002","","","IEEE","IEEE Conferences"
"A neural network approach towards adaptive congestion control in broadband ATM networks","X. Chen; I. M. Leslie","Comput. Lab., Cambridge Univ., UK; Comput. Lab., Cambridge Univ., UK","IEEE Global Telecommunications Conference GLOBECOM '91: Countdown to the New Millennium. Conference Record","6 Aug 2002","1991","","","115","119 vol.1","The authors present an adaptive control scheme based on neural networks to solve a general quality-of-service (QOS) control problem in broadband ATM (asynchronous transfer mode) networks. The control algorithms developed for training neural networks are a direct application of the error backpropagation learning method with those modifications required to pose the problem in a QOS control framework. To illustrate the present scheme's ability to control, examples of dynamic models are studied through simulations.<>","","0-87942-697-7","10.1109/GLOCOM.1991.188367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=188367","","Neural networks;Adaptive systems;Programmable control;Adaptive control;Intelligent networks;Communication system traffic control;Traffic control;Computer networks;Power system modeling;Loss measurement","adaptive control;broadband networks;learning systems;neural nets;telecommunications control;time division multiplexing","adaptive congestion control;broadband ATM networks;neural networks;quality-of-service;asynchronous transfer mode;error backpropagation learning method","","7","","6","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Learning Robust Policies for Object Manipulation with Robot Swarms","G. H. W. Gebhardt; K. Daun; M. Schnaubelt; G. Neumann","Department of Computer Science, Technische Universitat Darmstadt, CLAS, Darmstadt, 64289, Germany; Department of Computer Science, Technische Universitat Darmstadt, CLAS, Darmstadt, 64289, Germany; Department of Computer Science, Technische Universitat Darmstadt, CLAS, Darmstadt, 64289, Germany; University of Lincoln, LCAS, Brayford Pool, Lincoln, LN6 7TS, UK","2018 IEEE International Conference on Robotics and Automation (ICRA)","13 Sep 2018","2018","","","7688","7695","Swarm robotics investigates how a large population of robots with simple actuation and limited sensors can collectively solve complex tasks. One particular interesting application with robot swarms is autonomous object assembly. Such tasks have been solved successfully with robot swarms that are controlled by a human operator using a light source. In this paper, we present a method to solve such assembly tasks autonomously based on policy search methods. We split the assembly process in two subtasks: generating a high-level assembly plan and learning a low-level object movement policy. The assembly policy plans the trajectories for each object and the object movement policy controls the trajectory execution. Learning the object movement policy is challenging as it depends on the complex state of the swarm which consists of an individual state for each agent. To approach this problem, we introduce a representation of the swarm which is based on Hilbert space embeddings of distributions. This representation is invariant to the number of agents in the swarm as well as to the allocation of an agent to its position in the swarm. These invariances make the learned policy robust to changes in the swarm and also reduce the search space for the policy search method significantly. We show that the resulting system is able to solve assembly tasks with varying object shapes in multiple simulation scenarios and evaluate the robustness of our representation to changes in the swarm size. Furthermore, we demonstrate that the policies learned in simulation are robust enough to be transferred to real robots.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8463215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8463215","","Robot sensing systems;Task analysis;Light sources;Robustness;Kernel;Trajectory","Hilbert spaces;learning systems;mobile robots;multi-robot systems;robotic assembly;robust control;search problems","swarm size;robust policies learning;Hilbert space embeddings;policy search methods;low-level object movement policy;high-level assembly plan;assembly process;policy search method;autonomous object assembly;swarm robotics;robot swarms;object manipulation","","","","28","","13 Sep 2018","","","IEEE","IEEE Conferences"
"Split Deep Q-Learning for Robust Object Singulation*","I. Sarantopoulos; M. Kiatos; Z. Doulgeri; S. Malassiotis","Aristotle University of Thessaloniki,Department of Electrical and Computer Engineering,Thessaloniki,Greece,54124; Aristotle University of Thessaloniki,Department of Electrical and Computer Engineering,Thessaloniki,Greece,54124; Aristotle University of Thessaloniki,Department of Electrical and Computer Engineering,Thessaloniki,Greece,54124; Information Technologies Institute (ITI) Center of Research and Technology Hellas (CERTH),Thessaloniki,Greece,57001","2020 IEEE International Conference on Robotics and Automation (ICRA)","15 Sep 2020","2020","","","6225","6231","Extracting a known target object from a pile of other objects in a cluttered environment is a challenging robotic manipulation task encountered in many robotic applications. In such conditions, the target object touches or is covered by adjacent obstacle objects, thus rendering traditional grasping techniques ineffective. In this paper, we propose a pushing policy aiming at singulating the target object from its surrounding clutter, by means of lateral pushing movements of both the neighboring objects and the target object until sufficient 'grasping room' has been achieved. To achieve the above goal we employ reinforcement learning and particularly Deep Qlearning (DQN) to learn optimal push policies by trial and error. A novel Split DQN is proposed to improve the learning rate and increase the modularity of the algorithm. Experiments show that although learning is performed in a simulated environment the transfer of learned policies to a real environment is effective thanks to robust feature selection. Finally, we demonstrate that the modularity of the algorithm allows the addition of extra primitives without retraining the model from scratch.","2577-087X","978-1-7281-7395-5","10.1109/ICRA40945.2020.9196647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9196647","","Grasping;Task analysis;Clutter;Image segmentation;Robustness;Service robots","collision avoidance;grippers;learning systems;manipulators;neurocontrollers","policy learning;split deep Q-learning;robust object singulation;robotic manipulation;robotic applications;grasping techniques;pushing policy;lateral pushing movements;reinforcement learning;optimal push policies;split DQN;target object extraction","","","","23","","15 Sep 2020","","","IEEE","IEEE Conferences"
"DC grid laboratory experimental setup","P. van Duijsen; J. Woudstra; P. van Willigenburg","Simulation Res., Alphen, Netherlands; Univ. of Appl. Sci., Delft, Netherlands; THUAS, Delft, Netherlands","2018 International Conference on the Domestic Use of Energy (DUE)","14 Jun 2018","2018","","","1","6","In this paper a power electronics converter is described that is developed for educational purposes, considering topologies and power transfer for general applications. The considered topology is first evaluated by students via simulation. Secondly, using an experimental setup and regulation via a low cost embedded digital control, the students can experiment with various applications such as solar, battery charging, DCDC conversion and PWM motor control.","","978-0-9946-7594-1","10.23919/DUE.2018.8384397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8384397","Education;laboratory setup;power electronics;converters;learning by doing","Legged locomotion;MOSFET;Topology;Batteries;Power electronics;Voltage control;Pulse width modulation","computer aided instruction;embedded systems;power convertors;power engineering computing","power transfer;digital control;DC grid laboratory experimental setup;educational purposes;power electronics converter;low cost embedded digital control","","","","9","","14 Jun 2018","","","IEEE","IEEE Conferences"
