"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Automobility: the coming use of fully-automated on-road vehicles","P. A. Hancock","Department of Psychology, Institute for Simulation & Training, University of Central Florida, Orlando, USA","2015 IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision","18 May 2015","2015","","","137","139","In a world that appears primarily to be motivated by a worship of the false idol of profit, there can be little doubt that the era of automated road vehicles is upon us. Indeed, such technologies have already begun to percolate into the bespoke vehicle domain and what becomes feasible in the special case is a prime candidate to penetrate into the more general circumstance. Within a period of mere decades, will it be the case that we will look back upon the manually controlled vehicle in the same manner that we now look upon the manually operated elevator, as a piquant anachronism or the particular domain of a specialized segment of the antiques trade? But, before we achieve even the first degree of true “automobility” we shall have to pass through a hybrid stage of development in which the role of the individual human driver will have to evolve substantively. During this phase of evolution, the population of vehicles on the road will be best described as `mixed equipage' (i.e., dynamically changing combinations of automated and manually controlled vehicles). Whether such differing capacity vehicles will be separated in either space (e.g., lanes devoted to automatic vehicles) or time (e.g., blocks of time when only manual vehicles are permitted on a specific roadway), is a question which must concern all who attend this important inception. If differing capacity vehicles are allowed to `mix,' a critical element of acceptance for example, will be how automated vehicles deal with drowsy, fatigued, or otherwise impaired drivers exercising traditional manual control. After exploring this specific strand of hybrid development and innovative forms of vehicle control from a human factors perspective, and briefly considering the parallel development of diverse robotic systems, I conclude my present discourse by asking the provocative question which may be expressed as follows. While we can develop such automated systems, should we in fact pursue this line of development? The latter questions are intimately bound up in the notions of safety, efficiency, choice, freedom, and our prospective overall social and individual quality of life. Whether these latter questions ever enter into the primary scientific and engineering discourse about the coming technological wave of automation I considered rather doubtful.","2379-1675","978-1-4799-8015-4","10.1109/COGSIMA.2015.7108188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7108188","automated road vehicles;automobility;trust","Robot sensing systems;Visualization;Resource management;Social network services;Read only memory;Cognitive science","human factors;road vehicles","fully-automated on-road vehicles;bespoke vehicle domain;manually controlled vehicle;automobility degree;vehicle control;human factors perspective;diverse robotic systems","","8","","9","","18 May 2015","","","IEEE","IEEE Conferences"
"A concept map approach for introduction to Computer Engineering course curriculum","G. Tokdemir; N. E. Cagiltay","Computer Engineering Department, Atilim University, Ankara, Turkey; Computer Engineering Department, Atilim University, Ankara, Turkey","IEEE EDUCON 2010 Conference","24 Jun 2010","2010","","","243","250","As in any discipline, in Computer Engineering, students start learning the basic concepts of the discipline in their first year through an Introduction to Computer Engineering course. The topics toughed in this course can be grouped into two. The first group includes simple concepts like binary numbering system, hard disk, memory, and I/O devices. In the second group, an introduction to the courses that they will take in the next semesters of the program which includes programming, networking, software engineering, artificial intelligence and database systems. The main objective of this course is to give an introduction about the general concepts of the field to the first year Computer Engineering students and prepare them to understand the connections between them for their future studies. However, students and instructors face with many problems in this course. First, because of the diversity of the concepts given in the course, it is very difficult for the students to see the big picture of the Computer Engineering domain. Similarly, it is difficult for the instructors to prepare the course content in an integrated manner at the students' level. Additionally, the perception of the theory and practice behind the hardware and software topics and their connections is not an easy task for the beginners. Moreover, the topics are mostly abstract topics, which do not allow application of any laboratory sessions. Students usually find this course difficult to understand, which decreases their motivation about the department and success of the course. This study is established to propose a concept map approach to better visualize and discover all the connections between the concepts of Computer Engineering field which can be used in the curriculum of the programs and introductory courses of the field addressing the above problems. The proposed concept map helps to visualize the general picture of the field.","2165-9567","978-1-4244-6571-2","10.1109/EDUCON.2010.5492570","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5492570","curriculum development;concept maps;computer engineering","Fiber reinforced plastics;Virtual reality;Optical computing;Visualization;Hard disks;Software engineering;Artificial intelligence;Database systems;Engineering students;Hardware","computer science education;educational administrative data processing;educational courses","computer engineering course;hardware topic;software topic;concept map approach;introductory course;programs course","","2","","","","24 Jun 2010","","","IEEE","IEEE Conferences"
"The QUICK framework for task-specific asset prioritization in distributed virtual environments","M. V. Capps","Naval Postgraduate Sch., Monterey, CA, USA","Proceedings IEEE Virtual Reality 2000 (Cat. No.00CB37048)","6 Aug 2002","2000","","","143","150","In virtual environment systems, the ultimate goal is delivery of the highest-fidelity user experience possible. The paper describes a general form framework for optimizing fidelity on a per-task basis. The virtual world database is priority ordered; the ordering is dynamically recomputed based on display platform, virtual world state, and (possibly shifting) task objectives. Optimization is performed with the QUICK model, which integrates ratings of representational quality, scene node importance, and machine resource cost. The approach has been implemented in a prototype display and distributed cache management system, which can be incorporated into most existing networked virtual reality applications.","1087-8270","0-7695-0478-7","10.1109/VR.2000.840492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840492","","Virtual environment;Displays;Delay;Layout;Virtual prototyping;Capacitive sensors;Rendering (computer graphics);Collaboration;Application software;Databases","virtual reality;cache storage;distributed memory systems;groupware;resource allocation","QUICK framework;task-specific asset prioritization;distributed virtual environments;virtual environment systems;highest-fidelity user experience;general form framework;virtual world database;priority ordered database;display platform;virtual world state;task objectives;representational quality;scene node importance;machine resource cost;prototype display;distributed cache management system;networked virtual reality applications","","9","","18","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Heritage interpretation: Collective reconstruction of Sompur Mahavihara, Bangladesh","H. Rahaman; M. M. Rashid; M. Rahman","Department of Architecture, NUS, 4 Architecture Drive, Singapore, 117566; Department of Architecture, International Islamic University, Malaysia; CSE Discipline, Khulna University. Khulna- 9208, Bangladesh","2010 16th International Conference on Virtual Systems and Multimedia","13 Dec 2010","2010","","","163","170","The 8th century Buddhist Monastery of Sompur Mahaviahara at Paharpur drew deep attention by the architectural historians of the South Asia from the very discovery of the ruins for its unique architectural features and strategic spatio-temporal location. During the first phase of study, we have developed a preliminary reconstructed 3D model of Sompur Mahaviahara - as `professional interpretation'. But this attempt was hindered due to non-availability of substantial resources. At the same time we have found it almost impossible to depend solely on materials that are available at first hand to demonstrate a continuous narrative of this monument. This leads us to a second phase of study which attempts to collect and investigate `public interpretation' of the same monument. We propose a novel approach of heritage interpretation for general people, opposing the traditional interpretation method. We have developed an interactive web-portal, where active online participants can collaborate and collectively generate a knowledge base of cultural memories. We hope through this participatory approach of reconstruction/interpretation will provide an understanding of public view about this monument and at the same time will generate a popular database which can later support our previous study to get a clearer picture of the past glory of Sompur Mahavihara. As a methodology `heritage interpretation' is first conceptualized; followed by elaboration of professional interpretation. Similar cases have been studied and some new strategies have been picked to develop an online portal.","","978-1-4244-9026-4","10.1109/VSMM.2010.5665990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5665990","Virtual Heritage;Heritage interpretation;Active participation;Collective cultural memory","Cultural differences;Three dimensional displays;History;Global communication;Communities;Media;Internet","feature extraction;history;image reconstruction;portals;virtual reality","Buddhist Monastery;Paharpur;South Asia;architectural feature;spatiotemporal location;3D model reconstruction;Sompur Mahaviahara;public interpretation;heritage interpretation;interactive Web portal;online participant;cultural memory;virtual heritage","","2","","36","","13 Dec 2010","","","IEEE","IEEE Conferences"
"The impact of motion in virtual environments on memorization performance","P. Häfner; C. Vinke; V. Häfner; J. Ovtcharova; W. Schotte","Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; Institute for Information, Management in Engineering, Karlsruhe Institute of Technology, Zirkel 2, 76131, Germany; High Performance Computing Center Stuttgart, University of Stuttgart, Nobelstr. 19, 70569, Germany","2013 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications (CIVEMSA)","3 Oct 2013","2013","","","104","109","Virtual environments are more and more used for educational and training purposes. In order to design virtual environments for these applications in particular, it is very important to get a deep understanding of the relevant design features supporting the user's process of learning and comprehension. Relevance and implementation of these features as well as the benefits of virtual learning environments over traditional educational approaches in general are rarely explored. Focusing on modes of interaction in this work, we examined the effect of different motion types on the knowledge acquisition of users in various virtual environments. For our study we chose a simple memorization task as approximation of low cognitive knowledge acquirement. We hypothesized motion types and immersion levels influence memorization performance in virtual environments. The memorization task was conducted in two virtual environments with different levels of immersion: A high-immersive Cave Automatic Virtual Environment (CAVE) and a low-immersive desktop virtual environment. Two motion types in virtual environments were explored: Physical and virtual walking. In the CAVE physical walking was implemented by using motion capturing and virtual walking was realized using a joystick-like input device. The results indicate neither motion types nor immersion levels in virtual environments affect memorization performance significantly.","2377-9322","978-1-4673-4703-7","10.1109/CIVEMSA.2013.6617404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6617404","cognition;human computer interaction;learning;memory;motion;virtual environment;virtual reality","Virtual environments;Navigation;Legged locomotion;Tutorials;Stereo vision;Educational institutions","computer aided instruction;human computer interaction;human factors;interactive devices;virtual reality","training;education;CAVE physical walking;virtual walking;low-immersive desktop virtual environment;high-immersive CAVE automatic virtual environment;hypothesized motion types;cognitive knowledge acquirement;user knowledge acquisition;virtual learning environments;user process;virtual environment design;training purposes;memorization performance","","4","","12","","3 Oct 2013","","","IEEE","IEEE Conferences"
"Effects of Lighting Variations in Virtual Learning Environments","A. M. Velentza; E. Economou","University of Crete,Lab of Experimental Psychology,Department of Psychology,Rethymnon,Crete,Greece; University of Crete,Lab of Experimental Psychology,Department of Psychology,Rethymnon,Crete,Greece","2020 11th International Conference on Information, Intelligence, Systems and Applications (IISA","11 Dec 2020","2020","","","1","6","The use of virtual reality in education is giving researchers new designing opportunities to create learning environments with characteristics that are difficult or even impossible to implement in the real world. There are plenty of educational, cognitive, architectural and neuroscience theories suggesting that certain environmental aspects can enhance the learning process. Such an example is the variation of lighting conditions, in terms of intensity (high or low luminance) and/or temperature (cold or warm), that have been shown to improve memory, attention and executive functions. In this paper, we investigate the differences between a real and a Virtual Learning Environment (VLE) regarding the effects of the lighting conditions on several cognitive functions while we apply, for the first time, certain lighting theories directly into a University level VLE. The first main outcome of our study is that lighting conditions in VLEs affect students' cognitive functions in a similar way to traditional/physical learning environments, i.e. high luminance enhance memory, attention and executive functions when compared with low luminance. Our results indicate that if we need to test a cognitive or learning hypothesis, we can test it directly into a virtual environment since it gives us similar results/outcomes with those triggered in real one. Moreover, our results demonstrate that exposure to blue (cold) lighting in VLEs increase students' scores, in the given pseudoword test, in comparison with their exposure to red (warm) lighting.","","978-0-7381-2346-2","10.1109/IISA50023.2020.9284416","Hellenic Foundation for Research and Innovation; General Secretariat for Research and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284416","virtual learning environment;lighting conditions;color temperature;memory test;executive task;real environments","Neuroscience;Education;Lighting;Virtual environments;Task analysis","cognition;computer aided instruction;virtual reality","virtual learning environments;red lighting;blue lighting;virtual environment;lighting theories;cognitive functions;virtual learning environment;lighting conditions;learning process;architectural neuroscience theories;cognitive neuroscience theories;educational neuroscience theories;virtual reality;lighting variations","","","","25","","11 Dec 2020","","","IEEE","IEEE Conferences"
"A simulator for a bit-slice computer","R. J. Distler","Dept. of Electr. Eng., Kentucky Univ., Lexington, KY, USA","IEEE Transactions on Education","6 Aug 2002","1990","33","4","363","365","A simulator has been written for a bit-slice system using 2900 series devices. The simulator is very helpful in the teaching of an advanced logic design course. The system was designed so that it could be expanded as the course progressed from a microprogrammed machine to a general-purpose computer, where the student can microprogram the instruction set. The result is that each student in a large class can have unlimited access to the bit-slice computer being discussed in class. A listing of a program and its execution is given as an example of a microcoded machine. For a general-purpose machine, one would need the microcode for the fetch and execution of the instructions stored in the RAM, the code for the program in the RAM, and the code for the MAP ROM.<>","1557-9638","","10.1109/13.61095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=61095","","Computational modeling;Computer simulation;Circuits;Registers;Computer aided instruction;Hardware;Microprogramming;Process design;Read-write memory;Multiplexing","computer aided instruction;computer science education;digital simulation;educational courses;microprogramming;teaching","digital simulation;educational course;computer science education;microprogramming;simulator;bit-slice computer;2900 series devices;teaching;advanced logic design;microprogrammed machine;general-purpose computer;student;instruction set;program;microcoded machine;microcode;RAM;MAP ROM","","5","","2","","6 Aug 2002","","","IEEE","IEEE Journals"
"General Real Time Simulation System KDRTS Based on Common Personal Computer Hardware","X. Li; X. Pan; J. Cao; Q. Xu","Mechantronics & Autom. Acad., Nat. Univ. of Defense Technol., Changsha, China; Mechantronics & Autom. Acad., Nat. Univ. of Defense Technol., Changsha, China; Mechantronics & Autom. Acad., Nat. Univ. of Defense Technol., Changsha, China; Mechantronics & Autom. Acad., Nat. Univ. of Defense Technol., Changsha, China","2009 Second International Conference on Information and Computing Science","21 Jul 2009","2009","3","","216","219","Along with the rapidly advancement of the computer hardware and software technology, special-purpose simulation computer system has gradually failed to keep pace with the developing and application trend of simulation technology. So in its development process, simulation computer gradually got rid of the customization road, gradually choose a common path. KDRTS (Ke Da real time simulation system), which has been successfully used in hardware-in-the-loop (HITL) simulation experiment of certain guided weapon system, is a general real simulation system based on common personal computer hardware. This paper introduces composition of the hardware system, structure of the software system and expounds its characteristic of KDRTS in detail.","2160-7451","978-0-7695-3634-7","10.1109/ICIC.2009.260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5168843","simulation computer;real-time simulation;hardware-in-the-loop (HITL);simulation test;reflective memory","Real time systems;Computational modeling;Computer simulation;Microcomputers;Hardware;Analog computers;Application software;Roads;Accuracy;Memory management","digital simulation;microcomputer applications;military computing;weapons","general real time simulation system;common personal computer hardware;special-purpose simulation computer system;computer simulation;Ke Da real time simulation system;hardware-in-the-loop;guided weapon system;KDRTS","","","","7","","21 Jul 2009","","","IEEE","IEEE Conferences"
"Map Memory Management for Real-Time Displaying in Virtual Experience","C. Huang; S. Shih","Dept. of Electr. Eng., Nat. Taipei Univ. of Technol., Taipei, Taiwan; Dept. of Electr. Eng., Nat. Taipei Univ. of Technol., Taipei, Taiwan","2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","17 Jan 2019","2018","","","4132","4137","In this paper, an application of simultaneous localization and mapping (SLAM) combined with visual reality (VR) is proposed to let the user experience and interact with an real environment through the headset with a mobile phone such that the user can easily visit the environment with cheaper equipment at any time. Compared with exploring an environment with general 2D map, the user can view the environment more realistically in an immersive manner. Here, an intensive map of environment with huge amount of point clouds, which is generated by employing the RTAB-Map SLAM with RGB-D cameras, is utilized to provide a more complete observation to the user than that of the sparse map. Since the memory of a mobile phone is limited and smaller than a personal computer, the data of whole map cannot be transmitted to the mobile phone once for VR displaying. Based on the architecture of memory management for detecting loop closure in the RTAB-Map SLAM, an efficient memory management for extracting the point cloud data to achieve the real-time VR displaying performance is designed by utilizing the Bayesian filtering and data clustering. The proposed approaches have been validated and analyzed in the experiments to present that our method can effectively reduce the memory usage for continuously and smoothly displaying the virtual scene.","2577-1655","978-1-5386-6650-0","10.1109/SMC.2018.00700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616697","SLAM;virtual reality;virtual experience","Conferences;Cybernetics;Virtual reality","Bayes methods;cameras;computer displays;feature extraction;helmet mounted displays;image colour analysis;image filtering;mobile handsets;mobile robots;object detection;SLAM (robots);storage management;virtual reality","real-time displaying;virtual experience;visual reality;user experience;mobile phone;general 2D map;RTAB-Map SLAM;sparse map;point cloud data;memory usage;Map memory management;data clustering;Bayesian filtering;simultaneous localization and mapping;RGB-D cameras;VR displaying performance","","","","20","","17 Jan 2019","","","IEEE","IEEE Conferences"
"A new approach to quantify elbow position sense using an exoskeleton and a virtual reality display","A. Deblock-Bellamy; C. S. Batcho; C. Mercier; A. K. Blanchette","CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada","2017 International Conference on Virtual Rehabilitation (ICVR)","14 Aug 2017","2017","","","1","2","Most of the proprioception assessments commonly used are not adapted for individuals who present multiple impairments after a stroke. Indeed, these assessments require certain motor or cognitive functions that are generally affected after a stroke. We have therefore developed a protocol, combining a robotic device and a virtual reality display, that enables the assessment of position sense without requiring active movement in the evaluated arm, involving the opposite arm or relying on working memory. As a preliminary step of validation, elbow joint position sense of healthy young adults was quantified and test-retest reliability was studied. Results show that this protocol can quantify elbow position sense of healthy young adults (mean detection threshold: around 7 degrees), with a fair to good test-retest reliability.","2331-9569","978-1-5090-3053-8","10.1109/ICVR.2017.8007518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8007518","Proprioception;assessment;reliability;robotics;virtual reality;upper limb","Reliability;Elbow;Exoskeletons;Protocols;Robot sensing systems;Virtual reality","medical robotics;patient rehabilitation;virtual reality","elbow position;exoskeleton;virtual reality display;proprioception assessments;cognitive functions;robotic device;working memory","","","","8","","14 Aug 2017","","","IEEE","IEEE Conferences"
