VR terms + transfer + memory,Included/Excluded 
,
transfer functions (128),E
learning (artificial intelligence) (80),E
control system synthesis (74),E
heat transfer (71),E
power grids (61),E
digital simulation (58),E
plasma simulation (54),E
Monte Carlo methods (53),E
mobile robots (53),E
radiative transfer (52),E
numerical analysis (48),E
finite element analysis (46),E
power system stability (45),E
optimisation (43),E
feedback (42),E
computational fluid dynamics (41),E
data visualisation (41),E
,
Included Topics:,
virtual reality,I
augmented reality,I
computer games,I
serious games,I
learning systems ,I
CS education,I
educational courses,I
educational computing,I
educational institutions,I
EE education,I
engineering education,I
further education,I
computer aided instruction,I
computer interfaces,I
human computer interaction,I
computer based training,I
human factors,I
haptic interfaces,I
EE education,I
,
Total After Exclusion Topics Appled ,42
,
,
