"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Implementation of FPGA technology as human-machine interface to Z80 microprocessor learning module","M. Hadi; R. T. Widodo; A. H. Alasiry","D4 Electronic Study Program, Electrical Engineering Department, Electrical Eengineering Polytechnic Institute of Surabaya; D4 Electronic Study Program, Electrical Engineering Department, Electrical Eengineering Polytechnic Institute of Surabaya; D4 Electronic Study Program, Electrical Engineering Department, Electrical Eengineering Polytechnic Institute of Surabaya","2016 International Electronics Symposium (IES)","23 Feb 2017","2016","","","180","184","Microprocessor system is a must know subject in electrical engineering. Despite of learning through simulation, student, especially in polytechnic, have to be more involved in the hands on practice. Z80 is one of the simplest microprocessor system for studied. Many of existing Z80 learning board came with tons of user friendly interfaces, such as a keypad and alphanumerical LCD, however, the most important basic of this subject, the data transfer signaling, is sometime difficult to show. In this paper, we present a Z80 microprocessor module as learning facility with a HMI chip that is designed using FPGA chip, which is allow us to gate and control the microprocessor signals. The HMI chip implanted several control functions; the STEP unit, DMA unit, control memory unit, I/O control unit, address and data control unit, and system reset unit. Units in the HMI chip works very structured, and interconnected. With the signal controlled from the HMI chip units, the microprocessor work process becomes more easily to be manipulated and observed. The process of storing and reading program using DMA also can be easier to understand. Simple layout of the main board greatly facilitate student in operate and analyze a running program. Since the HMI chip built on an LVCMOS technology, while the classic Z80 CPU is still a CMOS, two-way bus logic level converters from 3.3V to 5V have to be used. Working frequency achieved is from 3MHz to 10MHz.","","978-1-5090-1640-2","10.1109/ELECSYM.2016.7860998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7860998","Z80 microprocessor Systems;DMA;Chip design;HMI;FPGA","Microprocessors;Field programmable gate arrays;Pins;Random access memory;Control systems;Arrays","educational courses;electrical engineering education;field programmable gate arrays;logic design;man-machine systems;microprocessor chips","two-way bus logic level converters;LVCMOS technology;running program;system reset unit;data control unit;I/O control unit;control memory unit;DMA unit;STEP unit;microprocessor signals;FPGA chip;HMI chip;learning facility;data transfer signaling;alphanumerical LCD;keypad;user friendly interfaces;Z80 learning board;electrical engineering;microprocessor system;Z80 microprocessor learning module;human-machine interface;FPGA technology;voltage 3.3 V to 5 V;frequency 3 MHz to 10 MHz","","2","","8","","23 Feb 2017","","","IEEE","IEEE Conferences"
"The effects of olfaction on training transfer for an assembly task","A. G. Moore; N. S. Herrera; T. C. Hurst; R. P. McMahan; S. Poeschl",The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; Ilmenau University of Technology,"2015 IEEE Virtual Reality (VR)","27 Aug 2015","2015","","","237","238","Context-dependent memory studies have indicated that olfaction, the sense of smell, has a special odor memory that can significantly improve recall in some cases. Virtual reality (VR), which has been investigated as a training tool, could feasibly benefit from odor memory by incorporating olfactory stimuli. There have been a few studies on this concept for semantic learning, but not for procedural training. To address this gap in knowledge, we investigated the effects of olfaction on the transfer of knowledge from training to next-day execution for building a complex LEGO jet-plane model. Our results indicate that the pleasantness of an odor significantly affects training transfer more than whether the encoding and recall contexts match.","2375-5334","978-1-4799-1727-3","10.1109/VR.2015.7223383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223383","Olfactory fidelity;training transfer","Training;Olfactory;Encoding;Virtual environments;Semantics;Testing","chemioception;computer based training;virtual reality","assembly task;context-dependent memory;smell-sense;odor memory;recall improvement;virtual reality;VR;training tool;olfactory stimuli;semantic learning;knowledge transfer;complex LEGO jet-plane model;odor pleasantness;training transfer","","2","","13","","27 Aug 2015","","","IEEE","IEEE Conferences"
"Efficient HRTF-based Spatial Audio for Area and Volumetric Sources","C. Schissler; A. Nicholls; R. Mehra",Oculus & Facebook and UNC Chapel Hill; Oculus & Facebook; Oculus & Facebook,"IEEE Transactions on Visualization and Computer Graphics","14 Mar 2016","2016","22","4","1356","1366","We present a novel spatial audio rendering technique to handle sound sources that can be represented by either an area or a volume in VR environments. As opposed to point-sampled sound sources, our approach projects the area-volumetric source to the spherical domain centered at the listener and represents this projection area compactly using the spherical harmonic (SH) basis functions. By representing the head-related transfer function (HRTF) in the same basis, we demonstrate that spatial audio which corresponds to an area-volumetric source can be efficiently computed as a dot product of the SH coefficients of the projection area and the HRTF. This results in an efficient technique whose computational complexity and memory requirements are independent of the complexity of the sound source. Our approach can support dynamic area-volumetric sound sources at interactive rates. We evaluate the performance of our technique in large complex VR environments and demonstrate significant improvement over the naive point-sampling technique. We also present results of a user evaluation, conducted to quantify the subjective preference of the user for our approach over the point-sampling approach in VR environments.","1941-0506","","10.1109/TVCG.2016.2518134","Oculus & Facebook; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7383327","Spatial audio;HRTF;area sources;volumetric sources;spherical harmonics;Spatial audio;HRTF;area sources;volumetric sources;spherical harmonics","Ear;Harmonic analysis;Rendering (computer graphics);Three-dimensional displays;Virtual environments;Transfer functions","audio signal processing;rendering (computer graphics);virtual reality","HRTF;spatial audio rendering technique;VR environments;point sampled sound sources;area-volumetric source;spherical harmonic;head related transfer function;spatial audio;computational complexity;memory requirements;sound source complexity;interactive rates;virtual reality","","34","1","38","","14 Jan 2016","","","IEEE","IEEE Journals"
"“Woodlands” - a Virtual Reality Serious Game Supporting Learning of Practical Road Safety Skills","K. Szczurowski; M. Smith","Department of Informatics, Institute of Technology Blanchardstown, Dublin, Ireland; Department of Informatics, Institute of Technology Blanchardstown, Dublin, Ireland","2018 IEEE Games, Entertainment, Media Conference (GEM)","1 Nov 2018","2018","","","1","9","In developed societies road safety skills are taught early and often practiced under the supervision of a parent, providing children with a combination of theoretical and practical knowledge. At some point children will attempt to cross a road unsupervised, at that point in time their safety depends on the effectiveness of their road safety education. To date, various attempts to supplement road safety education with technology were made. Most common approach focus on addressing declarative knowledge, by delivering road safety theory in an engaging fashion. Apart from expanding on text based resources to include instructional videos and animations, some stakeholders (e.g.: Irish Road Safety Authority) attempt to take advantage of game-based learning [1]. However, despite the high capacity for interaction being common in Virtual Environments, available game-based solutions to road safety education are currently limited to delivering and assessing declarative knowledge. With recent advancements in the field of Virtual Reality (VR) Head Mounted Displays, procedural knowledge might also be addressed in Virtual Environments. This paper describes the design and development process of a computer-supported learning system that attempts to address psycho-motor skills involved in crossing a road safely, changing learners' attitude towards road safety best practices, and enabling independent practice of transferable skills. By implementing game-based learning principles and following best practice for serious game design (such as making educational components essential to successful game-play, or instructional scaffolding) we hope to make it not only more effective, but also engaging, allowing us to rely on learners' intrinsic motivation [2], to increase their independent practice time and provide them with feedback that will help to condition safe behaviour and increase retention. Presence in Virtual Reality might evoke responses to Virtual Environment as if it was real (RAIR) [3] and enable learners to truly experience learning scenarios. In consequence leading to formation of autobiographical memories constructed from multisensory input, which should result in an increased knowledge retention and transfer [4].","","978-1-5386-6304-2","10.1109/GEM.2018.8516493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516493","Virtual Reality;VR;Road Safety;Serious Game;Experiential Learning;Game-Based Learning;Virtual Environment","Games;Road safety;Virtual environments;Training","computer aided instruction;helmet mounted displays;road safety;serious games (computing);virtual reality","road safety education;declarative knowledge;road safety theory;road safety best practices;serious game design;virtual reality serious game;virtual environment;virtual reality head mounted displays;Woodlands;game-based learning","","4","","34","","1 Nov 2018","","","IEEE","IEEE Conferences"
"Object location memory error in virtual and real environments","M. Xu; M. Murcia-López; A. Steed","University College London, UK; University College London, UK; University College London, UK","2017 IEEE Virtual Reality (VR)","6 Apr 2017","2017","","","315","316","We aim to further explore the transfer of spatial knowledge from virtual to real spaces. Based on previous research on spatial memory in immersive virtual reality (VR) we ran a study that looked at the effect of three locomotion techniques (joystick, pointing-and-teleporting and walking-in-place) on object location learning and recall. Participants were asked to learn the location of a virtual object in a virtual environment (VE). After a short period of time they were asked to recall the location by placing a real version of the object in the real-world equivalent environment. Results indicate that the average placement error, or distance between original and recalled object location, is approximately 20cm for all locomotion technique conditions. This result is similar to the outcome of a previous study on spatial memory in VEs that used real walking. We report this unexpected finding and suggest further work on spatial memory in VR by recommending the replication of this study in different environments and using objects with a wider diversity of properties, including varying sizes and shapes.","2375-5334","978-1-5090-6647-6","10.1109/VR.2017.7892303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892303","H.5.1 [Information Interfaces and Presentation]: Multimedia Information Systems — Artificial, augmented, and Virtual Realities;I.3.7 [Computer Graphics]: Three-Dimensional Graphics and Realism — Virtual Reality","Legged locomotion;Virtual environments;Navigation;Visualization;Standards","brain;human computer interaction;realistic images;virtual reality","object location memory error;virtual environment;real environment;spatial knowledge transfer;spatial memory;immersive virtual reality;locomotion technique;joystick;pointing-and-teleporting;walking-in-place;object location learning;object location recall;placement error","","3","","9","","6 Apr 2017","","","IEEE","IEEE Conferences"
"Portable Biometric Attendance System Using IOT","S. Chennattu; A. Kelkar; A. Anthony; S. Nagdeote","FR.CRCE, Mumbai University,Department of Electronics,Mumbai,India; FR.CRCE,Department of Electronics,Mumbai,India; FR.CRCE,Department of Electronics,Mumbai,India; FR.CRCE,Department of Electronics,Mumbai,India","2019 4th International Conference on Information Systems and Computer Networks (ISCON)","16 Mar 2020","2019","","","245","249","Our project aims at building a biometrics based attendance registry system for educational institutions such as colleges and schools. We have tried to bring together concepts of hardware and software engineering to give an end consumer product which can replace the current manner of attendance marking. This project also utilizes the fundamentals of Internet of Things (IoT) for data transfer, storage and display. The system can be interpreted based on it's hardware and software aspects. The hardware section consists of a pod, which is a portable device that can be circulated among students in the classroom. It features an LCD screen that displays various functional options and a, which can scan, store and identify student fingerprints. The identified fingerprint ID is then stored in memory and is made ready for transfer. The data is then sent to the database on a web server where the Database Management System (DBMS) updates the attendance tables accordingly. This database can be downloaded or viewed by the respective faculty.","","978-1-7281-3651-6","10.1109/ISCON47742.2019.9036275","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9036275","Biometric Attendance System;identified fingerprint ID;fingerprint sensor;Database Management System","Fingerprint recognition;Databases;Flowcharts;Batteries;Hardware;Liquid crystal displays;Software","database management systems;educational administrative data processing;educational institutions;fingerprint identification;Internet;Internet of Things","attendance marking;IoT;hardware section;portable device;student fingerprints;identified fingerprint ID;database management system;attendance tables;portable biometric attendance system;educational institutions;colleges;software engineering;end consumer product;biometrics based attendance registry system;Internet of Things;data transfer;data storage;LCD screen;Web server","","","","14","","16 Mar 2020","","","IEEE","IEEE Conferences"
"MMAP System Transfer in Linux Virtual Memory Management","L. -x. Wang; J. Kang","Sch. of Comput. & Inf. Eng., Anyang Normal Univ., Anyang; Sch. of Comput. & Inf. Eng., Anyang Normal Univ., Anyang","2009 First International Workshop on Education Technology and Computer Science","26 May 2009","2009","1","","675","679","MMAP system transfer has a very important effect in Linux virtual memory management, but its work process is not well-known. The paper is focus on this point, analyses system transfer functions, and offer system flow chart at last.","","978-1-4244-3581-4","10.1109/ETCS.2009.156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4958860","Linux virtual memory management;MMAP system transfer","Linux;Memory management;Reflection;Engineering management;Technology management;Computer science education;Systems engineering education;Educational technology;Computer science;Transfer functions","flowcharting;Linux;storage management;transfer functions;virtual reality","MMAP system transfer;Linux;virtual memory management;system transfer functions;system flow chart","","","","5","","26 May 2009","","","IEEE","IEEE Conferences"
"Perceptually Augmented Simulator Design","T. Edmunds; D. K. Pai","University of British Columbia, Vancouver; University of British Columbia, Vancouver","IEEE Transactions on Haptics","9 Mar 2012","2012","5","1","66","76","Training simulators have proven their worth in a variety of fields, from piloting to air-traffic control to nuclear power station monitoring. Designing surgical simulators, however, poses the challenge of creating trainers that effectively instill not only high-level understanding of the steps to be taken in a given situation, but also the low-level “muscle-memory” needed to perform delicate surgical procedures. It is often impossible to build an ideal simulator that perfectly mimics the haptic experience of a surgical procedure, but by focussing on the aspects of the experience that are perceptually salient we can build simulators that effectively instill learning. We propose a general method for the design of surgical simulators that augment the perceptually salient aspects of an interaction. Using this method, we can increase skill-transfer rates without requiring expensive improvements in the capability of the rendering hardware or the computational complexity of the simulation. In this paper, we present our decomposition-based method for surgical simulator design, and describe a user-study comparing the training effectiveness of a haptic-search-task simulator designed using our method versus an unaugmented simulator. The results show that perception-based task decomposition can be used to improve the design of surgical simulators that effectively impart skill by targeting perceptually significant aspects of the interaction.","2329-4051","","10.1109/TOH.2011.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5975145","Haptic I/O;artificial;augmented;and virtual realities;life and medical sciences;surgical simulation.","Haptic interfaces;Surgery;Training;Needles;Rendering (computer graphics);Surface roughness;Rough surfaces","augmented reality;computer based training;haptic interfaces;medical computing;surgery","perceptually augmented simulator design;training simulator;air-traffic control;piloting;nuclear power station monitoring;surgical simulator;low-level muscle-memory;surgical procedure;haptic experience;salient interaction aspect;skill-transfer rate;rendering hardware;computational complexity;decomposition-based method;user study;haptic-search-task simulator;unaugmented simulator;perception-based task decomposition","","2","","21","","4 Aug 2011","","","IEEE","IEEE Journals"
"Experiences in speeding up computer vision applications on mobile computing platforms","L. Backes; A. Rico; B. Franke","Barcelona Supercomputing Center, Spain; Barcelona Supercomputing Center, Spain; The University of Edinburgh, United Kingdom","2015 International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation (SAMOS)","28 Dec 2015","2015","","","1","8","Computer vision (CV) is widely expected to be the next big thing in mobile computing. The availability of a camera and a large number of sensors in mobile devices will enable CV applications that understand the environment and enhance people's lives through augmented reality. One of the problems yet to solve is how to transfer demanding state-of-the-art CV algorithms -designed to run on powerful desktop computers with several GPUs- onto energy-efficient, but slow, processors and GPUs found in mobile devices. To accommodate to the lack of performance, current CV applications for mobile devices are simpler versions of more complex algorithms, which generally run slowly and unreliably and provide a poor user experience. In this paper, we investigate ways to speed up demanding CV applications to run faster on mobile devices. We selected KinectFusion (KF) as a representative CV application. The KF application constructs a 3D model from the images captured by a Kinect. After porting it to an ARM platform, we applied several optimisation and parallelisation techniques using OpenCL to exploit all the available computing resources. We evaluated the impact on performance and power and demonstrate a 4× speedup with just a 1.38× power increase. We also evaluated the performance portability of our optimisations by running on a different platform, and assessed similar improvements despite the different multi-core configuration and memory system. By measuring processor temperature, we found overheating to be the main limiting factor for running such high-performance codes on a mobile device not designed for full continuous utilisation.","","978-1-4673-7311-1","10.1109/SAMOS.2015.7363653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363653","","Graphics processing units;Kernel;Mobile handsets;Optimization;Computational modeling;Performance evaluation","augmented reality;cameras;computer vision;graphics processing units;image capture;mobile computing;mobile handsets;multiprocessing systems;performance evaluation","high-performance codes;memory system;multicore configuration;computing resources;ARM platform;image capture;3D model;KF application;KinectFusion;CV algorithms;augmented reality;CV applications;mobile devices;sensors;computer vision applications;mobile computing platforms","","4","","17","","28 Dec 2015","","","IEEE","IEEE Conferences"
"Design of virtual channel queue in an ATM broadband terminal adaptor","H. J. Chao; D. E. Smith","Bellcore, Red Bank, NJ, USA; Bellcore, Red Bank, NJ, USA","[Proceedings] IEEE INFOCOM '92: The Conference on Computer Communications","6 Aug 2002","1992","","","294","302 vol.1","It is desirable to interconnect different computer hosts and local area networks (LANs) through the asynchronous transfer mode (ATM) network via broadband terminal adaptors (BTAs). The BTA must have a sufficiently large buffer, called a virtual channel queue (VCQ), to temporarily store multiple, partially received packets from different virtual channels. The buffer requirement of a shared-memory VCQ is studied for different packet loss probabilities and virtual channel numbers. Two different architectures for implementing the shared-memory VCQ are compared. The second architecture with multiple linked queues in the shared-memory requires less memory and has better scalability to accommodate a large number of virtual channels and is adopted in the analysis. Several possible error conditions, such as shared-memory overflow, the received packet exceeding its maximum length, and the corruption of the pointer in the logical queue, are discussed. Corresponding solutions are proposed in the VCQ designs.<>","","0-7803-0602-3","10.1109/INFCOM.1992.263587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=263587","","Asynchronous transfer mode;SONET;Computer architecture;Local area networks;Costs;LAN interconnection;Computer networks;Buffer storage;Computer simulation;Scalability","asynchronous transfer mode;broadband networks;computer interfaces;LAN interconnection;queueing theory;SONET","ATM network;LAN interconnection;SONET;virtual channel queue;ATM broadband terminal adaptor;computer hosts;local area networks;asynchronous transfer mode;partially received packets;virtual channels;linked queues;shared-memory overflow","","4","8","10","","6 Aug 2002","","","IEEE","IEEE Conferences"
