"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Virtual reality as a complex interactive system: a multidimensional model of person artificial partner co-relations","A. Libin","Dept. of Psychol., Georgetown Univ., Rockville, MD, USA","Proceedings Seventh International Conference on Virtual Systems and Multimedia","6 Aug 2002","2001","","","652","657","The operational definition of virtual reality as a complex interactive system (CIS) represents it as a configuration of exchanges between a person and a digital world mediated by the artificial, partner. The adequate model for understanding the essence of CIS includes, in addition to three 'traditional' dimensions (physical-per-se, mental, and virtual), a fourth dimension defined as individual self-determination and formed by one's needs, preferences, profile of imagination, identities, and individual experiences. The analysis of 'person-artificial agent' interactions in the context of a complex systems approach is associated with the implementation of such interaction effects as compensation, optimization, adequacy, and effectiveness. Virtual entertainment can be viewed not only as a part of modern popular culture but also as a tool for constructive activities. The latter, employed by certain groups of users, can not only enhance their life as an enjoyment but also as training tool for sensory-motor, cognitive and emotional improvement, and their well-being in general.","","0-7695-1402-2","10.1109/VSMM.2001.969724","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969724","","Virtual reality;Interactive systems;Multidimensional systems;Computational Intelligence Society;Humans;Visual perception;Cultural differences;Search engines;Psychology;Aging","virtual reality;man-machine systems;software agents;computer games;interactive systems","complex interactive system;virtual reality;artificial agent;individual preferences;man machine interactions;computer game","","4","","30","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Utilizing media arts principles for developing effective interactive neurorehabilitation systems","T. Rikakis","School of Arts, Media and Engineering (AME) at Arizona State University (ASU), PO Box 878709, Tempe, AZ 85287","2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society","1 Dec 2011","2011","","","1391","1394","This paper discusses how interactive neurorehabilitation systems can increase their effectiveness through systematic integration of media arts principles and practice. Media arts expertise can foster the development of complex yet intuitive extrinsic feedback displays that match the inherent complexity and intuitive nature of motor learning. Abstract, arts-based feedback displays can be powerful metaphors that provide re-contextualization, engagement and appropriate reward mechanisms for mature adults. Such virtual feedback displays must be seamlessly integrated with physical components to produce mixed reality training environments that promote active, generalizable learning. The proposed approaches are illustrated through examples from mixed reality rehabilitation systems developed by our team.","1558-4615","978-1-4577-1589-1","10.1109/IEMBS.2011.6090327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6090327","","Virtual reality;Training;Art;Media;Medical treatment;Aerospace electronics;Complexity theory","art;computer based training;feedback;geriatrics;interactive systems;neurophysiology;patient rehabilitation;virtual reality","interactive neurorehabilitation system;media art principles;extrinsic feedback displays;inherent complexity;motor learning;art-based feedback displays;mature adults;virtual feedback displays;physical components;mixed reality training environment;mixed reality rehabilitation system;generalizable learning;active learning","Computer Graphics;Humans;Multimedia;Sensory Art Therapies;Stroke;Therapy, Computer-Assisted;User-Computer Interface","1","","23","","1 Dec 2011","","","IEEE","IEEE Conferences"
"A Haptic Interface with Motor/Brake System for Colonoscopy Simulation","E. Samur; L. Flaction; U. Spaelter; H. Bleuler; D. Hellier; S. Ourselin","Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; Laboratory of Robotic Systems, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland; BioMedIA Lab, CSIRO E-Health Research Centre, Brisbane, Australia, david.hellier@csiro.au; BioMedIA Lab, CSIRO E-Health Research Centre, Brisbane, Australia","2008 Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems","31 Mar 2008","2008","","","477","478","Training for colonoscopy, which is the examination and treatment of the colon, is often performed on real patients once the physician has passed the novice level. This increases the risk of colon injury to the patient and lengthens the procedure time. Since a decade ago, there has been research on virtual reality surgery simulators with haptic feedback. The main goal is to provide an alternative to traditional training methods on animals, cadavers or real patients. Haptic feedback is a key feature for every surgery simulator for the training of hand-eye coordination. In this paper, a compact and portable haptic interface is presented for the colonoscopy. The haptic interface provides position data acquisition and force feedback in linear and rotational directions with combined electrical motors and passive brakes to cover a large range of forces. The motorized drives are used for active force feedback and friction compensation and the brakes are used for high force rendering without slipping. This novel design allows decoupled motion in both directions.","2324-7355","978-1-4244-2005-6","10.1109/HAPTICS.2008.4479998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4479998","B.0 [Hardware]: General¿Surgery Simulators;I.6.3 [Computing Methodologies]: Simulation and Modeling¿Applications","Haptic interfaces;Colonoscopy;Force feedback;Colon;Surgery;Medical treatment;Injuries;Virtual reality;Animals;Cadaver","DC motors;digital simulation;force feedback;haptic interfaces;patient treatment;virtual reality","haptic interface;colonoscopy simulation;colon treatment;brake system;electrical motor system;virtual reality surgery simulator;haptic force feedback;data acquisition;friction compensation;force rendering;hand-eye coordination training","","11","2","9","","31 Mar 2008","","","IEEE","IEEE Conferences"
"Robotics and virtual reality: the development of a life-sized 3-D system for the rehabilitation of motor function","J. L. Patton; G. Dawe; C. Scharver; F. A. Mussa-Ivaldi; R. Kenyon","Rehabilitation Inst. of Chicago, IL, USA; NA; NA; NA; NA","The 26th Annual International Conference of the IEEE Engineering in Medicine and Biology Society","14 Mar 2005","2004","2","","4840","4843","We have been developing and combining state-of-art devices that allow humans to visualize and feel synthetic objects superimposed on the real world. This effort stems from the need of platform for extending experiments on motor control and learning to realistic human motor tasks and environments, not currently represented in the practice of research. This paper's goal is to outline our motivations, progress, and objectives. Because the system is a general tool, we also hope to motivate researchers in related fields to join in. The platform under development, an augmented reality system combined with a haptic-interface robot, will be a new tool for contributing to the scientific knowledge base in the area of human movement control and rehabilitation robotics. Because this is a prototype, the system will also guide new methods by probing the levels of quality necessary for future design cycles and related technology. Inevitably, it should also lead the way to commercialization of such systems.","","0-7803-8439-3","10.1109/IEMBS.2004.1404339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1404339","Human;Motor learning;Adaptation;Human-machine interface;Teaching;Neurorehabilitation","Rehabilitation robotics;Virtual reality;Humans;Visualization;Motor drives;Augmented reality;Robot control;Control systems;Prototypes;Commercialization","medical robotics;virtual reality;patient rehabilitation;haptic interfaces;biocontrol;biomechanics","rehabilitation robotics;virtual reality;life-sized 3-D system;motor control;motor learning;realistic human motor tasks;haptic-interface robot;human movement control","","13","","12","","14 Mar 2005","","","IEEE","IEEE Conferences"
"Reducing human error in simulation in General Motors","Wood; Harger","Gen. Motors, Warren, MI, USA; NA","Proceedings of the 2003 Winter Simulation Conference, 2003.","30 Jan 2004","2003","2","","1199","1203 vol.2","We focus on the steps taken to minimize human error in simulation modeling in General Motors. While errors are costly and undesirable in any field, they are especially harmful in simulation which has been struggling to gain acceptance in the business world for a long time. The solution discussed can be summarized as ""enter the data once and use the best tool for the job"".","","0-7803-8131-9","10.1109/WSC.2003.1261550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1261550","","Humans;Vehicles;Production;Levee;Manufacturing systems;Process design;Companies;Timing;Accuracy;Automotive engineering","digital simulation;automobile industry;human factors;errors","human error minimization;simulation modeling;General Motors","","","","2","","30 Jan 2004","","","IEEE","IEEE Conferences"
"Panel-human performance in virtual environments","J. Hodgins","Georgia Inst. of Technol., Atlanta, GA, USA","Proceedings of IEEE 1997 Annual International Symposium on Virtual Reality","6 Aug 2002","1997","","","78","","The panel embraces a number of pertinent design issues in this rapidly advancing technologic area. The issues to be discussed include: telepresence I/O device design issues to include haptic design issues for telesurgery; cybersickness issues and perceptual inputs; general HF design issues and lessons learned in VR; perceptual motor requirements and behavioral goals/ID of optimal display media and system object manipulation paradigms; VR issues in medical systems; VR tool development and perceptual considerations; and immersive object manipulation methods.","1087-8270","0-8186-7843-7","10.1109/VRAIS.1997.584400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=584400","","Virtual reality;Haptic interfaces;Hafnium;Displays","virtual reality;human factors;interactive devices;social aspects of automation;medical computing;telecontrol","human performance;virtual environments;pertinent design issues;telepresence I/O device design issues;haptic design issues;telesurgery;cybersickness issues;perceptual inputs;general HF design issues;perceptual motor requirements;behavioral goals/ID;optimal display media;system object manipulation paradigms;VR issues;medical systems;VR tool development;perceptual considerations;immersive object manipulation methods","","","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Evaluating Multiple Levels of an Interaction Fidelity Continuum on Performance and Learning in Near-Field Training Simulations","A. Bhargava; J. W. Bertrand; A. K. Gramopadhye; K. C. Madathil; S. V. Babu",Clemson University; Clemson University; Clemson University; Clemson University; Clemson University,"IEEE Transactions on Visualization and Computer Graphics","13 Mar 2018","2018","24","4","1418","1427","With costs of head-mounted displays (HMDs) and tracking technology decreasing rapidly, various virtual reality applications are being widely adopted for education and training. Hardware advancements have enabled replication of real-world interactions in virtual environments to a large extent, paving the way for commercial grade applications that provide a safe and risk-free training environment at a fraction of the cost. But this also mandates the need to develop more intrinsic interaction techniques and to empirically evaluate them in a more comprehensive manner. Although there exists a body of previous research that examines the benefits of selected levels of interaction fidelity on performance, few studies have investigated the constituent components of fidelity in a Interaction Fidelity Continuum (IFC) with several system instances and their respective effects on performance and learning in the context of a real-world skills training application. Our work describes a large between-subjects investigation conducted over several years that utilizes bimanual interaction metaphors at six discrete levels of interaction fidelity to teach basic precision metrology concepts in a near-field spatial interaction task in VR. A combined analysis performed on the data compares and contrasts the six different conditions and their overall effects on performance and learning outcomes, eliciting patterns in the results between the discrete application points on the IFC. With respect to some performance variables, results indicate that simpler restrictive interaction metaphors and highest fidelity metaphors perform better than medium fidelity interaction metaphors. In light of these results, a set of general guidelines are created for developers of spatial interaction metaphors in immersive virtual environments for precise fine-motor skills training simulations.","1941-0506","","10.1109/TVCG.2018.2794639","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8260967","Bimanual Interaction;Interaction Fidelity;Empirical Evaluation;Educational Virtual Reality","Training;Aerospace electronics;Solid modeling;Metrology;Mice;Virtual environments","computer based training;helmet mounted displays;virtual reality","Interaction Fidelity Continuum;near-field training simulations;virtual reality applications;education;real-world interactions;safe risk-free training environment;intrinsic interaction techniques;near-field spatial interaction task;learning outcomes;discrete application points;performance variables;medium fidelity interaction metaphors;spatial interaction metaphors;immersive virtual environments;fine-motor skills training simulations;bimanual interaction metaphors;restrictive interaction metaphors;head-mounted displays;tracking technology","Adolescent;Adult;Cognition;Female;High Fidelity Simulation Training;Humans;Male;Surveys and Questionnaires;Task Performance and Analysis;User-Computer Interface;Virtual Reality;Young Adult","1","","33","Traditional","17 Jan 2018","","","IEEE","IEEE Journals"
"Tracking target motion under combined visual and kinesthetic disturbances","L. Masia; V. Squeri; M. Casadio; P. Morasso; V. Sanguineti; G. Sandini","IIT, Genoa, Italy; IIT, Genoa, Italy; IIT, Genoa, Italy; DIST, University of Genoa, Italy; DIST, University of Genoa, Italy; IIT, Genoa, Italy","2009 IEEE International Conference on Rehabilitation Robotics","21 Aug 2009","2009","","","688","693","This study addresses a major problem in the design of HCI (human-computer interface) systems: how to avoid or reduce the long learning/adaptation process and the corresponding attentional load of the underlying hand-eye coordination task that frequently affects HCI systems. In particular, we considered a tracking task to a visual target whose frame of reference is rotated with respect to a body-fixed frame in a time-varying manner. We investigated it by means of a wrist robot coupled with a virtual reality system: kinesthetic and visual disturbances were applied during a tracking task, in a unimodal and bimodal manner, and we observed the performance. Tracking involved two degrees of freedom and the kinesthetic disturbance was applied by the robot through the third degree of freedom. Visual disturbance was provided by rotating the visual feedback. The results suggest that the combination of a suitable proprioceptive feedback with the kinematic redundancy of the HCI system might be a rather general principle for improving the efficiency of HCI systems.","1945-7901","978-1-4244-3788-7","10.1109/ICORR.2009.5209541","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5209541","wrist robot;visual and proprioceptive disturbance;visuo-manual tracking;virtual reality","Target tracking;Human computer interaction;Robot kinematics;Motor drives;Mice;Wrist;Virtual reality;Feedback;Brushes;Minimally invasive surgery","robots;user interfaces;virtual reality","tracking target motion;visual disturbances;kinesthetic disturbances;human-computer interface;hand-eye coordination task;wrist robot;virtual reality system;proprioceptive feedback","","","","14","","21 Aug 2009","","","IEEE","IEEE Conferences"
"An Exoskeleton Type 4-DOF Force Feedback Device Using Magnetorheological Fluid Clutches and Artificial Muscles","Y. Onozuka; R. Suzuki; Y. Yamada; T. Nakamura; C. University","Faculty of Science and Engineering, Department of Precision Mechanics, Chuo University, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; Faculty of Science and Engineering, Department of Precision Mechanics, Chuo University, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; Faculty of Science and Engineering, Department of Precision Mechanics, Chuo University, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; Faculty of Science and Engineering, Department of Precision Mechanics, Chuo University, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; Faculty of Science and Engineering, Department of Precision Mechanics, Chuo University, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan","2018 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM)","2 Sep 2018","2018","","","869","874","Recently, virtual reality (VR) technology has been developed using a head mounted displays (HMD). Users can recognize virtual objects easily in a VR space. However, users cannot obtain haptic perception, such as operating actual objects. There are force feedback devices that can render its perception. General devices are desktop types which restrict the range of motion (ROM) of operators, whereas exoskeleton types achieve ROM like a human. Many force feedback devices using motors and decelerators lead to a loss of backdrivability and can harm the operator by active force. Therefore, we developed an exoskeleton type four degrees of freedom (DOF) force feedback device for the upper limb with magnetorheological fluid clutches and artificial muscles that are backdrivable and safe actuators; we confirmed that the proposed device can render an elastic force.","2159-6255","978-1-5386-1854-7","10.1109/AIM.2018.8452696","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8452696","","Muscles;Force;Force feedback;Torque;Wires;Elasticity;Rendering (computer graphics)","clutches;electroactive polymer actuators;force feedback;magnetorheology;pneumatic actuators;virtual reality;wearable robots","virtual reality technology;head mounted displays;upper limb;pneumatic artificial muscles;virtual objects;exoskeleton type 4-DOF force feedback device;elastic force;artificial muscles;magnetorheological fluid clutches;exoskeleton types","","2","","13","","2 Sep 2018","","","IEEE","IEEE Conferences"
"The mental chronometry during simulated driving tasks in various conditions of Indonesian subjects","K. H. Sanjaya; K. S. B. Y. Mustaqim; A. Gautama; K. A. Damayanti","Research Centre for Electrical Power and Mechatronics, Indonesian Institute of Sciences (RCEPM-LIPI), Bandung, Indonesia; Research Centre for Electrical Power and Mechatronics, Indonesian Institute of Sciences (RCEPM-LIPI), Bandung, Indonesia; Industrial Engineering Department, Universitas Katolik Parahyangan, Bandung, Indonesia; Industrial Engineering Department, Universitas Katolik Parahyangan, Bandung, Indonesia","2017 2nd International Conference on Automation, Cognitive Science, Optics, Micro Electro-­Mechanical System, and Information Technology (ICACOMIT)","11 Jan 2018","2017","","","1","6","Reaction time or response time which is the time from the onset of a stimulus to the motor action performed as a reaction, has been an important measure in driving performance studies. The mental events occurred while responding to certain stimuli is called mental chronometry in experimental psychology. A subtractive method by subtracting the time required by various task performance experiments has been suggested to be the easiest way to analyse mental chronometry. While ethnic differences in task performance have been widely reported, the mental chronometry study involving Indonesian subjects is very limited. Therefore in this study we describe the process of mental chronometry in simulated driving tasks among Indonesian subjects. We performed two experiments, the first was to measure the reaction time to three visual display indicators in the form of analogue, digital and hybrid design, and the second was to measure the driving performance in brake and lane change task during fatigue and non-fatigue condition. In all of the experiments, the reaction time is the dependent variable measured. The analogue design was found to produce longer reaction time than both digital and hybrid design. In general, both brake and lane change reaction time produced longer reaction time than display indicator reaction time. Fatigue was found to lengthen reaction time during driving. Lane change reaction task as the most complicated task, affected by fatigue greater than brake reaction task. In general, fatigue lengthens reaction time greater in the more complex task. Thus, in order to prevent traffic accident, it is necessary to simplify the complicated tasks by making better system and environment design as well as the application of driving assistance system. Future studies using physical and physiological measurement methods involving larger number of subjects is necessary.","","978-1-5386-0510-3","10.1109/ICACOMIT.2017.8253376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8253376","reaction time/response time;fatigue;visual task;driving simulator;driving safety","Time measurement;Fatigue;Visualization;Brakes;Time factors;Extraterrestrial measurements","chronometers;human factors;psychology;road traffic;traffic engineering computing","simulated driving tasks;Indonesian subjects;driving performance studies;task performance experiments;lane change task;fatigue;lane change reaction time;display indicator reaction time;lane change reaction task;brake reaction task;mental chronometry;mental events;experimental psychology;ethnic differences;task performance","","3","","31","","11 Jan 2018","","","IEEE","IEEE Conferences"
