"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Training Transfer of Bimanual Assembly Tasks in Cost-Differentiated Virtual Reality Systems","S. Shen; H. -T. Chen; T. W. Leong","School of Software, University of Technology, Sydney; School of Software, University of Technology, Sydney; School of Software, University of Technology, Sydney","2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)","15 Aug 2019","2019","","","1152","1153","Recent advances of the affordable virtual reality headsets make virtual reality training an economical choice when compared to traditional training. However, these virtual reality devices present a range of different levels of virtual reality fidelity and interactions. Few works have evaluated their validity against the traditional training formats. This paper presents a study that compares the learning efficiency of a bimanual gearbox assembly task among traditional training, virtual reality training with direct 3D inputs (HTC VIVE), and virtual reality training without 3D inputs (Google Cardboard). A pilot study was conducted and the result shows that HTC VIVE brings the best learning outcomes.","2642-5254","978-1-7281-1377-7","10.1109/VR.2019.8797917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8797917","Assistive systems;Head-mounted Display;Virtual Reality;Learning Transfer","Training;Task analysis;Virtual reality;Three-dimensional displays;Headphones;Google;Software","assembling;gears;helmet mounted displays;industrial training;production engineering computing;virtual reality","virtual reality training;bimanual gearbox assembly task;cost-differentiated virtual reality systems;virtual reality headsets;traditional training;head-mounted display","","","","3","","15 Aug 2019","","","IEEE","IEEE Conferences"
"Experience with head-mounted virtual reality (HMD-VR) predicts transfer of HMD-VR motor skills","J. M. Juliano; D. Saldana; A. Schmiesing; S. Liew","University of Southern California (USC),Neuroscience Graduate Program,Los Angeles,CA,USA; University of Southern California,Chan Division of Occupational,Los Angeles,CA,USA; University of Southern California,Chan Division of Occupational,Los Angeles,CA,USA; University of Southern California,Chan Division of Occupational,Los Angeles,CA,USA","2019 International Conference on Virtual Rehabilitation (ICVR)","13 Feb 2020","2019","","","1","2","Immersive, head-mounted virtual reality (HMD-VR) has the potential to be a useful tool for motor rehabilitation. However, when developing tools for rehabilitation, it is essential to design interventions that will be most effective for generalizing to the real world. Therefore, it is important to understand what factors facilitate transfer from HMD-VR to non-HMD-VR environments. Here we used a well-established test of skilled motor learning, the Sequential Visual Isometric Pinch Task (SVIPT), to train healthy individuals in an HMD-VR environment. We examined whether learned motor skills transferred to a more conventional (non-HMD-VR) environment and what factors facilitated transfer. Our results suggest that on average, learned motor skills from this task transfer from an immersive virtual environment to a conventional environment; however, some individuals did not transfer the learned motor skills. We then examined individual differences between those that did show transfer and those that did not. We found that individuals who had previous exposure to HMD-VR were more likely to transfer their learned motor skills than those who did not. Individual differences in previous exposure to HMD-VR environments prior to training may serve as a predictor to whether learned motor skills will transfer out of HMD-VR.","2331-9569","978-1-7281-1285-5","10.1109/ICVR46560.2019.8994345","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8994345","head-mounted virtual reality;skilled motor learning;transfer","","biomechanics;helmet mounted displays;learning (artificial intelligence);patient rehabilitation;virtual reality","HMD-VR environment;learned motor skills;head-mounted virtual reality;HMD-VR motor skills;motor rehabilitation;nonHMD-VR environments;skilled motor learning;immersive virtual environment","","","","9","","13 Feb 2020","","","IEEE","IEEE Conferences"
"The effects of olfaction on training transfer for an assembly task","A. G. Moore; N. S. Herrera; T. C. Hurst; R. P. McMahan; S. Poeschl",The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; The FIVE Lab at the University of Texas at Dallas; Ilmenau University of Technology,"2015 IEEE Virtual Reality (VR)","27 Aug 2015","2015","","","237","238","Context-dependent memory studies have indicated that olfaction, the sense of smell, has a special odor memory that can significantly improve recall in some cases. Virtual reality (VR), which has been investigated as a training tool, could feasibly benefit from odor memory by incorporating olfactory stimuli. There have been a few studies on this concept for semantic learning, but not for procedural training. To address this gap in knowledge, we investigated the effects of olfaction on the transfer of knowledge from training to next-day execution for building a complex LEGO jet-plane model. Our results indicate that the pleasantness of an odor significantly affects training transfer more than whether the encoding and recall contexts match.","2375-5334","978-1-4799-1727-3","10.1109/VR.2015.7223383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223383","Olfactory fidelity;training transfer","Training;Olfactory;Encoding;Virtual environments;Semantics;Testing","chemioception;computer based training;virtual reality","assembly task;context-dependent memory;smell-sense;odor memory;recall improvement;virtual reality;VR;training tool;olfactory stimuli;semantic learning;knowledge transfer;complex LEGO jet-plane model;odor pleasantness;training transfer","","2","","13","","27 Aug 2015","","","IEEE","IEEE Conferences"
"Transfer of a skilled motor learning task between virtual and conventional environments","J. Anglin; D. Saldana; A. Schmiesing; S. Liew","University of Southern California, Los Angeles, California, United States of America; University of Southern California, Los Angeles, California, United States of America; University of Southern California, Los Angeles, California, United States of America; University of Southern California, Los Angeles, California, United States of America","2017 IEEE Virtual Reality (VR)","6 Apr 2017","2017","","","401","402","Immersive, head-mounted virtual reality (HMD-VR) can be a potentially useful tool for motor rehabilitation. However, it is unclear whether the motor skills learned in HMD-VR transfer to the non-virtual world and vice-versa. Here we used a well-established test of skilled motor learning, the Sequential Visual Isometric Pinch Task (SVIPT), to train individuals in either an HMD-VR or conventional training (CT) environment. Participants were then tested in both environments. Our results show that participants who train in the CT environment have an improvement in motor performance when they transfer to the HMD-VR environment. In contrast, participants who train in the HMD-VR environment show a decrease in skill level when transferring to the CT environment. This has implications for how training in HMD-VR and CT may affect performance in different environments.","2375-5334","978-1-5090-6647-6","10.1109/VR.2017.7892346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892346","Virtual reality;skilled motor learning;transfer","Training;Logic gates;Virtual reality;Computed tomography;Electroencephalography;Visualization;Indexes","medical computing;patient rehabilitation;virtual reality","skilled motor learning task;virtual environments;head-mounted virtual reality;HMD-VR;motor rehabilitation;sequential visual isometric pinch task;SVIPT;conventional training environment;CT environment","","8","","4","","6 Apr 2017","","","IEEE","IEEE Conferences"
"A collaborative virtual environment for industrial training","J. C. de Oliveira; S. Shirmohammadi; N. D. Georganas","Sch. of Inf. Tech. & Eng., Ottawa Univ., Ont., Canada; NA; NA","Proceedings IEEE Virtual Reality 2000 (Cat. No.00CB37048)","6 Aug 2002","2000","","","288","","The concept of collaborative virtual environments has been deployed in many systems in the past few years. Applications of such technology have been used anywhere from military combat simulations to various civilian commercial applications. We present a specific system developed for industrial teletraining. The system, which aims to reduce the cost of training, consists of an interactive 3D environment with collaboration and management capabilities that allows a trainer to lead and control a session attended by many trainees.","1087-8270","0-7695-0478-7","10.1109/VR.2000.840516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840516","","Collaboration;Virtual environment;Industrial training;Prototypes;Switches;Speech recognition;Asynchronous transfer mode;Avatars;Communication switching;User interfaces","virtual reality;computer based training;distance learning;groupware;multimedia computing","collaborative virtual environment;industrial training;industrial teletraining;interactive 3D environment;collaboration;management;ATM switching equipment","","7","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Does virtual-reality training on orthopaedic simulators improve performance in the operating room?","N. Vaughan; V. N. Dubey; T. W. Wainwright; R. G. Middleton","Faculty of Science and Technology, Bournemouth University (BU) Bournemouth, UK; Faculty of Science and Technology, Bournemouth University (BU) Bournemouth, UK; Department of Orthopaedics, Royal Bournemouth Hospital NHS Foundation Trust, Bournemouth, UK; Department of Orthopaedics, Royal Bournemouth Hospital NHS Foundation Trust, Bournemouth, UK","2015 Science and Information Conference (SAI)","3 Sep 2015","2015","","","51","54","This paper summarises recent validation studies and evidence demonstrating whether training on virtual reality (VR) simulators directly relates to improved performance in-vivo for orthopaedic surgical procedures. This research provides a summary of transfer validity on virtual reality orthopaedic simulators. This covers studies which have shown validation of simulators and have shown the transfer of simulator-acquired skill to the operating room. The findings of this study are that there are 6 studies showing transfer of skill for VR to in-vivo However more studies assessing efficacy and transfer validity are required to conclusively quantify the transfer validity of VR orthopaedic simulators. However there is a popular positive opinion for the ability of VR training to convert into better in-vivo performance.","","978-1-4799-8547-0","10.1109/SAI.2015.7237125","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7237125","Orthopeadic;Simulator;Transfer validity;Efficacy;Testing;Surgery;Performance","Training;Surgery;Virtual reality;Hip;Solid modeling;Injuries","computer based training;medical computing;orthopaedics;surgery;virtual reality","virtual-reality training;operating room performance;orthopaedic surgical procedures;virtual reality orthopaedic simulators;simulator-acquired skill transfer;VR orthopaedic simulators","","3","","18","","3 Sep 2015","","","IEEE","IEEE Conferences"
"Comparison of a Gamified and Non-Gamified Virtual Reality Training Assembly Task","F. Palmas; D. Labode; D. A. Plecher; G. Klinker","Research Group Augmented Reality, Technical University of Munich, Munich, Germany; Research Group Augmented Reality, Technical University of Munich, Munich, Germany; Research Group Augmented Reality, Technical University of Munich, Munich, Germany; Research Group Augmented Reality, Technical University of Munich, Munich, Germany","2019 11th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games)","14 Oct 2019","2019","","","1","8","By using simulations in virtual reality (VR), people have the chance to train without supervision in a safe and controlled environment. VR simulation training allows users to gain new skills and apply them to real-life situations. However, the learning curve of this technology from a novice level could influence the expected learning results of a training session. A training approach based on the combination of VR and gamification could speed up this overall learning process and not just for a novice. In this paper we evaluate how gamification in a VR training session can improve the efficiency of the training and the accuracy of the task execution in a real-world practical test. In the training scenario of this study, 50 randomly assigned participants were divided into two groups. The groups were assigned to a gamified and a non-gamified version of the same VR training and were then guided through a step-by-step tutorial outlining how to solve an assembly task. Performance differences were evaluated based on time taken and specific errors made during the training session. The results of this study show, in general, that beneficial effects can be attributed to the use of gamification in the conducted VR training simulation, particularly for the VR novice participants.","2474-0489","978-1-7281-4540-2","10.1109/VS-Games.2019.8864583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8864583","virtual training;virtual reality;gamification;training;learning transfer;assembly task","Training;Task analysis;Games;Tutorials;Solid modeling;Augmented reality","computer based training;computer simulation;serious games (computing);virtual reality","VR simulation training;learning curve;novice level;gamification;learning process;VR training session;task execution;virtual reality training assembly task","","3","","44","","14 Oct 2019","","","IEEE","IEEE Conferences"
"Virtual Reality-Based Casting Skill Transfer and Human Resource Development","K. Watanuki","Saitama Univ., Saitama","17th International Conference on Artificial Reality and Telexistence (ICAT 2007)","2 Jan 2008","2007","","","316","317","This paper proposes a new virtual reality-based skill transfer and human resource development system for casting design, which is composed of the explicit and tacit knowledge transfer systems using synchronized multimedia and the knowledge internalization system using portable virtual environment. In our proposed system, the education content is displayed in the immersive virtual environment, whereby a trainee may experience work in the virtual site operation. Provided that the trainee has gained explicit and tacit knowledge of casting through the multimedia-based knowledge transfer system, the immersive virtual environment catalyzes the internalization of knowledge and also enables the trainee to gain tacit knowledge before undergoing on- the-job training at a real-time operation site.","","0-7695-3056-7","10.1109/ICAT.2007.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4414664","","Casting;Humans;Virtual environment;Industrial training;Manufacturing industries;Knowledge transfer;On the job training;Force feedback;Multimedia systems;Libraries","casting;computer based training;design;engineering education;human resource management;industrial training;knowledge management;multimedia systems;multiskilling;on-the-job training;production engineering computing;virtual reality","virtual reality-based casting skill transfer;human resource development system;casting design;multimedia-based knowledge transfer system;education content;immersive virtual environment;training;virtual site operation;on-the-job training","","","","1","","2 Jan 2008","","","IEEE","IEEE Conferences"
"Cognitive psychology and human factors engineering of virtual reality","A. K. T. Ng","The University of Hong Kong, Hong Kong, China","2017 IEEE Virtual Reality (VR)","6 Apr 2017","2017","","","407","408","This position paper summarizes the author's research interest in Cognitive Psychology and Human-Computer Interaction in the imseCAVE, a CAVE-like system in the University of Hong Kong. Several areas of interest were explored while finding the thesis topic for the Ph.D. research. They include a perception research on distance estimation with proposed error correction mechanism, neurofeedback meditation with EEG in VR and the effect with audio and video, the study of training transfer in VR training, the comparison and research of cybersickness between HMD and the imseCAVE, and comparing VR gaming in TV, HMD, and the imseCAVE by performance, activity level and time perception. With a broad interest, the exact direction is still in the search and requires future exploration.","2375-5334","978-1-5090-6647-6","10.1109/VR.2017.7892349","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892349","Virtual environment;cognitive psychology;HCI","Training;Psychology;Resists;Virtual reality;Human factors;Ergonomics;Human computer interaction","cognition;human factors;virtual reality","cognitive psychology;human factors engineering;virtual reality;CAVE-like system;error correction mechanism;neurofeedback meditation;EEG;VR;imseCAVE;distance estimation","","","","13","","6 Apr 2017","","","IEEE","IEEE Conferences"
"Transferability of Spatial Maps: Augmented Versus Virtual Reality Training","N. R. Caluya; A. Plopski; J. F. Ty; C. Sandor; T. Taketomi; H. Kato","Nara Institute of Science and Technology, Interactive Media Design Laboratory; Nara Institute of Science and Technology, Interactive Media Design Laboratory; Nara Institute of Science and Technology, Interactive Media Design Laboratory; Nara Institute of Science and Technology, Interactive Media Design Laboratory; Nara Institute of Science and Technology, Interactive Media Design Laboratory; Nara Institute of Science and Technology, Interactive Media Design Laboratory","2018 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)","30 Aug 2018","2018","","","387","393","Work space simulations help trainees acquire skills necessary to perform their tasks efficiently without disrupting the workflow, forgetting important steps during a procedure, or the location of important information. This training can be conducted in Augmented and Virtual Reality (AR, VR) to enhance its effectiveness and speed. When the skills are transferred to the actual application, it is referred to as positive training transfer. However, thus far, it is unclear which training, AR or VR, achieves better results in terms of positive training transfer. We compare the effectiveness of AR and VR for spatial memory training in a control-room scenario, where users have to memorize the location of buttons and information displays in their surroundings. We conducted a within-subject study with 16 participants and evaluated the impact the training had on short-term and long-term memory. Results of our study show that VR outperformed AR when tested in the same medium after the training. In a memory transfer test conducted two days later AR outperformed VR. Our findings have implications on the design of future training scenarios and applications.","","978-1-5386-3365-6","10.1109/VR.2018.8447561","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8447561","H.5.1-Information Interfaces and Presentation: Multimedia Information Systems-Artificial;augmented;and virtual realities;H.5.2-Information Interfaces and Presentation: Multimedia Information Systems-Ergonomics;Evaluation/methodology;Theory and methods","Training;Task analysis;Virtual reality;Resists;Layout;Legged locomotion;Media","augmented reality;computer based training","work space simulations;VR;spatial memory training;information displays;long-term memory;memory transfer test;spatial maps;virtual reality training;augmented reality training;training transfer;AR","","","","24","","30 Aug 2018","","","IEEE","IEEE Conferences"
