"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Evaluation of Autoregressive Spectral Estimation Model Order for Brain-Computer Interface Applications","D. J. Krusienski; D. J. McFarland; J. R. Wolpaw","Member, IEEE, Wadsworth Center, New York State Dept. of Health, Albany, NY 12201. e-mail: dkrusien@wadsworth.org; Wadsworth Center, New York State Dept. of Health, Albany, NY 12201; Wadsworth Center, New York State Dept. of Health, Albany, NY 12201","2006 International Conference of the IEEE Engineering in Medicine and Biology Society","15 Dec 2016","2006","","","1323","1326","Autoregressive (AR) spectral estimation is a popular method for modeling the electroencephalogram (EEG), and therefore the frequency domain EEG phenomena that are used for control of a brain-computer interface (BCI). Several studies have been conducted to evaluate the optimal AR model order for EEG, but the criteria used in these studies does not necessarily equate to the optimal AR model order for sensorimotor rhythm (SMR)-based BCI control applications. The present study confirms this by evaluating the EEG spectra of data obtained during control of SMR-BCI using different AR model orders and model evaluation criteria. The results indicate that the AR model order that optimizes SMR-BCI control performance is generally higher than the model orders that are frequently used in SMR-BCI studies","1557-170X","1-4244-0032-5","10.1109/IEMBS.2006.259822","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4462004","","Brain modeling;Brain computer interfaces;Electroencephalography;Frequency estimation;Communication system control;Band pass filters;Filtering;Rhythm;Cities and towns;USA Councils","autoregressive processes;electroencephalography;medical computing;neurophysiology;user interfaces","autoregressive spectral estimation model;brain-computer interface applications;electroencephalogram;frequency domain EEG phenomena;sensorimotor rhythm;EEG spectra","Algorithms;Artificial Intelligence;Brain Mapping;Computer Simulation;Electroencephalography;Humans;Models, Neurological;Models, Statistical;Pattern Recognition, Automated;Regression Analysis;Reproducibility of Results;Sensitivity and Specificity;User-Computer Interface","40","","17","","15 Dec 2016","","","IEEE","IEEE Conferences"
"A Sensorimotor Network for the Bodily Self","F. Ferri; F. Frassinetti; M. Ardizzi; M. Costantini; V. Gallese","1University of Parma; 2University of Bologna; 1University of Parma; 4University G. d'Annunzio, Chieti, Italy; 1University of Parma","Journal of Cognitive Neuroscience","19 May 2014","2012","24","7","1584","1595","Neuroscientists and philosophers, among others, have long questioned the contribution of bodily experience to the constitution of self-consciousness. Contemporary research answers this question by focusing on the notions of sense of agency and/or sense of ownership. Recently, however, it has been proposed that the bodily self might also be rooted in bodily motor experience, that is, in the experience of oneself as instantiating a bodily structure that enables a specific range of actions. In the current fMRI study, we tested this hypothesis by making participants undergo a hand laterality judgment task, which is known to be solved by simulating a motor rotation of one's own hand. The stimulus to be judged was either the participant's own hand or the hand of a stranger. We used this task to investigate whether mental rotation of pictures depicting one's own hands leads to a different activation of the sensorimotor areas as compared with the mental rotation of pictures depicting another's hand. We revealed a neural network for the general representation of the bodily self encompassing the SMA and pre-SMA, the anterior insula, and the occipital cortex, bilaterally. Crucially, the representation of one's own dominant hand turned out to be primarily confined to the left premotor cortex. Our data seem to support the existence of a sense of bodily self encased within the sensorimotor system. We propose that such a sensorimotor representation of the bodily self might help us to differentiate our own body from that of others.","0898-929X","","10.1162/jocn_a_00230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6794840","","","","","","","","","","19 May 2014","","","MIT Press","MIT Press Journals"
"Building a Sensorimotor Representation of a Naive Agent’s Tactile Space","V. Marcel; S. Argentieri; B. Gas","Sorbonne Universités, Pierre et Marie Curie University, Paris, France; Sorbonne Universités, Pierre et Marie Curie University, Paris, France; Sorbonne Universités, Pierre et Marie Curie University, Paris, France","IEEE Transactions on Cognitive and Developmental Systems","9 Jun 2017","2017","9","2","141","152","A new approach for robotics perception, rooted in the sensorimotor paradigm, is proposed in this paper. Making systems able to autonomously adapt themselves to changes in their own body or in their environment is still a challenging question for many different scientific communities. Multiple works propose either sophisticated adaptive model-based or learning-based techniques as a solution. Recent contributions have shown that it is possible for an agent to discover the structure of its interaction with the environment or its own body via the so-called sensorimotor flow. The presented work is based on this idea, and a method for building an internal representation of sensorimotor interaction is proposed, which does not require any a priori knowledge or model. A careful mathematical formalization is outlined, together with simulations, demonstrating the effectiveness of the approach. Several cases are considered allowing for a general discussion. Moreover, plausibility of the internal sensorimotor representation is highlighted by showing that it is possible to consider motion planning directly from it.","2379-8939","","10.1109/TCDS.2016.2617922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7592439","Active exploration of environment;applications;robots with development and learning skills;using robots to study development and learning","Robot sensing systems;Manifolds;Kernel;Adaptation models;Buildings","learning (artificial intelligence);multi-robot systems","sensorimotor representation;naive agent tactile space;robotics perception;sensorimotor paradigm;adaptive model-based techniques;learning-based techniques;sensorimotor flow","","4","","26","","18 Oct 2016","","","IEEE","IEEE Journals"
"Towards the grounding of abstract words: A Neural Network model for cognitive robots","F. Stramandinoli; A. Cangelosi; D. Marocco","School of Computing and Mathematics, University of Plymouth, United Kingdom; School of Computing and Mathematics, University of Plymouth, United Kingdom; School of Computing and Mathematics, University of Plymouth, United Kingdom","The 2011 International Joint Conference on Neural Networks","3 Oct 2011","2011","","","467","474","In this paper, a model based on Artificial Neural Networks (ANNs) extends the symbol grounding mechanism to abstract words for cognitive robots. The aim of this work is to obtain a semantic representation of abstract concepts through the grounding in sensorimotor experiences for a humanoid robotic platform. Simulation experiments have been developed on a software environment for the iCub robot. Words that express general actions with a sensorimotor component are first taught to the simulated robot. During the training stage the robot first learns to perform a set of basic action primitives through the mechanism of direct grounding. Subsequently, the grounding of action primitives, acquired via direct sensorimotor experience, is transferred to higher-order words via linguistic descriptions. The idea is that by combining words grounded in sensorimotor experience the simulated robot can acquire more abstract concepts. The experiments aim to teach the robot the meaning of abstract words by making it experience sensorimotor actions. The iCub humanoid robot will be used for testing experiments on a real robotic architecture.","2161-4407","978-1-4244-9637-2","10.1109/IJCNN.2011.6033258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6033258","","Robot sensing systems;Grounding;Training;Pragmatics;Semantics;Biological neural networks","cognitive systems;humanoid robots;intelligent robots;mobile robots;neural nets;sensors;software engineering;word processing","abstract word;cognitive robot;artificial neural network;semantic representation;sensorimotor experience;software environment;simulated robot;higher-order word;linguistic description;iCub humanoid robot","","6","","35","","3 Oct 2011","","","IEEE","IEEE Conferences"
"Beta-Band Frequency Peaks Inside the Subthalamic Nucleus as a Biomarker for Motor Improvement After Deep Brain Stimulation in Parkinson's Disease","K. P. Michmizos; P. Frangou; P. Stathis; D. Sakas; K. S. Nikita","Martinos Center for Biomedical Imaging, Massachusetts General Hospital, Boston, MA, USA; Adaptive Brain Laboratory, Department of Psychology, University of Cambridge, Cambridge, U.K.; Department of Neurology, Mediterraneo Hospital, Athens, Greece; Department of Neurosurgery, “Evangelismos” General Hospital, National and Kapodistrian University of Athens, Athens, Greece; Biomedical Simulations and Imaging Laboratory, Faculty of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece","IEEE Journal of Biomedical and Health Informatics","30 Dec 2014","2015","19","1","174","180","Deep brain stimulation (DBS) of the subthalamic nucleus (STN) remains an empirical, yet highly effective, surgical treatment for advanced Parkinson's disease (PD). DBS outcome depends on accurate stimulation of the STN sensorimotor area which is a trial-and-error procedure taking place during and after surgery. Pathologically enhanced beta-band (13-35 Hz) oscillatory activity across the cortico-basal ganglia pathways is a prominent neurophysiological phenomenon associated with PD. We hypothesized that weighing together beta-band frequency peaks from simultaneous microelectrode recordings in “off-state” PD patients could map the individual neuroanatomical variability and serve as a biomarker for the location of the STN sensorimotor neurons. We validated our hypothesis with 9 and 11 patients that, respectively, responded well and poorly to bilateral DBS, after at least two years of follow up. We categorized “good” and “poor” DBS responders based on their clinical assessment alongside a > 40% and <;30% change, respectively, in “off” unified PD rating scale motor scores. Good (poor) DBS responders had, in average, 1 mm (3.5 mm) vertical distance between the maximum beta-peak weighted across the parallel microelectrodes and the center of the stimulation area. The distances were statistically different in the two groups (p = 0.0025). Our biomarker could provide personalized intra- and postoperative support in stimulating the STN sensorimotor area associated with optimal long-term clinical benefits.","2168-2208","","10.1109/JBHI.2014.2344102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6868185","Beta-band oscillations;clinical biomarker;deep brain stimulation (DBS);neuromodulation;Parkinson's disease (PD)","Satellite broadcasting;Microelectrodes;Diseases;Surgery;Oscillators;Trajectory","brain;diseases;neurophysiology;patient treatment","beta band frequency peaks;subthalamic nucleus;biomarker;motor improvement;deep brain stimulation;Parkinson's disease;surgical treatment;STN sensorimotor area;cortico basal ganglia pathways;neurophysiological phenomenon;DBS responders","Beta Rhythm;Biomarkers;Deep Brain Stimulation;Electrodes, Implanted;Electroencephalography;Humans;Intraoperative Neurophysiological Monitoring;Movement Disorders;Parkinson Disease;Prosthesis Implantation;Reproducibility of Results;Sensitivity and Specificity;Subthalamic Nucleus;Treatment Outcome","12","","52","","30 Jul 2014","","","IEEE","IEEE Journals"
"Experimental and theoretical investigation of computational properties of red nucleus neuron","V. V. Fanardjian; D. S. Melkonian","Acad. of Sci. of Republic of Armenia, Yerevan, Armenia; Acad. of Sci. of Republic of Armenia, Yerevan, Armenia","[Proceedings] 1992 RNNS/IEEE Symposium on Neuroinformatics and Neurocomputers","6 Aug 2002","1992","","","82","93 vol.1","Microelectrode analysis of red nucleus (RN) neurons was used to study the regulatory influences on an axiosomatic input from a cerebellar nucleus interpositus and on an axodendritic input from a sensorimotor area of a cortex. To bring together these experimental data and previous theoretical results on detector properties of RN neurons, an improved model neuron with double-barrier synaptic elements has been developed. Based on results of simulation experiments with the model, several quantitative generalizations have been developed as aids to an extended understanding of the computational properties of the RN neuron.<>","","0-7803-0809-3","10.1109/RNNS.1992.268607","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=268607","","Neurons;Brain modeling;Computational modeling;Samarium;Control systems;Physiology;Microelectrodes;Micromotors;Detectors;Neurotransmitters","biocybernetics;neurophysiology;physiological models","microelectrode analysis;rubrospinal neurons;computational properties;red nucleus neuron;regulatory influences;axiosomatic input;cerebellar nucleus interpositus;axodendritic input;sensorimotor area;cortex;double-barrier synaptic elements;simulation;quantitative generalizations","","1","","19","","6 Aug 2002","","","IEEE","IEEE Conferences"
"A new hybrid sensorimotor driver model with model predictive control","K. Okamoto; P. Tsiotras","School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, 30332-0150, USA; School of Aerospace Engineering, Atlanta, Georgia 30332-0150, USA","2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","9 Feb 2017","2016","","","001866","001871","Many driver models assume that a human driver can be modeled as a linear time-invariant system. Although during specific execution tasks this can be a reasonably good model, in general, this is an unrealistic and quite restrictive assumption for most real-life situations where more complex cognitive functions need to be evoked, such as long-term, deliberative planning, prioritization among several possible alternatives, etc. In this paper we model a human driver as a hybrid controller that switches between long-term, discrete planning tasks and short-term, continuous trajectory tracking tasks. The new driver model is based on the well-known two-point visual driver model, and it uses a model predictive control (MPC) module in the anticipatory control channel to better predict deliberative, human driver actions. We evaluate this model's performance, and compare it with other driver models using numerical simulations. The results show that the proposed new driver model reacts to the variation of the direction angle in the same way as most human drivers do, and outperforms previous similar driver models.","","978-1-5090-1897-0","10.1109/SMC.2016.7844510","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844510","","Vehicles;Visualization;Brain modeling;Predictive models;Optimization;Numerical models;Kinematics","large-scale systems;linear systems;planning;predictive control;road traffic control;time-varying systems","hybrid sensorimotor driver model;model predictive control;human driver;linear time-invariant system;complex cognitive functions;deliberative planning;discrete planning tasks;continuous trajectory tracking tasks;MPC module;anticipatory control channel","","3","","20","","9 Feb 2017","","","IEEE","IEEE Conferences"
"Adaptive control of a serial-in-parallel robotic rehabilitation device","A. U. Pehlivan; F. Sergi; M. K. O'Malley","Mechatronics and Haptic Interfaces Laboratory, Department of Mechanical Engineering and Materials Science, Rice University, Houston, TX 77005; Mechatronics and Haptic Interfaces Laboratory, Department of Mechanical Engineering and Materials Science, Rice University, Houston, TX 77005; Mechatronics and Haptic Interfaces Laboratory, Department of Mechanical Engineering and Materials Science, Rice University, Houston, TX 77005","2013 IEEE 13th International Conference on Rehabilitation Robotics (ICORR)","31 Oct 2013","2013","","","1","6","Robotic rehabilitation is an effective platform for sensorimotor training after neurological injuries. In this paper, an adaptive controller is developed and implemented for the RiceWrist, a serial-in-parallel robot mechanism for upper extremity robotic rehabilitation. The model-based adaptive controller implementation requires a closed form dynamic model, valid for a restricted domain of generalized coordinates. We have used an existing method to define this domain and verify that the domain is widely within the range of admissible tasks required for the considered application (movements-based wrist and forearm rehabilitation). Simulation and experimental results that compare the performance of the adaptive controller to a proportional-derivative controller show that the trajectory tracking performance of the adaptive controller is better compared to the performance of a PD controller using the same values of feed-back gains. Further, comparable absolute error performance is obtained with the adaptive controller for feedback gains nearly one third that required for the PD controller. With the lower gains used in the adaptive controller, good tracking performance is achieved with a more compliant controller that will allow the subject to indicate their ability to independently initiate and maintain movement during a rehabilitation session.","1945-7901","978-1-4673-6024-1","10.1109/ICORR.2013.6650412","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650412","","Mathematical model;Equations;Adaptation models;Trajectory;Vectors;Robot kinematics","adaptive control;control system synthesis;feedback;manipulators;medical robotics;patient rehabilitation;trajectory control","feedback gain;absolute error performance;trajectory tracking performance;forearm rehabilitation;movement-based wrist;generalized coordinates;closed form dynamic model;model-based adaptive controller implementation;upper extremity robotic rehabilitation;serial-in-parallel robot rehabilitation mechanism;RiceWrist;neurological injuries;sensorimotor training;serial-in-parallel robotic rehabilitation device","Adaptation, Physiological;Rehabilitation;Robotics","6","","22","","31 Oct 2013","","","IEEE","IEEE Conferences"
"Development of a virtual environment based training system for ROV pilots","B. Fletcher; S. Harris","Imetrix Inc., Cataumet, MA, USA; NA","OCEANS 96 MTS/IEEE Conference Proceedings. The Coastal Ocean - Prospects for the 21st Century","6 Aug 2002","1996","1","","65","71 vol.1","Availability of trained pilots is key to many military and commercial remotely operated vehicle (ROV) missions. Due to the expense and logistics involved with operating actual systems, training and practice is: often difficult to obtain in other than an ""on the job"" fashion. To remedy this situation, a virtual environment (VE) based system is being developed for the training of ROV piloting skills. Analysis of typical missions such as mine countermeasures and search/salvage yielded a set of general skills to be taught including manoeuvring, situational awareness, sensor data integration, and mission operations. Use of VE technology permits the creation of an enriched learning environment including simulation of a wide range of operational environments, vehicle configurations, learning aids, rind mission scenarios. The prototype training system is a VE-based Intelligent Tutor which implements various training aids and interventions to promote the development of both the sensorimotor and cognitive skills related to basic manoeuvring tasks and situational awareness. Once implemented, the training effectiveness of this prototype will be studied by analyzing pilot performance on an actual ROV.","","0-7803-3519-8","10.1109/OCEANS.1996.572546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=572546","","Virtual environment;Remotely operated vehicles;Intelligent sensors;Management training;Prototypes;Remote sensing;Humans;Logistics;On the job training;Performance analysis","mobile robots;computer based training;computer aided instruction;virtual reality;intelligent tutoring systems","virtual environment based training;ROV pilots;remotely operated vehicle;trained pilots;virtual environment;ROV piloting skills;mine countermeasures;search/salvage;cognitive skills;training aids;Intelligent Tutor;manoeuvring tasks;situational awareness","","2","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"GPLAC: Generalizing Vision-Based Robotic Skills Using Weakly Labeled Images","A. Singh; L. Yang; S. Levine","Univ. of California, Berkeley, Berkeley, CA, USA; Univ. of California, Berkeley, Berkeley, CA, USA; Univ. of California, Berkeley, Berkeley, CA, USA","2017 IEEE International Conference on Computer Vision (ICCV)","25 Dec 2017","2017","","","5852","5861","We tackle the problem of learning robotic sensorimotor control policies that can generalize to visually diverse and unseen environments. Achieving broad generalization typically requires large datasets, which are difficult to obtain for task-specific interactive processes such as reinforcement learning or learning from demonstration. However, much of the visual diversity in the world can be captured through passively collected datasets of images or videos. In our method, which we refer to as GPLAC (Generalized Policy Learning with Attentional Classifier), we use both interaction data and weakly labeled image data to augment the generalization capacity of sensorimotor policies. Our method combines multitask learning on action selection and an auxiliary binary classification objective, together with a convolutional neural network architecture that uses an attentional mechanism to avoid distractors. We show that pairing interaction data from just a single environment with a diverse dataset of weakly labeled data results in greatly improved generalization to unseen environments, and show that this generalization depends on both the auxiliary objective and the attentional architecture that we propose. We demonstrate our results in both simulation and on a real robotic manipulator, and demonstrate substantial improvement over standard convolutional architectures and domain adaptation methods.","2380-7504","978-1-5386-1032-9","10.1109/ICCV.2017.623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237885","","Robot sensing systems;Visualization;Standards;Computer vision;Manipulators","image classification;learning (artificial intelligence);neural nets;robot vision","GPLAC;generalizing vision;robotic skills;robotic sensorimotor control policies;unseen environments;broad generalization;task-specific interactive processes;reinforcement learning;visual diversity;passively collected datasets;images;videos;Generalized Policy Learning;Attentional Classifier;weakly labeled image data;generalization capacity;sensorimotor policies;multitask learning;auxiliary binary classification objective;convolutional neural network architecture;attentional mechanism;pairing interaction data;diverse dataset;weakly labeled data results;auxiliary objective;attentional architecture;robotic manipulator;standard convolutional architectures;domain adaptation methods;generalization;action selection","","5","","55","","25 Dec 2017","","","IEEE","IEEE Conferences"
