"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Model for Sensorimotor Affordances in Virtual Reality Environments","U. Meyer; S. Draheim; K. von Luck","CSTI, Hamburg University of Applied Sciences, Hamburg, Germany; CSTI, Hamburg University of Applied Sciences, Hamburg, Germany; CSTI, Hamburg University of Applied Sciences, Hamburg, Germany","2019 11th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games)","14 Oct 2019","2019","","","1","4","Study results on virtual reality (VR) environment properties and their impact on presence have been contradictory. And due to the media specificity of VR, which includes place illusion, rules for environment design cannot directly be transferred from 3D computer games or stereoscopic film to VR. This study develops a model for VR environments based on Mel Slater's observation that place illusion in VR is caused by the use of sensorimotor contingencies (SMC). It defines properties of the environment which provide action possibilities for SMC as sensorimotor affordances (SMA). SMC and SMA form a bidirectional feedback loop of perception. This model helps to clarify former contradictory study results on VR environments, and also provides the basis for a framework of preceptual design rules for VR environments.","2474-0489","978-1-7281-4540-2","10.1109/VS-Games.2019.8864514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8864514","Virtual reality;virtual environment;illusion;sensorimotor contingencies;affordances;perceptual design","Robot sensing systems;Optical sensors;Optical feedback;Real-time systems;Media;Rendering (computer graphics);Optical imaging","social aspects of automation;virtual reality","sensorimotor affordances;virtual reality environments;place illusion;sensorimotor contingencies;VR media specificity;sensory distortion","","","","20","","14 Oct 2019","","","IEEE","IEEE Conferences"
"Extracting space dimension information from the auditory modality sensori-motor flow using a bio-inspired model of the cochlea","C. Couverture; B. Gas","ISIR laboratory, UPMC Univ Paris 06, 4, place Jussieu, 75005, France; ISIR laboratory, UPMC Univ Paris 06, 4, place Jussieu, 75005, France","2009 IEEE/RSJ International Conference on Intelligent Robots and Systems","15 Dec 2009","2009","","","2742","2747","First task robots have to realise is sensing and acting in the environment. Can a robot learn the way it is able to sense and act in the world without any hardwired notions? Is it able to learn it from the only data he has access to, that is high-dimension sensory inputs and motor outputs? This paper presents experimental results obtained on a simulated human listener using a bio-inspired model of the cochlea and real records from human related transfer functions (HRTF). These results show that a naive system that interacts with its environment without knowing the laws governing these interactions can discover information about dimensionality of space. Moreover, the laws determining the sensations of the system as a function of the state of the system and the environment, called the ¿sensorimotor law¿, are not simplified as usually in simulations. They are bio-realistic as they are determined by the HRTF recorded on human beings.","2153-0866","978-1-4244-3803-7","10.1109/IROS.2009.5354100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5354100","sensorimotor contingencies;auditive sensorimotor flow;cochlea;space dimension","Data mining;Robot sensing systems;Orbital robotics;Humans;Mobile robots;Organisms;Intelligent robots;Navigation;Laboratories;USA Councils","auditory evoked potentials;biomechanics;ear;medical robotics;neurophysiology;physiological models","space dimension;auditory modality;sensori-motor flow;bio-inspired model;cochlea;simulated human listener;human related transfer functions","","3","","12","","15 Dec 2009","","","IEEE","IEEE Conferences"
"Towards the grounding of abstract words: A Neural Network model for cognitive robots","F. Stramandinoli; A. Cangelosi; D. Marocco","School of Computing and Mathematics, University of Plymouth, United Kingdom; School of Computing and Mathematics, University of Plymouth, United Kingdom; School of Computing and Mathematics, University of Plymouth, United Kingdom","The 2011 International Joint Conference on Neural Networks","3 Oct 2011","2011","","","467","474","In this paper, a model based on Artificial Neural Networks (ANNs) extends the symbol grounding mechanism to abstract words for cognitive robots. The aim of this work is to obtain a semantic representation of abstract concepts through the grounding in sensorimotor experiences for a humanoid robotic platform. Simulation experiments have been developed on a software environment for the iCub robot. Words that express general actions with a sensorimotor component are first taught to the simulated robot. During the training stage the robot first learns to perform a set of basic action primitives through the mechanism of direct grounding. Subsequently, the grounding of action primitives, acquired via direct sensorimotor experience, is transferred to higher-order words via linguistic descriptions. The idea is that by combining words grounded in sensorimotor experience the simulated robot can acquire more abstract concepts. The experiments aim to teach the robot the meaning of abstract words by making it experience sensorimotor actions. The iCub humanoid robot will be used for testing experiments on a real robotic architecture.","2161-4407","978-1-4244-9637-2","10.1109/IJCNN.2011.6033258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6033258","","Robot sensing systems;Grounding;Training;Pragmatics;Semantics;Biological neural networks","cognitive systems;humanoid robots;intelligent robots;mobile robots;neural nets;sensors;software engineering;word processing","abstract word;cognitive robot;artificial neural network;semantic representation;sensorimotor experience;software environment;simulated robot;higher-order word;linguistic description;iCub humanoid robot","","6","","35","","3 Oct 2011","","","IEEE","IEEE Conferences"
"Gibson Env: Real-World Perception for Embodied Agents","F. Xia; A. R. Zamir; Z. He; A. Sax; J. Malik; S. Savarese","Stanford Univ., Stanford, CA, USA; Stanford Univ., Stanford, CA, USA; Stanford Univ., Stanford, CA, USA; Stanford Univ., Stanford, CA, USA; Univ. of California, Berkeley, Berkeley, CA, USA; Stanford Univ., Stanford, CA, USA","2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition","16 Dec 2018","2018","","","9068","9079","Developing visual perception models for active agents and sensorimotor control in the physical world are cumbersome as existing algorithms are too slow to efficiently learn in real-time and robots are fragile and costly. This has given rise to learning-in-simulation which consequently casts a question on whether the results transfer to real-world. In this paper, we investigate developing real-world perception for active agents, propose Gibson Environment for this purpose, and showcase a set of perceptual tasks learned therein. Gibson is based upon virtualizing real spaces, rather than artificially designed ones, and currently includes over 1400 floor spaces from 572 full buildings. The main characteristics of Gibson are: I. being from the real-world and reflecting its semantic complexity, II. having an internal synthesis mechanism ""Goggles"" enabling deploying the trained models in real-world without needing domain adaptation, III. embodiment of agents and making them subject to constraints of physics and space.","2575-7075","978-1-5386-6420-9","10.1109/CVPR.2018.00945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579043","","Rendering (computer graphics);Cameras;Neural networks;Three-dimensional displays;Visualization;Physics;Robot sensing systems","learning (artificial intelligence);multi-agent systems;rendering (computer graphics);robot vision;virtual reality","physical world;robots;learning-in-simulation;real-world perception;active agents;Gibson Environment;visual perception models;sensorimotor control;floor spaces;perceptual task learning;space virtualization;semantic complexity;Goggles internal synthesis mechanism","","48","","100","","16 Dec 2018","","","IEEE","IEEE Conferences"
"Human sit-to-stand transfer modeling for optimal control of assistive robots","M. Geravand; P. Z. Korondi; A. Peer","Institute of Automatic Control Engineering, Technische Universita¨t Mu¨nchen, Munich, Germany; Institute of Automatic Control Engineering, Technische Universita¨t Mu¨nchen, Munich, Germany; Institute of Automatic Control Engineering, Technische Universita¨t Mu¨nchen, Munich, Germany","5th IEEE RAS/EMBS International Conference on Biomedical Robotics and Biomechatronics","2 Oct 2014","2014","","","670","676","Sit-to-stand (STS) transfers are a common human task which involves very complex sensorimotor processes to control the highly nonlinear musculoskeletal system. In this paper, typical unassisted and assisted human STS transfers are formulated as optimal feedback control problem that finds a compromise between task end-point accuracy, human balance, jerk, effort, and torque change and takes further human biomechanical control constraints into account. Differential dynamic programming is employed, which allows taking the full, nonlinear human dynamics into consideration. The biomechanical dynamics of the human is modeled by a six link rigid body including leg, trunk and arm segments. Accuracy of the proposed modelling approach is evaluated for different human healthy subjects by comparing simulations and experimentally collected data. Acceptable model accuracy is achieved with a generic set of constant weights that prioritize the different criteria. The proposed STS model is finally used to determine optimal assistive strategies to be performed by a robotic mobility assistant suitable for either a person with specific body segment weakness or a more general weakness.","2155-1782","978-1-4799-3128-6","10.1109/BIOROB.2014.6913855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6913855","","Biological system modeling;Joints;Trajectory;Data models;Torque;Cost function;Biomechanics","assisted living;feedback;gait analysis;handicapped aids;human-robot interaction;medical robotics;mobile robots;nonlinear dynamical systems;optimal control;robot dynamics;service robots;torque control","human sit-to-stand transfer modeling;assistive robots;very complex sensorimotor processes;nonlinear musculoskeletal system;unassisted human STS transfer;assisted human STS transfer;optimal feedback control problem;task end-point accuracy;human balance;jerk;effort;torque change;human biomechanical control constraints;differential dynamic programming;nonlinear human dynamics;human biomechanical dynamics;rigid body;robotic mobility assistant","","2","","27","","2 Oct 2014","","","IEEE","IEEE Conferences"
"Towards improving incremental learning of manipulator kinematics with inter-robot knowledge transfer","N. Makondo; B. Rosman","Mobile Intelligent Autonomous Systems, Council for Scientific and Industrial Research (CSIR), Pretoria, South Africa; Mobile Intelligent Autonomous Systems, Council for Scientific and Industrial Research (CSIR), Pretoria, South Africa","2019 Southern African Universities Power Engineering Conference/Robotics and Mechatronics/Pattern Recognition Association of South Africa (SAUPEC/RobMech/PRASA)","2 May 2019","2019","","","68","73","This paper investigates the improvement of learning sensorimotor models for developmental robots, in particular robot arm kinematics models, with inter-robot knowledge transfer. Developmental robots progressively learn through embodied interaction with the physical environment. In the single-robot case, exploration in the world is performed in isolation and the robot explores its own capabilities. In a multi-robot case, with one or more experienced robots, we argue that it may be beneficial for the robots to be able to share the knowledge they have acquired through their individual exploration. We explore knowledge transfer in the context of learning arm kinematics models, where an experienced robot shares its kinematic data with a new robot that is autonomously exploring its environment. We show that the sensorimotor models of the new robot can be bootstrapped by the shared knowledge, converge faster and also achieve a better asymptotic performance compared to individual exploration from scratch. We perform an analysis of knowledge transfer in simulation, ranging from simple two-link planar robots to redundant systems.","","978-1-7281-0369-3","10.1109/RoboMech.2019.8704838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704838","Model learning;Transfer learning;Robot kinematics;Robot learning;Developmental robots","Robot sensing systems;Kinematics;Data models;Space exploration;Knowledge transfer;Aerospace electronics","learning (artificial intelligence);manipulator kinematics;mobile robots;multi-robot systems;path planning","particular robot arm kinematics models;inter-robot knowledge transfer;single-robot case;multirobot case;experienced robots;shared knowledge;two-link planar robots;incremental learning;manipulator kinematics;learning sensorimotor models;redundant systems","","","","20","","2 May 2019","","","IEEE","IEEE Conferences"
"Spatially Separated Cutaneous Haptic Guidance for Training of a Virtual Sensorimotor Task","C. Smith; E. Pezent; M. K. O’Malley","Rice University,Mechatronics and Haptic Interfaces Laboratory,Houston,77005; Rice University,Mechatronics and Haptic Interfaces Laboratory,Houston,77005; Rice University,Mechatronics and Haptic Interfaces Laboratory,Houston,77005","2020 IEEE Haptics Symposium (HAPTICS)","7 May 2020","2020","","","974","979","Haptic devices enable multi-modal feedback to a user when training to perform novel motor skills in controlled, virtual environments. Haptic feedback has been proposed as a means to provide additional guidance cues that might improve training efficacy; however, recent studies have identified drawbacks to haptic guidance, including reliance on guidance forces and an inability to distinguish between forces that are part of the virtual environment and those that communicate task completion strategies. Recently, we proposed a novel approach to providing haptic guidance that separates task and guidance forces. We used a kinesthetic haptic interface to communicate task forces and a spatially separated tactile skin-stretch device to transmit guidance forces. Our experiments showed that feed-forward control using this paradigm was effective for improving performance in a trajectory following task. In this paper, we explore the potential for spatially separated cutaneous haptic guidance to train a user to optimally control an inverted pendulum system. We present and execute a task and training protocol designed to determine whether error-based haptic feedback provided cutaneously can accelerate learning of a task, and whether participants can retain or transfer task skills even after guidance is no longer present. We found that subject performance improved while spatially separated cutaneous haptic guidance was active. Despite this finding, performance in the pendulum balancing task was not affected once the haptic assistance was removed.","2324-7355","978-1-7281-0234-4","10.1109/HAPTICS45997.2020.ras.HAP20.11.2032900c","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086314","","","feedforward;haptic interfaces;pendulums;virtual reality","spatially separated cutaneous haptic guidance;virtual sensorimotor task;haptic devices;virtual environments;guidance cues;guidance forces;kinesthetic haptic interface;task forces;spatially separated tactile skin-stretch device;error-based haptic feedback;haptic assistance;multimodal feedback;feed-forward control;inverted pendulum system","","","","27","","7 May 2020","","","IEEE","IEEE Conferences"
"Empirical Movement Models for Brain Computer Interfaces","C. B. Matlack; H. J. Chizeck; C. T. Moritz","Electrical Engineering Department, University of Washington, Seattle, WA, USA; Electrical Engineering Department, University of Washington, Seattle, WA, USA; Departments of Rehabilitation Medicine and Physiology and Biophysics, University of Washington, Seattle, WA, USA","IEEE Transactions on Neural Systems and Rehabilitation Engineering","20 Jun 2017","2017","25","6","694","703","For brain-computer interfaces (BCIs) which provide the user continuous position control, there is little standardization of performance metrics or evaluative tasks. One candidate metric is Fitts's law, which has been used to describe aimed movements across a range of computer interfaces, and has recently been applied to BCI tasks. Reviewing selected studies, we identify two basic problems with Fitts's law: its predictive performance is fragile, and the estimation of `information transfer rate' from the model is unsupported. Our main contribution is the adaptation and validation of an alternative model to Fitts's law in the BCI context. We show that the Shannon-Welford model outperforms Fitts's law, showing robust predictive power when target distance and width have disproportionate effects on difficulty. Building on a prior study of the Shannon-Welford model, we show that identified model parameters offer a novel approach to quantitatively assess the role of control-display gain in speed/accuracy performance tradeoffs during brain control.","1558-0210","","10.1109/TNSRE.2016.2584101","American Heart & Stroke Association Scientist Development; DARPA Young Faculty; Center for Sensorimotor Neural Engineering (CNSE), a National Science Foundation Engineering Research Center; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7502071","Brain–computer interface (BCI);brain–machine interface (BMI);Fitts’s law;neural engineering;neural prosthesis;performance metric;Shannon–Welford","Measurement;Brain models;Trajectory;Predictive models;Computational modeling;Throughput","biomechanics;brain-computer interfaces;information theory;medical computing;neurophysiology;physiological models","empirical movement models;brain computer interfaces;Fitts law;information transfer rate;Shannon-Welford model;speed-accuracy performance;brain control","Animals;Brain Mapping;Brain-Computer Interfaces;Computer Simulation;Electroencephalography;Humans;Macaca nemestrina;Models, Neurological;Models, Statistical;Movement;Reproducibility of Results;Sensitivity and Specificity;Task Performance and Analysis;Visual Cortex;Visual Perception","","","29","","30 Jun 2016","","","IEEE","IEEE Journals"
"Feedback, Affordances, and Accelerators for Training Sports in Virtual Environments","E. Ruffaldi; B. Bardy; D. Gopher; M. Bergamasco","PERCRO Lab Scuola Superiore S. Anna 56100 Pisa, Italy; M2H EuroMov Montpellier University France; Technion Haifa, Israel; PERCRO Lab Scuola Superiore S. Anna 56100 Pisa, Italy","Presence","19 May 2014","2011","20","1","33","46","The use of virtual environments (VE) for training sports is quite natural when considering strategic or cognitive aspects. Using VE for sensorimotor training is more challenging, in particular with the difficulty of transferring the task learned in the virtual world to the real. Of special concern for the successful transfer is the adequate combination of training experience protocols and the delivery modes of multimodal feedback. Analyzing feedback in terms of information exchange, this work discusses different feedback combinations and their application to virtual reality training of rowing skills.","1054-7460","","10.1162/pres_a_00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6797590","","","","","","5","","","","19 May 2014","","","MIT Press","MIT Press Journals"
"Unsupervised learning of predictive parts for cross-object grasp transfer","R. Detry; J. Piater","University of Liège, Belgium; University of Innsbruck, Austria","2013 IEEE/RSJ International Conference on Intelligent Robots and Systems","2 Jan 2014","2013","","","1720","1727","We present a principled solution to the problem of transferring grasps across objects. Our approach identifies, through autonomous exploration, the size and shape of object parts that consistently predict the applicability of a grasp across multiple objects. The robot can then use these parts to plan grasps onto novel objects. By contrast to most recent methods, we aim to solve the part-learning problem without the help of a human teacher. The robot collects training data autonomously by exploring different grasps on its own. The core principle of our approach is an intensive encoding of low-level sensorimotor uncertainty with probabilistic models, which allows the robot to generalize the noisy autonomously-generated grasps. Object shape, which is our main cue for predicting grasps, is encoded with surface densities, that model the spatial distribution of points that belong to an object's surface. Grasp parameters are modeled with grasp densities, that correspond to the spatial distribution of object-relative gripper poses that lead to a grasp. The size and shape of grasp-predicting parts are identified by sampling the cross-object correlation of local shape and grasp parameters. We approximate sampling and integrals via Monte Carlo methods to make our computer implementation tractable. We demonstrate the applicability of our method in simulation. A proof of concept on a real robot is also provided.","2153-0866","978-1-4673-6358-7","10.1109/IROS.2013.6696581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6696581","","Shape;Computational modeling;Grasping;Training;Robot sensing systems;Visualization","control engineering computing;grippers;Monte Carlo methods;robot vision;shape recognition;unsupervised learning","unsupervised learning;predictive parts;cross-object grasp transfer;autonomous exploration;part-learning problem;human teacher;robot;training data;low-level sensorimotor uncertainty;probabilistic models;noisy autonomously-generated grasps;object shape;surface densities;spatial points distribution;grasp parameters;grasp densities;object-relative gripper;grasp-predicting parts;cross-object correlation;local shape parameters;grasp parameters;Monte Carlo methods;computer implementation","","8","","37","","2 Jan 2014","","","IEEE","IEEE Conferences"
