"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Researching and Modeling of Discrete Linear Time-Invariant Systems with Difference Equations in Matlab","A. H. Chekichev; D. A. Shehova; S. Y. Lyubomirov; S. M. Asenov; K. K. Asparuhova","Plovdiv University “Paisii Hilendarski”,Faculty of Physics and Engineering Technologies,Smolyan,Bulgaria,4700; Plovdiv University “Paisii Hilendarski”,Faculty of Physics and Engineering Technologies,Smolyan,Bulgaria,4700; Plovdiv University “Paisii Hilendarski”,Faculty of Physics and Engineering Technologies,Smolyan,Bulgaria,4700; Plovdiv University “Paisii Hilendarski”,Faculty of Physics and Engineering Technologies,Smolyan,Bulgaria,4700; Technical University of Sofia,Faculty of Electronic Engineering and Technologies,Department of Electronics,8 Kliment Ohridski blvd., Sofia,Bulgaria,1000","2020 XXIX International Scientific Conference Electronics (ET)","5 Nov 2020","2020","","","1","4","The paper examines the opportunities for developing the skills and competencies of engineering students to understand the fundamental concepts embedded in digital signal processing. The Matlab-Simulink development software environment was used for research and teaching of Discrete Linear Time-Invariant (LTI) Systems through Difference Equations (DE), for which purpose a general engineering algorithm and a simulation model have been created, implementing the recursive Discrete LTI systems. The results of the conducted analytical and simulation researches are presented.","","978-1-7281-7426-6","10.1109/ET50336.2020.9238252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238252","Discrete Linear Time-Invariant Systems;Difference Equation;Matlab","Linear systems;Analytical models;Difference equations;Education;Software algorithms;Mathematical model;Matlab","computer aided instruction;computer science education;discrete time systems;electronic engineering computing;electronic engineering education;embedded systems;invariance;linear systems;Matlab;signal processing;teaching","difference equations;engineering students;digital signal processing;Matlab-Simulink development software environment;general engineering algorithm;simulation model;recursive Discrete LTI systems;conducted analytical simulation researches;discrete linear time invariant system researching;discrete linear time invariant system teaching","","","","9","","5 Nov 2020","","","IEEE","IEEE Conferences"
"IMPACT: an Interactive Multimedia Program for Alcoholism Assessment and Counseling Training","J. W. Mullis; R. R. Avent; H. T. Mullis; A. L. Wilson; M. W. Mitchell","American Res. Corp. of Virginia, Radford, VA, USA; American Res. Corp. of Virginia, Radford, VA, USA; American Res. Corp. of Virginia, Radford, VA, USA; American Res. Corp. of Virginia, Radford, VA, USA; American Res. Corp. of Virginia, Radford, VA, USA","Proceedings of the International Conference on Multimedia Computing and Systems","6 Aug 2002","1995","","","318","322","Nearly 14% of American adults have met the DSM-III-R (Diagnostic and Statistical Manual of Mental Disorders, 3rd Edition, Revised) criteria for lifetime alcohol abuse or dependence. Although it has been estimated that 20% of patients visiting physicians qualify for an alcoholic diagnosis, the early stages of excessive drinking often remain unrecognized in general medical practice and in hospitals due to inadequate training and erroneous stereotyping. To address this problem, the American Research Corporation of Virginia (ARCOVA) is developing the Interactive Multimedia Program for Alcoholism Assessment and Counseling Training (IMPACT), a combination of audiovisual media and programmed interaction for the teaching of alcoholism management skills to physicians and nurses at both the student and professional levels. The hallmark of this program is a role-play activity with patient personalities simulated by digital audio and video that will respond to questions posed by the user.","","0-8186-7105-X","10.1109/MMCS.1995.484942","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=484942","","Alcoholism;Employee welfare;Management training;Alcoholic beverages;Medical diagnostic imaging;Hospitals;Psychology;Education;Educational institutions;Mental disorders","multimedia computing;interactive systems;computer based training;medical administrative data processing;audio-visual systems;teaching","IMPACT;Interactive Multimedia Program for Alcoholism Assessment and Counseling Training;digital audio;DSM-III-R criteria;Diagnostic and Statistical Manual of Mental Disorders;lifetime alcohol abuse;lifetime alcohol dependence;alcoholic diagnosis;excessive drinking;medical practice;digital video;stereotyping;audiovisual media;programmed interaction;teaching;alcoholism management skills;physicians;nurses;student level;professional level;role-play activity;simulated patient personalities","","","","10","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Developments in Groningen design engineering, or: the virtual reality of the engineer","P. M. Gerson","Tech. Innovation Hogeschool van Groningen, Netherlands","IEE Colloquium on Design Education - Bridging the Gap Between Industrial and Engineering Design","6 Aug 2002","1994","","","5/1","516","In Groningen, in the North of the Netherlands, both a university, the Rijksuniversiteit van Groningen, and an institute for higher vocational education, Hogeschool of Groningen are located. The technology faculty of the latter institute could be compared with the former polytechnics in the UK; however by law the difference in the Netherlands is more strict between Universities (key words: academic, research, search for general laws, universal truth, trends and patterns) and Higher Vocational Education (main goal is vocationally related: preparing for future working life, training in skills and logic of a technology). For some disciplines, Product Design Engineering being one of them, it means that there is not a smooth transfer possible for students having acquired the Hogeschool title, Ing, to the University and the Ir title within a reasonable time span. At the other hand, in special cases like the Technical Business Science course at the university of Groningen, in which the vocational approach and expertise of Hogeschool lecturers is incorporated in the academic curriculum, the combination can be very beneficial. The author discusses vocational education in design engineering, and design value in product development.<>","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=367889","","Design methodology;Education","design engineering;education","Groningen;design engineering;Netherlands;Rijksuniversiteit van Groningen;higher vocational education;Hogeschool of Groningen;Product Design Engineering;design value;product development","","","","","","6 Aug 2002","","","IET","IET Conferences"
"Learning non-random moves for playing Othello: Improving Monte Carlo Tree Search","D. Robles; P. Rohlfshagen; S. M. Lucas","School of Computer Science and Electrical Engineering, University of Essex, Colchester CO4 3SQ, United Kingdom; School of Computer Science and Electrical Engineering, University of Essex, Colchester CO4 3SQ, United Kingdom; School of Computer Science and Electrical Engineering, University of Essex, Colchester CO4 3SQ, United Kingdom","2011 IEEE Conference on Computational Intelligence and Games (CIG'11)","29 Sep 2011","2011","","","305","312","Monte Carlo Tree Search (MCTS) with an appropriate tree policy may be used to approximate a minimax tree for games such as Go, where a state value function cannot be formulated easily: recent MCTS algorithms successfully combine Upper Confidence Bounds for Trees with Monte Carlo (MC) simulations to incrementally refine estimates on the game-theoretic values of the game's states. Although a game-specific value function is not required for this approach, significant improvements in performance may be achieved by derandomising the MC simulations using domain-specific knowledge. However, recent results suggest that the choice of a non-uniformly random default policy is non-trivial and may often lead to unexpected outcomes. In this paper we employ Temporal Difference Learning (TDL) as a general approach to the integration of domain-specific knowledge in MCTS and subsequently study its impact on the algorithm's performance. In particular, TDL is used to learn a linear function approximator that is used as an a priori bias to the move selection in the algorithm's default policy; the function approximator is also used to bias the values of the nodes in the tree directly. The goal of this work is to determine whether such a simplistic approach can be used to improve the performance of MCTS for the well-known board game Othello. The analysis of the results highlights the broader conclusions that may be drawn with respect to non-random default policies in general.","2325-4289","978-1-4577-0011-8","10.1109/CIG.2011.6032021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032021","","Games;Monte Carlo methods;Law;Approximation algorithms;Approximation methods;Reliability","function approximation;game theory;games of skill;learning (artificial intelligence);minimax techniques;Monte Carlo methods;temporal reasoning;trees (mathematics)","nonrandom moves;Monte Carlo tree search;tree policy;minimax tree;state value function;MCTS algorithms;upper confidence bounds;Monte Carlo simulations;game-theoretic values;game-specific value function;MC simulations;domain-specific knowledge;nonuniformly random default policy;temporal difference learning;TDL;linear function approximator;algorithm default policy;board game Othello","","11","","28","","29 Sep 2011","","","IEEE","IEEE Conferences"
"Reset-free guided policy search: Efficient deep reinforcement learning with stochastic initial states","W. Montgomery; A. Ajay; C. Finn; P. Abbeel; S. Levine","Department of Computer Science and Engineering, University of Washington, Seattle, WA 98195; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, Berkeley, CA 94709; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, Berkeley, CA 94709; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, Berkeley, CA 94709; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, Berkeley, CA 94709","2017 IEEE International Conference on Robotics and Automation (ICRA)","24 Jul 2017","2017","","","3373","3380","Autonomous learning of robotic skills can allow general-purpose robots to learn wide behavioral repertoires without extensive manual engineering. However, robotic skill learning must typically make trade-offs to enable practical real-world learning, such as requiring manually designed policy or value function representations, initialization from human demonstrations, instrumentation of the training environment, or extremely long training times. We propose a new reinforcement learning algorithm that can train general-purpose neural network policies with minimal human engineering, while still allowing for fast, efficient learning in stochastic environments. We build on the guided policy search (GPS) algorithm, which transforms the reinforcement learning problem into supervised learning from a computational teacher (without human demonstrations). In contrast to prior GPS methods, which require a consistent set of initial states to which the system must be reset after each episode, our approach can handle random initial states, allowing it to be used even when deterministic resets are impossible. We compare our method to existing policy search algorithms in simulation, showing that it can train high-dimensional neural network policies with the same sample efficiency as prior GPS methods, and can learn policies directly from image pixels. We also present real-world robot results that show that our method can learn manipulation policies with visual features and random initial states.","","978-1-5090-4633-1","10.1109/ICRA.2017.7989383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7989383","","Robots;Global Positioning System;Neural networks;Learning (artificial intelligence);Supervised learning;Training;Optimization","learning (artificial intelligence);neurocontrollers;robots","reset-free guided policy search;deep reinforcement learning;stochastic initial states;autonomous learning;robotic skill learning;general-purpose neural network policies;GPS algorithm;high-dimensional neural network policies;image pixels","","7","","23","","24 Jul 2017","","","IEEE","IEEE Conferences"
"A Heuristic-Based Planner and Improved Controller for a Two-Layered Approach for the Game of Billiards","J. Landry; J. Dussault; P. Mahey","Computer Science, Université de Sherbrooke, Sherbrooke, Canada; Computer Science, Université de Sherbrooke, Sherbrooke, Canada; Computer Science, Université Blaise Pascal Clermont 2, Clermont-Ferrand, France","IEEE Transactions on Computational Intelligence and AI in Games","11 Dec 2013","2013","5","4","325","336","In the past , we have proposed a two-layered approach to compute a winning strategy for the game of Billiards. AI tools as well as robust optimization routines for noisy environments were combined to plan the sequence of shots. We complete the modeling here by introducing significant developments for the high-level planner which guides the precise optimal controller to generate a plan given at any random initial state. We will first resume the general model for this particular class of problems and then propose several domain-specific heuristics to guide our search and render the problem tractable. Several improvements to the optimal robust controller, including refinements in the objective function, will also be presented in order to improve single-shot optimization. Results are presented demonstrating the full potential of the methods proposed making it the state of the art in regards to the game of Billiards.","1943-0698","","10.1109/TCIAIG.2013.2284385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6651845","Artificial intelligence;Billiards;game;optimization;planning;pool;simulation;snooker;strategy","Games;Noise level;Robots;Optimization;Robustness;Computational modeling;Abstracts","games of skill;optimal control","heuristic-based planner;two-layered approach;billiards game;AI tools;robust optimization routines;noisy environments;high-level planner;precise optimal controller;optimal robust controller;single-shot optimization","","3","","27","","1 Nov 2013","","","IEEE","IEEE Journals"
"Fundamental control characteristics of curvilinear motion in human and automatic path tracking tasks","B. Mettler; J. Andersh","Department of Aerospace Engineering and Mechanics, USA; Department of Computer Science and Engineering, University of Minnesota, Minneapolis, USA","2013 American Control Conference","15 Aug 2013","2013","","","6460","6467","This paper describes fundamental path tracking control performance characteristics for curvilinear motion based on the nonlinear dynamics. Curvilinear motion is ubiquitous to many human behaviors and engineering applications. The results provide essential insights about vehicle control requirements, aerial and ground robots, as well as for understanding human guidance and control skills. The paper describes the theoretical analysis and illustrates the fundamental properties through simulations and follows with two examples based on empirical data. The first example is based on the design specifications for different alpine skiing disciplines. The second example is based on results from closed-loop identification of a miniature helicopter path tracking experiment under both human and automatic control. The results validate the path tracking adaptation strategy suggested by analysis and demonstrate the general significance of the results.","2378-5861","978-1-4799-0178-4","10.1109/ACC.2013.6580852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6580852","","Trajectory;Bandwidth;Vehicle dynamics;Acceleration;Vehicles;Tracking;Nonlinear dynamical systems","autonomous aerial vehicles;closed loop systems;helicopters;identification;motion control;nonlinear dynamical systems;path planning","path tracking adaptation strategy;automatic control;miniature helicopter path tracking experiment;closed loop identification;alpine skiing disciplines;design specifications;human control skills;human guidance skills;ground robots;aerial robots;vehicle control requirements;nonlinear dynamics;fundamental path tracking control performance characteristics;human path tracking tasks;automatic path tracking tasks;curvilinear motion","","","","14","","15 Aug 2013","","","IEEE","IEEE Conferences"
"Exploring individual differences of public speaking anxiety in real-life and virtual presentations","M. Yadav; M. N. Sakib; E. H. Nirjhar; K. Feng; A. Behzadan; T. Chaspari","Computer Science & Engineering, Texas A and M University College Station, 14736 College Station, Texas, United States, (e-mail: meghakyadav@gmail.com); Multidisciplinary Engineering, Texas A&M University College Station, 14736 College Station, Texas, United States, (e-mail: mnsakib@tamu.edu); Computer Science & Engineering, Texas A&M University System, 2655 College Station, Texas, United States, (e-mail: nirjhar71@tamu.edu); Computer Science & Engineering, Texas A&M University College Station, 14736 College Station, Texas, United States, (e-mail: kexin0814@tamu.edu); Construction Science, Texas A&M University College Station, 14736 College Station, Texas, United States, (e-mail: abehzadan@tamu.edu); Computer Science & Engineering, Texas A&M Engineering, 122656 College Station, Texas, United States, (e-mail: chaspari@tamu.edu)","IEEE Transactions on Affective Computing","","2020","PP","99","1","1","Public speaking is a vital skill for making good impressions, effectively exchanging ideas, and influencing others. Yet, public speaking anxiety (PSA) ranks as a top social phobia. Recent advancements in wearable devices and ubiquitous virtual reality (VR) interfaces can help measure and mitigate PSA. This research quantifies PSA through bio-behavioral markers related to individuals' physiological and acoustic characteristics. The effect of virtual reality (VR) training on alleviating PSA is measured through self-reported and bio-behavioral indices. Psychological (e.g., general trait anxiety, personality) and demographic (e.g., age, gender, highest education, native language) traits are examined as moderating factors between bio-behavioral indices and PSA, as well as moderating factors for measuring the VR effectiveness in mitigating PSA. These measures are also used as clustering criteria for stratifying participants in group-based models of PSA. Results indicate the significance of such traits to modeling PSA with the proposed group-based models yielding Spearman's correlation of 0:55 ($p \lt 0:05$) between the actual and predicted outcome. Results further demonstrate that systematic exposure to public speaking in VR can alleviate PSA in terms of both self-reported ($p \lt 0:05$) and physiological ($p \lt 0:05$) indices. Findings from this study will enable researchers to better understand antecedents and causes of PSA and lay the foundation for personalized adaptive feedback for PSA interventions.","1949-3045","","10.1109/TAFFC.2020.3048299","Engineering Information Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9311251","Public speaking anxiety;virtual reality;physiology;speech;wearable devices;individual differences","Public speaking;Physiology;Training;Psychology;Task analysis;Particle measurements;Atmospheric measurements","","","","","","","IEEE","30 Dec 2020","","","IEEE","IEEE Early Access Articles"
"A Case Study of an Academic Achievement-oriented Student in Game-based Learning","M. S. Y. Jong; F. Lee; J. H. M. Lee; J. Shang","Centre for the Advancement of Inf. Technol. in Educ., Chinese Univ. of Hong Kong, Shatin, China; Centre for the Advancement of Inf. Technol. in Educ., Chinese Univ. of Hong Kong, Shatin, China; Centre for the Advancement of Inf. Technol. in Educ., Chinese Univ. of Hong Kong, Shatin, China; Grad. Sch. of Educ., Peking Univ., Beijing, China","2011 IEEE 11th International Conference on Advanced Learning Technologies","18 Aug 2011","2011","","","7","11","VISOLE (Virtual Interactive Student-Oriented Learning Environment) is a teacher-facilitated constructivist pedagogical approach to empower game-based learning. In combination with scaffolding, situated cognition, reflection, and debriefing, VISOLE aims at providing students with opportunities to acquire subject specific knowledge in a multi-disciplinary fashion and sharpen their higher-order thinking skills for problem solving. Farmtasia is the first online game designed to facilitate the VISOLE approach. We conducted a qualitative case study, in the setting of formal curricular teaching in a secondary school, to look into the course of students' learning in VISOLE. This paper discusses a part of the entire study, focusing on delineating an impeding phenomenon, arbitrary gaming, which emerged in an academic achievement-oriented student's learning process. The findings provided insights into the issue of implementing VISOLE and game-based learning in general in school education.","2161-377X","978-1-61284-209-7","10.1109/ICALT.2011.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5992272","game-based learning;educational games;virtual learning environments;constructivist learning","Games;Educational institutions;Blogs;Geography;Reflection;Agriculture","computer aided instruction;computer games;educational courses;educational institutions;further education;problem solving;teaching;virtual reality","academic achievement-oriented student;game based learning;VISOLE;virtual interactive student-oriented learning environment;constructivist pedagogical approach;subject specific knowledge;multidisciplinary fashion;higher-order thinking skills;problem solving;online game;formal curricular teaching;secondary school;educational course;arbitrary gaming;school education","","1","","24","","18 Aug 2011","","","IEEE","IEEE Conferences"
"Current challenges for numerical weather prediction in complex terrain: Topography representation and parameterizations","B. Goger; M. W. Rotach; A. Gohm; I. Stiperski; O. Fuhrer","Insitute of Atmospheric and Cryospheric Sciences (ACInn) University of Innsbruck Innsbruck, Austria; Insitute of Atmospheric and Cryospheric Sciences (ACInn) University of Innsbruck Innsbruck, Austria; Insitute of Atmospheric and Cryospheric Sciences (ACInn) University of Innsbruck Innsbruck, Austria; Insitute of Atmospheric and Cryospheric Sciences (ACInn) University of Innsbruck Innsbruck, Austria; Federal Office of Meteorology and Climatology (Meteo Swiss) Zürich, Switzerland","2016 International Conference on High Performance Computing & Simulation (HPCS)","15 Sep 2016","2016","","","890","894","A very important component of modern weather forecasting is the use of numerical weather prediction (NWP) models. In the last years, the forecast quality of those models constantly improved, mostly due to major improvements in highperformance computing, which allows a finer horizontal grid resolution. Mountainous terrain, however, still poses a challenge for NWP models, mainly due to not sufficient resolution of the underlying topography, but also due to physical parameterizations based on assumptions for horizontally homogeneous and flat (hhf) terrain. In our study, we evaluate the performance of the high-resolution NWP model COSMO in complex terrain, namely in the Inn Valley, Austria. We compare the measurements of two representative weather stations (one located at the valley floor and one located at a north-facing slope) with the model and investigate the spatial variability of the simulated flow field. The model is generally able to simulate the thermally-induced circulation in the valley appropriately, however, there are differences between the two locations. The model has a worse skill at the slope site, which may be related to poorly resolved topography. Further, the model exhibits problems in simulating boundary-layer processes at both stations, which supports the hypothesis of insufficient parameterization of boundary-layer processes in complex terrain.","","978-1-5090-2088-1","10.1109/HPCSim.2016.7568428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7568428","Atmospheric Science;Numerical Weather Prediction;Model Evaluation;Complex Terrain","Atmospheric modeling;Numerical models;Wind;Computational modeling;Weather forecasting;Surfaces","atmospheric boundary layer;atmospheric movements;geophysics computing;parallel processing;topography (Earth);weather forecasting","numerical weather prediction;complex terrain;topography representation;weather forecasting;forecast quality;high-performance computing;horizontal grid resolution;mountainous terrain;physical parameterization;horizontally homogeneous and flat terrain;high-resolution NWP model;COSMO model;Inn Valley;Austria;representative weather station;spatial variability;thermally-induced circulation;valley;boundary-layer process","","4","","31","","15 Sep 2016","","","IEEE","IEEE Conferences"
