"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Virtual Reality-Based Casting Skill Transfer and Human Resource Development","K. Watanuki","Saitama Univ., Saitama","17th International Conference on Artificial Reality and Telexistence (ICAT 2007)","2 Jan 2008","2007","","","316","317","This paper proposes a new virtual reality-based skill transfer and human resource development system for casting design, which is composed of the explicit and tacit knowledge transfer systems using synchronized multimedia and the knowledge internalization system using portable virtual environment. In our proposed system, the education content is displayed in the immersive virtual environment, whereby a trainee may experience work in the virtual site operation. Provided that the trainee has gained explicit and tacit knowledge of casting through the multimedia-based knowledge transfer system, the immersive virtual environment catalyzes the internalization of knowledge and also enables the trainee to gain tacit knowledge before undergoing on- the-job training at a real-time operation site.","","0-7695-3056-7","10.1109/ICAT.2007.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4414664","","Casting;Humans;Virtual environment;Industrial training;Manufacturing industries;Knowledge transfer;On the job training;Force feedback;Multimedia systems;Libraries","casting;computer based training;design;engineering education;human resource management;industrial training;knowledge management;multimedia systems;multiskilling;on-the-job training;production engineering computing;virtual reality","virtual reality-based casting skill transfer;human resource development system;casting design;multimedia-based knowledge transfer system;education content;immersive virtual environment;training;virtual site operation;on-the-job training","","","","1","","2 Jan 2008","","","IEEE","IEEE Conferences"
"Evaluating simulator-based training of skill-based control behavior using multimodal operator models","D. M. Pool; G. A. Harder; H. J. Damveld; M. M. van Paassen; M. Mulder","Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands; Control & Simulation, Department Control & Operations, Delft University of Technology, The Netherlands","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","4 Dec 2014","2014","","","3132","3137","This paper describes a novel method for analyzing the training effectiveness for skill-based manual control tasks based on multimodal human operator models. For skill-based tracking tasks, it is known that the adopted human operator dynamics can be modeled accurately with multimodal human operator models. In this paper, estimated human operator model parameters are used to explicitly quantify the changes that occur in the operator's use of visual and motion feedback during skill-acquisition and transfer. A quasi-transfer-of-training experiment is described, in which inexperienced participants were trained to perform an aircraft pitch attitude tracking task, either in a fixed-base or in moving-base simulator environment. After the training phase, the participants were transferred to the other simulator setting, to reveal possible transfer effects. Preliminary results from one participant in each experiment group indicate that the fitted models are successful in revealing the changes that occur in the multimodal manual control characteristics of the participants, and show that convergence to a final skill-based control strategy requires significant training. Furthermore, the presented results suggest that there might be limited direct transfer from training in a fixed-base environment to a moving-base environment.","1062-922X","978-1-4799-3840-7","10.1109/SMC.2014.6974409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974409","","Training;Visualization;Tracking;Dynamics;Human factors;Delays;Atmospheric measurements","aerospace computing;aircraft control;attitude control;computer based training;control engineering computing;digital simulation","simulator-based training;skill-based manual control behavior;multimodal human operator models;skill-based tracking tasks;human operator dynamics;visual feedback;motion feedback;skill-acquisition;quasitransfer-of-training experiment;aircraft pitch attitude tracking task;fixed-base simulator environment;moving-base simulator environment","","2","","13","","4 Dec 2014","","","IEEE","IEEE Conferences"
"Manipulation of Human Behavior by Distorted Dynamics Vision","H. Kobayashi; Y. Ohyama; H. Hashimoto; J. She","Department of Biomedical Engineering, Osaka Institute of Technology, Osaka, Japan. Tel : +81-6-6654-4489; e-mail: kobayashi@bme.oit.ac.jp; School of Bionics, Tokyo University of Technology, Tokyo, Japan; School of Bionics, Tokyo University of Technology, Tokyo, Japan; School of Bionics, Tokyo University of Technology, Tokyo, Japan","2006 SICE-ICASE International Joint Conference","26 Feb 2007","2006","","","4446","4450","They say that human plans its motion mostly relying on visual information. From this point of view, in this paper the authors attempt to modify transfer characteristics of human operated system by displaying false image of plant whose dynamics is intentionally distorted from the real to enhance performance. Though the proposed method is a kind of human assisting scheme, it doesn't require any physical actuator unlike others and basically only a sensor system and a display device such as LCD monitor are needed. The authors employ simulated inverted pendulum as target plant to be controlled. In previous works, the authors found that there is a relationship between performance of human who is playing inverted pendulum game and his or her gain from eye to extremity at a certain frequency. The dynamics distortion is performed by 2nd order filter which is based on this relationship. The filter is designed to educe potential performance of human thus it is called as ""performance educer"" in this paper. Experiments are made by human subjects, in which they provide higher performance than usual. Finally, the validity of proposed idea is discussed","","89-950038-4-7","10.1109/SICE.2006.314779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4108300","system identification;transfer function of human;inverted pendulum;distorted dynamics;performance educer;human skill;augmented reality","Humans;Manipulator dynamics;Filters;Actuators;Sensor systems;Liquid crystal displays;Monitoring;Performance gain;Extremities;Frequency","computer games;digital simulation;display devices;human factors;pendulums;transfer functions;visual perception","human behavior;distorted dynamic vision;visual information;human operated system;sensor system;display device;simulated inverted pendulum video game;performance educer;transfer functions","","2","","6","","26 Feb 2007","","","IEEE","IEEE Conferences"
"Transfer of Coordination Skill to the Unpracticed Hand in Immersive Environments","S. Xiao; X. Ye; Y. Guo; B. Gao; J. Long","Jinan University,College of Information Science and Technology,Guangzhou,China,510640; Jinan University,College of Information Science and Technology,Guangzhou,China,510640; Jinan University,College of Information Science and Technology,Guangzhou,China,510640; Jinan University,College of Information Science and Technology,Guangzhou,China,510640; Jinan University,College of Information Science and Technology,Guangzhou,China,510640","2020 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)","11 May 2020","2020","","","258","265","Physical practice with one hand results in performance gains of the other (un-practiced) hand in a unilateral motor task. Yet how it induces performance gains of interlimb coordination in the bimanual movements between trained limb and the opposite, untrained limb is unclear. The present study designed a game-like interactive system for physical practice, in which an avatar’s hands could be controlled itself or by the subject during a bimanual movement task in an immersive virtual reality environment. Participants practiced with the bimanual task by simultaneously drawing non-symmetric three-sided squares (e.g., U and C) to learn limb coordination with the following training strategies: (1) performing and seeing a bimanual task (BH-BH); (2) performing a unimanual task with right hand and seeing a bimanual action (RH-BH); (3) not performing a task but seeing a bimanual action (noH-BH); (4) performing and seeing a unimanual task (RH-RH). We found that the learning performance was better after BH-BH and RH-BH compared with other training strategies. In addition, we examined the effects of virtual hand representations on the learning performance after RH-BH. We found that the performance after training was increased with the realism level of virtual hands. These findings suggest that the proposed approach of RH-BH with realistic virtual hand would result in transfer of coordination skill to the unpracticed hand, which puts forward a new approach for learning and rehabilitation of coordination skill in patients with unilateral motor deficit in immersive environments.","2642-5254","978-1-7281-5608-8","10.1109/VR46266.2020.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089455","Avatar hands;bimanual movement;coordination skill;virtual reality","Training;Task analysis;Visualization;Thumb;Shape;Virtual reality","","","","","","27","","11 May 2020","","","IEEE","IEEE Conferences"
"Skill transfer in a simulated underactuated dynamic task","M. K. O'Malley; A. Gupta","Mech. Eng. & Material Sci., Rice Univ., Houston, TX, USA; Mech. Eng. & Material Sci., Rice Univ., Houston, TX, USA","The 12th IEEE International Workshop on Robot and Human Interactive Communication, 2003. Proceedings. ROMAN 2003.","19 Dec 2003","2003","","","315","320","Machine-mediated teaching of dynamic task completion is typically implemented with passive intervention via virtual fixtures or active assist by means of record and replay strategies. During interaction with a real dynamic system however, the user relies on both visual and haptic feedback in order to elicit desired motions. This work investigates skill transfer from assisted to unassisted modes for a Fitts' type targeting task with an underactuated dynamic system. Performance, in terms of between target tap times, is measured during an unassisted baseline session and during various types of assisted training sessions. It is hypothesized that passive and active assist modes that are implemented during training of a dynamic task could improve skill transfer to a real environment or unassisted simulation of the task. Results indicate that transfer of skill is slight but significant for the assisted training modes.","","0-7803-8136-X","10.1109/ROMAN.2003.1251864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1251864","","Haptic interfaces;Education;Displays;Fixtures;Humans;Virtual reality;Force feedback;Shape control;Control systems;Mechanical engineering","haptic interfaces;computer based training;virtual reality;learning (artificial intelligence)","underactuated dynamic system;Fitts' type;skill transfer;haptic feedback","","3","","22","","19 Dec 2003","","","IEEE","IEEE Conferences"
"Analyze assembly skills using a motion simulator","Feng Duan; Jeffrey Too Chuan Tan; Ye Zhang; Kei Watanabe; Nuttapol Pongthanya; Masao Sugi; Hiroshi Yokoi; Tamio Arai","Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan; Department of Precision Engineering, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Japan","2007 IEEE International Conference on Robotics and Biomimetics (ROBIO)","16 May 2008","2007","","","1428","1433","Many researchers have focused on transferring human skills to robots by extracting those skills into the machine- understandable models. It is an important step towards creating an intelligent robot in a cooperative environment. These models not only can be employed to transfer human control strategy to robots, but also can be used to improve the new workers' performance. In this paper, we propose a method that is to extract the advantages of several operators' skills and synthesize new skills to train new workers. To realize the skill extract, synthesis and transfer system, it is absolutely necessary to reproduce and synthesize the experts' motions. In the latter case, a kinematic simulator of human body is employed to realize the synthesis of the operators' motions based on the detected motion data. To verify the proposed method, we employed it to execute a peg-in-hole assembly task. The results show that after training by the synthesized skill model, the new operator's performance is improved significantly.","","978-1-4244-1761-2","10.1109/ROBIO.2007.4522374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4522374","Human Skill Transfer;Motion Tracking;Kinematic Simulator of Human Body;Direct Linear Transformation Method","Motion analysis;Analytical models;Humans;Control system synthesis;Biological system modeling;Robotic assembly;Intelligent robots;Robot control;Data mining;Kinematics","humanoid robots;intelligent robots;motion control;robot kinematics","assembly skills;motion simulator;intelligent robot;human control strategy;expert motions;kinematic simulator;peg-in-hole assembly task;synthesized skill;human skill transfer;motion tracking","","6","","12","","16 May 2008","","","IEEE","IEEE Conferences"
"The effects of presentation method and simulation fidelity on psychomotor education in a bimanual metrology training simulation","J. Bertrand; A. Bhargava; K. C. Madathil; A. Gramopadhye; S. V. Babu","Clemson University, USA; Clemson University, USA; Clemson University, USA; Clemson University, USA; Clemson University, USA","2017 IEEE Symposium on 3D User Interfaces (3DUI)","6 Apr 2017","2017","","","59","68","In this study, we empirically evaluated the effects of presentation method and simulation fidelity on task performance and psychomotor skills acquisition in an immersive bimanual simulation towards precision metrology education. In a 2 × 2 experiment design, we investigated a large-screen immersive display (LSID) with a head-mounted display (HMD), and the presence versus absence of gravity. Advantages of the HMD include interacting with the simulation in a more natural manner as compared to using a large-screen immersive display due to the similarities between the interactions afforded in the virtual compared to the real-world task. Suspending the laws of physics may have an effect on usability and in turn could affect learning outcomes. Our dependent variables consisted of a pre and post cognition questionnaire, quantitative performance measures, perceived workload and system usefulness, and a psychomotor assessment to measure to what extent transfer of learning took place from the virtual to the real world. Results indicate that the HMD condition was preferable to the immersive display in several metrics while the no-gravity condition resulted in users adopting strategies that were not advantageous for task performance.","","978-1-5090-6716-9","10.1109/3DUI.2017.7893318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7893318","H.5.1 [Information Interfaces and Presentation]: Multimedia Information Systems—Artificial, augmented, and virtual realities","Solid modeling;Training;Aerospace electronics;Resists;Metrology;Visualization;Gravity","computer based training;digital simulation;helmet mounted displays;measurement;virtual reality","presentation method;simulation fidelity;psychomotor education;bimanual metrology training simulation;psychomotor skill acquisition;immersive bimanual simulation;precision metrology education;large-screen immersive display;LSID;head-mounted display;HMD;no-gravity condition","","3","","36","","6 Apr 2017","","","IEEE","IEEE Conferences"
"Between-Subject Variability in Transfer-of-Training of Skill-Based Manual Control Behavior","D. M. Pool; P. M. T. Zaal","Delft Univ. of Technol., Delft, Netherlands; NASA Ames Res. Center, Jose State Univ., Moffett Field, CA, USA","2015 IEEE International Conference on Systems, Man, and Cybernetics","14 Jan 2016","2015","","","1094","1099","This paper describes a new approach for analyzing training effectiveness in transfer-of-training experiments, by considering the between-subject variability of post-transfer changes in task performance and control activity of individual trained pilots. First, exponential learning curve models were fit on experimental data of individual pilots. Second, curve parameters were used to analyze the immediate changes in task performance and control gain following transfer, and the correlation between immediate changes in task performance and continued learning rate after transfer. Data from two experiments with different experimental designs were compared using the new approach. The method revealed similar post-transfer effects in the immediate changes in task performance and control gain following transfer between the two experiments when pilots trained without motion. However, differences in post-transfer effects were found when comparing the correlations between the immediate change in task performance and learning rate. In addition, differences were found between participant groups training with different levels of flight simulator motion fidelity.","","978-1-4799-8697-2","10.1109/SMC.2015.196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379328","","Training;NASA;Correlation;Tracking;Human factors;Dynamics;Data models","aerospace computing;aerospace simulation;aircraft control;computer based training","between-subject variability;skill-based manual control behavior;training effectiveness analysis;transfer-of-training experiment;task performance;control activity;pilot training;exponential learning curve model;curve parameters;control gain;learning rate;flight simulator motion fidelity","","","","12","","14 Jan 2016","","","IEEE","IEEE Conferences"
"“Woodlands” - a Virtual Reality Serious Game Supporting Learning of Practical Road Safety Skills","K. Szczurowski; M. Smith","Department of Informatics, Institute of Technology Blanchardstown, Dublin, Ireland; Department of Informatics, Institute of Technology Blanchardstown, Dublin, Ireland","2018 IEEE Games, Entertainment, Media Conference (GEM)","1 Nov 2018","2018","","","1","9","In developed societies road safety skills are taught early and often practiced under the supervision of a parent, providing children with a combination of theoretical and practical knowledge. At some point children will attempt to cross a road unsupervised, at that point in time their safety depends on the effectiveness of their road safety education. To date, various attempts to supplement road safety education with technology were made. Most common approach focus on addressing declarative knowledge, by delivering road safety theory in an engaging fashion. Apart from expanding on text based resources to include instructional videos and animations, some stakeholders (e.g.: Irish Road Safety Authority) attempt to take advantage of game-based learning [1]. However, despite the high capacity for interaction being common in Virtual Environments, available game-based solutions to road safety education are currently limited to delivering and assessing declarative knowledge. With recent advancements in the field of Virtual Reality (VR) Head Mounted Displays, procedural knowledge might also be addressed in Virtual Environments. This paper describes the design and development process of a computer-supported learning system that attempts to address psycho-motor skills involved in crossing a road safely, changing learners' attitude towards road safety best practices, and enabling independent practice of transferable skills. By implementing game-based learning principles and following best practice for serious game design (such as making educational components essential to successful game-play, or instructional scaffolding) we hope to make it not only more effective, but also engaging, allowing us to rely on learners' intrinsic motivation [2], to increase their independent practice time and provide them with feedback that will help to condition safe behaviour and increase retention. Presence in Virtual Reality might evoke responses to Virtual Environment as if it was real (RAIR) [3] and enable learners to truly experience learning scenarios. In consequence leading to formation of autobiographical memories constructed from multisensory input, which should result in an increased knowledge retention and transfer [4].","","978-1-5386-6304-2","10.1109/GEM.2018.8516493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516493","Virtual Reality;VR;Road Safety;Serious Game;Experiential Learning;Game-Based Learning;Virtual Environment","Games;Road safety;Virtual environments;Training","computer aided instruction;helmet mounted displays;road safety;serious games (computing);virtual reality","road safety education;declarative knowledge;road safety theory;road safety best practices;serious game design;virtual reality serious game;virtual environment;virtual reality head mounted displays;Woodlands;game-based learning","","4","","34","","1 Nov 2018","","","IEEE","IEEE Conferences"
"Video game experience and basic robotic skills","A. Tanaka; R. Smith; C. Hughes","The Nicholson Center, Florida Hospital, Celebration, US; The Nicholson Center, Florida Hospital, Celebration, US; Department of Computer Science, The University of Central Florida, Orlando, US","2016 IEEE International Conference on Serious Games and Applications for Health (SeGAH)","10 Oct 2016","2016","","","1","6","Virtual reality simulators have emerged as valuable tools for standardized and objective robotic surgery skill training and assessments. In recent years the idea of using video game technology in surgical education for laparoscopy has also been explored, however few have attempted to make a connection between video game experience and robotic surgical skills. Thus, the current study aims to examine the performance of video gamers in a virtual reality robotic surgery simulator. Furthermore, the video gamers' performance was compared to that of medical students, expert robotic surgeons, and “laypeople.” The purpose of this study is to demonstrate that video gamers acquire perceptual and psychomotor skills through video game play, similar to those used by robotic surgeons. Subjects completed a demographic questionnaire and performed three computer-based perceptual tests: a Flanker compatibility task, a subsidizing task, and a Multiple Object Tracking test. Participants then performed two warm-up exercises and eight trials of two core exercises on a robotic surgery simulator. After completing all trials, participants completed a post-questionnaire regarding their experience with the system. Expert video gamers (n=40), medical students (n=24), laypeople (n=42) and expert robotic surgeons (n=16) were recruited. Medical students and gamers were significantly faster than experts in the Flanker Task. The experts were significantly slower than the all other groups in the subsidizing task. Experts scored significantly higher, were significantly more efficient, and were significantly faster than laypeople, medical students, and gamers in the first trial of Ring & Rail 1 and Suture Sponge. In trial eight of the simulation exercises, the experts performed significantly better than most groups in all of the metrics. Contrary to prior literature in laparoscopy, this study was unable to validate enhanced abilities of video gamers in a robotic surgery simulator. This study does further demonstrate that the transfer of skills developed through video game play is relevant to the surgical technique. This may be due to the differences of the systems and how the users interact within them. In a society where video games have become an integral past time, it is important to determine the role that video games play in the perceptual and psychomotor development of users. These findings can be generalized to domains outside of medicine that utilize robotic and computer-controlled systems, speaking to the scope of the gamers' abilities and pointing to the capacity within these systems.","","978-1-5090-2210-6","10.1109/SeGAH.2016.7586262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586262","","Surgery;Robots;Measurement;Games;Training;Rails;Cameras","biomedical education;computer aided instruction;computer games;educational robots;human-robot interaction;medical computing;medical robotics;surgery;virtual reality","video game experience;basic robotic skills;virtual reality robotic surgery simulator;standardized robotic surgery skill training;objective robotic surgery skill training;standardized robotic surgery skill assessment;objective robotic surgery skill assessment;surgical education;laparoscopy;video game technology;perceptual skill acquisition;psychomotor skill acquisition;computer-based perceptual tests;flanker compatibility task;subsidizing task;multiple object tracking test;computer-controlled systems","","1","","17","","10 Oct 2016","","","IEEE","IEEE Conferences"
