"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"STEM collaboration in virtual world academy","L. Divine; R. Williams","Virtual Reality Academy Deputy Director, Tec^Edge Innovation and Collaboration Center, Dayton, Ohio, United States; AFRL Discovery Lab Director, Tec^Edge Innovation and Collaboration Center, Dayton, Ohio, United States","2013 International Conference on Collaboration Technologies and Systems (CTS)","25 Jul 2013","2013","","","569","575","There is general agreement about the importance of increasing the number of students choosing career fields in Science, Technology, Engineering, and Mathematics (STEM). However most of the initiatives designed to get students interested in STEM fields are constrained by floor space, budget, or driving distance. These factors, in combination, act to limit the affordability and accessibility of research opportunities in STEM fields to students in schools faced with increasingly limited budgets or lacking access to experienced STEM teachers. Since a trained STEM workforce is crucial to tackling research challenges of importance to the Air Force and the nation, the Air Force Research Laboratory (AFRL) Discovery Lab program has developed a Virtual Reality Academy (VRA) program utilizing open source virtual reality software, Open Simulator, to create a virtual collaboration environment called Virtual (reality) Discovery Center (VDC). This 16-region VDC is the key to the Discovery Lab's 1,000 Student Outreach initiative designed to greatly expand the Discovery Lab's ability to make project-based “hands-on” research experience accessible to students across the country via the Open Simulator collaboration technologies. This paper highlights many of the successful efforts to establish VDC Virtual Learning Academies in areas such as Biology, Nanotechnology, Computer Vision, and Mobile Computing (smartphone apps). This paper is not a scientific study of Open Simulator as a collaboration tool for STEM but rather a descriptive overview of its successful implementation locally and nationally - suggesting its potential as a game-changer in STEM education and research.","","978-1-4673-6404-1","10.1109/CTS.2013.6567288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6567288","","Collaboration;Solid modeling;Dinosaurs;Avatars;Educational institutions;Space shuttles","computer aided instruction;engineering education;groupware;public domain software;teaching;virtual reality","STEM collaboration;science-technology-engineering-mathematics;STEM fields;driving distance;floor space;STEM teachers;STEM workforce;Air Force Research Laboratory Discovery Lab program;Virtual Reality Academy program;VRA program;open source virtual reality software;virtual collaboration environment;Virtual Discovery Center;16-region VDC;project-based hands-on research experience;Open Simulator collaboration technologies;virtual learning academies","","1","","6","","25 Jul 2013","","","IEEE","IEEE Conferences"
"Integration of force-position control and haptic interface facilities for a virtual excavator simulator","H. I. Torres-Rodriguez; V. Parra-Vega; F. J. Ruiz-Sanchez","Electr. Eng. Dept., CINVESTAV-IPN, Mexico; Electr. Eng. Dept., CINVESTAV-IPN, Mexico; Electr. Eng. Dept., CINVESTAV-IPN, Mexico","ICAR '05. Proceedings., 12th International Conference on Advanced Robotics, 2005.","19 Sep 2005","2005","","","761","768","In this paper we present the advances in the design and develop of a system used to simplify the excavator digging tasks based in a dynamical model of an excavator an anthropomorphic auto-balanced haptic interface and a force-position control law. The objective of this system is to reduce the training period and simplify the execution of digging tasks. This system makes possible the kinesthetic coupling between the operator and the machine providing information to the operator about the interaction forces between the excavator and the soil. The dynamical models of the excavator and the haptic devise were calculated employing the Euler-Lagrange formalism. With this formalism we obtain a new general dynamical model of an excavator including the dynamical effects of the hydraulic actuators. We present simulation results of the closed loop system considering the interaction between the haptic devise and the excavator","","0-7803-9178-0","10.1109/ICAR.2005.1507494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1507494","","Force control;Haptic interfaces;Costs;Soil;Construction industry;Industrial training;Electrical equipment industry;Stress;Automation;Control systems","closed loop systems;digital simulation;excavators;force control;haptic interfaces;hydraulic actuators;position control;virtual reality","force control;position control;virtual excavator simulator;excavator digging;anthropomorphic autobalanced haptic interface;kinesthetic coupling;interaction force;soil;dynamical model;haptic devise;Euler-Lagrange formalism;hydraulic actuators;closed loop system","","2","","10","","19 Sep 2005","","","IEEE","IEEE Conferences"
"Implementation and evaluation of a collaborative learning, training and networking environment for start-up entrepreneurs in virtual 3D worlds","C. Gütl; J. Pirker","Institute for Information Systems and Computer Media, Graz University of Technology, Austria; Institute for Information Systems and Computer Media, Graz University of Technology, Austria","2011 14th International Conference on Interactive Collaborative Learning","27 Oct 2011","2011","","","58","66","Exchange of knowledge and ideas, building up a social network and gaining the specific expertise are the first most important steps before starting an own business or enterprise. Business incubator programs and also university innovation courses try to provide these services and impart the according knowledge to start-up entrepreneurs. Especially for potential entrepreneurs already in workforce who want to study further it is hard to find time for training sessions or workshops offered by incubators. Virtual 3D Worlds can support the needs of start-up entrepreneurs who cannot participate at local meetings, so that they can build up social contacts to peers, experts and also to potential financiers, but have also the possibility to participate in virtual seminars and workshops to gain the required knowledge. This paper focuses on identifying advantages of using Virtual 3D Worlds to enhance the imparting of the required expertise to start a business and points out ways to improve learning effects. Within this framework a Virtual 3D World especially for incubation services is implemented followed by an evaluation by students, domain experts and also pedagogical and cognitive science experts. Two different and independent studies were used to identify issues and potentials of the designed Virtual Incubator World and should also help to generalize the findings to the field of research.","","978-1-4577-1747-5","10.1109/ICL.2011.6059548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6059548","Collaborative Learning Environment;Virtual 3D Worlds;Open Wonderland;Virtual Incubator;Start-Up Entrepreneurship;E-Learning","Business;Collaboration;Conferences;Seminars;Electronic learning;Three dimensional displays;Educational institutions","computer based training;human computer interaction;management education;virtual reality","collaborative learning environment;collaborative training environment;collaborative networking environment;start-up entrepreneurs;virtual 3D worlds;knowledge exchange;university innovation courses;business incubator programs;social contacts;incubation services;virtual incubator world","","6","","16","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Virtual classrooms to improve the teaching-learning process in Systems Engineering courses at a University from Lima North.","J. V. Paragulla; L. Andrade-Arenas; M. C. Caceres","Universidad de Ciencias y Humanidades,Facultad de Ciencias e Ingeniería,Lima,Perú; Universidad de Ciencias y Humanidades,Facultad de Ciencias e Ingeniería,Lima,Perú; Universidad de Ciencias y Humanidades,Facultad de Ciencias e Ingeniería,Lima,Perú","2020 IEEE World Conference on Engineering Education (EDUNINE)","27 Jul 2020","2020","","","1","4","Access to information, thanks to internet, is simple and abundant. However, in a teaching-learning process the information must be ordered and focused to achieve a good academic performance. Fortunately, there are information technologies that allow you to manage the information of a learning process on virtual platforms. The University of Sciences and Humanities has implemented a virtual platform with Moodle to improving the teaching-learning process. The teacher manages the information ordered and in sequence according to the scope of his course, considering materials of theory, practice, laboratory, readings, videos, reference links accompanied by evaluative activities such as questionnaires, forums, tasks. The student accesses this information with any device with internet access and at any time and place. This has allowed to improve the teaching-learning process with evident improvements in the general averages of the students generating satisfaction and motivation for their University training.","","978-1-7281-6638-4","10.1109/EDUNINE48860.2020.9149500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9149500","internet;virtual platform;Moodle;teaching-learning process","Training;Task analysis;Videos;Face;Information and communication technology","computer based training;educational courses;Internet;teaching;virtual reality","teaching-learning process;information technologies;virtual platform;virtual classrooms;Systems Engineering courses;Lima North;Internet;University of Sciences and Humanities;University training;Moodle","","1","","9","","27 Jul 2020","","","IEEE","IEEE Conferences"
"Focus of attention and dynamic postural control in individuals post-stroke","D. McEwen; M. Bilodeau; H. Sveistrup","School of Rehabilitation Sciences, University of Ottawa, Canada; School of Rehabilitation Sciences, University of Ottawa, Canada; School of Rehabilitation Sciences, University of Ottawa, Canada","2017 International Conference on Virtual Rehabilitation (ICVR)","14 Aug 2017","2017","","","1","2","Maintaining an external focus of attention (FA), as with virtual reality exercise gaming, may be effective in encouraging greater dynamic lateral movements and greater weight bearing for individuals post stroke. This study sought to compare center of pressure movements for individuals post-stroke under three conditions (internal FA, external FA, virtual reality) and compare these differences to healthy older and younger adults. The post-stroke group had greater average weight bearing on the paretic limb during VR tasks than the internal and external FA tasks. The PS group had consistently lower values on all dynamic postural variables compared with both YA and OA groups. However, all three groups showed a similar FA effect, with generally greater range in the VR compared with the internal FA task.","2331-9569","978-1-5090-3053-8","10.1109/ICVR.2017.8007478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8007478","Center of Pressure;Stroke;Dynamic Stability","Force;Virtual environments;Training;Software;Standards;Analysis of variance","biomechanics;computer games;medical computing;patient rehabilitation;virtual reality","focus of attention;dynamic postural control;post-stroke individuals;virtual reality exercise gaming;dynamic lateral movements;weight bearing;center of pressure movements;internal FA;external FA;paretic limb;VR tasks;dynamic postural variables","","","","5","","14 Aug 2017","","","IEEE","IEEE Conferences"
"Key techniques of haptic related computation in virtual liver surgery","Y. Shi; Y. Xiong; X. Hua; K. Tan; X. Pan","School of Computer Science, National University of Defense Technology, Changsha, China; School of Computer Science, National University of Defense Technology, Changsha, China; School of Electronic Science and Engineering, National University of Defense Technology, Changsha, China; Educational Technology Center, The PLA General Hospital, Beijing, China; Educational Technology Center, The PLA General Hospital, Beijing, China","2015 8th International Conference on Biomedical Engineering and Informatics (BMEI)","11 Feb 2016","2015","","","355","359","With or without a realistic haptic effect is the key difference between virtual surgery and the traditional training methods. On the real-time operation stage, users contact with the virtual scene and implement the operation by manipulating the haptic interaction device. Obviously, haptic related computation is the most important part for a virtual surgery system. This paper studied the haptic related computation of the virtual liver surgery, including the mechanism of haptic computation in liver virtual surgery, liver cutting area delineation and liver parenchyma splitting simulation. We developed two novel methods to simulate the delineation and splitting on the virtual liver surface. Results show our techniques can not only provide a realistic effect in our virtual surgery system, but also can be used in other simulation and geometry fields.","","978-1-5090-0022-7","10.1109/BMEI.2015.7401529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7401529","virtual liver surgery;haptic computation;simulation","Liver;Surgery;Haptic interfaces;Computational modeling;Training;Real-time systems;Solid modeling","haptic interfaces;liver;medical computing;surgery","virtual liver parenchyma splitting simulation;haptic computation mechanism;haptic interaction device;virtual liver surgery","","6","","8","","11 Feb 2016","","","IEEE","IEEE Conferences"
"The effect of sound on visual realism perception and task completion time in a cel-shaded serious gaming virtual environment","D. Rojas; B. Cowan; B. Kapralos; K. Colllins; A. Dubrowski","Institute of Medical Science, University of Toronto, Toronto, Canada; Faculty of Business and IT, University of Ontario Institute of Technology, Oshawa, Ontario, Canada; Faculty of Business and IT, University of Ontario Institute of Technology, Oshawa, Ontario, Canada; The Games Institute, University of Waterloo, Waterloo, Ontario, Canada; Faculty of Medicine, Memorial University. St. John's, Newfoundland, Canada","2015 Seventh International Workshop on Quality of Multimedia Experience (QoMEX)","6 Jul 2015","2015","","","1","6","Here we investigate the effect of sound on the perception of visual realism and the time required to complete a simple navigation-based task within a serious gaming (virtual) environment under various sound and visual conditions. Results indicate that the perception of visual realism and task completion time can be affected by sound. Designers and developers of serious games (and virtual environments in general) should be aware of the effects of sound on a user's perception of the visual scene and on task completion time, and they should thus ensure that sound is carefully considered when creating such environments.","","978-1-4799-8958-4","10.1109/QoMEX.2015.7148136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7148136","Serious games;virtual simulation;multi-modal interactions;audio-visual interaction;realism","Visualization;Games;White noise;Surgery;Three-dimensional displays;Virtual environments;Training","human computer interaction;serious games (computing);virtual reality","cel-shaded serious gaming;visual realism perception;navigation-based task;virtual environment;sound conditions;visual conditions;task completion time;user perception;visual scene","","3","","22","","6 Jul 2015","","","IEEE","IEEE Conferences"
"Gesture recognition for virtual reality applications using data gloves and neural networks","J. Weissmann; R. Salomon","Dept. of Comput. Sci., Zurich Univ., Switzerland; NA","IJCNN'99. International Joint Conference on Neural Networks. Proceedings (Cat. No.99CH36339)","6 Aug 2002","1999","3","","2043","2046 vol.3","Explores the use of hand gestures as a means of human-computer interactions for virtual reality applications. For the application, specific hand gestures, such as ""fist"", ""index finger"" and ""victory sign"", have been defined. Most existing approaches use various camera-based recognition systems, which are rather costly and very sensitive to environmental changes. In contrast, this paper explores a data glove as the input device, which provides 18 measurement values for the angles of different finger joints. The paper compares the performance of different neural network models, such as backpropagation and radial-basis functions, which are used by the recognition system to recognize the actual gesture. Some network models achieve a recognition rate (training as well a generalization) of up to 100% over a number of test subjects. Due to its good performance, this recognition system is the first step towards virtual reality applications in which program execution is controlled by a sign language.","1098-7576","0-7803-5529-6","10.1109/IJCNN.1999.832699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=832699","","Virtual reality;Data gloves;Neural networks;Application software;Fingers;Wrist;Mice;Image recognition;Computer science;Testing","gesture recognition;virtual reality;data gloves;backpropagation;radial basis function networks","neural networks;hand gestures;human-computer interactions;fist;index finger;victory sign;radial-basis functions;sign language","","28","1","8","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Development of electro pneumatic trainer embedded with Programmable Integrated Circuit (PIC) and graphical user interface (GUI) for educational applications","I. Burhan; R. Othman; A. A. Azman","Aircraft Maintenance Department, Politeknik Banting Selangor (PBS), Banting, Selangor, Malaysia; Aircraft Maintenance Department, Politeknik Banting Selangor (PBS), Banting, Selangor, Malaysia; Electrical Engineering Faculty, University Technology of Mara (UiTM), Shah Alam, Selangor, Malaysia","2016 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS)","27 Mar 2017","2016","","","1","6","Electro Pneumatic Trainer for educational applications is developed as supporting tools towards the existing typical teaching and learning process. The main objective is to improve the learning outcome towards student's cognitive knowledge and practical skill where the existing teaching and learning for electro pneumatic courses conducted in the classroom without emphasizing on simulation and complex practical aspect. Generally, computer graphic or simulation can reduce the unsuccessful of practical implementation during the practical session through installation error. Visual Basic (VB) was used as the platform for graphical user interface (GUI) and using Programmable Integrated Circuit (PIC) as the interface between the GUI and hardware of Electro Pneumatic Trainer. The development of Electro Pneumatic Trainer interfacing between PIC and VB has been designed and improved by involving various types of electro pneumatics instruments such as single acting cylinder, double acting cylinder, semi rotary motor, air motor, and linear drive. Newly developed Electro Pneumatic Trainer controller interface are able to be re-programme for numerous combination of tasks. Based on Practical Work Assessment Form evaluated by the lecturers, there is an average marks of 40% and 40% of improvement on teaching and learning (cognitive) and practical's skill respectively when newly developed Electro Pneumatic Trainer were used by students during the teaching and learning process. It is also user friendly and embedded with systematics graphical diagram inspiring students for conducting the practical session.","","978-1-5090-4186-2","10.1109/I2CACIS.2016.7885279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7885279","Electro Pneumatic Trainer;Programmable Integrated Circuit (PIC);Graphical User Interface;Teaching and Learning","Education;Graphical user interfaces;Relays;Programming;Power supplies;Electrical engineering;Conferences","cognition;computer based training;computer graphics;educational courses;electrical engineering computing;electrical engineering education;embedded systems;graphical user interfaces;programmable circuits;teaching","electro pneumatic trainer development;programmable integrated circuit;graphical user interface;educational applications;PIC;GUI;VB;teaching process;learning process;student cognitive knowledge;practical skill;computer graphic;visual basic;electro pneumatic instruments;electro pneumatic trainer controller interface;electro pneumatic courses","","1","","10","","27 Mar 2017","","","IEEE","IEEE Conferences"
"Automated manual training using adaptive neuro-controllers","R. Wai; K. KrishnaKumar","Dept. of Aerosp. Eng., Alabama Univ., Tuscaloosa, AL, USA; Dept. of Aerosp. Eng., Alabama Univ., Tuscaloosa, AL, USA","1995 IEEE International Conference on Systems, Man and Cybernetics. Intelligent Systems for the 21st Century","6 Aug 2002","1995","3","","2312","2317 vol.3","This paper presents an application of artificial neural networks in automated manual training. The idea of an automated manual trainer is to train a human to operate a complex system automatically with limited human interaction. An automated helicopter training system was used to demonstrate the feasibility of this study. Neuro-controllers in conjunction with critic models are used to implement the automated helicopter trainer to perform hover maneuvers. The simulation results indicate that the automated helicopter trainer is capable of performing the hover maneuvers. To verify the concept of the automated trainer, a simple one axis manual control cart-pole system was used. Two groups of four students each were used in the experiment with one being the experimental group which was trained with the automated trainer, and the other being the control group which was trained with no automated trainer. The experimental results show that the automated manual trainer did not ""mess up"" the training process, but no further conclusions can be drawn since the experimental group is too small to generalize the results. Further study in this area is recommended.","","0-7803-2559-1","10.1109/ICSMC.1995.538126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=538126","","Helicopters;Automatic control;Neural networks;Human factors;Control systems;Manipulators;Optimal control;Electronic mail;Artificial neural networks;Control system synthesis","aircraft control;helicopters;neurocontrollers;computer based training;learning (artificial intelligence);computer aided instruction;adaptive control;closed loop systems;bang-bang control;linear quadratic control","automated manual training;adaptive neuro-controllers;artificial neural networks;complex system;limited human interaction;automated helicopter training system;critic models;hover maneuvers;one axis manual control cart-pole system","","","","5","","6 Aug 2002","","","IEEE","IEEE Conferences"
