"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design of Practical Information Multidimensional Integration System for Higher Vocational Ideological and Political Courses Facing Big Data","X. Ding",Suzhou Polytechnic Institute of Agriculture,"2019 International Conference on Virtual Reality and Intelligent Systems (ICVRIS)","5 Dec 2019","2019","","","386","390","In view of the fact that the current information integration system can not quickly integrate a large number of chaotic practical information, this paper designs a multi-dimensional integration system of practical information for ideological and political courses in higher vocational colleges. The main control chip, TMS320C6748, is used to control the whole operation of the system. The physical server stores the information data and communicates with the serial port to transfer the data. Through the method of FPGA, the cluttered practical information data is filtered. According to the principle of Bayesian algorithm, the filtered information data is classified and the information data is preprocessed. In the SQL database, XML technology is used to parse and transform the pre-processed information and data. The data transformed into XML format is unified. According to the set multi-dimensional integration rules, data streams are split in the middle layer of the database and then merged is omorphically and heterogeneously. The data is loaded and stored in the integrated database, and finally the integration of information and data is completed. The design of multi-dimensional integration system is completed through hardware and software design. Comparing with the current information integration system, the experiment verifies the speed of information integration time of the designed multi-dimensional integration system. When integrating different amounts of practical information, the integration time of the designed multi-dimensional integration system is about one third of that of the current information integration system.","","978-1-7281-5050-5","10.1109/ICVRIS.2019.00100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920804","big data;higher vocational ideological and political course;multidimensional integration;system design","Databases;XML;Servers;Information filters;Big Data;Education","Big Data;computer aided instruction;data analysis;data mining;digital signal processing chips;educational courses;educational institutions;field programmable gate arrays;SQL;vocational training;XML","cluttered practical information data;filtered information data;pre-processed information;set multidimensional integration rules;data streams;integrated database;current information integration system;information integration time;designed multidimensional integration system;practical information multidimensional integration system;political courses facing big data;chaotic practical information","","","","10","","5 Dec 2019","","","IEEE","IEEE Conferences"
"Comparison of neural models of UWB and 60GHz in-car transmission channels","M. Kotol; Z. Raida","Department of Radio Electronics, Brno University of Technology, Brno, Czech Republic; Department of Radio Electronics, Brno University of Technology, Brno, Czech Republic","2016 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications (CoBCom)","20 Oct 2016","2016","","","1","4","Knowledge of characteristics of the transmission channel is advantageous for the selection of a suitable location of transmitting and receiving antennas, choice of the carrier frequency and the transmission parameters such as bit rate, modulation type, coding, etc. However, the description of properties of the transmission channel can be computationally time consuming, and the computational complexity increases with the increasing frequency. The transmission channel can be modeled by an artificial neural network to reduce the computational complexity compared to the analysis using full-wave simulation programs (CST, HFSS, etc.). Two neural network architectures were selected (a feed-forward one and a radial basis function one) to model an in-car transmission channel. For each neural model, a study of the model error, the speed of training and the network complexity is given.","","978-1-5090-2270-0","10.1109/COBCOM.2016.7593493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7593493","Artificial neural network;feed-forward network;radial basis function network;transmission channel measurement;estimation of in-car channel parameters;transfer function","Antenna measurements;Artificial neural networks;Frequency measurement;Training;Transmitting antennas;Automobiles;Frequency response","computational complexity;millimetre wave antennas;neural nets;on-board communications;receiving antennas;telecommunication computing;transmitting antennas;ultra wideband communication;wireless channels","computational complexity reduction;artificial neural network;computational complexity;transmitting antenna location selection;receiving antenna location selection;in-car transmission channel;UWB neural model;frequency 60 GHz","","1","","6","","20 Oct 2016","","","IEEE","IEEE Conferences"
"Advances in virtual design and visual center concepts","S. V. Wunnava; M. Rosario; K. Gandham","Dept. of Electr. & Comput. Eng., Florida Int. Univ., Miami, FL, USA; Dept. of Electr. & Comput. Eng., Florida Int. Univ., Miami, FL, USA; Dept. of Electr. & Comput. Eng., Florida Int. Univ., Miami, FL, USA","Proceedings of SOUTHEASTCON '96","6 Aug 2002","1996","","","107","110","Innovations in interactive audio, video, and data transfer have given rise to a multitude of new applications such as screen sharing, multimedia, and distributed processing. At Florida International University Electrical and Computer Engineering Laboratories, work has been in progress to define and develop the virtual design center (VDC), and virtual visual center (VVC) concepts with the help of network interactive audio, video, and data transfer mechanisms on the existing phone lines using the ISDN (integrated services digital network). The VDC would become the next generation design tool for engineering, software, hardware, and system design. The VVC would become the next generation remote monitoring and control operation. Day care centers where children of working parents usually spend their time can be easily networked together so that the working parents can talk and see their children from remote locations. The VVC would also help monitor elderly persons in nursing homes. The elderly people do not have to be isolated, but be active members in the interactive audio and video based VVC. The authors present the hardware and software requirements of the VDC and WC realizations. The operational models of the VDC and WC are also discussed with the associated results. Additional applications, such as teletraining centers (TTC) using the VDC concepts and telesecurity centers (TSC) using the VVC concepts, are examined.","","0-7803-3088-9","10.1109/SECON.1996.510037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=510037","","Video sharing;Application software;Design engineering;ISDN;Hardware;Remote monitoring;Senior citizens;Optical wavelength conversion;Technological innovation;Multimedia systems","multimedia communication;telecommunication computing;ISDN;telephone lines;telephone networks;interactive video;telecontrol;software engineering;training","interactive audio;interactive video;interactive data transfer;screen sharing;multimedia;distributed processing;Florida International University;virtual design center;virtual visual center;integrated services digital network;telephone lines;ISDN;design tool;engineering design;software design;telesecurity centers;system design;remote monitoring;remote control;day care centers;elderly persons;nursing homes;teletraining centers;children","","","1","5","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Study on effects of network characteristics on cooperation performance in a desktop CVE system","Chen Ling; Chen Gen-Cai; Chen Hong; Xu Xiao-Lei; Chen Chun","Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China","8th International Conference on Computer Supported Cooperative Work in Design","8 Nov 2004","2004","1","","121","126 Vol.1","The influences of network characteristics (e.g. latency, packet loss) on the task performance in desktop collaborative virtual environment (CVE) systems were studied. In the experiment, two remote partners worked together to manipulate shared virtual objects over a network, and a network emulator was utilized to simulate the real network. The task in the experiment was to minimize the time to transfer a frame through a rod with no collisions. The performance of human subjects was measured and analyzed quantitatively as a function of network latency and packet loss rate. The experiment results show that the delay had little effect on the task performance while the network latency was less than 200 ms and it was acceptable while the network latency was less than 500 ms; the packet loss had no effect on the task performance while there were 20 state update messages received and it was acceptable while there were more than 10 state update messages received.","","0-7803-7941-1","10.1109/CACWD.2004.1349000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1349000","","Intelligent networks;Performance loss;Collaboration;Industrial training;Virtual environment;Delay effects;Navigation;Educational institutions;Computer science;Collaborative work","groupware;virtual reality;computer networks;delays;digital simulation;user interfaces","network characteristics;cooperation performance;desktop CVE system;collaborative virtual environment;shared virtual objects;network emulator;network simulation;network latency;packet loss rate;state update messages","","1","","11","","8 Nov 2004","","","IEEE","IEEE Conferences"
"Radial basis functions for bandwidth estimation in ATM networks using RBF neural network","S. A. Youssef; I. W. Habib; T. N. Saadawi","Dept. of Electr. Eng., City Coll. of New York, NY, USA; NA; NA","MILCOM 97 MILCOM 97 Proceedings","6 Aug 2002","1997","1","","493","497 vol.1","It is known that some types of variable bit rate (VBR) video traffic exhibit strong long term correlations and non-stationary behavior. Estimation of an accurate amount of bandwidth to support this traffic has been a challenging task using conventional algorithmic approaches. We show that radial basis function neural networks (RBFNN) are capable of learning the non-linear multi-dimensional mapping between different video traffic patterns, quality of service (QoS) requirements and the required bandwidth to support each call. In addition, the RBFNN model adopts to new traffic scenarios and still produces accurate results. This approach bypass the modeling approach which requires detailed knowledge about the traffic statistical patterns. Our method employs ""on-line"" measurements of the traffic count process over a monitoring period. In order to simplify the design of the RBFNN, the input traffic is preprocessed through a lowpass filter in order to smooth all high frequency fluctuations. A large set of training data, representing different traffic patterns with different QoS requirements, was used to ensure that the RBFNN can generalize and produce accurate results when confronted with new data. The reported results prove that the neurocomputing approach is effective in achieving more accurate results than other traditional methods, based upon mathematical or simulation analysis. This is primarily due to the fact that the unique learning and adaptive capabilities of NN enable them to extract and memorize rules from previous experience.","","0-7803-4249-6","10.1109/MILCOM.1997.648770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=648770","","Bandwidth;Traffic control;Telecommunication traffic;Quality of service;Bit rate;Radial basis function networks;Monitoring;Data preprocessing;Filters;Frequency","asynchronous transfer mode;telecommunication networks;telecommunication computing;telecommunication traffic;feedforward neural nets;learning (artificial intelligence);adaptive systems;visual communication","bandwidth estimation;ATM networks;RBF neural network;variable bit rate;VBR video traffic;long term correlations;nonstationary behavior;radial basis function neural networks;nonlinear multi-dimensional mapping;video traffic patterns;quality of service;QoS requirements;RBFNN model;on-line measurements;traffic count process;input traffic;lowpass filter;training dat;HF fluctuations smoothing;neurocomputing approach;adaptive capabilities;rules","","","","4","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Video game experience and basic robotic skills","A. Tanaka; R. Smith; C. Hughes","The Nicholson Center, Florida Hospital, Celebration, US; The Nicholson Center, Florida Hospital, Celebration, US; Department of Computer Science, The University of Central Florida, Orlando, US","2016 IEEE International Conference on Serious Games and Applications for Health (SeGAH)","10 Oct 2016","2016","","","1","6","Virtual reality simulators have emerged as valuable tools for standardized and objective robotic surgery skill training and assessments. In recent years the idea of using video game technology in surgical education for laparoscopy has also been explored, however few have attempted to make a connection between video game experience and robotic surgical skills. Thus, the current study aims to examine the performance of video gamers in a virtual reality robotic surgery simulator. Furthermore, the video gamers' performance was compared to that of medical students, expert robotic surgeons, and “laypeople.” The purpose of this study is to demonstrate that video gamers acquire perceptual and psychomotor skills through video game play, similar to those used by robotic surgeons. Subjects completed a demographic questionnaire and performed three computer-based perceptual tests: a Flanker compatibility task, a subsidizing task, and a Multiple Object Tracking test. Participants then performed two warm-up exercises and eight trials of two core exercises on a robotic surgery simulator. After completing all trials, participants completed a post-questionnaire regarding their experience with the system. Expert video gamers (n=40), medical students (n=24), laypeople (n=42) and expert robotic surgeons (n=16) were recruited. Medical students and gamers were significantly faster than experts in the Flanker Task. The experts were significantly slower than the all other groups in the subsidizing task. Experts scored significantly higher, were significantly more efficient, and were significantly faster than laypeople, medical students, and gamers in the first trial of Ring & Rail 1 and Suture Sponge. In trial eight of the simulation exercises, the experts performed significantly better than most groups in all of the metrics. Contrary to prior literature in laparoscopy, this study was unable to validate enhanced abilities of video gamers in a robotic surgery simulator. This study does further demonstrate that the transfer of skills developed through video game play is relevant to the surgical technique. This may be due to the differences of the systems and how the users interact within them. In a society where video games have become an integral past time, it is important to determine the role that video games play in the perceptual and psychomotor development of users. These findings can be generalized to domains outside of medicine that utilize robotic and computer-controlled systems, speaking to the scope of the gamers' abilities and pointing to the capacity within these systems.","","978-1-5090-2210-6","10.1109/SeGAH.2016.7586262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586262","","Surgery;Robots;Measurement;Games;Training;Rails;Cameras","biomedical education;computer aided instruction;computer games;educational robots;human-robot interaction;medical computing;medical robotics;surgery;virtual reality","video game experience;basic robotic skills;virtual reality robotic surgery simulator;standardized robotic surgery skill training;objective robotic surgery skill training;standardized robotic surgery skill assessment;objective robotic surgery skill assessment;surgical education;laparoscopy;video game technology;perceptual skill acquisition;psychomotor skill acquisition;computer-based perceptual tests;flanker compatibility task;subsidizing task;multiple object tracking test;computer-controlled systems","","1","","17","","10 Oct 2016","","","IEEE","IEEE Conferences"
"Dynamic modeling and control simulation of a haptic device","B. Behzadpour; M. Moghaddam; M. Arbabtafti","Mechatronics Lab in Mechanical Engineering Department, Tarbiat Modares University, Tehran, Iran; Mechanical Engineering Department, Tarbiat Modares University, Tehran, Iran; Mechanical Engineering Department, Shahid Rajaee Teacher Training University, Tehran, Iran","2011 IEEE International Conference on Robotics and Biomimetics","12 Apr 2012","2011","","","2993","2998","In this paper dynamic modeling, simulation and control of a six-DOF haptic interface are discussed, And two control strategies (the admittance control method and the impedance Control with Force Feedback method) are used for the applications of human/virtual environment, interaction. The simulated results of the admittance control are compered with the impedance control with force feedback. In this paper the Adams/Controls, part of the MD Adams software is used for modeling the dynamic behavior of the haptic device. The Adams model of the haptic interface is transferred directly to the MATLAB/Simulink environment. Then the simulation of the virtual environment and the controller design are performed in the MATLAB Simulink environment. In fact a real-time connection between the dynamic model and the controller is made by connection of the two software. Feedback linereazation method is used to control of position in the admitance control method. Then, dynamic equations of the haptic interface is derived, and integrated with the feedback linearization controller.","","978-1-4577-2138-0","10.1109/ROBIO.2011.6181483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6181483","Haptic Interface;Impedance Control;Admittance Control;Real-Time;Feedback Linearization","Haptic interfaces;Impedance;Admittance;Mathematical model;Software;Equations;Force","control engineering computing;control system synthesis;force feedback;haptic interfaces;human computer interaction;position control;virtual reality","dynamic modeling;control simulation;haptic device;six-DOF haptic interface;control strategy;admittance control method;impedance control;force feedback method;human-virtual environment;Adams-controls;MD Adams software;dynamic behavior;MATLAB environment;Simulink environment;controller design;real-time connection;feedback linereazation method;position control;dynamic equations;feedback linearization controller","","4","","8","","12 Apr 2012","","","IEEE","IEEE Conferences"
"Prenatal to postnatal transfer of motor skills through motor-compatible sensory representations","T. A. Mann; Y. Choe","Department of Computer Science and Engineering, Texas A&M University, College Station, TX 77843; Department of Computer Science and Engineering, Texas A&M University, College Station, TX 77843","2010 IEEE 9th International Conference on Development and Learning","20 Sep 2010","2010","","","185","190","How can sensory-motor skills developed as a fetus transfer to postnatal life? We investigate a simulated reaching task by training controllers under prenatal conditions (i.e. confined space) and evaluating them based on postnatal conditions (i.e. targets outside of the confined training space). One possible solution is to identify a sensory representation that is easy to extrapolate over. We compared two kinds of sensory representations: world-centered sensory representation based on Cartesian coordinates and agent-centered sensory representation based on polar coordinates. Despite similar performance under prenatal conditions, controllers using agent-centered sensory representation had significantly better performance than controllers using world-centered sensory representation under postnatal conditions. It turns out that the success of the agent-centered sensory representation is (in part) due to being complementary to the action encodings. Further analysis shows that the action encodings (i.e. changes in joint angles) were highly predictive of the change in state when agent-centered sensory representation was used (but not world-centered). This suggests that a powerful strategy for transferring sensory-motor skills to postnatal life involves selecting a sensory representation that complements the action encodings used by an agent.","2161-9476","978-1-4244-6902-4","10.1109/DEVLRN.2010.5578844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5578844","","Joints;Optical wavelength conversion;Training;Elbow;Shoulder;Encoding;Fetus","biomechanics;cognition;medical computing;obstetrics;paediatrics","prenatal transfer;postnatal transfer;motor skills;motor-compatible sensory representations;sensory-motor skills;fetus;reaching task;extrapolation;Cartesian coordinates;agent-centered sensory representation;action encodings","","4","","18","","20 Sep 2010","","","IEEE","IEEE Conferences"
"Deep Learning for Ultra-Reliable and Low-Latency Communications in 6G Networks","C. She; R. Dong; Z. Gu; Z. Hou; Y. Li; W. Hardjawana; C. Yang; L. Song; B. Vucetic","Univ. of Sydney, Sydney, NSW, Australia; Univ. of Sydney, Sydney, NSW, Australia; Univ. of Sydney, Sydney, NSW, Australia; Univ. of Sydney, Sydney, NSW, Australia; Univ. of Sydney, Sydney, NSW, Australia; Univ. of Sydney, Sydney, NSW, Australia; Beihang Univ., Beijing, China; Peking Univ., Beijing, China; Univ. of Sydney, Sydney, NSW, Australia","IEEE Network","18 Sep 2020","2020","34","5","219","225","In future 6th generation networks, URLLC will lay the foundation for emerging mission-critical applications that have stringent requirements on end-to-end delay and reliability. Existing works on URLLC are mainly based on theoretical models and assumptions. The model-based solutions provide useful insights, but cannot be directly implemented in practice. In this article, we first summarize how to apply data-driven supervised deep learning and deep reinforcement learning in URLLC, and discuss some open problems of these methods. To address these open problems, we develop a multi-level architecture that enables device intelligence, edge intelligence, and cloud intelligence for URLLC. The basic idea is to merge theoretical models and realworld data in analyzing the latency and reliability and training deep neural networks (DNNs). Deep transfer learning is adopted in the architecture to fine-tune the pre-trained DNNs in non-stationary networks. Further considering that the computing capacity at each user and each mobile edge computing server is limited, federated learning is applied to improve the learning efficiency. Finally, we provide some experimental and simulation results and discuss some future directions.","1558-156X","","10.1109/MNET.011.1900630","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9136591","","Ultra reliable low latency communication;Deep learning;Computer architecture;6G mobile communication;Quality of service;Delays;Training","6G mobile communication;learning (artificial intelligence);neural nets;telecommunication computing","low-latency communications;6g networks;6th generation networks;URLLC;mission-critical applications;reliability;model-based solutions;data-driven supervised deep learning;deep reinforcement learning;multilevel architecture;device intelligence;edge intelligence;cloud intelligence;deep transfer learning;nonstationary networks;mobile edge computing server;federated learning;learning efficiency;pretrained DNN","","7","","15","","8 Jul 2020","","","IEEE","IEEE Magazines"
"The cost-effectiveness of a robot measuring vital signs in a rural medical practice","E. Broadbent; J. R. Orejana; H. S. Ahn; J. Xie; P. Rouse; B. A. MacDonald","University of Auckland, Auckland, New Zealand; University of Auckland, Auckland, New Zealand; University of Auckland, Auckland, New Zealand; University of Auckland, Auckland, New Zealand; University of Auckland, Auckland, New Zealand; University of Auckland, Auckland, New Zealand","2015 24th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN)","23 Nov 2015","2015","","","577","581","Robots have been proposed to reduce the costs of the provision of healthcare in rural settings, but as yet little research has tested this. This study investigated the feasibility and cost-effectiveness of a robot measuring routine vital signs in a family medicine clinic in a rural setting. The length of patient consultations was compared before (N = 85 patients) and after a robot was deployed in the clinic (N = 48 patients). A Cafero touchscreen robot took the patient's vital signs prior to the consultation and transferred the results to the medical professional's computer. Time-savings were calculated in New Zealand dollar terms and compared to the costs of the robot and its maintenance. Results showed that consultation lengths were cut by 18% on average (3 minutes and 13 seconds). If 20% of the clinics' annual consultations were augmented with the robot this translates to a total annual savings of NZ$19075. The annual cost of the robot was calculated to be NZ$9400 overs 5 years. Present value calculations of Benefit Cost result in a Benefit Cost ratio of 2.3. These results support the cost-effectiveness of the robot in a rural medical clinic. Further research is needed to improve the services provided by the robot and test it in a larger trial.","","978-1-4673-6704-2","10.1109/ROMAN.2015.7333668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7333668","","Robots;Blood pressure;Computers;Hospitals;Pressure measurement;Training","health care;medical computing;medical robotics;touch sensitive screens","vital sign measuring robot;rural medical practice;healthcare;family medicine clinic;rural setting;patient consultations;Cafero touchscreen robot;medical professional computer;New Zealand dollar terms","","10","","13","","23 Nov 2015","","","IEEE","IEEE Conferences"
