VR terms + trasfer + learn*,Included/Excluded ,
,,
"learning (artificial intelligence) (1,044)",E,
neural nets (352),E,
transfer functions (170),E,
computer aided instruction (148),I,
virtual reality (147),I,
feature extraction (139),E,
convolutional neural nets (129),E,
image classification (121),E,
medical image processing (115),E,
mobile robots (110),E,
learning systems (93),I,
optimisation (92),E,
control engineering computing (85),E,
telecommunication computing (79),E,
neurocontrollers (71),E,
regression analysis (68),E,
feedforward neural nets (65),E,
adaptive control (63),E,
backpropagation (63),E,
robot vision (63),E,
telecommunication traffic (62),E,
control system synthesis (58),E,
image segmentation (58),E,
asynchronous transfer mode (56),E,
iterative methods (56),E,
,,
Total After Exclusion Topics Appled ,,348
