Title,Abstract,StoreId,AccessionNumber,AlternateTitle,ArticleType,AuthorAffiliation,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,elecPubDate,entryDate,issn,issue,language,languageOfSummary,originalTitle,pages,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,classification,classificationCodes,documentFeatures,majorClassificationCodes,notes,startPage,subjectClassifications,subjectHeadings,subjectTerms,subjects,substances,URL,FindACopy,Database
Transfer Entropy Based Causality From Head Motion To Eye Movement,"Abstract Eye movement behavior, which provides the visual information acquisition and processing, plays an important role in performing sensorimotor tasks, such as driving, by human beings in everyday life. In the procedure of performing sensorimotor tasks, eye movement is contributed through a specific coordination of head and eye in gaze changes, with head motions preceding eye movements. Notably we believe that this coordination in essence indicates a kind of causality. In this paper, we investigate transfer entropy to set up a quantity for measuring an unidirectional causality from head motion to eye movement. A normalized version of the proposed measure, demonstrated by virtual reality based psychophysical studies, behaves very well as a proxy of driving performance, suggesting that quantitative exploitation of coordination of head and eye may be an effective behaviometric of sensorimotor activity. Competing Interest Statement The authors have declared no competing interest. Footnotes * zezhonglv0306{at}gmail.com, qingxu{at}tju.edu.cn ks{at}itec.aau.at S.Parkinson{at}hud.ac.uk",2504841579,,,Working Papers,,"Lv, Zezhong;Xu, Qing;Schoeffmann, Klaus;Parkinson, Simon",,," © 2021. Notwithstanding the ProQuest Terms and conditions, you may use this content in accordance with the associated terms available at https://www.biorxiv.org/content/10.1101/2021.03.11.434910v2", 10.1101/2021.03.11.434910, Working Paper,," Mar 24, 2021",,, English, English,,, Cold Spring Harbor,24-Mar-21,BioRxiv,2021,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/transfer-entropy-based-causality-head-motion-eye/docview/2504841579/se-2?accountid=14664,,,,," BioRxiv , 2021-03-11 (Version 1)", n/a,,," Head , Causality , Eye movements , Eye , Computer applications , Information processing , Sensorimotor system , Psychophysics , Entropy",,, https://www.biorxiv.org/content/10.1101/2021.03.11.434910v2,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=Transfer+Entropy+Based+Causality+From+Head+Motion+To+Eye+Movement&amp;author=Lv%2C+Zezhong%3BXu%2C+Qing%3BSchoeffmann%2C+Klaus%3BParkinson%2C+Simon&amp;volume=&amp;issue=&amp;spage=&amp;date=2021-03-24&amp;rft.btitle=&amp;rft.jtitle=BioRxiv&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
Remedial Training of the Less-Impaired Arm in Chronic Stroke Survivors With Moderate to Severe Upper-Extremity Paresis Improves Functional Independence: A Pilot Study,"The ipsilesional arm of stroke patients often has functionally limiting deficits in motor control and dexterity that depend on the side of the brain that is lesioned and that increase with the severity of paretic arm impairment. However, remediation of the ipsilesional arm has yet to be integrated into the usual standard of care for upper limb rehabilitation in stroke, largely due to a lack of translational research examining the effects of ipsilesional-arm intervention. We now ask whether ipsilesional-arm training, tailored to the hemisphere-specific nature of ipsilesional-arm motor deficits in participants with moderate to severe contralesional paresis, improves ipsilesional arm performance and generalizes to improve functional independence. We assessed the effects of this intervention on ipsilesional arm unilateral performance (Jebsen-Taylor Hand Function Test), ipsilesional grip strength, contralesional arm impairment level (Fugl-Meyer Assessment), and functional independence (Functional Independence Measure) (N = 13). Intervention occurred over a three-week period for 1.5 hours/session, 3 times each week. All sessions included virtual reality tasks that targeted the specific motor control deficits associated with either left or right hemisphere damage, followed by graded dexterity training in real-world tasks. We also exposed participants to 3 weeks of sham training to control for the non-specific effects of therapy visits and interactions. We conducted 5 test-sessions: 2 pre-tests and 3 post-tests. Our results indicate substantial improvements in the less-impaired arm performance, without detriment to the paretic arm, that transferred to improved functional independence in all three posttests, indicating durability of training effects for at least 3 weeks. We provide evidence for establishing the basis of a rehabilitation approach that includes evaluation and remediation of the ipsilesional arm in moderately to severely impaired stroke survivors. This study was originally a crossover design; however, we were unable to complete the second arm of the study due to the COVID-19 pandemic. We report the results from the first arm of the planned design as a longitudinal study.",2500682922,,,Scholarly Journals,,"Maenza, Candice;Wagstaff, David A;Varghese, Rini;Winstein, Carolee;Good, David C;Sainburg, Robert L",," University of Southern California
611310"," © 2021. This work is licensed under http://creativecommons.org/licenses/by/4.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.", 10.3389/fnhum.2021.645714, Journal Article, 2021-02-23," Mar 12, 2021",,, English, English,,, Lausanne,12-Mar-21,Frontiers in Human Neuroscience,2021,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/scholarly-journals/remedial-training-less-impaired-arm-chronic/docview/2500682922/se-2?accountid=14664,,,,," 2020-12-23 (Received) , 2021-02-23 (Accepted) , 2021-03-12 (Published)", n/a,,," Stroke , Brain research , Intervention , Rehabilitation , Activities of daily living , Stroke , Paresis , Rehabilitation , Computer applications , COVID-19 , Arm , Medical screening , Motor task performance , Pandemics , Hemispheric laterality , Paresis"," hemisphere-specific deficits , ipsilesional deficits , stroke impairment , motor deficits , stroke remediation , ipsilateral deficits",,,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=article&amp;atitle=Remedial+Training+of+the+Less-Impaired+Arm+in+Chronic+Stroke+Survivors+With+Moderate+to+Severe+Upper-Extremity+Paresis+Improves+Functional+Independence%3A+A+Pilot+Study&amp;author=Maenza%2C+Candice%3BWagstaff%2C+David+A%3BVarghese%2C+Rini%3BWinstein%2C+Carolee%3BGood%2C+David+C%3BSainburg%2C+Robert+L&amp;volume=&amp;issue=&amp;spage=&amp;date=2021-03-12&amp;rft.btitle=&amp;rft.jtitle=Frontiers+in+Human+Neuroscience&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,"Coronavirus Research Database,Publicly Available Content Database"
Transfer of training—Virtual reality training with augmented multisensory cues improves user experience during training and task performance in the real world,"About the Authors: Natalia Cooper Roles Conceptualization, Data curation, Formal analysis, Investigation, Methodology, Project administration, Resources, Supervision, Validation, Writing – original draft, Writing – review &amp; editing Affiliation: Construction Research Centre, National Research Council Canada, Ottawa, Ontario, Canada ORCID logo https://orcid.org/0000-0002-2078-9358 Ferdinando Millela Roles Conceptualization, Data curation, Formal analysis, Software, Supervision, Validation, Visualization Affiliation: UKAEA, Culham Science Centre, Abingdon, United Kingdom Iain Cant Roles Conceptualization, Data curation, Resources, Software, Visualization, Writing – review &amp; editing Affiliation: Virtual Engineering Centre, University of Liverpool, Liverpool, Merseyside, United Kingdom Mark D. White Roles Conceptualization, Funding acquisition, Project administration, Resources, Supervision, Writing – review &amp; editing Affiliation: Department of Engineering, University of Liverpool, Liverpool, Merseyside, United Kingdom Georg Meyer Roles Conceptualization, Formal analysis, Funding acquisition, Methodology, Project administration, Resources, Supervision, Validation, Writing – original draft, Writing – review &amp; editing * E-mail: georg@liv.ac.uk Affiliation: Department of Psychology, University of Liverpool, Liverpool, Merseyside, United Kingdom Introduction Learning in virtual reality (VR) is a compelling solution for situations where training is difficult in real life, for example because the consequences of errors would be too grave for the trainees (e.g. flight simulation) or others (e.g. medical education). Cook and colleagues [5] systematically reviewed 609 studies with 35226 medical trainees and reported that medical simulation training is consistently associated with large effect sizes for outcomes in the areas of knowledge, skills, and behaviours, and moderate effects for patient-related outcomes. An additional fundamental question is whether subjective or objective performance gains, seen during VR training, will transfer into real life situations [6]. [...]investigation of the main factors that can aid effective learning transfer is needed. In our virtual simulation, we provided vibration at the top of the hand instead of torque force, a visual colour change of the bolt and the wheel instead of visible rotation and resistance forces, and increased sound intensity instead of the more complex signal change that would be observed in a real tool.",2504776513,,,Scholarly Journals,,"Cooper, Natalia;Millela, Ferdinando;Cant, Iain;White, Mark D;Meyer, Georg",," University of Liverpool
611310"," © 2021 Cooper et al. This is an open access article distributed under the terms of the Creative Commons Attribution License: http://creativecommons.org/licenses/by/4.0/ (the “License”), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.", 10.1371/journal.pone.0248225, Journal Article,, Mar 2021,,3, English, English,,, San Francisco,Mar-21,PLoS One,2021,16,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/scholarly-journals/transfer-training-virtual-reality-with-augmented/docview/2504776513/se-2?accountid=14664,,,,," 2020-09-22 (Received) , 2021-02-22 (Accepted) , 2021-03-24 (Published)", e0248225,,," Psychology , Software , Research facilities , User experience , Investigations , Sound intensity , Flight simulation , Transfer of training , User experience , Computer applications , Training , Realism , Feedback , Virtual reality , Transfer learning , Colleges & universities , Data analysis , Computer programs , Virtual reality , Flight simulation , Learning , Vibration , Supervision , Editing , Software , Visualization , Funding , Simulation , Canada , United Kingdom--UK"," Virtual reality , Sensory cues , Sensory perception , Vibration , Learning , Human learning , Learning curves , Torque",,,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=article&amp;atitle=Transfer+of+training%26mdash%3BVirtual+reality+training+with+augmented+multisensory+cues+improves+user+experience+during+training+and+task+performance+in+the+real+world&amp;author=Cooper%2C+Natalia%3BMillela%2C+Ferdinando%3BCant%2C+Iain%3BWhite%2C+Mark+D%3BMeyer%2C+Georg&amp;volume=16&amp;issue=3&amp;spage=e0248225&amp;date=2021-03-01&amp;rft.btitle=&amp;rft.jtitle=PLoS+One&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
Intermanual transfer and retention of visuomotor adaptation to a large visuomotor distortion are driven by explicit processes,"About the Authors: Jean-Michel Bouchard Roles Conceptualization, Data curation, Formal analysis, Investigation, Methodology, Writing – original draft, Writing – review &amp; editing Affiliation: School of Human Kinetics, University of Ottawa, Ottawa, Canada Erin K. Cressman Roles Conceptualization, Formal analysis, Investigation, Methodology, Project administration, Resources, Supervision, Validation, Writing – review &amp; editing * E-mail: Erin.Cressman@uOttawa.ca Affiliation: School of Human Kinetics, University of Ottawa, Ottawa, Canada ORCID logo https://orcid.org/0000-0001-6833-1840 Introduction Reaching with altered visual feedback of the hand’s position in a virtual reality environment leads to motor adaptation in the trained hand and also in the untrained hand [1–4]. The phenomenon of intermanual transfer of visuomotor adaptation has been studied in the lab by having participants reach to visual targets with a single hand while seeing a cursor on a screen that is misplaced relative to their actual hand position (e.g., the cursor’s trajectory is rotated relative to actual hand motion). To further manipulate participants’ level of awareness of the visuomotor distortion, Wang and colleagues [7] also included a third group of participants who were told about the cursor rotation (i.e., told that the cursor would be rotated 32° CCW relative to hand motion). Alternatively, recent work has demonstrated that small cursor rotations (i.e., less than 40°) lead to limited engagement of explicit processes, even when the visuomotor distortion is explained to participants in advance [18, 25]. [...]awareness of the distortion, and hence engagement of cognitive strategies to counteract a given visuomotor distortion, may have been more similar across groups than expected, making it difficult to establish the role of explicit and implicit processes in intermanual transfer of visuomotor adaptation.",2476828787,,,Scholarly Journals,,"Bouchard, Jean-Michel;Cressman, Erin K",," University of Ottawa-Canada
611310"," © 2021 Bouchard, Cressman. This is an open access article distributed under the terms of the Creative Commons Attribution License: http://creativecommons.org/licenses/by/4.0/ (the “License”), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.", 10.1371/journal.pone.0245184, Journal Article,, Jan 2021,,1, English, English,,, San Francisco,Jan-21,PLoS One,2021,16,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/scholarly-journals/intermanual-transfer-retention-visuomotor/docview/2476828787/se-2?accountid=14664,,,,," 2019-11-05 (Received) , 2020-12-24 (Accepted) , 2021-01-11 (Published)", e0245184,,," Visual perception , Virtual reality , Sensorimotor integration , Kinetics , Adaptation , Distortion , Editing , Hands , Motion detection , Explicit knowledge , Computer applications , Adaptation , Adaptation , Kinetics , Cognitive ability , Canada"," Cognition , Robots , Analysis of variance , Learning , Questionnaires , Body limbs , Research assessment , Sensory perception",,,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=article&amp;atitle=Intermanual+transfer+and+retention+of+visuomotor+adaptation+to+a+large+visuomotor+distortion+are+driven+by+explicit+processes&amp;author=Bouchard%2C+Jean-Michel%3BCressman%2C+Erin+K&amp;volume=16&amp;issue=1&amp;spage=e0245184&amp;date=2021-01-01&amp;rft.btitle=&amp;rft.jtitle=PLoS+One&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
Learning an Action-Conditional Model for Haptic Texture Generation,"Rich haptic sensory feedback in response to user interactions is desirable for an effective, immersive virtual reality or teleoperation system. However, this feedback depends on material properties and user interactions in a complex, non-linear manner. Therefore, it is challenging to model the mapping from material and user interactions to haptic feedback in a way that generalizes over many variations of the user's input. Current methodologies are typically conditioned on user interactions, but require a separate model for each material. In this paper, we present a learned action-conditional model that uses data from a vision-based tactile sensor (GelSight) and user's action as input. This model predicts an induced acceleration that could be used to provide haptic vibration feedback to a user. We trained our proposed model on a publicly available dataset (Penn Haptic Texture Toolkit) that we augmented with GelSight measurements of the different materials. We show that a unified model over all materials outperforms previous methods and generalizes to new actions and new instances of the material categories in the dataset.",2299625548,,,Working Papers,,"Heravi, Negin;Yuan, Wenzhen;Okamura, Allison M;Bohg, Jeannette",,," © 2020. This work is published under http://arxiv.org/licenses/nonexclusive-distrib/1.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",, Working Paper, 2020-10-27," Oct 26, 2020",,, English, English,,, Ithaca,26-Oct-20,arXiv.org,2020,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/learning-action-conditional-model-haptic-texture/docview/2299625548/se-2?accountid=14664,,,,," arXiv.org , 2019-09-28 (Submission v1) , 2020-10-26 (Submission v2)", n/a,,," Teleoperators , Mapping , Acceleration , Material properties , Tactile sensors (robotics) , Sensory feedback , Immersive virtual reality , Conditioning , Texture , Data sets"," Robotics , Machine Learning",, http://arxiv.org/abs/1909.13025,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=Learning+an+Action-Conditional+Model+for+Haptic+Texture+Generation&amp;author=Heravi%2C+Negin%3BYuan%2C+Wenzhen%3BOkamura%2C+Allison+M%3BBohg%2C+Jeannette&amp;volume=&amp;issue=&amp;spage=&amp;date=2020-10-26&amp;rft.btitle=&amp;rft.jtitle=arXiv.org&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
milliEgo: Single-chip mmWave Radar Aided Egomotion Estimation via Deep Sensor Fusion,"Robust and accurate trajectory estimation of mobile agents such as people and robots is a key requirement for providing spatial awareness for emerging capabilities such as augmented reality or autonomous interaction. Although currently dominated by optical techniques e.g., visual-inertial odometry, these suffer from challenges with scene illumination or featureless surfaces. As an alternative, we propose milliEgo, a novel deep-learning approach to robust egomotion estimation which exploits the capabilities of low-cost mmWave radar. Although mmWave radar has a fundamental advantage over monocular cameras of being metric i.e., providing absolute scale or depth, current single chip solutions have limited and sparse imaging resolution, making existing point-cloud registration techniques brittle. We propose a new architecture that is optimized for solving this challenging pose transformation problem. Secondly, to robustly fuse mmWave pose estimates with additional sensors, e.g. inertial or visual sensors we introduce a mixed attention approach to deep fusion. Through extensive experiments, we demonstrate our proposed system is able to achieve 1.3% 3D error drift and generalizes well to unseen environments. We also show that the neural architecture can be made highly efficient and suitable for real-time embedded applications.",2409424555,,,Working Papers,,"Lu, Chris Xiaoxuan;Muhamad Risqi U Saputra;Zhao, Peijun;Yasin Almalioglu;Pedro P B de Gusmao;Chen, Changhao;Sun, Ke;Trigoni, Niki;Markham, Andrew",,," © 2020. This work is published under http://arxiv.org/licenses/nonexclusive-distrib/1.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",, Working Paper, 2020-10-21," Oct 19, 2020",,, English, English,,, Ithaca,19-Oct-20,arXiv.org,2020,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/milliego-single-chip-mmwave-radar-aided-egomotion/docview/2409424555/se-2?accountid=14664,,,,," arXiv.org , 2020-06-03 (Submission v1) , 2020-10-19 (Submission v2)", n/a,,," Augmented reality , Agents (artificial intelligence) , Architecture , Image resolution , Millimeter waves , Trajectory analysis , Radar , Inertial sensing devices , Robustness , Sensors", Robotics,, http://arxiv.org/abs/2006.02266,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=milliEgo%3A+Single-chip+mmWave+Radar+Aided+Egomotion+Estimation+via+Deep+Sensor+Fusion&amp;author=Lu%2C+Chris+Xiaoxuan%3BMuhamad+Risqi+U+Saputra%3BZhao%2C+Peijun%3BYasin+Almalioglu%3BPedro+P+B+de+Gusmao%3BChen%2C+Changhao%3BSun%2C+Ke%3BTrigoni%2C+Niki%3BMarkham%2C+Andrew&amp;volume=&amp;issue=&amp;spage=&amp;date=2020-10-19&amp;rft.btitle=&amp;rft.jtitle=arXiv.org&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
An In-Depth Exploration of the Effect of 2D/3D Views and Controller Types on First Person Shooter Games in Virtual Reality,"The amount of interest in Virtual Reality (VR) research has significantly increased over the past few years, both in academia and industry. The release of commercial VR Head-Mounted Displays (HMDs) has been a major contributing factor. However, there is still much to be learned, especially how views and input techniques, as well as their interaction, affect the VR experience. There is little work done on First-Person Shooter (FPS) games in VR, and those few studies have focused on a single aspect of VR FPS. They either focused on the view, e.g., comparing VR to a typical 2D display or on the controller types. To the best of our knowledge, there are no studies investigating variations of 2D/3D views in HMDs, controller types, and their interactions. As such, it is challenging to distinguish findings related to the controller type from those related to the view. If a study does not control for the input method and finds that 2D displays lead to higher performance than VR, we cannot generalize the results because of the confounding variables. To understand their interaction, we propose to analyze in more depth, whether it is the view (2D vs. 3D) or the way it is controlled that gives the platforms their respective advantages. To study the effects of the 2D/3D views, we created a 2D visual technique, PlaneFrame, that was applied inside the VR headset. Our results show that the controller type can have a significant positive impact on performance, immersion, and simulator sickness when associated with a 2D view. They further our understanding of the interactions that controllers and views have and demonstrate that comparisons are highly dependent on how both factors go together. Further, through a series of three experiments, we developed a technique that can lead to a substantial performance, a good level of immersion, and can minimize the level of simulator sickness.",2449344090,,,Working Papers,,"Monteiro, Diego;Hai-Ning Liang;Wang, Jialin;Chen, Hao;Baghaei, Nilufar",,," © 2020. This work is published under http://arxiv.org/licenses/nonexclusive-distrib/1.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",, Working Paper, 2020-10-08," Oct 7, 2020",,, English, English,,, Ithaca,07-Oct-20,arXiv.org,2020,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/depth-exploration-effect-2d-3d-views-controller/docview/2449344090/se-2?accountid=14664,,,,," arXiv.org , 2020-10-07 (Submission v1)", n/a,,," Displays , Helmet mounted displays , Games , Virtual reality , Controllers , Virtual reality", Human-Computer Interaction,, http://arxiv.org/abs/2010.03256,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=An+In-Depth+Exploration+of+the+Effect+of+2D%2F3D+Views+and+Controller+Types+on+First+Person+Shooter+Games+in+Virtual+Reality&amp;author=Monteiro%2C+Diego%3BHai-Ning+Liang%3BWang%2C+Jialin%3BChen%2C+Hao%3BBaghaei%2C+Nilufar&amp;volume=&amp;issue=&amp;spage=&amp;date=2020-10-07&amp;rft.btitle=&amp;rft.jtitle=arXiv.org&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
How to Improve Your Virtual Experience -- Exploring the Obstacles of Mainstream VR,"What is Virtual Reality? A professional tool, made to facilitate our everyday tasks? A conceptual mistake, accompanied by cybersickness and unsolved locomotion issues since the very beginning? Or just another source of entertainment that helps us escape from our deteriorating world? The public and scientific opinions in this respect are diverse. Furthermore, as researchers, we sometimes ask ourselves whether our work in this area is really ""worth it"", given the ambiguous prognosis regarding the future of VR. To tackle this question, we explore three different areas of VR research in this dissertation, namely locomotion, interaction, and perception. We begin our journey by structuring VR locomotion and by introducing a novel locomotion concept for large distance traveling via virtual body resizing. In the second part, we focus on our interaction possibilities in VR. We learn how to represent virtual objects via self-transforming controllers and how to store our items in VR inventories. We design comprehensive 3D gestures for the audience and provide an I/O abstraction layer to facilitate the realization and usage of such diverse interaction modalities. The third part is dedicated to the exploration of perceptual phenomena in VR. In contrast to locomotion and interaction, our contributions in the field of perception emphasize the strong points of immersive setups. We utilize VR to transfer the illusion of virtual body ownership to nonhumanoid avatars and exploit this phenomenon for novel gaming experiences with animals in the leading role. As one of our contributions, we demonstrate how to repurpose the dichoptic presentation capability of immersive setups for preattentive zero-overhead highlighting in visualizations. We round off the dissertation by coming back to VR research in general, providing a critical assessment of our contributions and sharing our lessons learned along the way.",2441394849,,,Working Papers,,"Krekhov, Andrey",,," © 2020. This work is published under http://arxiv.org/licenses/nonexclusive-distrib/1.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.", 10.17185/duepublico/71124, Working Paper, 2020-09-10," Sep 9, 2020",,, English, English,,, Ithaca,09-Sep-20,arXiv.org,2020,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/how-improve-your-virtual-experience-exploring/docview/2441394849/se-2?accountid=14664,,,,," arXiv.org , 2020-09-09 (Submission v1)", n/a,,," Perception , Avatars , Virtual reality , Locomotion , Virtual reality", Human-Computer Interaction,, http://arxiv.org/abs/2009.04272,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=How+to+Improve+Your+Virtual+Experience+--+Exploring+the+Obstacles+of+Mainstream+VR&amp;author=Krekhov%2C+Andrey&amp;volume=&amp;issue=&amp;spage=&amp;date=2020-09-09&amp;rft.btitle=&amp;rft.jtitle=arXiv.org&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
Embodied virtual reality for the study of real-world motor learning,"Motor-learning literature focuses on simple laboratory-tasks due to their controlled manner and the ease to apply manipulations to induce learning and adaptation. Recently, we introduced a billiards paradigm and demonstrated the feasibility of real-world-neuroscience using wearables for naturalistic full-body motion-tracking and mobile-brain-imaging. Here we developed an embodied virtual-reality (VR) environment to our real-world billiards paradigm, which allows to control the visual feedback for this complex real-world task, while maintaining sense of embodiment. The setup was validated by comparing real-world ball trajectories with the trajectories of the virtual balls, calculated by the physics engine. We then ran our learning protocol in the embodied VR. Subjects played billiard shots when they held the physical cue and hit a physical ball on the table while seeing it all in VR. We found comparable learning trends in the embodied VR to those we previously reported in the physical real-world task. Embodied VR can be used for learning real-world tasks in a highly controlled environment which enables applying visual manipulations, common in laboratory-tasks and rehabilitation, to a real-world full-body task. Embodied VR enables to manipulate feedback and apply perturbations to isolate and assess interactions between specific motor-learning components, thus enabling addressing the current questions of motor-learning in real-world tasks. Such a setup can be used for rehabilitation, where VR is gaining popularity but the transfer to the real-world is currently limited, presumably, due to the lack of embodiment. Competing Interest Statement The authors have declared no competing interest.",2379940369,,,Working Papers,,"Haar, Shlomi;Sundar, Guhan;Faisal, Aldo A",,," © 2020. Notwithstanding the ProQuest Terms and conditions, you may use this content in accordance with the associated terms available at https://www.biorxiv.org/content/10.1101/2020.03.19.998476v2", 10.1101/2020.03.19.998476, Working Paper,," Jul 23, 2020",,, English, English,,, Cold Spring Harbor,23-Jul-20,BioRxiv,2020,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/embodied-virtual-reality-study-real-world-motor/docview/2379940369/se-2?accountid=14664,,,,," BioRxiv , 2020-03-20 (Version 1)", n/a,,," Laboratories , Visual perception , Feedback , Computer applications , Motor skill learning , Nervous system , Visual stimuli , Neuroimaging , Virtual reality , Billiards , Rehabilitation",,, https://www.biorxiv.org/content/10.1101/2020.03.19.998476v2,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=Embodied+virtual+reality+for+the+study+of+real-world+motor+learning&amp;author=Haar%2C+Shlomi%3BSundar%2C+Guhan%3BFaisal%2C+Aldo+A&amp;volume=&amp;issue=&amp;spage=&amp;date=2020-07-23&amp;rft.btitle=&amp;rft.jtitle=BioRxiv&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
Towards Fine-grained Human Pose Transfer with Detail Replenishing Network,"Human pose transfer (HPT) is an emerging research topic with huge potential in fashion design, media production, online advertising and virtual reality. For these applications, the visual realism of fine-grained appearance details is crucial for production quality and user engagement. However, existing HPT methods often suffer from three fundamental issues: detail deficiency, content ambiguity and style inconsistency, which severely degrade the visual quality and realism of generated images. Aiming towards real-world applications, we develop a more challenging yet practical HPT setting, termed as Fine-grained Human Pose Transfer (FHPT), with a higher focus on semantic fidelity and detail replenishment. Concretely, we analyze the potential design flaws of existing methods via an illustrative example, and establish the core FHPT methodology by combing the idea of content synthesis and feature transfer together in a mutually-guided fashion. Thereafter, we substantiate the proposed methodology with a Detail Replenishing Network (DRN) and a corresponding coarse-to-fine model training scheme. Moreover, we build up a complete suite of fine-grained evaluation protocols to address the challenges of FHPT in a comprehensive manner, including semantic analysis, structural detection and perceptual quality assessment. Extensive experiments on the DeepFashion benchmark dataset have verified the power of proposed benchmark against start-of-the-art works, with 12\%-14\% gain on top-10 retrieval recall, 5\% higher joint localization accuracy, and near 40\% gain on face identity preservation. Moreover, the evaluation results offer further insights to the subject matter, which could inspire many promising future works along this direction.",2407150021,,,Working Papers,,"Yang, Lingbo;Wang, Pan;Liu, Chang;Gao, Zhanning;Ren, Peiran;Zhang, Xinfeng;Wang, Shanshe;Ma, Siwei;Hua, Xiansheng;Gao, Wen",,," © 2020. This work is published under http://creativecommons.org/licenses/by-nc-sa/4.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.", 10.1109/TIP.2021.3052364, Working Paper, 2021-02-24," May 26, 2020",,, English, English,,, Ithaca,26-May-20,arXiv.org,2020,,https://go.openathens.net/redirector/leeds.ac.uk?url=https://www.proquest.com/working-papers/towards-fine-grained-human-pose-transfer-with/docview/2407150021/se-2?accountid=14664,,,,," arXiv.org , 2020-05-26 (Submission v1)", n/a,,," Flaw detection , Replenishment , Quality assessment , Semantics , Protocol (computers) , Virtual reality , Image quality , Realism , Evaluation , Art works , Benchmarks , Semantics", Computer Vision and Pattern Recognition,, http://arxiv.org/abs/2005.12494,https://leeds.primo.exlibrisgroup.com/openurl/44LEE_INST/44LEE_INST:VU1?genre=preprint&amp;atitle=Towards+Fine-grained+Human+Pose+Transfer+with+Detail+Replenishing+Network&amp;author=Yang%2C+Lingbo%3BWang%2C+Pan%3BLiu%2C+Chang%3BGao%2C+Zhanning%3BRen%2C+Peiran%3BZhang%2C+Xinfeng%3BWang%2C+Shanshe%3BMa%2C+Siwei%3BHua%2C+Xiansheng%3BGao%2C+Wen&amp;volume=&amp;issue=&amp;spage=&amp;date=2020-05-26&amp;rft.btitle=&amp;rft.jtitle=arXiv.org&amp;issn=&amp;isbn=&amp;sid=ProQ%3Apubliccontent_,Publicly Available Content Database
