transfer ,,,,,,,,,,
,augmented reality,virtual reality,mixed reality,immersive reality,virtual environment,immersive environment,screen,simula*,head mounted display,HMD
transfer,,,,,,,,,,
skill,,,,,,,,,,
learn*,,,,,,,,,,
train*,,,,,,,,,,
adapt*,,,,,,,,,,
acqui*,,,,,,,,,,
action,,,,,,,,,,
motor,,,,,,,,,,
visuomotor,,,,,,,,,,
sensorimotor,,,,,,,,,,
memory,,,,,,,,,,
interaction,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Generali*,,,,,,,,,,
,augmented reality,virtual reality,mixed reality,immersive reality,virtual environment,immersive environment,screen,simula*,head mounted display,HMD
generali*,,,,,,,,,,
skill,,,,,,,,,,
learn*,,,,,,,,,,
train*,,,,,,,,,,
adapt*,,,,,,,,,,
acqui*,,,,,,,,,,
action,,,,,,,,,,
motor,,,,,,,,,,
visuomotor,,,,,,,,,,
sensorimotor,,,,,,,,,,
memory,,,,,,,,,,
interaction,,,,,,,,,,
