Scopus-62537-Analyze-Year

"Your query : ((TITLE-ABS-KEY(""augmented reality"" OR ""mixed reality"" OR ""virtual reality"" OR ""virtual environment"" OR ""immersive reality"" OR ""immersive environment"" OR simulat* OR screen OR ""head mounted display"" OR HMD OR VR) AND TITLE-ABS-KEY(generali* OR transfer) AND TITLE-ABS-KEY(skill* OR learn* OR train* OR adapt* OR acquisition OR action OR motor OR visuomotor OR sensorimotor OR interaction OR memory)) AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""COMP"" ) OR LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""SOCI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) OR LIMIT-TO ( SUBJAREA,""DECI"" ) OR LIMIT-TO ( SUBJAREA,""MULT"" ) OR LIMIT-TO ( SUBJAREA,""PSYC"" ) OR LIMIT-TO ( SUBJAREA,""HEAL"" ) OR LIMIT-TO ( SUBJAREA,""NURS"" ) OR LIMIT-TO ( SUBJAREA,""DENT"" ) OR LIMIT-TO ( SUBJAREA,""Undefined"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""Undefined"" ) ) )"


Number of results : 62537

"YEAR",
"2021","1454"
"2020","4964"
"2019","4832"
"2018","4188"
"2017","3687"
"2016","3288"
"2015","3055"
"2014","2806"
"2013","2728"
"2012","2608"
"2011","2374"
"2010","2239"
"2009","2117"
"2008","2050"
"2007","1978"
"2006","1893"
"2005","1789"
"2004","1813"
"2003","1258"
"2002","1150"
"2001","1061"
"2000","962"
"1999","862"
"1998","866"
"1997","803"
"1996","868"
"1995","769"
"1994","661"
"1993","482"
"1992","418"
"1991","358"
"1990","273"
"1989","228"
"1988","218"
"1987","180"
"1986","176"
"1985","157"
"1984","138"
"1983","78"
"1982","77"
"1981","57"
"1980","61"
"1979","67"
"1978","52"
"1977","53"
"1976","33"
"1975","52"
"1974","57"
"1973","46"
"1972","19"
"1971","23"
"1970","9"
"1969","20"
"1968","14"
"1967","10"
"1966","13"
"1965","7"
"1964","12"
"1963","8"
"1962","4"
"1961","3"
"1959","1"
"1958","4"
"1956","1"
"1954","2"
"1951","1"
"1926","1"
"1922","1"
